	poeder/noun	laag_DIM/noun	berusting/noun	theater_zaal/noun	lijden/noun	veeleer/adv	die/det	klank/noun	toon/noun	zucht/noun	schoen/noun	streep/noun	knal/noun	opgenomen/adj	koper/noun	enigszins/adv	teleurstelling/noun	o/noun	sfeer/noun	zo/adv	klinker/noun	het/det	leegte/noun	oppervlak/noun	bewust/adj	signaal/noun	kleur/noun	huid/noun	haar/noun	klop/noun	papier/noun	razernij/noun	geluid/noun	verf/noun	zang_stem/noun	en/vg	punt/noun	kunststof/noun	gelatenheid/noun	indruk/noun	verkeer_ellende/noun	kort/adj	slag/noun	herhaling/noun	voorstelling/noun	kijker/noun	ellende/noun	blazoen/noun	Marat/name	wat/adv	blad/noun	beetje/noun	beton_blok/noun	glans/noun	te/adv	schoot/noun	trom/noun	poging/noun	oog/noun	e/noun	blik/noun	klik/noun	explosie/noun	verdriet/noun	ik/pron	tamelijk/adj	dreun/noun	Ahmet/name	ze/pron	ritme/noun	oog_DIM/noun	lethargie/noun	variant/noun	zwart/noun	werkelijkheid/noun	klap/noun	dikwijls/adj	gevoel/noun	pijn/noun	miserie/noun	schot/noun	heerlijk/adj	kreet/noun
schoen/noun	0.76392543	0.7012739	0.91880864	0.8748805	0.93640774	0.8485539	0.80712396	0.83053493	0.8780957	0.88259447	0.0	0.7413217	0.8440915	0.90610135	0.82920444	0.85594916	0.8959367	0.8923162	0.865944	0.8370452	0.7976013	0.8705997	0.8495989	0.7827455	0.90893316	0.93423325	0.67031276	0.6804764	0.58359134	0.9016421	0.7245969	0.92070615	0.83085454	0.6646182	0.9397679	0.6866777	0.91821975	0.7171405	0.9441994	0.9224162	0.9468314	0.8719107	0.9472701	0.92642915	0.9038638	0.9041213	0.8922759	0.9130025	0.9164725	0.7865012	0.7977575	0.8182104	0.8420141	0.8097635	0.8302634	0.8018657	0.90486604	0.91076845	0.78772557	0.8849654	0.7713284	0.86009276	0.8932525	0.88566697	0.81887853	0.8289308	0.8735364	0.9342381	0.70563483	0.8607292	0.8458466	0.93835247	0.84369123	0.72040224	0.89999574	0.8998248	0.8123017	0.8954732	0.8962195	0.880419	0.8800227	0.7959991	0.8417971
streep/noun	0.8317992	0.73818207	0.92305094	0.920432	0.9251146	0.86957574	0.8231621	0.87073225	0.8734221	0.83426553	0.7413217	0.0	0.8204601	0.91192025	0.87654936	0.87376803	0.86795497	0.89030784	0.9277853	0.8703826	0.7539768	0.8534474	0.8612082	0.78027624	0.90898436	0.91035175	0.69104797	0.7512019	0.67636526	0.86014736	0.8160259	0.923315	0.84856576	0.6774738	0.95757836	0.7653147	0.8123271	0.81132656	0.9217847	0.91929334	0.922724	0.8606224	0.8573923	0.9152861	0.9126732	0.87914383	0.88582057	0.88756007	0.8878234	0.832734	0.855628	0.8608364	0.86197037	0.7963998	0.83778477	0.84525335	0.9031697	0.90305394	0.7772739	0.8850745	0.8224149	0.89616704	0.88265705	0.903428	0.8789084	0.84247696	0.8241286	0.92632353	0.8402942	0.84421885	0.8654721	0.9286692	0.8699906	0.7196102	0.8782862	0.84991616	0.8387561	0.9026036	0.9009313	0.84683096	0.8445895	0.85277987	0.84796476
knal/noun	0.8143379	0.8736336	0.90061176	0.9005455	0.87520576	0.8764986	0.82897234	0.8091651	0.85331684	0.8267467	0.8440915	0.8204601	0.0	0.91769975	0.91064847	0.8407786	0.8578899	0.9011572	0.8890327	0.8368918	0.8595574	0.86101305	0.8173435	0.80462486	0.90044236	0.8916132	0.85257125	0.8317865	0.8296792	0.8660612	0.8860882	0.8549783	0.72645974	0.80848134	0.9232577	0.7642672	0.88782066	0.8775294	0.9066018	0.9052011	0.84768784	0.8767282	0.8559521	0.9115341	0.9089824	0.8910837	0.84586024	0.92582977	0.91137815	0.8309349	0.89777493	0.85095435	0.7992065	0.87758386	0.8504752	0.66770315	0.8812466	0.8027785	0.8336445	0.91124487	0.83388615	0.8519874	0.6011652	0.8601703	0.8493919	0.86495656	0.74898326	0.931666	0.78980243	0.8268738	0.8698653	0.8914982	0.8997511	0.8601123	0.88661957	0.6428101	0.8187963	0.87416387	0.8202845	0.85811865	0.5216683	0.8138002	0.7658489
opgenomen/adj	0.8918306	0.87143266	0.8733806	0.8710409	0.85570323	0.7808799	0.76344013	0.71720886	0.7649585	0.8662652	0.90610135	0.91192025	0.91769975	0.0	0.838517	0.82343423	0.8939916	0.87078655	0.82526445	0.8677893	0.8892105	0.785384	0.8469531	0.86528826	0.82792175	0.86150426	0.81629604	0.85570335	0.8907198	0.9076067	0.8265062	0.8884026	0.7183572	0.8466091	0.8702295	0.707521	0.9327685	0.8646101	0.92277825	0.8629969	0.93004584	0.81048846	0.93665767	0.77516466	0.72339654	0.8058396	0.88593996	0.9204956	0.9408006	0.86870587	0.8185508	0.88157636	0.9241784	0.840039	0.89487994	0.8720335	0.890774	0.89948684	0.9042368	0.83957624	0.8525554	0.8623798	0.8799964	0.85986936	0.9222309	0.7540555	0.91037804	0.9175294	0.86268103	0.7610974	0.9036219	0.9131936	0.7889106	0.86559695	0.8231627	0.93109787	0.7934015	0.882865	0.9177733	0.8887826	0.9351187	0.81200904	0.8030891
koper/noun	0.8163185	0.8309394	0.91900283	0.89371914	0.8921602	0.80142	0.7682109	0.8327681	0.8893564	0.8512312	0.82920444	0.87654936	0.91064847	0.838517	0.0	0.8401162	0.8743081	0.90576345	0.9115466	0.83509934	0.8723252	0.8285047	0.8772773	0.8259772	0.8372192	0.8435009	0.8130313	0.8460411	0.8882684	0.92000663	0.7530533	0.9278053	0.82273996	0.77515924	0.91945356	0.73749226	0.91060245	0.7740934	0.9381821	0.9064246	0.9305746	0.91034085	0.9454163	0.88934714	0.88145274	0.750129	0.89193445	0.9147183	0.95191395	0.83210576	0.8127619	0.8660399	0.8632124	0.8596712	0.83146125	0.88039476	0.9275186	0.891652	0.9173121	0.8542553	0.83860075	0.8749049	0.8675322	0.910209	0.8614775	0.81793004	0.9040369	0.93701774	0.7668828	0.8891694	0.8851965	0.94392616	0.8375317	0.83270794	0.8769499	0.9137051	0.7846687	0.9085035	0.93167895	0.8838136	0.93306506	0.8952485	0.86375093
enigszins/adv	0.85494983	0.8142246	0.7719998	0.88874227	0.800483	0.64274836	0.6672097	0.70207214	0.654209	0.77252555	0.85594916	0.87376803	0.8407786	0.82343423	0.8401162	0.0	0.7215276	0.8742333	0.7193254	0.66831505	0.85821146	0.7848844	0.76146406	0.7802892	0.7987831	0.82042164	0.7729732	0.78373796	0.8273257	0.8849335	0.8650159	0.8623904	0.7078147	0.8160913	0.85689354	0.7191542	0.848958	0.84604675	0.8508676	0.75050443	0.9054756	0.8732639	0.933917	0.80450034	0.7933033	0.76898575	0.7763282	0.90292794	0.9107535	0.47618878	0.8223797	0.47284228	0.9097905	0.7863491	0.7129168	0.84275097	0.9110065	0.7910597	0.78606486	0.86815023	0.6895976	0.87209517	0.83563995	0.75400794	0.76887923	0.5446824	0.8279187	0.9185684	0.74038243	0.74500155	0.8587604	0.8853412	0.78142786	0.81482375	0.7009038	0.8592951	0.6663336	0.7331475	0.7976389	0.82387817	0.8846149	0.7771653	0.7455256
teleurstelling/noun	0.88296586	0.8740244	0.661512	0.92277145	0.75949055	0.7537621	0.7339902	0.83378726	0.80824196	0.712852	0.8959367	0.86795497	0.8578899	0.8939916	0.8743081	0.7215276	0.0	0.8917656	0.79338753	0.8093434	0.9037324	0.85130566	0.7437403	0.87890816	0.8678442	0.8383854	0.8749243	0.8735179	0.9059545	0.90768844	0.8987932	0.77095807	0.8457582	0.87904716	0.9305257	0.78600806	0.8734682	0.9041436	0.7046264	0.81860447	0.85709465	0.8949992	0.89858276	0.8268804	0.8653701	0.8397567	0.62876534	0.91184956	0.8883587	0.82193553	0.8839326	0.8064923	0.9140392	0.8213178	0.84338236	0.86120063	0.92960155	0.81507105	0.8485548	0.9100052	0.81691766	0.9015955	0.8188604	0.49573207	0.79966956	0.81448317	0.7653991	0.89194417	0.78887653	0.8500329	0.9159798	0.82547736	0.8827702	0.8663588	0.82069147	0.7868475	0.74771416	0.6239641	0.64034915	0.72897804	0.8937133	0.84364784	0.742219
o/noun	0.9010013	0.88996917	0.86119306	0.915162	0.86166286	0.8369602	0.8348838	0.77693427	0.8401023	0.87227553	0.8923162	0.89030784	0.9011572	0.87078655	0.90576345	0.8742333	0.8917656	0.0	0.8800134	0.84129703	0.8283685	0.86769503	0.846061	0.8850869	0.88696927	0.92444885	0.82848173	0.8654655	0.88181067	0.91017944	0.8951535	0.8807963	0.8332404	0.8683317	0.9021009	0.80142283	0.9408492	0.9106356	0.93728775	0.9345325	0.95087755	0.9190328	0.9100283	0.8794988	0.86472464	0.89787555	0.8704572	0.93474543	0.9484088	0.8794914	0.8780961	0.86941254	0.94100153	0.86226165	0.885671	0.8918191	0.9040193	0.9410224	0.88942134	0.75078857	0.8564908	0.8857249	0.9134471	0.8514924	0.88101757	0.8463091	0.90069854	0.9296744	0.84333783	0.8524829	0.9102671	0.92983073	0.86575	0.85291535	0.8389541	0.92210746	0.83647305	0.8408216	0.89564604	0.88855606	0.9396346	0.8330015	0.8362919
sfeer/noun	0.880121	0.86385334	0.78290105	0.8258426	0.8514203	0.68459094	0.7755614	0.5821583	0.58326447	0.80122066	0.865944	0.9277853	0.8890327	0.82526445	0.9115466	0.7193254	0.79338753	0.8800134	0.0	0.72589755	0.8754542	0.8056024	0.725502	0.8415731	0.84924316	0.86823064	0.68997127	0.84214664	0.8921439	0.914847	0.90799505	0.8492132	0.64372647	0.8586179	0.8488388	0.69382536	0.94621843	0.86271507	0.7600687	0.7266375	0.91880494	0.90706205	0.9411482	0.8517721	0.6986635	0.8445899	0.8342947	0.92175543	0.9363959	0.6934779	0.870241	0.7578167	0.92947066	0.78133047	0.8262933	0.8752285	0.9071826	0.899199	0.87089133	0.89673126	0.75206065	0.8972992	0.86515415	0.7804872	0.83263195	0.69316715	0.8651165	0.9443325	0.8326708	0.6480142	0.8858029	0.8542768	0.78158236	0.8258902	0.7785822	0.9447244	0.7532221	0.58733547	0.86621386	0.8632454	0.94687396	0.6689992	0.7793591
zo/adv	0.8474442	0.82100374	0.84987056	0.877294	0.8354626	0.7133845	0.7058457	0.7083699	0.67545855	0.8308915	0.8370452	0.8703826	0.8368918	0.8677893	0.83509934	0.66831505	0.8093434	0.84129703	0.72589755	0.0	0.8464796	0.83733696	0.7883478	0.7737258	0.8152774	0.8355555	0.7809366	0.78475624	0.82146966	0.8913338	0.8241822	0.8627538	0.7140858	0.8293531	0.83152574	0.7344121	0.8950238	0.8361918	0.8658321	0.7414145	0.9017605	0.86687195	0.93329924	0.82190216	0.7692739	0.76838195	0.7979285	0.88771665	0.9257795	0.52224755	0.800222	0.61089796	0.92425644	0.83235574	0.5215517	0.8602344	0.88092256	0.86101174	0.8063032	0.88831025	0.7219572	0.8425527	0.86491126	0.7939878	0.6030623	0.5344301	0.84199005	0.9040999	0.6066388	0.75307155	0.8611709	0.9072814	0.74019784	0.8374362	0.70488906	0.88873035	0.6784779	0.73856974	0.817626	0.83119464	0.8762322	0.7470699	0.7566613
