	eind/adv	immers/adv	elektricien/noun	word/verb	plein/noun	bekom/verb	schepen/noun	carrière/noun	stadion/noun	mag/verb	aantal/noun	afgelopen/adj	16/noun	aanpak/noun	daar/adv	daarentegen/adv	dank/verb	eerder/noun	stap_af/verb	stelling/noun	mei/noun	schepen_college/noun	vrijdag/noun	Genkse/adj	gisteren/adv	burgemeester/noun	sociaal-democraat/noun	ere_podium/noun	jaarlijks/adj	diner/noun	ere_titel/noun	inwoner/noun	namelijk/adv	mening/noun	totnogtoe/adv	ook/adv	onderscheiding/noun	Ier/noun	persoonlijk/adv	maand_blad/noun	samenleving/noun	tegelijk/adj	Belgisch/adj	louter/adj	al/adv	nieuw/adj	passend/adj	sporter/noun	stad_bestuur/noun	dans/noun	kampioen/noun	campus/noun	stad/noun	winnares/noun	ingebruikname/noun	medaille/noun	sporthal/noun	9/noun	strijdlustig/adj	gesneuveld/adj	volg/adj	Frans/adj	weekend/noun	waarde/noun	be/noun	goed/adj	drager/noun	meest/adj	Brugse/adj	wetenschapper/noun	ondernemer/noun	voortaan/adv	morgenavond/adv	nationaal/adj	decennium/noun	vrijwilliger/noun	wedstrijd/noun	strategie/noun	jong/adj	gemeente_bestuur/noun	vasten/noun	premier/noun	minstens/adv	succesvol/adj	credo/noun	ploeg_makker/noun	2003/noun	vier/verb	maart/noun	helder/adj	ploeg/noun	sport_raad/noun	begrip/noun	bovendien/adv	u/noun	filosofie/noun	filosoof/noun	inzicht/noun	ga_op/verb	bewogen/adj	ere_burger/noun	jaar/noun	uur/noun	visie/noun	start/adj	numerus/noun	openbaar/noun	wereldbeker/noun	Oudenaardse/adj	reder/noun	rij/noun	opvatting/noun	sport_mens/noun	laureaat/noun	decor/noun	gisteravond/adv	misvatting/noun	vader/noun	Thais/adj	laat/verb	Sint-Niklase/adj	gereformeerd/adj	donderdag/noun	titel/noun	groente/noun	vrijwilliger_werk/noun	inzet/noun	eerst/adj	lid/noun	provincie/noun	winnaar/noun	nerveus/adj	eigenaardig/adj	genodigd/adj	ander/adj	verkoudheid/noun	idioot/adj	steeds/adv	minister/noun	kennelijk/adj	legislatuur/noun	muzikaal/adj	principe/noun	ideaal/noun	supporter/noun	kommer/noun	dienst/noun	loopbaan/noun	duidelijkheid/noun	yoga/noun	never/noun	vorig/adj	Spanjaard/noun	muze/noun	parool/noun	sterf_dag/noun	midden_stip/noun	stadhuis/noun	eind_winnaar/noun	briljant/adj	keer/noun	Ninoofse/adj	burgerlijk/adj	feest_zaal/noun	junior/noun	lang/adj	tienjarige/adj	gelovig/adj	waar/adv	seizoen/noun	persoon/noun	verdrijving/noun	aanvankelijk/adj	beeldhouwer/noun	behaal/verb	blijkbaar/adj	in/adj	indrukwekkend/adj	sport_laureaat/noun	reflex/noun	verdienstelijk/adj	aanvang/noun	standpunt/noun	week/noun	7/noun	voorzitter/noun	gemeente/noun	omroep/noun	neem_plaats/verb	drie/noun	officieel/adj	lijst/noun	restaurant/noun	traditie/noun	kring/noun	loos/adj	overtuiging/noun	simplistisch/adj	top_schutter/noun	judoka/noun
gesneuveld/adj	0.89885885	0.8509905	0.8683486	0.8020493	0.82449985	0.904656	0.9250354	0.9235774	0.8665113	0.89018387	0.838563	0.84843135	0.8981831	0.91492736	0.864175	0.861582	0.9058381	0.85870814	0.8729994	0.84959924	0.8979684	0.8872819	0.881265	0.88415337	0.80182374	0.8991661	0.8743689	0.8704797	0.82603675	0.8479583	0.86101043	0.7981491	0.8593496	0.92862254	0.83166736	0.8769141	0.8350175	0.844148	0.82960504	0.8684813	0.86266696	0.83706754	0.83759713	0.8737301	0.87609136	0.8962144	0.8687132	0.82470685	0.8752539	0.90555567	0.8963363	0.8571748	0.79602593	0.8748355	0.894549	0.8579773	0.8806339	0.90998167	0.86277664	0.0	0.9120655	0.83345604	0.8649209	0.90167487	0.909459	0.9170838	0.8418025	0.85854685	0.8603934	0.8316916	0.86990535	0.8549578	0.8658106	0.85711384	0.8543799	0.77011794	0.9011174	0.9068622	0.8105491	0.8777892	0.90359986	0.8413978	0.8052108	0.8895969	0.88526773	0.8958307	0.89350545	0.8701991	0.8956984	0.88910437	0.89109516	0.89403206	0.8762811	0.87708735	0.8923905	0.9232059	0.84613895	0.90157515	0.84769017	0.8578573	0.8744938	0.8641292	0.8692845	0.89923584	0.90177464	0.9416441	0.86618334	0.8975447	0.8661005	0.86055243	0.9190459	0.88083607	0.88465244	0.8610971	0.86903083	0.82550323	0.88925403	0.7897984	0.80816865	0.8866914	0.8627975	0.86383677	0.85372007	0.895442	0.90116185	0.89043045	0.8325562	0.8992043	0.80792713	0.85961235	0.8806275	0.8936044	0.8571094	0.7532848	0.84401166	0.90342265	0.87740904	0.8939366	0.89613664	0.8795635	0.885741	0.87274265	0.90014994	0.87516224	0.8134436	0.89227825	0.8615641	0.9116871	0.9212691	0.92067426	0.92860806	0.87592876	0.8423133	0.88229007	0.9084843	0.85292196	0.8767517	0.8477483	0.897229	0.8603938	0.8734291	0.8845353	0.8604833	0.86209494	0.9141926	0.9069216	0.830555	0.7871064	0.8152018	0.9176645	0.7970697	0.813475	0.8820596	0.8055651	0.903113	0.90397537	0.9278284	0.81534404	0.9281621	0.8761456	0.8830088	0.8945755	0.88660496	0.87238824	0.9004411	0.9190753	0.86428314	0.8745057	0.84323454	0.87732106	0.8454025	0.8303087	0.8703241	0.85532373	0.85407734	0.87259877	0.8737503	0.89980304	0.8899005	0.85765415
volg/adj	0.56871605	0.78709716	0.916562	0.7655528	0.88325256	0.8606752	0.89556617	0.819509	0.80348134	0.78778183	0.8851512	0.6856779	0.7029679	0.9236886	0.85854656	0.8759412	0.93781674	0.7570671	0.8659738	0.910151	0.6446359	0.7193931	0.67700654	0.79774696	0.7691715	0.87043786	0.8679674	0.8778339	0.81095564	0.86109436	0.9078731	0.90454173	0.86523026	0.9250302	0.8138245	0.86313844	0.9262093	0.8953507	0.85416174	0.88409483	0.9501229	0.88283193	0.82981545	0.91391575	0.7696827	0.7137172	0.8664647	0.86850387	0.7376689	0.9256454	0.76765835	0.85436827	0.8768803	0.8398348	0.8019403	0.8420125	0.78738785	0.72178656	0.87646514	0.9120655	0.0	0.91588235	0.63816744	0.9491817	0.93522733	0.8500208	0.92188716	0.92195255	0.8336556	0.92027867	0.91849685	0.82021725	0.64540684	0.76499027	0.87093437	0.89457583	0.6708877	0.8882554	0.8775244	0.76559305	0.89109915	0.8759938	0.84507465	0.7949017	0.9120407	0.879199	0.56205624	0.7625601	0.6443169	0.91938657	0.71026886	0.78931934	0.9446976	0.8726198	0.85124767	0.9289218	0.9415456	0.9498173	0.92607474	0.80516106	0.8530912	0.7589108	0.81592155	0.9281429	0.8946715	0.91357094	0.9005594	0.78451145	0.8429224	0.90450335	0.82758844	0.95144314	0.9300496	0.82742167	0.9070329	0.7682127	0.9438433	0.9479294	0.9183849	0.90088475	0.8074878	0.9526454	0.6649469	0.77995586	0.9620839	0.90043616	0.88817155	0.75763077	0.9048302	0.8744802	0.79176813	0.86555725	0.88737744	0.8608825	0.90411216	0.86735666	0.913913	0.91263735	0.88930607	0.93367183	0.7226925	0.8994159	0.8762213	0.9332453	0.8207121	0.8882299	0.9148073	0.8205316	0.8163602	0.8970975	0.94864833	0.5250512	0.88690686	0.9078071	0.8789912	0.87656546	0.8980876	0.83299994	0.875776	0.9039949	0.8232999	0.81418973	0.9201085	0.84171784	0.77363044	0.8356352	0.88060457	0.9372647	0.873917	0.59169495	0.93770576	0.92589	0.8473447	0.9191168	0.78285	0.9080919	0.9411306	0.8959043	0.87374735	0.91862166	0.8287215	0.6951912	0.8789422	0.58426976	0.73741853	0.8968254	0.83590865	0.88452154	0.8610079	0.84271693	0.7378861	0.8649038	0.9290326	0.9232801	0.9320565	0.89736366	0.9350211	0.94096375	0.78971946	0.79916984
Frans/adj	0.88347024	0.8776174	0.8525238	0.8817942	0.90881634	0.88864434	0.82305926	0.8686906	0.9046848	0.9230681	0.89401716	0.86461323	0.93774766	0.91240716	0.9241078	0.84327495	0.88514936	0.7841189	0.84578514	0.86778677	0.92317224	0.9065341	0.8823132	0.8128532	0.6771247	0.81355333	0.8093097	0.88755	0.8985226	0.80714935	0.8334337	0.89607817	0.8854011	0.9226156	0.8031091	0.916823	0.7959233	0.8474537	0.8051139	0.7811947	0.8910919	0.8862166	0.4418667	0.87688965	0.931674	0.82644403	0.8831688	0.8690631	0.9069412	0.8382855	0.8259789	0.90262544	0.8466053	0.8376547	0.94187003	0.91880584	0.957004	0.94573843	0.8321048	0.83345604	0.91588235	0.0	0.8955654	0.9053634	0.9290919	0.92358184	0.8704547	0.8328127	0.7433715	0.78665113	0.84715647	0.85894084	0.85624355	0.7296511	0.8736911	0.914254	0.9197429	0.8835808	0.7802307	0.90093637	0.9486431	0.74199975	0.9300558	0.7559777	0.84552956	0.8672928	0.9171997	0.86900455	0.9291998	0.9251962	0.8538307	0.9035621	0.88680583	0.9041033	0.9099923	0.8559967	0.67522895	0.93356085	0.91478515	0.83881927	0.86632335	0.94534624	0.9594401	0.866161	0.8758881	0.9509926	0.89257145	0.8648015	0.81632406	0.8172943	0.9220866	0.8637852	0.9049073	0.84336096	0.8528614	0.7621075	0.8921811	0.8297024	0.6247965	0.89385504	0.85610616	0.8449401	0.84875053	0.83501476	0.90563554	0.9113344	0.9009895	0.8922759	0.8585327	0.8305242	0.84589386	0.89593214	0.870975	0.83867466	0.8281343	0.93915355	0.8877891	0.91153926	0.7391691	0.8886416	0.8924414	0.8341069	0.9197179	0.8882218	0.8748467	0.94030607	0.8343975	0.8626982	0.9226907	0.90631175	0.946132	0.8275791	0.8408526	0.8090547	0.87984365	0.8749131	0.9420569	0.89682746	0.8802509	0.78555506	0.950732	0.8412084	0.84420645	0.9115033	0.86533386	0.95779413	0.86657166	0.89025164	0.8348679	0.90256554	0.90831065	0.8861258	0.84364974	0.73095196	0.87989473	0.9194239	0.951703	0.86484975	0.9334295	0.88076794	0.83185947	0.9156461	0.88071156	0.87223935	0.9364796	0.7713361	0.89005435	0.82979	0.85786587	0.92645454	0.8027414	0.88253003	0.8201472	0.83003515	0.82813424	0.91410196	0.9035881	0.9037067	0.84991133	0.8696574
weekend/noun	0.6899245	0.7742499	0.88187295	0.8074018	0.80861706	0.841771	0.89129484	0.8236418	0.7675699	0.81417894	0.88737303	0.7618651	0.603157	0.94444585	0.7833215	0.82623166	0.9253285	0.86276644	0.8583589	0.90001	0.6658263	0.7851609	0.5571382	0.74814487	0.73876673	0.8565631	0.90550053	0.8641579	0.7624549	0.7871392	0.8885447	0.78353775	0.8758935	0.9633475	0.794063	0.86994416	0.86390644	0.86736876	0.8768931	0.8984427	0.95869213	0.8573936	0.77781034	0.9267745	0.8037868	0.88680094	0.90281117	0.8587862	0.7160824	0.872598	0.6828868	0.75809765	0.75041157	0.8269778	0.8389707	0.8194819	0.6425832	0.65303373	0.8526195	0.8649209	0.63816744	0.8955654	0.0	0.9388458	0.92866105	0.8900968	0.91526407	0.89867955	0.74494183	0.9257305	0.9159514	0.8129878	0.5873258	0.77448165	0.8069728	0.8179187	0.592288	0.94523	0.87820476	0.7903825	0.8849184	0.92408967	0.8152647	0.85498273	0.9105611	0.8517134	0.72408485	0.6034012	0.6804527	0.9121245	0.68023133	0.75069964	0.9507424	0.87326497	0.767866	0.9420235	0.9453608	0.96220326	0.898581	0.7828911	0.7913055	0.73804975	0.6994482	0.94972456	0.8944294	0.96736455	0.9062706	0.75692075	0.76645905	0.8940469	0.72855604	0.9594279	0.9109605	0.7173954	0.83567476	0.719119	0.93270975	0.9336111	0.86056614	0.879652	0.7427115	0.92848045	0.5800053	0.74069124	0.9318813	0.88036054	0.8820465	0.78381896	0.90010065	0.85334396	0.7751825	0.8776023	0.8559587	0.78103924	0.9218902	0.8648146	0.92564005	0.9016848	0.93809533	0.9416791	0.80099416	0.84469914	0.9083942	0.93083036	0.72990584	0.86768603	0.90219337	0.81474805	0.9240191	0.8626298	0.9655908	0.6881348	0.8559027	0.8896741	0.9244444	0.823523	0.8737573	0.70163447	0.8632023	0.8960691	0.7243272	0.7643981	0.9058604	0.70151937	0.6908001	0.8794621	0.85868275	0.89573705	0.8022283	0.545053	0.8697003	0.9327539	0.8675954	0.87834746	0.72136927	0.8651466	0.93440735	0.8595898	0.7701659	0.89103156	0.69234836	0.7494501	0.93798435	0.5854807	0.67216957	0.90094775	0.84189016	0.9185482	0.8402463	0.81657493	0.80457014	0.8817849	0.80810434	0.9128788	0.8891041	0.8869827	0.93698186	0.9412416	0.7142606	0.77984416
waarde/noun	0.9372518	0.7365955	0.92005336	0.8408691	0.9308408	0.8863431	0.95446765	0.91226274	0.9385478	0.8795398	0.70587957	0.84439015	0.9772043	0.8040425	0.9275025	0.7133863	0.87499034	0.85347134	0.87782484	0.8022805	0.96433014	0.9230305	0.9428808	0.8953357	0.8877498	0.9632399	0.84369874	0.93238586	0.75294316	0.9259219	0.91001177	0.81947833	0.7680877	0.78643143	0.7992962	0.8243883	0.86526066	0.91749084	0.88931686	0.8739265	0.675724	0.8036883	0.8666561	0.74824667	0.91179067	0.87775916	0.86034214	0.83177066	0.90497005	0.89012474	0.94299525	0.90568924	0.88791597	0.9197728	0.9274605	0.88680446	0.95406634	0.97986466	0.92483926	0.90167487	0.9491817	0.9053634	0.9388458	0.0	0.9120455	0.88523626	0.7695986	0.8324505	0.92095846	0.81907177	0.7976559	0.83317685	0.93987757	0.8572022	0.8247656	0.88143575	0.9350521	0.7685517	0.9205784	0.91773695	0.8511053	0.93882596	0.79207015	0.8937373	0.83068055	0.93420345	0.83690333	0.9416263	0.9433616	0.8561215	0.88503927	0.92419773	0.72900856	0.74300027	0.91777784	0.76212627	0.86194146	0.7189386	0.8816789	0.88655424	0.95568126	0.82869935	0.9417301	0.7055378	0.8029599	0.9145662	0.9046892	0.9361867	0.9200026	0.8608665	0.94687957	0.6637138	0.86090755	0.90745795	0.89353704	0.9237228	0.81415784	0.9352637	0.8824713	0.9163072	0.9091947	0.8089775	0.9350467	0.89744836	0.88903093	0.83917505	0.79010963	0.9357367	0.8753231	0.8974764	0.9043539	0.90721333	0.86234295	0.88808066	0.83860266	0.90926325	0.8665272	0.8286744	0.9501472	0.8054224	0.8795886	0.86126506	0.7351037	0.68269885	0.9217459	0.9106648	0.87182593	0.91202486	0.8626746	0.92049617	0.93993163	0.8578449	0.92253786	0.91280574	0.8908329	0.9466496	0.9587024	0.93790174	0.9553561	0.8876339	0.9322305	0.9273457	0.8009018	0.91947454	0.94675183	0.92597514	0.8660102	0.78547394	0.9050152	0.93126154	0.7907649	0.9140707	0.8257448	0.90981984	0.8499491	0.8539592	0.89546967	0.86401194	0.9572393	0.81630576	0.90004915	0.94218343	0.76128656	0.9406088	0.97687167	0.9642796	0.8573957	0.8371137	0.94087106	0.89932615	0.91314584	0.8629655	0.9419209	0.70156074	0.8045763	0.8672729	0.70888215	0.85044074	0.93179566	0.899957
be/noun	0.93993187	0.89069533	0.91767573	0.89255154	0.9044617	0.91050667	0.9389021	0.91650194	0.9173735	0.9076267	0.9192215	0.9393581	0.92299825	0.93204	0.88629377	0.89009506	0.91303265	0.9095066	0.9034825	0.90870017	0.9368498	0.9285749	0.9295251	0.90016973	0.9171304	0.9079555	0.9128408	0.9421506	0.90876544	0.874094	0.87518966	0.90765995	0.87267286	0.93170977	0.89551866	0.8793056	0.8926595	0.9093735	0.8777293	0.8696608	0.91188735	0.84196717	0.91896486	0.8872066	0.9326142	0.9091603	0.88301426	0.88774186	0.93440646	0.86126316	0.91737354	0.9095417	0.8996511	0.9104722	0.94747436	0.9163805	0.9208056	0.92944366	0.8899785	0.909459	0.93522733	0.9290919	0.92866105	0.9120455	0.0	0.9041884	0.85523105	0.8827882	0.9028276	0.894835	0.90410244	0.8749224	0.8906649	0.9099157	0.90052897	0.9169367	0.9495567	0.9206722	0.8934175	0.928947	0.9260173	0.9247827	0.9178351	0.87694424	0.8910297	0.91664064	0.9461598	0.920475	0.94173896	0.893712	0.9229986	0.92661464	0.92190874	0.90337175	0.86513096	0.8934913	0.8884675	0.9156399	0.9279417	0.8718147	0.9210687	0.9478021	0.93302834	0.9225288	0.91425776	0.9615825	0.895315	0.92366666	0.92968494	0.9067074	0.94373214	0.9011846	0.92460877	0.9005011	0.8654002	0.91321564	0.904299	0.8728212	0.86916804	0.9233882	0.9129036	0.88107634	0.9044744	0.8399502	0.88993686	0.91622454	0.92997766	0.94085425	0.9302232	0.9230922	0.92886674	0.8933309	0.87621236	0.8721839	0.90924966	0.9005956	0.85383403	0.8714357	0.94627804	0.8787722	0.9298682	0.8658185	0.9294829	0.8991062	0.89944154	0.91839796	0.9290577	0.93221486	0.9467833	0.88143635	0.6316945	0.95029974	0.9360972	0.85437405	0.89141417	0.91984904	0.9315956	0.9168659	0.9539158	0.82185924	0.94528997	0.90284103	0.9051043	0.9249409	0.9224916	0.9450444	0.9041409	0.88330746	0.8701624	0.9425366	0.9256842	0.9465402	0.93342215	0.87384605	0.9277331	0.89616597	0.91981643	0.87158954	0.96063995	0.886827	0.88877606	0.9279953	0.93701017	0.939727	0.9209852	0.9175762	0.9203533	0.9324448	0.88358736	0.9116474	0.906258	0.9245986	0.8643529	0.9008587	0.90412813	0.87130094	0.89674234	0.9106309	0.9168916	0.8942984
goed/adj	0.93000895	0.7485496	0.8963108	0.8510217	0.914434	0.8732636	0.95005924	0.81918436	0.9035578	0.804451	0.884872	0.91981333	0.9725053	0.8605251	0.80862665	0.784323	0.8656981	0.91674054	0.85336447	0.87209153	0.97373545	0.9049381	0.96234363	0.8275957	0.94063824	0.95706636	0.8855498	0.8910756	0.90808237	0.87206864	0.906854	0.92253196	0.7578081	0.866548	0.783837	0.70416236	0.8818593	0.90014195	0.836678	0.90998936	0.827412	0.79775846	0.8809579	0.7815162	0.8266984	0.83448875	0.771924	0.764555	0.8846169	0.86761034	0.92106897	0.9114012	0.92385536	0.89716905	0.9053253	0.8911323	0.941319	0.97455734	0.8203589	0.9170838	0.8500208	0.92358184	0.8900968	0.88523626	0.9041884	0.0	0.8451952	0.79130304	0.89906347	0.86324173	0.84369254	0.8262249	0.88561773	0.8582278	0.8737902	0.8556433	0.81926847	0.8467461	0.8115859	0.8817601	0.8650167	0.958548	0.8855904	0.764166	0.8580965	0.8864509	0.9165999	0.9425708	0.9719069	0.7655323	0.76914495	0.88425386	0.84813064	0.68909585	0.9338488	0.8544346	0.90690196	0.8082154	0.8788196	0.8477399	0.93776387	0.9365664	0.9560472	0.847966	0.8555173	0.93132305	0.88361514	0.89877427	0.91924524	0.8799929	0.9206089	0.85195804	0.8131676	0.89161515	0.8766912	0.91674197	0.8467502	0.9104516	0.8799604	0.8260891	0.88623136	0.87010473	0.9592672	0.9048247	0.8725572	0.8178836	0.8258321	0.9195678	0.939286	0.9317878	0.89661276	0.74280596	0.7426188	0.8640872	0.79066265	0.8376244	0.7653718	0.7864566	0.9669344	0.7213295	0.8728733	0.790113	0.8627231	0.8570839	0.85227466	0.8566994	0.8883946	0.84271944	0.88834774	0.8544541	0.90237296	0.90387875	0.9046904	0.8814655	0.89351034	0.9487502	0.90669787	0.95044595	0.9129709	0.7490643	0.8751439	0.8859735	0.90669245	0.94167423	0.91305184	0.80906236	0.88758147	0.866805	0.8989566	0.80745274	0.9182996	0.9394139	0.79934746	0.91284484	0.8943413	0.676203	0.8517955	0.7396095	0.92251843	0.8442453	0.7796196	0.91365707	0.8898232	0.9035362	0.9798518	0.9681251	0.8896703	0.8792844	0.903803	0.906106	0.9013142	0.92436415	0.912853	0.88564277	0.90285605	0.8247776	0.8302817	0.81803906	0.8865602	0.843116
drager/noun	0.93003726	0.7375709	0.8719262	0.77361596	0.8410716	0.8604437	0.91731125	0.8779649	0.8862452	0.8354575	0.8341659	0.90442103	0.94863933	0.83334345	0.860896	0.8093065	0.87151325	0.88303673	0.7944033	0.83861065	0.95413256	0.9067457	0.9516948	0.87691426	0.9055539	0.93018657	0.8295394	0.8718732	0.8535757	0.86241245	0.8820616	0.8490074	0.70438814	0.86617947	0.81449544	0.79704183	0.86109066	0.87214655	0.8461964	0.8868814	0.7253694	0.72008395	0.8645881	0.7530705	0.8694457	0.8274586	0.78741974	0.75625074	0.89264596	0.819925	0.8928035	0.85859084	0.84600186	0.8717893	0.8931431	0.8727057	0.90415525	0.95710933	0.84856457	0.8418025	0.92188716	0.8704547	0.91526407	0.7695986	0.85523105	0.8451952	0.0	0.80175555	0.87455606	0.7565373	0.8042706	0.7890089	0.8835523	0.8408603	0.84761655	0.80684066	0.91141284	0.84716547	0.83375275	0.8982584	0.8536793	0.9313192	0.83014506	0.8599414	0.81979924	0.87345827	0.9230915	0.89808965	0.95901495	0.7794447	0.8679509	0.9063861	0.81535804	0.7512657	0.9054787	0.8003849	0.8305792	0.7752205	0.86217713	0.8461984	0.88892275	0.88494205	0.9363378	0.78800577	0.82576996	0.90185475	0.8540524	0.89379525	0.8884158	0.8487245	0.90234816	0.7604349	0.84277594	0.8570484	0.76726747	0.91002643	0.8164141	0.84477097	0.8071821	0.8621688	0.87352055	0.815297	0.9380142	0.88351727	0.80008054	0.8283949	0.8560809	0.9143345	0.8394899	0.8829565	0.8501016	0.83467793	0.780832	0.80760443	0.7946008	0.80698824	0.8090359	0.8167401	0.9331159	0.79753745	0.878245	0.789006	0.8063382	0.763277	0.87079144	0.90158653	0.83727634	0.8726754	0.87987494	0.84897435	0.9140887	0.9233682	0.851885	0.8304239	0.91458666	0.9026266	0.8921599	0.88790053	0.8696378	0.8100396	0.87838376	0.86125255	0.8296475	0.8722142	0.9045504	0.8470421	0.8586407	0.7573832	0.82479656	0.9144004	0.77882767	0.9127465	0.87010854	0.8111167	0.89654744	0.82989836	0.8540334	0.83407867	0.92662466	0.80399954	0.8666229	0.91430867	0.8523336	0.9186716	0.9582139	0.9252336	0.8783395	0.836128	0.84310013	0.8748088	0.89044386	0.8411294	0.87616324	0.79784524	0.83073044	0.8303556	0.78893256	0.8448093	0.88368124	0.83733916
meest/adj	0.94015056	0.7370559	0.8971899	0.85129863	0.8808194	0.8857528	0.9653996	0.822725	0.91204137	0.85475934	0.6424502	0.8767333	0.9661819	0.7421812	0.8670163	0.72672963	0.8817649	0.8794488	0.8656374	0.80579996	0.9660861	0.9175754	0.9638674	0.86613774	0.90569746	0.94887185	0.82827485	0.8913609	0.85556483	0.8406243	0.84559476	0.8626299	0.72579944	0.7756084	0.7482893	0.7038003	0.82484275	0.8537563	0.82711554	0.8313078	0.78435504	0.72840405	0.81661224	0.77064633	0.8776658	0.8207373	0.7961741	0.77455753	0.9166243	0.80982625	0.9296926	0.879314	0.8493942	0.8858636	0.9186921	0.9003863	0.9303919	0.97332746	0.8204743	0.85854685	0.92195255	0.8328127	0.89867955	0.8324505	0.8827882	0.79130304	0.80175555	0.0	0.8717697	0.74910104	0.7665355	0.8235888	0.88760525	0.88447523	0.8024807	0.86914515	0.8978903	0.8066635	0.6980926	0.90720075	0.8791215	0.9239583	0.83767307	0.7546812	0.81745553	0.93853796	0.9256507	0.9215381	0.96743643	0.7913758	0.87943876	0.8879837	0.7846381	0.71449924	0.94394886	0.8046254	0.7984264	0.7817267	0.87498933	0.81243455	0.91279566	0.9351764	0.9710847	0.75162643	0.81064826	0.92224425	0.8595964	0.9187982	0.8940308	0.8429982	0.92250866	0.73732984	0.8044022	0.8616513	0.78535223	0.8962669	0.78392994	0.90384513	0.797099	0.875206	0.87423486	0.8234483	0.952154	0.87321246	0.8796792	0.8123124	0.8543187	0.87576956	0.88140345	0.88398916	0.87189037	0.82798964	0.7676166	0.83182997	0.6489817	0.84198344	0.7908363	0.68241775	0.9643008	0.7556476	0.899477	0.75866985	0.8288074	0.80883217	0.8750109	0.910793	0.8870393	0.8353197	0.9040524	0.8609863	0.9341107	0.9042384	0.8488612	0.8513542	0.89658874	0.9051639	0.930216	0.9325649	0.91864836	0.738474	0.9500297	0.8697906	0.8948038	0.91638225	0.9346022	0.9119809	0.8651109	0.8028227	0.78894717	0.8996969	0.85300845	0.8561615	0.8104373	0.84255934	0.8983232	0.7731924	0.8889967	0.790563	0.9306916	0.8195697	0.8101529	0.93103033	0.80112946	0.93729514	0.976287	0.960185	0.8902782	0.88044685	0.86830205	0.87199485	0.8928317	0.77709794	0.8656159	0.80961436	0.7708705	0.8477154	0.81767845	0.7867974	0.9427889	0.84501064
Brugse/adj	0.7843869	0.8322711	0.8534167	0.79499805	0.7580279	0.7941291	0.6895449	0.89396834	0.78711486	0.86896986	0.8575225	0.8789322	0.7933773	0.90000343	0.8766632	0.8630238	0.89227515	0.8617105	0.80986637	0.84604037	0.8392144	0.7134625	0.7893648	0.55704	0.72769356	0.721349	0.8794838	0.9114455	0.82405365	0.83023393	0.84488505	0.8332088	0.88626313	0.911476	0.7914755	0.86830866	0.8226068	0.8624307	0.8106571	0.86430216	0.91983914	0.865463	0.6942233	0.8813874	0.88293135	0.8059125	0.8666404	0.87179893	0.676099	0.87908614	0.8297949	0.76227784	0.7603154	0.87060267	0.8242985	0.8739948	0.7432164	0.82234013	0.8214389	0.8603934	0.8336556	0.7433715	0.74494183	0.92095846	0.9028276	0.89906347	0.87455606	0.8717697	0.0	0.87188196	0.8473755	0.77328587	0.7527954	0.79975736	0.9095626	0.8117706	0.8198952	0.91859543	0.8108939	0.7089415	0.93148077	0.8850231	0.87696314	0.8621582	0.8679168	0.82564634	0.85165507	0.7415439	0.84186524	0.92918324	0.7918338	0.731781	0.90365773	0.8536163	0.8520515	0.8966523	0.8544869	0.92814326	0.90220344	0.83177483	0.7750128	0.8988178	0.84653413	0.87368536	0.85273826	0.9381668	0.8845304	0.8834348	0.5369463	0.83477515	0.8552066	0.9053127	0.92834294	0.69900566	0.81736964	0.7575253	0.9151283	0.8732847	0.77560127	0.8724	0.5768978	0.8711583	0.7934127	0.8521462	0.94128245	0.8499408	0.8609639	0.8817716	0.81721336	0.7918527	0.8443625	0.87297565	0.8526038	0.77169454	0.8576429	0.9272792	0.9035159	0.916801	0.862179	0.9299512	0.8098451	0.8284881	0.90556407	0.90951097	0.78011537	0.9299525	0.7705345	0.8669539	0.9005772	0.89073807	0.96106267	0.8300166	0.893557	0.8629748	0.91586214	0.86989814	0.8929144	0.66771317	0.87688965	0.8502056	0.8849162	0.55987614	0.75643224	0.7320247	0.80985045	0.9204795	0.8584331	0.8847152	0.790301	0.81085867	0.8359469	0.9374788	0.8496894	0.7620697	0.8505183	0.8813248	0.9414508	0.8459261	0.85998905	0.859143	0.743698	0.82181025	0.8797819	0.85492176	0.84000033	0.7600905	0.7471551	0.88906795	0.776842	0.85481447	0.8070836	0.8350981	0.79923534	0.8927402	0.8564259	0.866812	0.9091302	0.93228334	0.755331	0.8395947
