	steun/verb	spoor_op/verb	word/verb	dosis/noun	bevrijd/verb	alleen/adj	carrière/noun	mag/verb	geld/noun	dan/adv	ver/adj	aanpak/noun	vooruit/adj	Amerikaan/noun	wel/adv	ondersteun/verb	tracht/verb	strijd/noun	getroffen/adj	zeep/noun	toe/adv	weg/noun	professional/noun	vang_op/verb	maar/adv	probleem/noun	Republikeins/adj	trouwens/adv	werknemer/noun	ook/adv	op/adj	duizenden/noun	proces/noun	systeem/noun	weduwe/noun	boel/noun	zelfs/adv	begrijp/verb	vertaal/verb	lamentabele/adj	ouder/noun	passend/adj	kind/noun	sociaal/adj	weer/verb	ginds/adj	niets/noun	probeer/verb	zogezegd/adj	juist/adj	en/adv	er/noun	alleen/adv	bedwing/verb	baan/noun	fiets/noun	zal/verb	arm/adj	god/noun	lezer/noun	zo/adv	jongen/noun	maaltijd/noun	bouw/noun	goed/adj	mentaliteit/noun	financier/verb	snel/adj	designer/noun	opbouw/noun	zaak/noun	extra/adj	gedicht_DIM/noun	imago/noun	iemand/noun	veiligheid/noun	zet_op/verb	treed_in/verb	broer/noun	buur/noun	vaderland/noun	job/noun	vakantieganger/noun	gemeente_bestuur/noun	het/noun	red/verb	gang/noun	kan/verb	zadel/noun	niet/adv	moet/verb	vlot/adj	wijze/noun	man/noun	want/noun	straf/noun	alvast/adv	valk/noun	weer/adv	vrouw/noun	bovendien/adv	manier/noun	humanitair/adj	wil/noun	maatregel/noun	drugsverslaafd/adj	graag/adj	1-1_gelijkspel/noun	familie_lid/noun	ons/noun	gezondheidszorg/noun	verzet/noun	toch/adv	dus/adv	stap/noun	taal/noun	soms/adv	familie/noun	meer/adv	wereld/noun	overkill/noun	af/adv	meisje/noun	heb/verb	creativiteit/noun	gezond/adj	tijdelijk/adj	vader/noun	bruid/noun	nodig/adj	mens/noun	klant/noun	misschien/adv	specialist/noun	vooruit/adv	daar/noun	oog_arts/noun	huis_bezitter/noun	therapeut/noun	ander/adj	verblijfsvergunning/noun	werk/noun	wil/verb	kloof/noun	hier/adv	meen/verb	natuurlijk/adj	partner/noun	even/adj	organiseer/verb	vul_in/verb	gelukkig/adj	uitstekend/adj	tussenstap/noun	amateur_club/noun	persoon/noun	leer_aan/verb	zeker/adj	zoek/verb	allemaal/adv	overwinning/noun	slachtoffer/noun	club/noun	gestrand/adj	bouw_op/verb	boer/noun	zelf/adv	meneer/noun	taal_grens/noun	verstoot/verb	niks/noun	veel/adj	structureer/verb	om/adj	tekort/noun	jood/noun	bestuur_crisis/noun	onmiddellijk/adj	weg/adj	handjevol/noun	index/noun	droog_leg/verb	kom_voor/verb	chauffeur/noun	president/noun
ouder/noun	0.87158185	0.8337268	0.7815622	0.8672817	0.85086304	0.7675439	0.8845668	0.79486537	0.8382769	0.81043684	0.8905949	0.8451395	0.90488154	0.78138286	0.8259715	0.79341525	0.8339677	0.9201084	0.80373394	0.88192296	0.87389535	0.908825	0.75924206	0.73345447	0.860304	0.82816553	0.88185143	0.80004543	0.75119376	0.7564831	0.8997246	0.8028433	0.86090994	0.86693764	0.68347263	0.8694555	0.8128554	0.8399058	0.8848481	0.9020404	0.0	0.8304323	0.37658578	0.79919994	0.8664464	0.8251066	0.8904007	0.81749535	0.7716871	0.84430504	0.90341365	0.83732444	0.8403505	0.8758021	0.87178624	0.8244942	0.7981589	0.74117947	0.7854254	0.72426665	0.84429926	0.64650047	0.8050803	0.9094612	0.8244026	0.84324366	0.87973833	0.8860689	0.8788942	0.8956919	0.87470645	0.81460893	0.8417151	0.86420786	0.6714226	0.8576584	0.8817129	0.8770502	0.68111587	0.6446129	0.7809851	0.8163513	0.74951386	0.7817907	0.89382464	0.88084817	0.8891939	0.78431565	0.91243494	0.8100898	0.7693363	0.9155478	0.8535205	0.6992944	0.859151	0.85170734	0.82287914	0.8984169	0.89793205	0.5371268	0.7602426	0.82968533	0.8661764	0.85345674	0.85990655	0.74647224	0.7770536	0.9511352	0.5159037	0.7530929	0.82799715	0.8839998	0.8289372	0.821687	0.936582	0.79061925	0.78581005	0.5104172	0.85402805	0.8708477	0.91635174	0.8687161	0.6122414	0.7459171	0.8256856	0.7937063	0.81592274	0.46120083	0.6858263	0.84708655	0.61542994	0.7057594	0.8617283	0.80155927	0.91894394	0.8016226	0.79568243	0.80369437	0.68476444	0.8240404	0.8145891	0.8419317	0.76129496	0.9157622	0.7829238	0.91066474	0.822497	0.6636714	0.8493625	0.89757663	0.8299519	0.7928586	0.894148	0.9243727	0.8646167	0.785202	0.7656332	0.9022354	0.83706737	0.84398973	0.9563871	0.72234815	0.86427444	0.8261704	0.9075835	0.7088693	0.73033345	0.8126479	0.8567671	0.73690295	0.88466465	0.8014454	0.89703614	0.83351004	0.84578717	0.77095807	0.93619984	0.82549006	0.91718924	0.82741606	0.9547318	0.91972953	0.8478931	0.79575384	0.8604756
passend/adj	0.8780423	0.85925597	0.7666396	0.8301444	0.8982371	0.81409955	0.87420505	0.82478464	0.8377229	0.85106087	0.8530371	0.8061109	0.87531364	0.9033788	0.853678	0.76271147	0.81709564	0.91743004	0.85963863	0.803737	0.8732272	0.90822715	0.7926632	0.8645346	0.8756837	0.8447981	0.90514857	0.80406284	0.8179662	0.776455	0.8649705	0.8760634	0.85467875	0.7984872	0.8617061	0.8798155	0.8180044	0.85977644	0.73366976	0.87099063	0.8304323	0.0	0.86804664	0.7696828	0.82953846	0.8502345	0.91264784	0.85116917	0.8004128	0.6422563	0.8959598	0.90832585	0.8257841	0.8657194	0.8491286	0.8756832	0.79138374	0.8979965	0.82850087	0.7858776	0.8679203	0.8988215	0.7891086	0.85403377	0.771924	0.8342622	0.8490809	0.8549112	0.8067614	0.7811229	0.85902965	0.73699397	0.84543693	0.84019274	0.8155187	0.8259449	0.8451489	0.8720552	0.924054	0.8959222	0.85764796	0.81198096	0.8333391	0.7916404	0.8746211	0.9149406	0.8898048	0.7825772	0.8620077	0.8369667	0.74134964	0.836459	0.7731468	0.8937081	0.82282	0.8378008	0.7717415	0.9228332	0.88602114	0.8740967	0.7346449	0.7939662	0.8124969	0.84664047	0.7837051	0.8294377	0.8352902	0.93352425	0.8350493	0.8278978	0.8213095	0.87508816	0.85956657	0.8039787	0.87005734	0.7789364	0.775709	0.8689726	0.86544055	0.88784707	0.89203805	0.8831203	0.89315695	0.81822044	0.7685101	0.81790394	0.75709254	0.8995189	0.8028534	0.7442859	0.84604514	0.81827873	0.851187	0.8220781	0.89705867	0.87253225	0.8513192	0.8852099	0.8018957	0.7432593	0.80945605	0.7935445	0.81297314	0.92086667	0.868322	0.8899099	0.8174089	0.8163243	0.86391205	0.8781237	0.7557504	0.86470836	0.7408818	0.83903104	0.8793553	0.8469858	0.78640485	0.8740553	0.74381804	0.86087745	0.8788696	0.8817931	0.8474632	0.8702072	0.8257977	0.86378306	0.7385373	0.86218035	0.8773363	0.8870816	0.9165373	0.8435999	0.82128876	0.8430224	0.8479613	0.8879427	0.91527975	0.8257652	0.9035938	0.83484125	0.92699987	0.9065908	0.8700436	0.8720231	0.9065832
kind/noun	0.91349995	0.83033115	0.79423594	0.8356047	0.8493181	0.7674003	0.8875473	0.8031894	0.83485585	0.8235292	0.89257056	0.87504095	0.87759393	0.80322725	0.85988456	0.84563553	0.8413254	0.91728455	0.80945975	0.8539161	0.858566	0.90177524	0.78171855	0.72384906	0.82900655	0.832258	0.93215436	0.8423378	0.7333703	0.7995827	0.91591126	0.75804096	0.88246167	0.8637231	0.7276908	0.86188674	0.80975235	0.87214303	0.90016466	0.9109676	0.37658578	0.86804664	0.0	0.823871	0.85738915	0.8348157	0.90767014	0.834509	0.7632265	0.8665397	0.87610924	0.8594238	0.81668794	0.8879249	0.82056785	0.7729266	0.83912873	0.7002375	0.8132701	0.7764292	0.84139067	0.4927793	0.75381577	0.9290427	0.8414119	0.86083966	0.89449704	0.8883998	0.8645982	0.91121304	0.904421	0.8003551	0.80512476	0.873343	0.67053306	0.87513155	0.88831335	0.8639009	0.7209391	0.74922913	0.804571	0.78014827	0.7384209	0.9110744	0.9126252	0.8623154	0.9173156	0.78085595	0.8962937	0.8353789	0.80671996	0.91350377	0.8437968	0.60875595	0.8492405	0.8525616	0.8829663	0.8664782	0.8627751	0.46907628	0.8054276	0.81441736	0.8810266	0.8837843	0.905864	0.7147683	0.78777903	0.95392114	0.56242484	0.77392274	0.83056724	0.92848986	0.8454931	0.84445846	0.9527217	0.7921965	0.7615079	0.6382736	0.86127615	0.83607394	0.91695493	0.84745276	0.42824477	0.811998	0.8416259	0.736719	0.84528756	0.5785501	0.7278257	0.8570117	0.50278306	0.7602834	0.86242855	0.86560476	0.8914292	0.85329163	0.82663834	0.8310874	0.73604345	0.82683563	0.808486	0.83929026	0.8090806	0.8841772	0.74107677	0.95067525	0.81836975	0.75305974	0.85388374	0.88987374	0.85026854	0.7882772	0.894862	0.91423106	0.88021034	0.6303348	0.75964355	0.87486434	0.8596252	0.8297401	0.9227071	0.6782616	0.89373523	0.81158197	0.9046507	0.75338215	0.79051155	0.8464956	0.88371396	0.7285148	0.89072406	0.8012412	0.8988367	0.82771385	0.86661947	0.7549274	0.95313466	0.8893577	0.89726883	0.8596611	0.93717813	0.9255835	0.81474733	0.7914624	0.9390882
sociaal/adj	0.79838246	0.8734239	0.79225546	0.86376595	0.89742947	0.8096918	0.89271593	0.8987399	0.8196052	0.9335344	0.8104022	0.70967835	0.8703381	0.9182822	0.91228354	0.65617025	0.7719451	0.84912175	0.7895383	0.8958159	0.9470389	0.90040505	0.7985334	0.79304206	0.9289421	0.7382469	0.8817923	0.8739561	0.6605883	0.8007923	0.9207904	0.8961526	0.8200171	0.6831118	0.8919895	0.9120343	0.8919685	0.89995533	0.83636916	0.84271544	0.79919994	0.7696828	0.823871	0.0	0.84955156	0.8727565	0.9301468	0.85969037	0.7806861	0.8000678	0.96134794	0.94443774	0.81853735	0.8840648	0.81231457	0.93540347	0.7533363	0.79745114	0.8918454	0.9135616	0.9136928	0.92740613	0.8549747	0.7459493	0.835678	0.82470226	0.6834623	0.847062	0.869943	0.7078712	0.8361442	0.6680862	0.9497443	0.8073952	0.89901215	0.5949253	0.7762198	0.8497795	0.9610914	0.8907699	0.8824703	0.7756455	0.83972514	0.74252576	0.94071317	0.90885586	0.9015609	0.80627835	0.92891663	0.9097025	0.7252453	0.8666316	0.8208146	0.9288831	0.87184685	0.8654867	0.8439861	0.94483167	0.9240217	0.88049406	0.6572965	0.8194243	0.6738614	0.8358127	0.6830547	0.80809265	0.91817987	0.965562	0.8609119	0.9026589	0.46741784	0.8324412	0.92074275	0.81788313	0.85428244	0.8178612	0.8780043	0.8649014	0.87492645	0.85499376	0.912522	0.9505359	0.9321663	0.8292436	0.7401366	0.76802474	0.70210576	0.93481994	0.91245925	0.7075281	0.8145304	0.8343168	0.9248428	0.7626161	0.9078065	0.9116117	0.8737379	0.76177984	0.7991156	0.7710288	0.83508676	0.81629217	0.7632803	0.85239065	0.9110966	0.8485976	0.86657727	0.7495432	0.95777076	0.86328477	0.7984851	0.9247183	0.84453946	0.8308008	0.87873733	0.8177035	0.7903347	0.895856	0.78769076	0.93376607	0.9405254	0.88254297	0.8585993	0.88758206	0.7617569	0.81485236	0.85628295	0.9490025	0.8524183	0.9021813	0.96139634	0.81993186	0.7807739	0.93014383	0.7310951	0.8775292	0.884149	0.86280996	0.93478966	0.8739923	0.8856455	0.9023206	0.8773139	0.90083855	0.92076886
weer/verb	0.777395	0.74022734	0.819561	0.8512087	0.80543816	0.812462	0.9057616	0.80148685	0.85593486	0.86656654	0.8846421	0.80098146	0.85419047	0.86945975	0.8889551	0.75999326	0.78377986	0.84990275	0.7950479	0.80592436	0.85896826	0.8310913	0.8310565	0.72867227	0.86707175	0.8482704	0.86583054	0.83623946	0.8530086	0.79717	0.8496948	0.7652435	0.8648625	0.8590415	0.903008	0.87711054	0.820694	0.8539687	0.8267211	0.89488935	0.8664464	0.82953846	0.85738915	0.84955156	0.0	0.8554125	0.91764283	0.78388435	0.73857	0.87413913	0.85793996	0.9116619	0.7733584	0.82106584	0.87779284	0.8516563	0.8062848	0.8124021	0.8721713	0.8594213	0.87880296	0.84592617	0.8445457	0.84017766	0.8597924	0.83217645	0.81199205	0.8582001	0.8482354	0.85771734	0.858163	0.8364531	0.8771986	0.80416423	0.8645798	0.7820661	0.79288304	0.8702528	0.920487	0.8362078	0.84222907	0.8762998	0.79224324	0.84717405	0.87818336	0.76806855	0.89025164	0.8390169	0.86972976	0.88129306	0.8213395	0.8491254	0.85714793	0.8784468	0.8273636	0.84795964	0.8296353	0.8876423	0.861395	0.85079193	0.785731	0.87451464	0.82292426	0.8655696	0.7954108	0.7571312	0.866823	0.91546375	0.86751056	0.8496609	0.85037434	0.7990707	0.86312485	0.83133805	0.89081	0.8382144	0.82062566	0.8941613	0.88074064	0.8758515	0.88851416	0.85226977	0.86014897	0.8548391	0.8624964	0.839881	0.79158175	0.9122268	0.8290756	0.8647091	0.86170894	0.8266728	0.87324244	0.8518659	0.8534634	0.91340566	0.88567376	0.8939414	0.83248913	0.75858474	0.80605596	0.85488653	0.80961585	0.8511812	0.8381895	0.81140256	0.8465964	0.8514843	0.86100954	0.8536939	0.82913446	0.88710237	0.83569056	0.875122	0.8809662	0.8734013	0.83436716	0.9276907	0.81564116	0.88758445	0.8777658	0.8458009	0.8670279	0.7939062	0.8540999	0.82875395	0.8459035	0.8725676	0.869524	0.85099876	0.9030248	0.83038104	0.85391045	0.8185092	0.86406934	0.8215807	0.8996024	0.86104953	0.8228222	0.75909126	0.90829235	0.8505343	0.80477333	0.8304298	0.88101494
ginds/adj	0.8886999	0.87816983	0.8056609	0.8244447	0.85621905	0.77128536	0.85328174	0.75037223	0.8670232	0.72129387	0.8196867	0.87182534	0.8035124	0.8382368	0.7532512	0.8651854	0.7735611	0.87866473	0.86434484	0.8048407	0.7953404	0.8449966	0.8051422	0.8362896	0.759587	0.85778004	0.8936863	0.71003544	0.88684624	0.7406486	0.8704594	0.8416779	0.8676785	0.8662816	0.8619373	0.7810724	0.7507334	0.7994424	0.8403108	0.85609484	0.8251066	0.8502345	0.8348157	0.8727565	0.8554125	0.0	0.82578593	0.79658294	0.7410389	0.8332213	0.8079989	0.78814197	0.7730159	0.78106505	0.890705	0.82107997	0.7668567	0.8282974	0.8030424	0.8300943	0.77309835	0.78978556	0.8354419	0.8946751	0.770772	0.7622583	0.90722257	0.789713	0.8326787	0.8348252	0.8604965	0.85033536	0.8471532	0.8459015	0.7483804	0.902251	0.8682474	0.8317661	0.8694949	0.7892669	0.79375416	0.8336103	0.7839104	0.86072004	0.80633885	0.80559874	0.8529876	0.73308563	0.8271492	0.7584268	0.77904594	0.75676745	0.8173744	0.84002924	0.79223824	0.908018	0.7559991	0.8719363	0.7333349	0.8439339	0.7561768	0.81718165	0.8449228	0.8203043	0.89098233	0.8581704	0.76113486	0.85749435	0.81917495	0.7428085	0.91231	0.8742708	0.66779685	0.7199687	0.86666435	0.85078883	0.7256961	0.8137574	0.82401246	0.83604807	0.8924526	0.77826136	0.8486028	0.7718016	0.83040214	0.8131663	0.84271145	0.85832834	0.83447874	0.82952046	0.7766074	0.8493852	0.7222004	0.8764127	0.79499686	0.8059405	0.87261313	0.889364	0.8311583	0.82870114	0.8565327	0.8730281	0.79218835	0.82731897	0.6594775	0.8790379	0.7524272	0.88294315	0.752796	0.89105517	0.8772928	0.7539307	0.78903776	0.85714525	0.84692454	0.8645526	0.8185315	0.82245326	0.84579134	0.76218784	0.7704471	0.87919533	0.7993473	0.8401801	0.85270417	0.8594257	0.7960889	0.8192221	0.82778776	0.86756533	0.79255116	0.7270923	0.83786047	0.7703867	0.9012346	0.8605614	0.9284823	0.85231614	0.82288724	0.8210821	0.89433753	0.9036363	0.83345234	0.8438606	0.9148457
niets/noun	0.91994286	0.9120351	0.8699677	0.90930855	0.91346246	0.7128729	0.92579585	0.8130448	0.81581485	0.6859837	0.8702346	0.87101465	0.8742193	0.87465775	0.6845428	0.92150104	0.8576596	0.9382797	0.9406965	0.88542736	0.85790265	0.9297247	0.8828825	0.9422369	0.72931224	0.83388466	0.9228166	0.73367	0.9092325	0.7160878	0.92442566	0.9308132	0.91212946	0.9020575	0.9463654	0.821089	0.83041406	0.76190346	0.91694593	0.9368342	0.8904007	0.91264784	0.90767014	0.9301468	0.91764283	0.82578593	0.0	0.83783925	0.83177495	0.85361683	0.8921729	0.7460963	0.7552222	0.90538186	0.9101846	0.91505265	0.77879447	0.93242544	0.8167351	0.8110188	0.7758063	0.8978106	0.9230445	0.9638642	0.8189862	0.82918763	0.93337405	0.84465027	0.9225542	0.9274354	0.8113478	0.9229151	0.8931066	0.86940867	0.74763453	0.9187882	0.9444277	0.89943695	0.9596977	0.885069	0.90741634	0.8839789	0.8810616	0.90136135	0.76004964	0.9208189	0.93809295	0.73194635	0.91140807	0.6205202	0.8020384	0.89298356	0.8933269	0.9152932	0.83481	0.91908467	0.83995456	0.90943563	0.835809	0.9263938	0.81335926	0.88623685	0.91216993	0.8843664	0.8810482	0.92344135	0.76897717	0.9278924	0.9097918	0.8020822	0.9266421	0.9177387	0.6887255	0.71568024	0.89867926	0.8995641	0.7630483	0.9253858	0.7662007	0.90344673	0.87293446	0.86663204	0.92409796	0.76834285	0.82946026	0.8851141	0.937469	0.92208266	0.9278492	0.88299066	0.8447244	0.8756594	0.7485236	0.912759	0.88237554	0.7085304	0.900676	0.90484434	0.8743442	0.8862584	0.9150948	0.92024684	0.77491176	0.9235985	0.7615223	0.89172274	0.749596	0.9095726	0.8264089	0.9798471	0.89117146	0.7734541	0.9090987	0.92958117	0.9246468	0.9311032	0.89552414	0.8109429	0.92230886	0.670732	0.93078697	0.9047032	0.91598105	0.9375256	0.93933904	0.9084872	0.74897605	0.8359997	0.8957355	0.8937916	0.14758962	0.722081	0.9049416	0.83421886	0.91750747	0.91023785	0.8999568	0.84595025	0.965104	0.8942171	0.94372916	0.9228401	0.885937	0.90832925	0.9433735
probeer/verb	0.79404014	0.7278358	0.7487614	0.8345548	0.7365613	0.8119516	0.875192	0.81251144	0.8128241	0.7674845	0.8388798	0.8386135	0.85474735	0.8196577	0.7847012	0.8072089	0.26468515	0.8501047	0.84322166	0.8160482	0.8057828	0.8405019	0.82682663	0.80431545	0.7831837	0.85077214	0.8518967	0.84811175	0.8883082	0.80200386	0.8338158	0.7614085	0.8188646	0.8343667	0.864856	0.7402103	0.80016845	0.79628325	0.8693717	0.90889513	0.81749535	0.85116917	0.834509	0.85969037	0.78388435	0.79658294	0.83783925	0.0	0.73381734	0.78487486	0.8198021	0.7971157	0.80351686	0.81503	0.89307773	0.8006239	0.7500028	0.8555409	0.83002496	0.8227163	0.808723	0.80525273	0.88615775	0.93544847	0.79526603	0.8318049	0.862668	0.7386054	0.8800105	0.85482526	0.83023286	0.8657522	0.8695438	0.80595994	0.7421634	0.8634397	0.8449838	0.8639141	0.8841216	0.7658706	0.8235622	0.8735696	0.8229172	0.8780465	0.86437887	0.7529956	0.8641262	0.60982347	0.8014375	0.784332	0.6877229	0.8017446	0.76730704	0.7579596	0.8346243	0.857585	0.8313549	0.89265865	0.73718584	0.7933885	0.78772247	0.72281206	0.83397985	0.78326786	0.83686996	0.82326126	0.79034555	0.9101866	0.7752669	0.73081064	0.8976241	0.82565635	0.7621302	0.80242527	0.86918116	0.84146357	0.7742355	0.84439003	0.8143905	0.8248012	0.88373125	0.8175709	0.8127415	0.6923344	0.7913325	0.81411445	0.8723811	0.83796626	0.8402591	0.8487699	0.77848685	0.79569834	0.7814506	0.88542	0.80218387	0.8297724	0.8770642	0.8942992	0.7844032	0.79508924	0.8481987	0.8864923	0.6171014	0.8453224	0.79332834	0.82095915	0.8061081	0.8529756	0.7775526	0.91157573	0.8148961	0.7749694	0.8550131	0.9077666	0.89403063	0.85881776	0.79421186	0.88456166	0.7351712	0.802639	0.88644373	0.75961363	0.8987279	0.7832813	0.8148086	0.8242831	0.7767071	0.85365564	0.8739867	0.84309983	0.84049165	0.81567425	0.8475677	0.81506616	0.8689758	0.8277677	0.91306496	0.78330934	0.8841204	0.7854166	0.89887005	0.893765	0.8557053	0.778495	0.86125606
zogezegd/adj	0.81840956	0.72714794	0.7011074	0.83163226	0.7852197	0.72468376	0.87667894	0.7588297	0.76282185	0.78574467	0.8605468	0.78708166	0.81470406	0.80622035	0.8047766	0.7995702	0.71363974	0.80931175	0.7985499	0.7993437	0.82700783	0.8519049	0.7747996	0.78655267	0.8253763	0.8219489	0.8344472	0.7364249	0.81474185	0.74217004	0.8395254	0.73157614	0.7994761	0.7676323	0.79078984	0.8293791	0.74812686	0.81659436	0.82944137	0.86460453	0.7716871	0.8004128	0.7632265	0.7806861	0.73857	0.7410389	0.83177495	0.73381734	0.0	0.7996056	0.8409474	0.8481256	0.7393253	0.81739795	0.8497242	0.77945143	0.73993874	0.77728903	0.7576855	0.8108086	0.81880844	0.77573395	0.8145521	0.8594159	0.8237047	0.8022619	0.8292513	0.7900461	0.80233073	0.7921523	0.81780714	0.80012774	0.8546683	0.7867563	0.73664105	0.7952113	0.82290524	0.85168856	0.84577537	0.76341784	0.7722971	0.77845424	0.75096726	0.7937735	0.8534002	0.7974936	0.8497603	0.73956704	0.8239733	0.78467524	0.7283585	0.8314989	0.7700303	0.7393215	0.7734962	0.81797177	0.77066064	0.83043426	0.80333674	0.74854374	0.6992334	0.77007866	0.7720002	0.7924542	0.8018806	0.77959365	0.80101055	0.9051466	0.72507274	0.759763	0.83368605	0.8175119	0.7729054	0.7088333	0.8751177	0.81624097	0.746042	0.77472305	0.816416	0.7923484	0.8809044	0.821954	0.765348	0.74627984	0.79726833	0.79979146	0.7824086	0.80553055	0.7823409	0.8125452	0.74820685	0.75516474	0.7883442	0.8342575	0.8506871	0.82971406	0.83446366	0.8465163	0.76205087	0.74662113	0.8093239	0.8093723	0.7604501	0.84194404	0.7686465	0.8290962	0.78425866	0.8039272	0.81781185	0.87578845	0.80987453	0.78796726	0.8511975	0.86521155	0.860196	0.7803069	0.78689647	0.8444712	0.78800035	0.7887009	0.8636215	0.7383058	0.8183628	0.7885311	0.835661	0.7777498	0.7827284	0.8181259	0.8122535	0.8236599	0.82612944	0.7434796	0.82156986	0.8000748	0.853828	0.7761086	0.90785146	0.7667653	0.85364187	0.7427366	0.90641654	0.87907773	0.7996739	0.74791664	0.8671206
juist/adj	0.8834775	0.8345243	0.7893461	0.7744426	0.8972837	0.732468	0.9218901	0.83801085	0.85188746	0.790804	0.81743443	0.77760255	0.8514838	0.88255113	0.7504321	0.79324985	0.77132124	0.9077138	0.9030803	0.8238342	0.87591136	0.8713075	0.81662744	0.8911965	0.7968409	0.83450305	0.90418726	0.7847737	0.8722657	0.74453795	0.8687929	0.9096976	0.8725777	0.800488	0.9295554	0.8533492	0.806945	0.77034926	0.7800659	0.8630815	0.84430504	0.6422563	0.8665397	0.8000678	0.87413913	0.8332213	0.85361683	0.78487486	0.7996056	0.0	0.88791126	0.8387557	0.7399396	0.8512723	0.8753878	0.8749546	0.7733938	0.887393	0.8300841	0.77596736	0.75339717	0.8857001	0.8544893	0.9267321	0.7059349	0.7660315	0.9045801	0.78040165	0.84714895	0.80532444	0.8544456	0.79113847	0.8784909	0.8168037	0.76178825	0.817201	0.91533965	0.8726107	0.9635591	0.9041842	0.8907061	0.86071014	0.8346325	0.8518328	0.8097714	0.91223913	0.90537244	0.7203989	0.86462516	0.77546203	0.7163021	0.84055907	0.78271115	0.900284	0.83381206	0.896818	0.77733505	0.92875904	0.82196873	0.88835144	0.66466206	0.73993754	0.8274342	0.82300484	0.81217074	0.8563263	0.8417094	0.94273734	0.88864785	0.7796942	0.8518889	0.9038918	0.7587715	0.7379466	0.8541934	0.80527115	0.72809374	0.92753386	0.867221	0.87475276	0.86015385	0.8817194	0.9129957	0.79784775	0.73203135	0.7458174	0.8624523	0.9324577	0.8767984	0.7267109	0.78742087	0.8094481	0.75700706	0.8216971	0.8592169	0.81796664	0.86453956	0.8668546	0.7888257	0.7103784	0.8587056	0.8545738	0.78594625	0.90016216	0.81395984	0.8640035	0.7093005	0.8618805	0.83688307	0.96263033	0.74727345	0.80488	0.7738637	0.8641079	0.9043285	0.83293784	0.7530148	0.8105866	0.75070184	0.80696774	0.9119858	0.9000423	0.91200596	0.8983563	0.85242635	0.8794003	0.76973915	0.86279464	0.88381493	0.87729275	0.87240905	0.7640985	0.8123964	0.81091344	0.85710454	0.8974912	0.90585333	0.8420584	0.92969024	0.8498043	0.88773197	0.9264081	0.86078304	0.86705494	0.9342618
en/adv	0.9526064	0.92913616	0.8546375	0.8461041	0.91066617	0.8318058	0.95024735	0.7703534	0.91080123	0.69501776	0.8749101	0.9291697	0.8278081	0.9122535	0.73253465	0.92446536	0.8564898	0.91880375	0.90778923	0.83133113	0.2569763	0.85944307	0.850577	0.86746854	0.7465444	0.9245527	0.93229574	0.8651827	0.9716357	0.7887906	0.89958334	0.8549927	0.9135395	0.9450743	0.9250169	0.75967216	0.6984175	0.8939968	0.88449	0.9256797	0.90341365	0.8959598	0.87610924	0.96134794	0.85793996	0.8079989	0.8921729	0.8198021	0.8409474	0.88791126	0.0	0.77843213	0.8052617	0.8364435	0.9263725	0.8060277	0.86850554	0.88329273	0.87403643	0.8266434	0.7945636	0.7912941	0.84249467	0.96532583	0.8714436	0.90612286	0.9698515	0.818345	0.88815403	0.89623946	0.92519194	0.9099566	0.8473982	0.8978977	0.69228303	0.9570381	0.8633876	0.87451947	0.9358394	0.8257352	0.9089468	0.952918	0.8411188	0.9538997	0.87173223	0.90990436	0.8227253	0.76560766	0.841178	0.84546494	0.84251535	0.84258384	0.8836859	0.82776105	0.84103227	0.95204186	0.88119906	0.87674236	0.69235206	0.85955584	0.8390024	0.88226056	0.9485399	0.92948765	0.9579733	0.9101102	0.7398538	0.9602657	0.8863609	0.80526733	0.9627751	0.92506945	0.7204625	0.8238359	0.9391476	0.9012603	0.5690755	0.91463083	0.8562071	0.88004243	0.91305333	0.23624736	0.82773006	0.8904803	0.8947553	0.83977044	0.891618	0.90460503	0.87344396	0.9193251	0.8160814	0.89998686	0.76834166	0.93786097	0.74374604	0.8428351	0.93340373	0.9275521	0.8550492	0.8811861	0.9512469	0.9281287	0.871275	0.92036927	0.75600433	0.9593101	0.80499065	0.9393713	0.6140219	0.958814	0.9295938	0.81105584	0.90161484	0.94088066	0.9235203	0.940568	0.84856206	0.9228095	0.9162277	0.79177445	0.953049	0.9190478	0.96388453	0.8665985	0.8986532	0.8997593	0.83373225	0.827591	0.8756993	0.89737654	0.8673583	0.79146194	0.9032752	0.7522681	0.9240879	0.9198875	0.9216534	0.8604208	0.88642037	0.8297013	0.92633617	0.9450295	0.84515595	0.81986517	0.9540925
