	gericht/adj	bijzonder/adj	commentaar/noun	Magda/name	dit/det	nog/adv	gegeven/noun	signaal/noun	begin/noun	wel/adv	reactie/noun	Dekker/name	Bodson/name	Faber/name	dat/comp	teneur/noun	strohalm/noun	Priscilla/name	tegelijk/adj	Christian/name	integratie/noun	Koffrie/name	ouder/noun	tendens/noun	zeer/adv	buitengewoon/adj	zo/adv	brief/noun	dorp_DIM/noun	aanblik/noun	wanhoop/noun	weekeinde/noun	coach/noun	dichter/noun	aangeschaft/adj	Europees/adj	debuut/noun	De/name	buurtbewoner/noun	woordvoerder/noun	hacker/noun	uitslag/noun	oppositie/noun	erg/adj	boodschap/noun	het/noun	feestganger/noun	blik/noun	verandering/noun	iedereen/pron	realiteit/noun	ze/pron	einde/noun	constatering/noun	terugkeer/noun	bewoording/noun	trip/noun	Midden-Oosten/name	student/noun	titelstrijd/noun	echt/adj	men/pron	opnieuw/adv	ontzettend/adj	voorbeeld/noun	ontwikkeling/noun	analist/noun	geluid/noun	gelijkspel/noun	Wotte/name	auteur/noun	verwachting/noun	Freddy/name	mevrouw/noun	Demol/name	ik/pron	perspectief/noun	wending/noun	zege/noun	dat/det	Cédric/name	steeds/adv	Buurmeijer/name	Declercq/name	rots/noun	verklaring/noun	u/pron	mij/pron	hij/pron	we/pron	markt/noun	even/adj	me/pron	weinig/adj	toekomst/noun	gestemd/adj	rest/noun	teken/noun	veel/noun	kant/noun	Wijk/name	ondertitel/noun	kwartaal/noun	week/noun	zomermaand/noun	boek/noun	wat/pron	aanvang/noun	indicator/noun	herdershond/noun	ABVV/name	Rob/name	Hezbollah/name	vertrouwen/noun	Van/name	iets/adv	Wall/name	minder/adj	wij/pron	Standaard/name	geschiedenis/noun	team/noun
reactie/noun	0.80244917	0.81097037	0.57308364	0.8659791	0.8448874	0.8810787	0.8042498	0.68412894	0.9319182	0.82385087	0.0	0.9015861	0.8805583	0.8262824	0.7169771	0.7011656	0.8946381	0.9222347	0.7896808	0.941095	0.8746233	0.86913633	0.8379705	0.75273484	0.7273748	0.77803475	0.7880238	0.6821407	0.9245121	0.8146398	0.82158864	0.8344039	0.9207634	0.8873186	0.9327066	0.8825327	0.90918744	0.9318318	0.73642147	0.8086428	0.83816063	0.7954039	0.73324966	0.76331514	0.7581362	0.8062078	0.8661353	0.82435834	0.8073299	0.8302329	0.8588458	0.8225641	0.9226115	0.7503873	0.8485433	0.6387515	0.89912695	0.82325107	0.858783	0.9167289	0.8410703	0.7946898	0.86640525	0.79561836	0.8186154	0.80195034	0.76599634	0.7718269	0.92294556	0.8703085	0.8388799	0.8318013	0.926546	0.8305898	0.9172172	0.81632155	0.82733846	0.77033424	0.92054844	0.80063283	0.9544664	0.81211585	0.886063	0.9426328	0.8952699	0.7026867	0.8185489	0.82703555	0.8019902	0.8568088	0.8835964	0.8462394	0.83693296	0.8151757	0.9029304	0.8083912	0.9060892	0.82421887	0.8327267	0.8523036	0.8617825	0.8696269	0.927727	0.85107696	0.88794667	0.8604106	0.84714794	0.92367244	0.82764035	0.9283118	0.8094723	0.892667	0.81747913	0.8640444	0.9393142	0.8417555	0.7797872	0.8523505	0.8263631	0.83625084	0.8937105	0.92381513
Dekker/name	0.93605715	0.9074098	0.8540222	0.82573533	0.8775644	0.8701725	0.94019866	0.9492928	0.9047481	0.88319224	0.9015861	0.0	0.8442389	0.7300457	0.8769588	0.90557295	0.89539593	0.86317277	0.9035585	0.66864014	0.93627536	0.85676867	0.9193244	0.9257898	0.92491907	0.8954583	0.89199644	0.8752292	0.92393875	0.8980192	0.89675003	0.8462292	0.7539584	0.8347328	0.93315387	0.9065734	0.80134773	0.7237042	0.90046024	0.7515495	0.89780307	0.7931104	0.91120887	0.9240041	0.9351755	0.92027843	0.89988637	0.9161277	0.9410029	0.8605353	0.9307758	0.8381447	0.90910345	0.85327315	0.8955082	0.8831933	0.8726224	0.93691546	0.9010035	0.8053274	0.8813362	0.8840106	0.82288617	0.8854096	0.9305586	0.93575966	0.82816404	0.92843866	0.8613126	0.7714913	0.7995277	0.90339005	0.6945692	0.76022667	0.7713952	0.82365906	0.9117432	0.8923981	0.78982735	0.8886872	0.6566293	0.89424604	0.91125757	0.7033168	0.9046542	0.8878537	0.86409795	0.8632287	0.76906025	0.8415966	0.93588483	0.8513148	0.8659941	0.90751135	0.9413887	0.88897324	0.8935002	0.94499856	0.89811134	0.9443406	0.735878	0.88184273	0.8887737	0.8784947	0.8902838	0.9028808	0.9077699	0.88492453	0.92396295	0.9343123	0.8619297	0.62584627	0.90155745	0.9055955	0.68062764	0.88972795	0.8719933	0.908917	0.8464581	0.89417857	0.9245925	0.780834
Bodson/name	0.9096858	0.87533975	0.83146715	0.8205186	0.8406632	0.8563756	0.8676598	0.8685329	0.9000344	0.85474235	0.8805583	0.8442389	0.0	0.8326188	0.781346	0.86381924	0.90231156	0.9028291	0.86304617	0.7912037	0.9048511	0.8095957	0.88078225	0.88251805	0.8803334	0.87602353	0.8747289	0.8591876	0.9379569	0.9126546	0.9142855	0.8925272	0.7893311	0.89284486	0.93640435	0.86833453	0.91339684	0.82427734	0.8450513	0.8216295	0.8748877	0.89029145	0.8363745	0.90212756	0.89324975	0.892976	0.9174062	0.92168635	0.90247095	0.8688802	0.88891006	0.8077665	0.9098679	0.8654605	0.8847002	0.82871664	0.9035192	0.91400445	0.90912956	0.88433874	0.8880637	0.79501176	0.82349384	0.9205554	0.9287745	0.8918344	0.78133357	0.9222808	0.9325721	0.7777911	0.8531559	0.86164594	0.79422736	0.85362893	0.80913115	0.8543953	0.892742	0.88473856	0.91055673	0.8502712	0.84213436	0.87536174	0.83956134	0.8079406	0.923236	0.8465471	0.8479005	0.8534533	0.7640456	0.8368772	0.88537866	0.8620612	0.8746968	0.87177074	0.8554115	0.87056774	0.9116062	0.89182556	0.8764694	0.9058257	0.8093709	0.88868237	0.9098831	0.8406628	0.8972221	0.9235611	0.86637855	0.90897095	0.87215626	0.913422	0.76963276	0.8182844	0.8504962	0.85737526	0.8276653	0.8868418	0.8795645	0.8891135	0.8164036	0.86259824	0.92124623	0.8689818
Faber/name	0.88263756	0.8843857	0.8176956	0.7942392	0.83342147	0.8744642	0.8580568	0.89809567	0.89386356	0.87581915	0.8262824	0.7300457	0.8326188	0.0	0.780303	0.8397844	0.89190227	0.8569727	0.83981174	0.7740181	0.8496593	0.864506	0.8676724	0.8774741	0.8701613	0.82830787	0.8608955	0.7442156	0.903219	0.8867307	0.8524314	0.8252121	0.77167654	0.8217143	0.9166072	0.8455806	0.8272184	0.77706856	0.80802	0.7083319	0.843882	0.87584656	0.8004948	0.8999113	0.9025356	0.9060256	0.880333	0.89782214	0.893944	0.87323576	0.89318204	0.8027484	0.91290474	0.79909325	0.84649944	0.78785634	0.87309986	0.8824188	0.89008987	0.889373	0.8915325	0.8196417	0.8257627	0.90086216	0.9014815	0.8775035	0.82258505	0.9155634	0.91360635	0.75828546	0.7345715	0.90583885	0.8235082	0.7205916	0.83846104	0.8621643	0.87050843	0.8746028	0.9294539	0.8548385	0.84896636	0.8556721	0.84219897	0.81477284	0.89429605	0.81753254	0.8481445	0.8632426	0.7306484	0.85685086	0.90108687	0.89083016	0.86464536	0.88046634	0.8919031	0.8804798	0.91406125	0.92098385	0.87638974	0.92192364	0.7387903	0.8469461	0.9380051	0.81716305	0.89271164	0.82810616	0.8870913	0.8788811	0.89327776	0.92556703	0.8205346	0.688441	0.8274803	0.90837055	0.73858166	0.8924063	0.8815738	0.90991044	0.82042444	0.83883274	0.9001602	0.86660814
dat/comp	0.8543856	0.833741	0.81224	0.85727024	0.67774755	0.75683755	0.76898	0.7364369	0.9158182	0.57147574	0.7169771	0.8769588	0.781346	0.780303	0.0	0.789189	0.83726704	0.90733916	0.7429011	0.9388947	0.8207006	0.7766433	0.80651784	0.7774311	0.79120266	0.8144076	0.6759411	0.7699452	0.9590089	0.8604413	0.8234058	0.84410745	0.8791477	0.9126612	0.9182348	0.8658741	0.9390879	0.95526004	0.7781279	0.7694858	0.80258256	0.8018705	0.75349694	0.7714015	0.7935169	0.6233367	0.86579144	0.887806	0.7734066	0.6626853	0.7740583	0.63335323	0.89633405	0.7087768	0.7824816	0.72916806	0.91667277	0.84761286	0.88634	0.91395694	0.7196481	0.5162264	0.85472727	0.7585551	0.8585224	0.8571877	0.71100205	0.87356323	0.89379793	0.81281793	0.83838385	0.843962	0.922278	0.78999585	0.86405605	0.5923001	0.8290972	0.800336	0.9195019	0.558824	0.94678485	0.71996766	0.82556933	0.9290086	0.9267328	0.70511365	0.700596	0.6718524	0.5849217	0.6322057	0.89666414	0.82824945	0.70855165	0.72393227	0.7845123	0.85860014	0.93224186	0.81211066	0.7675079	0.90203446	0.8113466	0.86314666	0.92197603	0.84624064	0.9059857	0.89147806	0.6166943	0.9258474	0.8166732	0.9311518	0.8106241	0.90751433	0.821529	0.7794837	0.9326993	0.8016422	0.87854576	0.8280278	0.5772412	0.8935367	0.89467305	0.91884214
teneur/noun	0.8633253	0.81209254	0.73729646	0.8885634	0.8448527	0.86982834	0.8415049	0.8019141	0.9005342	0.8219174	0.7011656	0.90557295	0.86381924	0.8397844	0.789189	0.0	0.8964323	0.91742784	0.8150089	0.91662645	0.85623777	0.91381896	0.8839814	0.73636377	0.78895766	0.7802412	0.8103776	0.8208812	0.917951	0.8214704	0.8431606	0.8612374	0.8921563	0.8487114	0.9183422	0.8637466	0.8818947	0.9192641	0.81157035	0.89687234	0.8631144	0.84501064	0.7904092	0.8161582	0.7536069	0.8540224	0.8864237	0.83880836	0.8516696	0.84192765	0.83641946	0.84908897	0.8808099	0.7466788	0.8725197	0.735227	0.90743506	0.86044735	0.87819135	0.91165984	0.86603284	0.8010557	0.88039154	0.8370776	0.8492466	0.8312917	0.8061662	0.78770393	0.9023404	0.8690059	0.791165	0.82757276	0.8949916	0.8501216	0.8961083	0.84366286	0.81548804	0.7865011	0.92215884	0.8201109	0.94509786	0.82756925	0.872816	0.90267277	0.8941197	0.7989119	0.84987193	0.83237064	0.81158495	0.8494177	0.8940701	0.8683271	0.8452539	0.8108183	0.87101907	0.790946	0.8962866	0.85260797	0.82812315	0.86383516	0.86592895	0.8149037	0.9314546	0.8780839	0.8826705	0.82073605	0.85169506	0.86782855	0.82719743	0.914132	0.8562592	0.89266866	0.9073858	0.8710566	0.929485	0.819443	0.82785344	0.8556394	0.8304283	0.85955584	0.8809707	0.9154193
strohalm/noun	0.88238025	0.8906622	0.90703785	0.9229708	0.8901803	0.8487897	0.89204997	0.87351245	0.93790364	0.86441743	0.8946381	0.89539593	0.90231156	0.89190227	0.83726704	0.8964323	0.0	0.9371344	0.85185796	0.92184234	0.9157996	0.92878073	0.8996266	0.86535287	0.8781139	0.9047584	0.8969345	0.90572786	0.92561233	0.89840126	0.8803712	0.8949126	0.87976813	0.90010864	0.9342532	0.87246823	0.90236896	0.9199717	0.9094848	0.9293324	0.8828039	0.8825827	0.8907461	0.8697746	0.90290785	0.89656633	0.9041882	0.90480894	0.91194975	0.87562984	0.8775409	0.8344537	0.89939	0.85738826	0.89419186	0.8896621	0.8690957	0.89852273	0.8834402	0.8470159	0.85494745	0.82722235	0.84209776	0.88516164	0.8810183	0.91278607	0.90304583	0.9098261	0.82338583	0.87908185	0.89537925	0.9070765	0.89763266	0.91781014	0.8918103	0.8576192	0.87205994	0.85890806	0.8121536	0.8930752	0.9159324	0.8504225	0.94389015	0.90096873	0.887363	0.87894654	0.89948976	0.87946707	0.8413085	0.82057995	0.90883905	0.87053025	0.89354753	0.85977316	0.8917076	0.9065679	0.9152653	0.8798531	0.89360005	0.91935366	0.9079361	0.8870589	0.9574042	0.8890236	0.88865936	0.91125405	0.894485	0.9229898	0.88980824	0.926694	0.9278426	0.9132776	0.9079815	0.8539522	0.9219588	0.890775	0.93805677	0.89119536	0.8161085	0.90472376	0.90463006	0.85843474
Priscilla/name	0.9354285	0.91351485	0.92431754	0.84049845	0.9193073	0.88929254	0.94634837	0.943315	0.95851815	0.88166916	0.9222347	0.86317277	0.9028291	0.8569727	0.90733916	0.91742784	0.9371344	0.0	0.89558315	0.85229754	0.9376702	0.9500812	0.8152004	0.9366838	0.9308886	0.92866075	0.8888644	0.9109108	0.91103363	0.8939398	0.87286234	0.8873376	0.8750811	0.87743586	0.9325804	0.9458806	0.8833712	0.88572323	0.8790363	0.9321536	0.9130295	0.93934286	0.9301622	0.9056743	0.9214697	0.9215132	0.8982661	0.9161249	0.9445296	0.85173726	0.9107938	0.8148145	0.9418698	0.92189395	0.9099059	0.9207314	0.90043545	0.9296466	0.88453466	0.92457414	0.8815024	0.88072115	0.88584626	0.8910166	0.9495475	0.9362554	0.9402548	0.9336548	0.94471115	0.9082017	0.87925243	0.9433501	0.87087435	0.82326305	0.90041035	0.8541837	0.9298585	0.892336	0.93341446	0.8857019	0.86580646	0.91065496	0.94349015	0.8804988	0.90951556	0.94824976	0.8648932	0.8844845	0.83404464	0.86609304	0.94850385	0.8844996	0.8883615	0.92313284	0.95626765	0.91634	0.9193473	0.9328716	0.9188486	0.9321067	0.8925858	0.8720919	0.94673806	0.9192067	0.920177	0.9025185	0.9136435	0.93735576	0.9466775	0.89488727	0.909456	0.86590296	0.9244048	0.9313799	0.8945365	0.91211194	0.92595184	0.9099812	0.8612324	0.92386734	0.9348447	0.90183055
tegelijk/adj	0.7508452	0.6666672	0.8534628	0.88968396	0.77237517	0.8033195	0.7811661	0.78365207	0.9160745	0.75682193	0.7896808	0.9035585	0.86304617	0.83981174	0.7429011	0.8150089	0.85185796	0.89558315	0.0	0.9272196	0.7962253	0.8831283	0.8318095	0.7541162	0.6641096	0.6771474	0.6589279	0.8342681	0.87859315	0.694767	0.7560518	0.8406331	0.92274696	0.8197087	0.85443	0.84538484	0.8842913	0.9735284	0.80880713	0.92851305	0.7594538	0.8948768	0.8232243	0.6848489	0.7634966	0.8042291	0.79558456	0.7214612	0.7798285	0.7130469	0.72990555	0.6660576	0.8902757	0.77869236	0.8387268	0.738353	0.8578198	0.8241278	0.7863901	0.8795559	0.7147178	0.7272558	0.7716845	0.6863797	0.8198207	0.7810013	0.8496158	0.65280527	0.9315579	0.86008036	0.798023	0.8383003	0.93936205	0.8792568	0.8985414	0.75874156	0.7289506	0.7339668	0.92534703	0.7467588	0.92881125	0.69834256	0.89984024	0.9163082	0.81259227	0.85733354	0.82286966	0.7666635	0.73629594	0.7233948	0.79931545	0.7310324	0.7660277	0.75224495	0.8162117	0.8294941	0.8817457	0.79938614	0.77927965	0.7903405	0.8713002	0.77697074	0.9077874	0.8586072	0.7883644	0.7603588	0.7847718	0.90675133	0.8001065	0.8869589	0.8512878	0.92345434	0.81511086	0.8467661	0.9693714	0.7318212	0.87030894	0.7300988	0.7115495	0.8998047	0.8111643	0.8710195
Christian/name	0.9562971	0.94621575	0.8764928	0.7050846	0.9606876	0.9589668	0.9565479	0.9633802	0.96388364	0.97625023	0.941095	0.66864014	0.7912037	0.7740181	0.9388947	0.91662645	0.92184234	0.85229754	0.9272196	0.0	0.9516576	0.9167827	0.92987466	0.9349289	0.9500358	0.9288137	0.9569864	0.88388246	0.8909888	0.9332623	0.8849049	0.87833476	0.6279239	0.76677173	0.9428581	0.90818274	0.75397575	0.5163491	0.8859723	0.7271648	0.90147126	0.86222446	0.90058213	0.9650223	0.9648394	0.98841304	0.9372315	0.9516103	0.98003113	0.96985906	0.95785123	0.93570995	0.9626462	0.90447813	0.8604577	0.88756657	0.8616619	0.9449533	0.90564287	0.8452973	0.9532513	0.95432067	0.87476635	0.9567748	0.9157797	0.96454334	0.87266576	0.9576535	0.89416146	0.8108691	0.72024554	0.95866084	0.45921105	0.8280825	0.6354226	0.96084243	0.9392478	0.9107758	0.84026015	0.9659487	0.5231396	0.95790166	0.91122633	0.5261212	0.9184297	0.9064742	0.93990904	0.9616165	0.8705247	0.9575204	0.9507652	0.9512278	0.95975274	0.9546599	0.97093725	0.9030042	0.96756256	0.95588815	0.9141335	0.9474417	0.7719108	0.8754333	0.9314869	0.91104054	0.93294024	0.90054846	0.97149867	0.9022422	0.94229764	0.9078746	0.7877286	0.5780095	0.9176565	0.93415844	0.48755264	0.9656075	0.9110636	0.9331127	0.9529594	0.806937	0.9238954	0.78913254
integratie/noun	0.65875214	0.81149036	0.9084796	0.9076803	0.7926824	0.9141084	0.8347602	0.81634146	0.93129647	0.8873069	0.8746233	0.93627536	0.9048511	0.8496593	0.8207006	0.85623777	0.9157996	0.9376702	0.7962253	0.9516576	0.0	0.9249228	0.83247775	0.7419094	0.79398596	0.80540115	0.8642059	0.92965287	0.9323367	0.90945166	0.87825644	0.9121835	0.9266511	0.8991072	0.9321168	0.72479594	0.91812354	0.9729415	0.87466896	0.9103367	0.86878836	0.9285365	0.8297123	0.88334846	0.86925256	0.8929491	0.93430775	0.92103976	0.68000317	0.8739592	0.789144	0.89050394	0.930537	0.8125518	0.7275841	0.8462688	0.89369726	0.75875574	0.8185147	0.87862575	0.86747265	0.80644137	0.9002712	0.8929956	0.81406236	0.5714414	0.8926576	0.86558264	0.92231697	0.90070176	0.8745903	0.86363477	0.95311147	0.9293414	0.9236705	0.9196644	0.7221228	0.86686844	0.91764873	0.79183644	0.9626017	0.7521166	0.88458586	0.942578	0.92453194	0.87597847	0.92546207	0.88690543	0.9011689	0.8612719	0.8075408	0.9363409	0.9092522	0.8299276	0.77632797	0.88976383	0.8915883	0.8337859	0.86009216	0.91473085	0.9040727	0.88580066	0.926928	0.9532043	0.89009243	0.9063854	0.8724729	0.9281242	0.792438	0.95428294	0.86374545	0.935313	0.8475156	0.82908565	0.9696175	0.87144566	0.9232936	0.8462957	0.79900354	0.93360585	0.811266	0.8729667
Koffrie/name	0.9131728	0.9048226	0.8735082	0.9244455	0.8196482	0.8582525	0.91675407	0.89748937	0.8864733	0.86997247	0.86913633	0.85676867	0.8095957	0.864506	0.7766433	0.91381896	0.92878073	0.9500812	0.8831283	0.9167827	0.9249228	0.0	0.93741083	0.8857779	0.8827575	0.871608	0.8625179	0.9060669	0.9738023	0.93397754	0.924437	0.89004177	0.89963055	0.94864374	0.93413675	0.9052227	0.9264305	0.94832397	0.9090471	0.83466303	0.8876503	0.89172155	0.9196539	0.8871332	0.92085457	0.89471453	0.90662706	0.93743837	0.90120184	0.8881739	0.9312099	0.852086	0.9122821	0.88315123	0.8843529	0.8867266	0.924715	0.93147194	0.94576174	0.9049265	0.9044469	0.8413814	0.87147945	0.92465675	0.93397593	0.9115671	0.66981256	0.93266875	0.93741935	0.83921826	0.91934824	0.77502525	0.9215579	0.9216001	0.8890819	0.8712472	0.89779663	0.8949969	0.92944056	0.84768134	0.94107133	0.8687891	0.8602499	0.92343795	0.94949913	0.8548274	0.8805281	0.89051765	0.79237586	0.85626817	0.86218286	0.9094692	0.90369487	0.8648244	0.8626971	0.86431724	0.9432287	0.8997299	0.86894643	0.94362116	0.7718116	0.91017556	0.7709266	0.8768885	0.92973185	0.92419446	0.8896985	0.9181745	0.87479514	0.95815223	0.89995086	0.8797229	0.90946937	0.8783315	0.92542565	0.8503926	0.77892506	0.87808025	0.864219	0.9319797	0.9574446	0.9196168
ouder/noun	0.83116955	0.8531867	0.8935611	0.84022677	0.9193694	0.87718236	0.85564184	0.8645501	0.94558746	0.8259715	0.8379705	0.9193244	0.88078225	0.8676724	0.80651784	0.8839814	0.8996266	0.8152004	0.8318095	0.92987466	0.83247775	0.93741083	0.0	0.8886432	0.8467019	0.8353582	0.84429926	0.82308066	0.85500944	0.8662733	0.79388285	0.8945399	0.9043687	0.8297665	0.8930592	0.92402524	0.93629944	0.97221124	0.6833009	0.957474	0.856411	0.93413126	0.8554844	0.8270448	0.82526624	0.89382464	0.8432721	0.8861763	0.87851506	0.7248286	0.87051713	0.5933225	0.9534937	0.8838501	0.84955895	0.876163	0.8918688	0.9085221	0.6416507	0.9449779	0.84488475	0.74255323	0.9047861	0.7760408	0.8975211	0.8644334	0.9012336	0.8841938	0.9511934	0.899084	0.8250811	0.92193824	0.9214546	0.76337314	0.8996903	0.71395457	0.8856634	0.8857078	0.9677117	0.8477414	0.9478565	0.7798761	0.9154345	0.9258007	0.92084354	0.8508905	0.7333917	0.7534883	0.7039716	0.75009775	0.9071024	0.8493625	0.7595726	0.83927363	0.89274555	0.92416275	0.8768395	0.8846564	0.8758867	0.8972532	0.91932434	0.8847345	0.97541046	0.90014076	0.8531247	0.8873077	0.8427495	0.94272757	0.90137523	0.8654537	0.878723	0.9090142	0.8380569	0.9015903	0.97295594	0.8699898	0.9395642	0.8446156	0.69622064	0.92386496	0.8875196	0.8953999
tendens/noun	0.76220644	0.80453855	0.84187496	0.8967923	0.81397635	0.8286517	0.7635051	0.7180924	0.8952712	0.830418	0.75273484	0.9257898	0.88251805	0.8774741	0.7774311	0.73636377	0.86535287	0.9366838	0.7541162	0.9349289	0.7419094	0.8857779	0.8886432	0.0	0.74257493	0.7969001	0.82352054	0.90280205	0.90050256	0.83888674	0.8190979	0.88126326	0.9150257	0.8796177	0.9053217	0.8019979	0.8935659	0.95973754	0.8652398	0.91324127	0.809844	0.83849525	0.8086486	0.812788	0.79996145	0.84998655	0.88135076	0.8527852	0.684152	0.85024416	0.7595275	0.83813894	0.9068614	0.7682977	0.85532665	0.7689602	0.8566677	0.80883974	0.8368065	0.8706769	0.8455554	0.74329793	0.8246208	0.85600877	0.77941364	0.593011	0.7823947	0.77331394	0.92419946	0.8832501	0.8327982	0.76953024	0.93067867	0.9118438	0.90922785	0.8739977	0.7470528	0.7855186	0.9234175	0.8046572	0.9429071	0.6951138	0.9205967	0.92295724	0.89452124	0.79181767	0.87207663	0.864798	0.8369248	0.81148165	0.7540686	0.8630565	0.87344635	0.7904374	0.8482711	0.8226999	0.8617201	0.744564	0.8015849	0.85435057	0.8862208	0.85880405	0.84766555	0.8865126	0.83376765	0.88599	0.85121787	0.9208319	0.70642376	0.90385073	0.82932156	0.9362216	0.8644295	0.8198686	0.9618479	0.79745656	0.81266236	0.78104556	0.79199684	0.89672405	0.8057917	0.8770753
zeer/adv	0.76273763	0.3717742	0.83032244	0.9209065	0.79705065	0.81837	0.7611855	0.7836495	0.9289116	0.7186395	0.7273748	0.92491907	0.8803334	0.8701613	0.79120266	0.78895766	0.8781139	0.9308886	0.6641096	0.9500358	0.79398596	0.8827575	0.8467019	0.74257493	0.0	0.42586493	0.55222774	0.90338427	0.9117035	0.767132	0.8486981	0.90835536	0.9004425	0.8531971	0.9050028	0.87740767	0.8383058	0.9900276	0.84562624	0.9698997	0.82905644	0.85909665	0.8497133	0.30323905	0.79675114	0.7133498	0.8708099	0.76794547	0.7440124	0.78402126	0.78107965	0.79727364	0.91453856	0.7365185	0.8433398	0.71572745	0.845736	0.8348928	0.8578522	0.88155454	0.7330017	0.73360205	0.8734476	0.59986484	0.778735	0.72446287	0.7926378	0.71728706	0.8703613	0.85321903	0.81528443	0.8295666	0.96420366	0.90369815	0.9088901	0.8059474	0.70224047	0.71959126	0.8743598	0.76089525	0.94742286	0.58922684	0.91784316	0.9371946	0.8505691	0.81055844	0.8389191	0.8083333	0.81627876	0.7744858	0.8047347	0.7833665	0.8135204	0.62490267	0.82975924	0.81456256	0.9109188	0.81379026	0.7436818	0.81808037	0.894881	0.8705263	0.89310014	0.93434364	0.821127	0.79862756	0.8435249	0.9203665	0.7392049	0.9051363	0.88175124	0.9518641	0.86229223	0.8696959	0.98034024	0.65355134	0.8335694	0.57897913	0.7497988	0.9261679	0.81406415	0.8353629
buitengewoon/adj	0.814464	0.32041436	0.8370312	0.9097439	0.7601874	0.8708036	0.79404485	0.8257598	0.8977424	0.75974476	0.77803475	0.8954583	0.87602353	0.82830787	0.8144076	0.7802412	0.9047584	0.92866075	0.6771474	0.9288137	0.80540115	0.871608	0.8353582	0.7969001	0.42586493	0.0	0.6523751	0.85639393	0.911505	0.7723756	0.86047214	0.86271036	0.90458745	0.8442273	0.89218056	0.8467283	0.8253055	0.96870214	0.8550776	0.9224328	0.83636606	0.86816925	0.83578557	0.5100887	0.81656533	0.74937725	0.8842766	0.8260775	0.8134088	0.8214097	0.7989274	0.8281846	0.912734	0.7425705	0.8793111	0.6932253	0.8524275	0.8496027	0.8339635	0.8787127	0.74723333	0.8143322	0.86857677	0.6082342	0.81288403	0.7440518	0.8036516	0.7555421	0.8807713	0.8705472	0.80007887	0.80868465	0.94574004	0.8476617	0.9181892	0.83077	0.7278975	0.696473	0.89876366	0.754411	0.93587506	0.7177422	0.8716888	0.9269299	0.8740992	0.81183255	0.8382957	0.81404465	0.81592506	0.8398839	0.8668591	0.81398094	0.8312477	0.70599526	0.8659644	0.8272369	0.9071835	0.82387763	0.7600824	0.8567265	0.8764802	0.82861376	0.8266636	0.89000046	0.83152217	0.7710936	0.8495009	0.8802806	0.7988022	0.92154807	0.87254757	0.90697527	0.8693752	0.8889856	0.9674323	0.73311853	0.8432653	0.6809943	0.8119816	0.91427743	0.7834815	0.8691209
zo/adv	0.88306904	0.6407872	0.8658817	0.9267519	0.80075455	0.7352263	0.8298795	0.85996324	0.9369511	0.6231289	0.7880238	0.89199644	0.8747289	0.8608955	0.6759411	0.8103776	0.8969345	0.8888644	0.6589279	0.9569864	0.8642059	0.8625179	0.84429926	0.82352054	0.55222774	0.6523751	0.0	0.90214455	0.89797175	0.75079703	0.8252591	0.89576316	0.9232467	0.86108714	0.88301104	0.942927	0.8993875	0.97619456	0.85866916	0.9314915	0.8328118	0.89104575	0.8953182	0.45731336	0.7646001	0.6235383	0.8574926	0.7784847	0.82959557	0.6692194	0.74846065	0.61873907	0.9136547	0.76012933	0.8746501	0.7521042	0.86549765	0.90356827	0.8824298	0.9002144	0.6307677	0.6762558	0.86336076	0.5153136	0.84332	0.8557891	0.8533446	0.7459096	0.9046409	0.8494766	0.8501052	0.88331425	0.9539765	0.8193354	0.90794134	0.5853977	0.78085506	0.7518838	0.8971208	0.5848807	0.9425362	0.65648675	0.88918036	0.9494945	0.8486802	0.83653677	0.71922004	0.66228247	0.68370986	0.6428925	0.88449633	0.63112605	0.6546514	0.74281764	0.8333938	0.8621841	0.8936771	0.8759292	0.72061193	0.85564584	0.8888256	0.8449699	0.93539864	0.889795	0.8678593	0.81383556	0.67415226	0.9220148	0.86755675	0.906296	0.9066219	0.939001	0.90444446	0.87401485	0.9708794	0.6151259	0.8806542	0.70483375	0.6511334	0.9105488	0.8657415	0.9083607
