	troost/noun	loot/noun	droom/noun	belangstellende/noun	geld/noun	bevrediging/noun	reëel/adj	blijk/verb	loop_mis/verb	stang/noun	in/verb	geef/verb	druk_uit/verb	vrede_regeling/noun	alles/noun	telefoon_gesprek/noun	leef_op/verb	injecteer/verb	stel/verb	pelgrim/noun	genezing/noun	lijk/verb	verlossing/noun	heb_op/verb	gelul/verb	onzin/noun	uit_weg/noun	vod/noun	leer/verb	Belgisch/adj	toepassing/noun	ontleen/verb	veel/det	staal/noun	al/adv	horizon/noun	nieuw/adj	vaag/adj	scheel/verb	ons/det	incasseringsvermogen/noun	plaats_DIM/noun	slordig/adj	verlies/verb	schenk/verb	die/det	puin/noun	nauwelijks/det	veeg/verb	redding/noun	goed/adj	vrede/noun	wanhoop/noun	krijg/verb	tijd/noun	en/vg	breng/verb	liefde/noun	groot/adj	kabaal/noun	ding/noun	oppositie/noun	geef_op/verb	schep/verb	boodschap/noun	rommel/noun	geen/det	enig/det	gooi/verb	laat/adj	mijn/det	verandering/noun	in/prep	kind_DIM/noun	wat/det	Francesco/name	één/num	terug_match/noun	einde/noun	weinig/det	verbetering/noun	overleving/noun	overlast/noun	spreek_uit/verb	wek_op/verb	rente/noun	vestig/verb	weer/adv	hele/adj	daarmee/pp	groei/verb	rechtvaardig/verb	sprankje/noun	doe/verb	vreugde/noun	zegen/noun	geef_uit/verb	ijdel/adj	koop/verb	vrees/noun	rust/noun	waarheid/noun	ben/verb	sterk/verb	materiaal/noun	pril/adj	rotzooi/noun	schiet_af/verb	stil/adj	bied/verb	genees_middel/noun	lig/verb	heel/adj	vooral/adv	conflict/noun	sterf/verb	geduld/noun	koester/verb	heb/verb	bel_af/verb	poen/noun	laat/verb	op/prep	ontneem/verb	beterschap/noun	mens/noun	licht_DIM/noun	verwachting/noun	Al/det	verdriet/noun	flauw/adj	leven_DIM/noun	haar/det	ballast/noun	enig/adj	werk/noun	alle/det	voor/prep	afloop/noun	blijf/verb	herstructurering/noun	zonder/prep	de/det	ervaring/noun	gelijkmaker/noun	hulpverlener/noun	kennis/noun	geloof/noun	hun/det	vals/adj	vurig/adj	weinig/adj	toekomst/noun	tussen/prep	dag/noun	zie_tegemoet/verb	rijs/verb	teken/noun	verg/verb	zijn/det	renner/noun	bevat/verb	rumoer/noun	solidariteit/noun	benzine/noun	druk_in/verb	beetje/noun	staar/verb	een/det	gloor/verb	veel/adj	put/verb	herstel/noun	gezeur/noun	vertrouwen/noun	koers_stijging/noun	zet/verb	geluk/noun	meer/det	waai_over/verb	besta/verb	inspireer/adj	ondanks/prep	ellende/noun
troost/noun	0.0	0.92326146	0.7735592	0.8641853	0.8564503	0.7364072	0.8259808	0.8488422	0.8910363	0.8930477	0.8249924	0.8473075	0.7515632	0.9274411	0.86513567	0.86721766	0.86221886	0.87650937	0.90913606	0.83563256	0.7617041	0.7934946	0.70979846	0.75497216	0.8428637	0.8021078	0.73338634	0.88039273	0.8291553	0.90204734	0.8973072	0.7446092	0.7640871	0.89602673	0.9076002	0.8487029	0.8832442	0.77542764	0.83847725	0.80179757	0.87892693	0.880651	0.8722172	0.85023195	0.756009	0.78314626	0.8744682	0.8161063	0.8595654	0.8062904	0.85066766	0.8246715	0.6794543	0.8688947	0.8685409	0.717883	0.8704314	0.5865807	0.8491472	0.8608715	0.8266008	0.90228003	0.8377117	0.8140867	0.82051265	0.8532509	0.81171554	0.781584	0.8765421	0.90064996	0.75101846	0.8629832	0.8879509	0.7879376	0.78857994	0.89876866	0.8457161	0.9150461	0.90377104	0.7840574	0.8959325	0.86302197	0.8864238	0.85255843	0.7588889	0.9210085	0.91697913	0.859355	0.86305714	0.86551166	0.8626582	0.8197072	0.77000463	0.86821043	0.68022704	0.8011001	0.89591545	0.75787455	0.8790361	0.82982653	0.87856823	0.71947396	0.79423565	0.803866	0.87049264	0.77306527	0.8315971	0.87778914	0.8119597	0.8264485	0.8963918	0.905624	0.85935	0.83185476	0.887586	0.7905704	0.7890904	0.7026789	0.81273186	0.8885457	0.8431377	0.8640815	0.9292424	0.80533475	0.81447494	0.8007453	0.8636451	0.88129455	0.8087099	0.6492119	0.7854727	0.84306014	0.72446597	0.8262842	0.8331839	0.8640995	0.8473209	0.8245614	0.80424726	0.8653523	0.92426217	0.7951273	0.84092355	0.8213723	0.8956466	0.8450534	0.78255665	0.71987045	0.76007867	0.8588201	0.7628326	0.8117245	0.8661701	0.8614596	0.9122335	0.84996665	0.8557851	0.7970275	0.8663589	0.7677092	0.8862406	0.81999433	0.85227525	0.7797773	0.8964348	0.8742541	0.76069784	0.80532396	0.79011565	0.82264924	0.7930888	0.7205204	0.8871008	0.8325624	0.80030775	0.8986056	0.9106424	0.6852621	0.8342999	0.8799079	0.8180526	0.75164306	0.8219541	0.75551254
loot/noun	0.92326146	0.0	0.9351615	0.7073909	0.8077722	0.91070616	0.89304376	0.8794575	0.83995414	0.89141035	0.8607861	0.90934706	0.9182725	0.9177326	0.8794113	0.8639187	0.9150834	0.8440163	0.9062464	0.832978	0.88235366	0.90166086	0.908836	0.8917326	0.940363	0.91423774	0.87454313	0.9028521	0.93062246	0.86380076	0.8498455	0.8815874	0.8608733	0.7891081	0.8052182	0.9001611	0.8452172	0.90181917	0.8604309	0.90523386	0.9329732	0.88701713	0.7626004	0.8912775	0.79490674	0.8596753	0.8811321	0.8114689	0.89846486	0.8992998	0.9270878	0.9348535	0.92147774	0.85150814	0.8791102	0.81033945	0.92640316	0.93129134	0.887433	0.908403	0.8805228	0.9123579	0.91683435	0.8999212	0.9070426	0.8414158	0.88689166	0.9102283	0.92604196	0.87927926	0.9345774	0.92365634	0.88171893	0.8879199	0.8491299	0.90941143	0.82566255	0.9195063	0.921493	0.88794994	0.8926735	0.9151975	0.87545276	0.9230441	0.86502326	0.85133916	0.8871826	0.8957714	0.9098441	0.86366475	0.83557945	0.8895325	0.93529284	0.91411114	0.9211672	0.8893754	0.74130976	0.9095509	0.7508019	0.8974527	0.93656874	0.9122687	0.8609078	0.90013796	0.7920979	0.9090475	0.8696821	0.8238514	0.9128161	0.8445219	0.7844486	0.8774719	0.8991395	0.8766603	0.92917925	0.8538896	0.9045861	0.8975636	0.8688646	0.8971777	0.8938453	0.89864993	0.8887975	0.89407784	0.9082384	0.758311	0.8477042	0.8787489	0.87991804	0.93487394	0.90302753	0.916564	0.9137464	0.89386666	0.9137194	0.8700594	0.8267645	0.8125419	0.9303945	0.90211034	0.85711926	0.9057093	0.8482731	0.90657973	0.9267663	0.85642	0.89308363	0.92545533	0.8699566	0.8309182	0.9082448	0.89096886	0.91393554	0.83617556	0.7725146	0.8503965	0.8876455	0.92498565	0.82826734	0.9087537	0.7820517	0.77982223	0.89903516	0.915749	0.7885688	0.8766086	0.923016	0.90380335	0.8117466	0.89420706	0.8741398	0.8767676	0.91839665	0.9196908	0.926613	0.8443658	0.92828035	0.9267081	0.7637919	0.9021104	0.8286252	0.9015782	0.9056458	0.9095638
droom/noun	0.7735592	0.9351615	0.0	0.9259859	0.91777486	0.8112985	0.8448561	0.88741887	0.8872295	0.9083952	0.8733994	0.91110855	0.81982565	0.9094039	0.8260602	0.89444095	0.8722823	0.9013104	0.926097	0.86034894	0.84728336	0.77842355	0.8043439	0.8782847	0.84557366	0.8459482	0.83844066	0.8672426	0.8466528	0.90436095	0.9276869	0.82836187	0.8642466	0.92292094	0.8941635	0.81744915	0.9195929	0.79763556	0.9182304	0.8195175	0.86993384	0.87306535	0.9158102	0.8849116	0.864663	0.76323843	0.88770735	0.8749941	0.8750778	0.8405366	0.86023474	0.82428336	0.74945265	0.92692566	0.8564438	0.80800396	0.89933807	0.6334846	0.8768464	0.84261733	0.7727633	0.92001873	0.8328674	0.81810147	0.8673804	0.87382764	0.866195	0.8744634	0.89361244	0.9058764	0.75283074	0.9023686	0.8942604	0.8146796	0.86134696	0.9090941	0.8909057	0.9273681	0.90300506	0.8667846	0.9428257	0.8802459	0.93781185	0.89493114	0.8095273	0.9488561	0.9204089	0.82509774	0.91040945	0.8698719	0.89213246	0.87351817	0.8368519	0.87634856	0.76845354	0.85614455	0.94744754	0.7521043	0.9273716	0.8298116	0.9105347	0.753358	0.8092146	0.83939576	0.9112489	0.79555947	0.8392533	0.8993131	0.8252431	0.9129495	0.9521425	0.8880489	0.8495736	0.8707013	0.898242	0.82398087	0.8523166	0.60651577	0.8577589	0.9164735	0.85305333	0.87564826	0.9212157	0.7983425	0.882848	0.8399386	0.84712327	0.81504697	0.8089104	0.7430053	0.8510512	0.785195	0.7838564	0.8475847	0.8366575	0.8766175	0.8922619	0.87654674	0.8912682	0.81959534	0.9335679	0.8626987	0.87388074	0.8074892	0.91885144	0.9173053	0.8721037	0.7369094	0.8006704	0.87609583	0.78116417	0.8483421	0.8436521	0.8725617	0.8956308	0.89748347	0.90879494	0.8569166	0.91926765	0.7957777	0.8886971	0.8963804	0.8806114	0.836121	0.94624215	0.88026094	0.79697716	0.8293893	0.8211869	0.8236299	0.83370334	0.8363561	0.9078112	0.84396404	0.8741231	0.9154072	0.92575806	0.7646089	0.91628236	0.89823294	0.8601773	0.7988157	0.8776956	0.8036284
belangstellende/noun	0.8641853	0.7073909	0.9259859	0.0	0.8346065	0.89661884	0.8844369	0.866465	0.81848526	0.87333	0.8323331	0.8430094	0.89392155	0.9165569	0.88150704	0.79363847	0.87533134	0.87420744	0.8732013	0.66700417	0.8574591	0.90710163	0.8802998	0.8434577	0.90966684	0.88836473	0.8456819	0.8957665	0.88646644	0.8358299	0.8614854	0.8569101	0.8436226	0.8119271	0.77771467	0.8434554	0.829984	0.86373913	0.8175932	0.843015	0.91387063	0.828652	0.766728	0.8807467	0.7868229	0.83456594	0.80682725	0.76780605	0.8642765	0.8780962	0.88576275	0.933879	0.859457	0.7834571	0.8856224	0.75781554	0.8734193	0.9135004	0.8513908	0.81277287	0.8708627	0.8769136	0.8820637	0.8778352	0.8494165	0.8141256	0.8823743	0.8461363	0.8684773	0.8648958	0.88397616	0.8812665	0.812832	0.8388047	0.81486845	0.8914524	0.817843	0.8512223	0.90712285	0.8564644	0.8721354	0.8973181	0.8344152	0.87116253	0.8315611	0.8569316	0.83532536	0.830036	0.87117183	0.84780777	0.8380677	0.8829812	0.9156996	0.9101356	0.87390786	0.8487848	0.7458549	0.87298405	0.79788196	0.87384444	0.91480386	0.9131607	0.86064065	0.8770029	0.81064606	0.85854906	0.8245579	0.8033278	0.8331927	0.7622597	0.83573306	0.8520136	0.83671784	0.84683824	0.9122315	0.8160697	0.853084	0.87933373	0.82286143	0.80776376	0.8683054	0.8624639	0.758466	0.87479025	0.86218965	0.6329602	0.7581998	0.8606056	0.80051714	0.8801421	0.89287716	0.8927404	0.86605775	0.8706932	0.895572	0.82234824	0.74995756	0.7641739	0.8531936	0.8799696	0.84471536	0.866009	0.78488904	0.86015624	0.90677017	0.72974944	0.8257969	0.9050923	0.7953122	0.82869285	0.8518559	0.8609523	0.91588306	0.80158764	0.7199724	0.82398134	0.8510077	0.89420724	0.78981155	0.8625898	0.7688154	0.7613604	0.7924252	0.89152956	0.83389854	0.85228014	0.905758	0.8356889	0.756099	0.86494356	0.85391366	0.83600533	0.8890366	0.8699339	0.8919207	0.8342851	0.8850431	0.9098122	0.7257609	0.88427687	0.82360184	0.83651924	0.86052495	0.8694622
geld/noun	0.8564503	0.8077722	0.91777486	0.8346065	0.0	0.819941	0.8773156	0.8639537	0.8177277	0.8862586	0.82218254	0.8525782	0.89537776	0.91807723	0.8222775	0.8783108	0.9201108	0.8439761	0.87376523	0.86843777	0.8664137	0.89807105	0.9098684	0.8263547	0.8927318	0.8598162	0.84779036	0.87234175	0.88296	0.88053226	0.87329227	0.8754029	0.7059964	0.83109397	0.8677254	0.901179	0.8554977	0.89080626	0.7973661	0.8518796	0.8869769	0.8654081	0.811863	0.92055446	0.7967904	0.79608166	0.84344447	0.7785469	0.8982184	0.8979299	0.8527697	0.88785017	0.89599407	0.8047972	0.7212306	0.80453956	0.92525154	0.8697415	0.8548888	0.8320493	0.8341185	0.9113386	0.8670087	0.8562241	0.8370358	0.7523383	0.80505365	0.87452275	0.84554005	0.9294906	0.8584337	0.8889257	0.89943236	0.8690639	0.7391852	0.9673799	0.8719109	0.93439984	0.94026047	0.74457264	0.80625933	0.8889092	0.84235716	0.93717265	0.83024204	0.7614051	0.9135074	0.84092784	0.85703933	0.78857154	0.8949055	0.88436455	0.9111503	0.8433238	0.87787926	0.86615455	0.6516087	0.87699527	0.71639526	0.87565327	0.9191301	0.90084827	0.8344736	0.9148621	0.6782296	0.9365561	0.7697396	0.89397246	0.9328699	0.80047214	0.769605	0.8997701	0.8908035	0.845969	0.92238563	0.92681086	0.7610072	0.89317155	0.7778379	0.8977053	0.69299066	0.87745523	0.91611403	0.84851646	0.87843573	0.78799474	0.8919536	0.8968426	0.8728079	0.85200024	0.8815565	0.8640667	0.8611649	0.79090565	0.8941311	0.8204307	0.8413223	0.7411077	0.9306287	0.89588535	0.84868455	0.8461762	0.8534121	0.81661046	0.91142386	0.8322316	0.7826637	0.8838747	0.73928344	0.7883843	0.9096779	0.79789233	0.8794446	0.928744	0.91638863	0.87734586	0.88745856	0.9126799	0.79548264	0.8653904	0.8980546	0.8395239	0.8502901	0.8569479	0.73219013	0.8798728	0.88847554	0.9183905	0.82508564	0.9017164	0.7640595	0.8506092	0.8830076	0.8146989	0.7740755	0.8771485	0.89922315	0.8331029	0.6821251	0.918607	0.8526312	0.90015876	0.91941303	0.79860055
bevrediging/noun	0.7364072	0.91070616	0.8112985	0.89661884	0.819941	0.0	0.8364353	0.8552334	0.89817894	0.9089257	0.8908225	0.8406592	0.78303075	0.87348765	0.8361999	0.88046736	0.87118125	0.86416566	0.8759149	0.86557716	0.7810073	0.84701014	0.7641367	0.8307992	0.8639962	0.8435839	0.79486334	0.9147454	0.8391584	0.9328862	0.8405253	0.80231416	0.7760216	0.8986934	0.9053292	0.8552221	0.887606	0.788432	0.86868966	0.8047006	0.87239105	0.93612766	0.91119564	0.92569834	0.8659488	0.804598	0.8998105	0.8278698	0.9230447	0.862217	0.8234319	0.8381478	0.76801264	0.8793466	0.84861565	0.80519605	0.9097312	0.7158835	0.8597437	0.8562723	0.79509616	0.92051905	0.87121737	0.7932747	0.81485677	0.83524543	0.8229374	0.7899718	0.9165361	0.9286866	0.8220184	0.8100861	0.91885346	0.8885136	0.84147984	0.9474509	0.89312613	0.940154	0.92602813	0.78371406	0.822586	0.8273516	0.87717056	0.88350445	0.76411235	0.89834857	0.9375821	0.87211484	0.8951678	0.86920357	0.8707137	0.8194679	0.8693914	0.8428046	0.76829034	0.8892573	0.881857	0.8205547	0.913502	0.87479943	0.8955855	0.8105395	0.79835045	0.85796493	0.8428278	0.86401236	0.80823976	0.87958074	0.88782406	0.8183424	0.8622267	0.9226577	0.8928253	0.8040117	0.86426735	0.9027898	0.8116889	0.77794236	0.80011773	0.92123055	0.8498887	0.85919344	0.9222652	0.8542431	0.8437364	0.77369875	0.8907721	0.8888071	0.84771574	0.75547814	0.8513399	0.84658396	0.8319901	0.82409924	0.8794429	0.82886386	0.8423454	0.83771634	0.90958023	0.8664023	0.9129938	0.8393907	0.88501173	0.77634054	0.9125535	0.8370724	0.77245414	0.7568866	0.775249	0.8926634	0.83129543	0.8168435	0.8544126	0.8886082	0.92213464	0.8916381	0.87377703	0.8172363	0.81696236	0.8368733	0.9035174	0.854116	0.84671474	0.7828792	0.8769628	0.8670039	0.825326	0.88671756	0.83715916	0.8920386	0.7886304	0.8256066	0.85054904	0.8191824	0.80476785	0.892385	0.93609065	0.76364917	0.8163604	0.89797413	0.81808424	0.8058174	0.86140126	0.7617021
reëel/adj	0.8259808	0.89304376	0.8448561	0.8844369	0.8773156	0.8364353	0.0	0.80409944	0.8146974	0.8984928	0.8492119	0.83155876	0.81331706	0.8499392	0.8940662	0.8855272	0.8348211	0.8605927	0.86819893	0.87917435	0.7995751	0.7474965	0.81327206	0.8462564	0.8685993	0.86476254	0.7442181	0.92567664	0.8982201	0.8996744	0.80893946	0.802222	0.79723066	0.86152923	0.8964906	0.82508314	0.8325861	0.72701025	0.8583233	0.7622175	0.88525957	0.8998581	0.8432027	0.86666584	0.9086987	0.6864151	0.92838025	0.71936035	0.88723683	0.841385	0.79862505	0.77322865	0.83872926	0.83407605	0.8930615	0.81798357	0.8804475	0.85281485	0.7286633	0.8807984	0.8802996	0.8473431	0.8701093	0.70608675	0.875617	0.9029457	0.69971454	0.7075286	0.9446587	0.91323	0.8831094	0.7626244	0.8842165	0.9209322	0.84539086	0.9477032	0.87069094	0.9143495	0.9027728	0.72320706	0.7182423	0.82305753	0.81961447	0.8363836	0.8008138	0.67533326	0.92227525	0.86727816	0.8663483	0.704234	0.75044334	0.6593721	0.85317016	0.89744425	0.8638075	0.83876526	0.86722654	0.82212645	0.9122829	0.6743846	0.89096034	0.82628155	0.77733797	0.816863	0.8614851	0.8203277	0.8985931	0.86931115	0.8978834	0.7150846	0.79344267	0.84069383	0.8805305	0.77005994	0.7847425	0.9224738	0.8731612	0.7868639	0.8065775	0.9255023	0.90882164	0.892116	0.85285634	0.7585528	0.82184243	0.85048723	0.88237107	0.73204803	0.8287732	0.8668804	0.8674872	0.90210485	0.88840353	0.8833452	0.77298707	0.86462176	0.7793826	0.7338135	0.9078125	0.7858046	0.7991205	0.77605563	0.74015	0.85109544	0.9131911	0.8344843	0.79591626	0.78495276	0.78498274	0.8753377	0.8441983	0.73776054	0.787338	0.8437618	0.93555856	0.7805613	0.8050362	0.7653286	0.79380393	0.87479126	0.9184411	0.8658385	0.8589741	0.7687926	0.8534743	0.81691647	0.8878446	0.91427404	0.7584517	0.80720514	0.78146446	0.85340875	0.7088668	0.86270285	0.8124949	0.7893934	0.93908626	0.87267387	0.73863435	0.85754186	0.7120991	0.80791754	0.71549934	0.82418036
blijk/verb	0.8488422	0.8794575	0.88741887	0.866465	0.8639537	0.8552334	0.80409944	0.0	0.8227382	0.89967906	0.88219106	0.83177876	0.8355217	0.9153726	0.8458228	0.78857905	0.841846	0.83013415	0.8303859	0.9003032	0.8122677	0.63956916	0.8737401	0.825827	0.88508594	0.8487432	0.8235725	0.9182799	0.78559196	0.9208852	0.7904707	0.82363117	0.7901013	0.84466237	0.8175213	0.8905814	0.89553607	0.79446644	0.84679466	0.8550632	0.88202715	0.9366307	0.84977263	0.84932625	0.9018653	0.7542012	0.9110595	0.8113415	0.8765339	0.8524157	0.8368414	0.9105078	0.8680493	0.82114893	0.88618946	0.8564217	0.88504624	0.88626856	0.8481799	0.8631349	0.84241927	0.8916245	0.83968383	0.8438047	0.86260355	0.8673719	0.7758641	0.8233362	0.90509695	0.85634613	0.87359536	0.8394468	0.8826416	0.88855237	0.8499536	0.9485197	0.8714212	0.9058301	0.9094456	0.7881562	0.8654635	0.8686147	0.8387585	0.8328873	0.80340606	0.8633951	0.9202753	0.8402458	0.84845704	0.88105977	0.80738527	0.76785	0.8916306	0.8098041	0.8706776	0.86119837	0.8633505	0.81201047	0.90612954	0.81724966	0.9151122	0.8290261	0.61491054	0.8038569	0.77824795	0.8378824	0.87016153	0.8506519	0.8670001	0.8204859	0.7926929	0.8631192	0.8739998	0.8220568	0.8852405	0.8566782	0.8810921	0.845979	0.7749794	0.88145405	0.89984035	0.8510364	0.9146797	0.83869433	0.8543087	0.83520925	0.892132	0.8340939	0.8691406	0.8913968	0.83694255	0.88675785	0.86692	0.85926545	0.83798826	0.87051827	0.8054044	0.83851385	0.8748783	0.82682633	0.8790331	0.82886654	0.8223572	0.8364057	0.9010089	0.8106313	0.8069906	0.8770778	0.8396367	0.8105321	0.8662989	0.7866493	0.89974093	0.9007515	0.9016979	0.82859015	0.7593936	0.83769786	0.7777685	0.8541119	0.8792258	0.7380367	0.84486	0.8863464	0.8670533	0.82526153	0.87248844	0.88912416	0.7343662	0.8523553	0.77601314	0.7562741	0.84784544	0.8595407	0.8446418	0.8300354	0.93797374	0.86427796	0.8198711	0.86561835	0.7503582	0.8377765	0.7869446	0.86294323
loop_mis/verb	0.8910363	0.83995414	0.8872295	0.81848526	0.8177277	0.89817894	0.8146974	0.8227382	0.0	0.9028338	0.76696783	0.8655289	0.89684474	0.92216754	0.85400546	0.87206423	0.8570392	0.86742395	0.8903106	0.85795677	0.8540792	0.82201374	0.89770496	0.8431375	0.8974341	0.88603795	0.86365974	0.9186309	0.8731949	0.81548095	0.88880324	0.89135545	0.8442743	0.88614374	0.8035248	0.9070898	0.8720298	0.8779622	0.7069821	0.85584617	0.91332805	0.85784066	0.7802572	0.6938493	0.8134249	0.7957775	0.8886554	0.8388928	0.8737317	0.83677983	0.8630746	0.9274991	0.8998876	0.76191163	0.90485716	0.8461482	0.92152536	0.9262253	0.86700374	0.879149	0.8566029	0.9150961	0.8428356	0.895475	0.881756	0.8703799	0.8288311	0.87117475	0.89082897	0.84270954	0.87895274	0.87696064	0.85716295	0.90097356	0.7959412	0.9301351	0.8291567	0.8203065	0.875112	0.85524976	0.8652514	0.8792353	0.8537155	0.8949687	0.87743795	0.7903249	0.89009714	0.8365102	0.9029245	0.8249915	0.82832295	0.825977	0.8866702	0.80985725	0.8804134	0.8494753	0.74601865	0.87069255	0.8221306	0.852403	0.8863799	0.88305813	0.8377599	0.8701784	0.9197564	0.8796456	0.8695214	0.8275105	0.87034774	0.8349785	0.8516673	0.88100666	0.8856838	0.8766061	0.8797099	0.8522585	0.8785629	0.8775333	0.80629635	0.86576885	0.8669319	0.8867411	0.87423056	0.76745343	0.82968307	0.81639284	0.88080806	0.86143476	0.82733	0.92488235	0.8405661	0.90244716	0.89289933	0.88401014	0.8673713	0.89596367	0.8569186	0.742339	0.8820585	0.86036986	0.8172151	0.83145344	0.783926	0.9047923	0.85603034	0.87949365	0.8982635	0.9190172	0.8367873	0.8841476	0.8784241	0.8627885	0.8891209	0.8447911	0.8798025	0.7495148	0.82889426	0.9125197	0.7890038	0.88008565	0.88389194	0.8769887	0.86782384	0.9107309	0.8585655	0.8719675	0.86390173	0.91603297	0.81856143	0.80767983	0.86498874	0.87647617	0.88420534	0.8677063	0.8708825	0.8205925	0.90350306	0.8557299	0.7903806	0.88649917	0.86671305	0.8835085	0.83300483	0.8687329
stang/noun	0.8930477	0.89141035	0.9083952	0.87333	0.8862586	0.9089257	0.8984928	0.89967906	0.9028338	0.0	0.8869461	0.8867715	0.8770372	0.90991926	0.86445343	0.8707744	0.8774202	0.84993255	0.91702855	0.88577324	0.8987819	0.83979094	0.90383816	0.8478229	0.8958171	0.874946	0.87061274	0.8207402	0.8661772	0.93150246	0.91460824	0.8877666	0.85304767	0.80163944	0.8902401	0.8156307	0.91146076	0.86246866	0.85630405	0.8683641	0.9143047	0.9025153	0.8795497	0.8797575	0.8780657	0.81249213	0.85022074	0.8578862	0.83873254	0.8988892	0.8940093	0.9119901	0.86091924	0.8712296	0.9024376	0.7885788	0.916753	0.9123393	0.8842114	0.8189373	0.831942	0.88897663	0.9318321	0.87523836	0.8582684	0.8030943	0.89121777	0.88202584	0.77171576	0.91391265	0.83001435	0.8976	0.87286174	0.88670164	0.82154304	0.9143102	0.8516411	0.9346615	0.9473313	0.88228905	0.9221106	0.9316629	0.8611425	0.9012724	0.83084625	0.8964122	0.9034084	0.812127	0.9028184	0.8616886	0.88893116	0.88128567	0.910146	0.8810709	0.8927533	0.87864316	0.91630447	0.8676028	0.8895145	0.8516215	0.8936089	0.880764	0.8647858	0.86029357	0.84888965	0.9062374	0.82392025	0.8125932	0.8755268	0.8906372	0.91043246	0.83794767	0.8319268	0.88476795	0.8911296	0.88576436	0.8803904	0.8799817	0.8706388	0.89534557	0.8591732	0.8492369	0.8782858	0.86347276	0.90662014	0.8542892	0.77412176	0.90914166	0.876338	0.893146	0.88183963	0.8731977	0.8635798	0.8384102	0.9058871	0.91788936	0.8536628	0.89421695	0.9036151	0.85303414	0.88906276	0.8536873	0.8075478	0.90320784	0.88328975	0.8730293	0.919939	0.863567	0.8212239	0.8765439	0.8847229	0.8827603	0.9305345	0.879145	0.9004256	0.90906215	0.8680282	0.9129496	0.8820497	0.8352837	0.8829058	0.8925079	0.8557419	0.8793879	0.8523869	0.8176726	0.8370046	0.7634685	0.81466043	0.8941276	0.8580001	0.8892603	0.91732305	0.83657557	0.88769007	0.88782716	0.857232	0.89742285	0.8795857	0.9023226	0.8670127	0.8991986	0.8855712	0.85984033
