	kinderachtig/adj	word/verb	die/pron	flyers/noun	surrealistisch/adj	zulk/det	aantal/noun	tv/noun	stem/noun	affiche/noun	bijtend/adj	letter_DIM/noun	geweigerd/adj	advertentie/noun	combineer/verb	Australisch/adj	vol/prep	detective/noun	verblind/adj	plaats/noun	flankeer/verb	geplaatst/adj	wereld_top/noun	ernst/noun	lijk/verb	wapen/noun	heb_op/verb	oog/noun	hoor/verb	voorwerp/noun	samenleving/noun	sla_gade/verb	centraal/adj	laat_los/verb	voeg_toe/verb	halfnaakt/adj	groot_macht/noun	niet_commercieel/adj	radio/noun	ingehouden/adj	PROV/name	minachting/noun	symboliek/noun	die/det	gehard/adj	storend/adj	vol/adj	begin/verb	priem/verb	kaars/noun	licht/prefix	slechts/adv	ben_uit/verb	verholen/adj	moet_in/verb	plafond/noun	studio/noun	en/vg	gekleurd/adj	1ste/num	beperkt/adj	accent/noun	nostalgie/noun	prognose/noun	enig/det	drijf/verb	jazz/noun	in/prep	wat/det	hang/verb	schemer_door/verb	ironie/noun	tafereel/noun	mild/adj	pose/noun	helder/adj	precies/adv	welk/det	3de/num	Euro2000/name	waarvoor/pp	Aalsterse/adj	omgeving/noun	zweem/noun	schrijven/noun	vrolijk/adj	zie/verb	eenzaam/adj	kijk_terug/verb	wereld_pers/noun	terloops/adj	verander/verb	loop/verb	met/prep	blijf_achter/verb	reeks/noun	op/prep	verwondering/noun	door/prep	maak/verb	dergelijk/adj	macho/noun	één/pron	tafel/noun	vooroordeel/noun	ingebouwd/adj	licht/adj	gebruik/verb	discriminatie/noun	waarschuw/verb	ander/adj	licht/noun	publiek/adj	ere_plaats/noun	hang_op/verb	alle/det	voor/prep	humor/noun	onder/prep	ontlok/verb	van/prep	de/det	kom_over/verb	hoon/noun	Nederlandstalig/adj	ragfijn/adj	richt/verb	Romein/noun	eentje/pron	Istanboel/name	goedmoedig/adj	zijn/det	Engelstalig/adj	introduceer/verb	verdwijn/verb	fel/adj	loper/noun	auto_wrak/noun	politicus/noun	drama/noun	zelf/adv	zend_uit/verb	een/det	waarmee/pp	sta/verb	vleugel/noun	honderden/noun	rood/adj	mikpunt/noun	geluid_effect/noun	lawaaierig/adj	buis/noun	geest/noun	onderwerp/noun	ondanks/prep	2de/num	voer_op/verb	industrieel/adj	weiger/verb	varieer/verb	productie_huis/noun	hang/adj
niet_commercieel/adj	0.89003646	0.86739796	0.79836035	0.86420155	0.87196356	0.8320742	0.8667104	0.8285123	0.9274683	0.82299054	0.92161936	0.9235572	0.93226784	0.80691034	0.81252867	0.9101944	0.90242076	0.88320756	0.9454099	0.93327504	0.93055975	0.94936365	0.91284615	0.9172713	0.91271955	0.9254258	0.9273754	0.94782645	0.938205	0.8774423	0.8634754	0.9264728	0.8811813	0.8869227	0.92151713	0.9379579	0.8933887	0.0	0.8466683	0.9230522	0.97278357	0.91257566	0.90053886	0.84855497	0.92510986	0.8956334	0.9333038	0.9266378	0.929661	0.9365371	0.9050315	0.9062372	0.928873	0.947226	0.9214052	0.93349284	0.8974845	0.7997775	0.889279	0.94908345	0.8082732	0.90793043	0.90477794	0.9197774	0.8662092	0.87987745	0.85235524	0.879224	0.88809496	0.93166107	0.9408293	0.9223066	0.9209298	0.9158767	0.93465406	0.86644495	0.9074938	0.82000947	0.956619	0.8861354	0.8030341	0.88840365	0.90258616	0.9457536	0.89326376	0.90261126	0.9137664	0.9148787	0.93897796	0.94836813	0.91436535	0.9244576	0.94420975	0.8692169	0.8992837	0.87927866	0.8713524	0.9029002	0.9046916	0.8640193	0.7839074	0.9187362	0.8944676	0.94246644	0.90335804	0.90292597	0.9259001	0.8453456	0.914965	0.92912143	0.82805	0.9348477	0.76472586	0.92127603	0.8982843	0.805851	0.8044869	0.8780191	0.91824216	0.9369979	0.8330581	0.8435318	0.917325	0.90883833	0.75735605	0.92501575	0.8086641	0.9238508	0.91987085	0.9309735	0.9012742	0.8965944	0.8002679	0.81574565	0.91575104	0.94768435	0.90795714	0.93417317	0.9035724	0.89943385	0.8663838	0.84224844	0.83596146	0.82793283	0.9324253	0.92323035	0.88859344	0.94801855	0.91188586	0.9219125	0.8996824	0.903474	0.89010495	0.87874407	0.9135253	0.96427065	0.90578455	0.81886363	0.90089124	0.8677265	0.82833534	0.92133725
radio/noun	0.88926125	0.8223245	0.79209834	0.8463186	0.8825614	0.83259726	0.8945466	0.43416697	0.8178937	0.83212847	0.85927016	0.9052401	0.913382	0.7223573	0.8464949	0.85018444	0.84337354	0.84965813	0.9177825	0.9576252	0.91497815	0.87944174	0.913994	0.9004651	0.92416674	0.89312017	0.89247745	0.9357911	0.7281441	0.83164525	0.88033706	0.88318425	0.8718345	0.86280656	0.914394	0.9027456	0.8963469	0.8466683	0.0	0.88783956	0.97446084	0.8990382	0.9068365	0.8497844	0.9334908	0.8562423	0.89588	0.88473487	0.93725026	0.8470948	0.86022043	0.90929645	0.8885851	0.8893749	0.8808032	0.87429637	0.7032191	0.7775048	0.8554381	0.9420053	0.89208114	0.84718347	0.86262214	0.9230467	0.9005519	0.89250666	0.77769995	0.86058176	0.89166194	0.87670666	0.88703716	0.8758167	0.8738322	0.90424407	0.92129654	0.89547545	0.8900771	0.85937154	0.94471335	0.90306616	0.8440372	0.8993991	0.89376366	0.9027818	0.85895467	0.8316212	0.865026	0.8902893	0.8980522	0.86505324	0.81315	0.9428969	0.92024356	0.8225969	0.91509336	0.84948885	0.8568639	0.87637866	0.8302694	0.85570353	0.8529854	0.89089155	0.88075686	0.89159554	0.88870597	0.7741673	0.9041935	0.83185637	0.9012027	0.87148494	0.87780803	0.84858805	0.76263237	0.9350161	0.8566954	0.82499343	0.8516586	0.88026226	0.89313596	0.8883759	0.85770386	0.7950838	0.8734212	0.89666027	0.7380606	0.9193857	0.8334429	0.91406614	0.8545166	0.91039973	0.89829624	0.8568667	0.71645087	0.7815025	0.87942576	0.8802075	0.8771519	0.90515685	0.79706156	0.8752188	0.8683426	0.581876	0.8027093	0.76501215	0.88721836	0.8903093	0.8332662	0.92258215	0.89586645	0.84509563	0.8792394	0.8090018	0.90405697	0.8341759	0.91338646	0.9374589	0.8390628	0.8843434	0.87494785	0.86287344	0.79984456	0.91797376
ingehouden/adj	0.7820285	0.8629941	0.78870434	0.91083026	0.7257145	0.74091196	0.9077268	0.8664779	0.73679733	0.85099435	0.7411075	0.88296616	0.9104465	0.87545794	0.76887476	0.8787942	0.65910834	0.81243026	0.79032546	0.94035655	0.8790061	0.88384545	0.90399075	0.7689353	0.8060901	0.90767604	0.8518054	0.79859245	0.7866909	0.8412239	0.84116334	0.79764235	0.89665353	0.81388605	0.83160466	0.866122	0.8925895	0.9230522	0.88783956	0.0	0.9639458	0.76942354	0.7128562	0.7924268	0.8837799	0.8118325	0.829173	0.8485534	0.8585669	0.8480576	0.86275345	0.8724621	0.8736385	0.7519566	0.87351525	0.8455926	0.8675385	0.68346006	0.7627728	0.95023763	0.8860639	0.7348598	0.7097086	0.8927417	0.7716229	0.755049	0.76849425	0.8676344	0.8167223	0.8552171	0.82254267	0.6720202	0.710145	0.7431778	0.76362693	0.69603026	0.85387623	0.86090136	0.9515196	0.8837348	0.8651154	0.85365933	0.85056674	0.7569994	0.7768922	0.6921318	0.85548794	0.7766895	0.7976156	0.87716174	0.7673163	0.888345	0.9082681	0.77650154	0.86780775	0.8468712	0.865272	0.68358594	0.80109423	0.86008674	0.830068	0.8365189	0.85046357	0.87898564	0.83040684	0.8780133	0.7568675	0.8984211	0.8954584	0.884212	0.88073105	0.8201622	0.8513143	0.913842	0.84437007	0.8581297	0.86687803	0.63936156	0.87850845	0.7200564	0.81215334	0.82335883	0.74920917	0.8334769	0.8492001	0.8165283	0.85809827	0.8808851	0.8308078	0.8829862	0.8081261	0.7456961	0.8511679	0.8501638	0.8574879	0.8113874	0.8844085	0.9202819	0.86079216	0.71407616	0.87404364	0.89970285	0.7442542	0.7721253	0.8793744	0.8511355	0.8766264	0.86436945	0.8797376	0.8183641	0.8655366	0.8512687	0.76312137	0.82282424	0.7903545	0.95616174	0.8264665	0.8829141	0.896245	0.7654485	0.90378785	0.84852237
PROV/name	0.9194225	0.983065	0.96794057	0.9766456	0.968319	0.96279734	0.9909085	0.9606433	0.96136063	0.96089	0.9465678	0.97386336	0.9656205	0.9543062	0.9436179	0.9670787	0.94679475	0.978253	0.9549533	0.9741256	0.9682134	0.9715068	0.9342436	0.9692515	0.9582362	0.99229985	0.9390584	0.98121923	0.97686654	0.9763126	0.981181	0.9327164	0.988999	0.9771304	0.9595108	0.9135114	0.94762737	0.97278357	0.97446084	0.9639458	0.0	0.95861787	0.97969204	0.9606923	0.92879164	0.96982354	0.938955	0.9407806	0.9707041	0.9659796	0.9734105	0.9642383	0.9867128	0.960742	0.94621027	0.97874385	0.9750659	0.95702684	0.9489963	0.75374883	0.9826926	0.92000943	0.95937836	0.9784688	0.9749121	0.94222814	0.958401	0.96234995	0.96468496	0.98111415	0.959828	0.96743006	0.96666574	0.93472314	0.9662296	0.98609716	0.97593623	0.9851013	0.76933324	0.9498031	0.9819483	0.93389815	0.992945	0.9637525	0.9554589	0.9634702	0.97008854	0.9533628	0.9277481	0.96930736	0.9651413	0.981274	0.9680033	0.95048267	0.95011175	0.9328629	0.95781076	0.9741686	0.9812593	0.9504252	0.9795254	0.9395157	0.9810145	0.9974572	0.94608593	0.9699045	0.97371244	0.9854165	0.97607464	0.98725086	0.98550355	0.9743585	0.9803774	0.9639562	0.9602394	0.9739732	0.9650241	0.9469459	0.97332066	0.9577817	0.9701738	0.95042545	0.95140415	0.9418943	0.96720403	0.93879694	0.96123385	0.95875883	0.97730416	0.9676436	0.9568645	0.9471728	0.954428	0.96319044	0.9736874	0.9694904	0.9850309	0.984606	0.9815717	0.96892226	0.99338937	0.94238985	0.9566817	0.9708077	0.95965815	0.9887724	0.9702807	0.95414406	0.9361	0.9680405	0.963769	0.9747804	0.9743529	0.9673353	0.95977944	0.78310764	0.96108633	0.9839695	0.97687924	0.9743285	0.96278656	0.97939956
minachting/noun	0.79210746	0.8361167	0.72417843	0.94553506	0.83239377	0.72418165	0.88049793	0.86994463	0.8310345	0.8875787	0.8091763	0.9080692	0.89350635	0.8444584	0.8723146	0.8672504	0.80528575	0.85096437	0.8339579	0.95500773	0.9010281	0.89983237	0.9141213	0.7670735	0.83396727	0.88580686	0.826061	0.79882663	0.8622697	0.8533257	0.73051643	0.8150135	0.8973886	0.84139615	0.9100127	0.89861494	0.8440838	0.91257566	0.8990382	0.76942354	0.95861787	0.0	0.7956488	0.7404395	0.88367474	0.8243442	0.9118322	0.91380817	0.8910077	0.9200488	0.9319294	0.8876489	0.8414322	0.7318058	0.88807446	0.89779806	0.928833	0.7323452	0.8243845	0.9441998	0.8944448	0.8321263	0.72665507	0.88211423	0.7606457	0.74516416	0.8470479	0.89042234	0.8439462	0.91891587	0.8080529	0.72285604	0.8142032	0.7685139	0.81855595	0.8285988	0.86508524	0.82753897	0.9432681	0.8992628	0.83934695	0.8821492	0.89913964	0.80865914	0.82000947	0.8629559	0.8944707	0.8494743	0.8548186	0.877332	0.8201043	0.8648635	0.9391878	0.84824765	0.8807273	0.8956046	0.90027183	0.69025874	0.79049814	0.8714179	0.7880812	0.8196945	0.8728306	0.9269167	0.6676964	0.9107308	0.8543834	0.87016976	0.71187395	0.82963556	0.8358901	0.9015599	0.779503	0.91975886	0.88195515	0.8019295	0.83404505	0.7561805	0.83661973	0.7919997	0.7727724	0.7955277	0.7980266	0.7327453	0.86424696	0.91731673	0.8054849	0.83894217	0.84581095	0.8917413	0.850773	0.7714317	0.8485266	0.84709674	0.90522313	0.80987453	0.89570045	0.9198731	0.7167096	0.8066845	0.8726344	0.9269032	0.8053679	0.7918292	0.9286559	0.8794157	0.86067	0.9082928	0.79799235	0.9299819	0.9253598	0.88460475	0.7825742	0.80431974	0.8221965	0.9442023	0.8884385	0.8688053	0.8254747	0.86572737	0.89166486	0.89915085
symboliek/noun	0.8067387	0.8498707	0.7296274	0.87246436	0.66622233	0.69249874	0.8950053	0.8716885	0.80856913	0.7841387	0.80879015	0.8635112	0.9163753	0.8425283	0.7412517	0.8863981	0.6828684	0.8124545	0.82065576	0.89967924	0.8431994	0.87289023	0.8970646	0.72301996	0.77155393	0.871701	0.84243834	0.82992315	0.8845237	0.7144985	0.77550924	0.81702846	0.85130394	0.77576	0.8305241	0.8649347	0.8888303	0.90053886	0.9068365	0.7128562	0.97969204	0.7956488	0.0	0.72931373	0.89453214	0.8147949	0.8555244	0.9093816	0.86270523	0.77758104	0.84328926	0.8567592	0.8565695	0.8548542	0.89241105	0.8080199	0.89327866	0.6898149	0.704015	0.95163757	0.8960693	0.7088057	0.67479783	0.8834171	0.7975402	0.7933285	0.74646056	0.8524389	0.8289741	0.8097125	0.83408356	0.6027948	0.6600442	0.8062958	0.67649806	0.7277485	0.78990227	0.7829203	0.9608186	0.89422935	0.8424157	0.88613427	0.82922596	0.7796322	0.75428104	0.7499446	0.8419053	0.8168834	0.8606213	0.89342856	0.75519437	0.8471546	0.9197421	0.78180426	0.8814267	0.8330017	0.87111783	0.74166524	0.8111053	0.8367025	0.7763459	0.8145329	0.8321353	0.86817884	0.7682155	0.83965445	0.8218937	0.8268923	0.8362462	0.90373147	0.81516033	0.79004335	0.82584727	0.8878563	0.7771184	0.806542	0.84940183	0.60338545	0.8576202	0.7907441	0.7845664	0.79724115	0.7863867	0.8664446	0.83328986	0.8291596	0.85544586	0.8095651	0.81940114	0.91135615	0.8537855	0.77478087	0.8294495	0.8150543	0.8472761	0.83610016	0.8447993	0.881867	0.80882096	0.703571	0.84866786	0.9143722	0.7121837	0.76442796	0.866889	0.82772803	0.84946096	0.8213122	0.8797131	0.8311946	0.89674646	0.82186985	0.71521986	0.7068027	0.84504807	0.95640767	0.80763984	0.82161117	0.88658	0.8078958	0.89630145	0.82996
die/det	0.74728274	0.67323864	0.5407835	0.86648875	0.7327516	0.47610158	0.74029016	0.8391265	0.8265648	0.8265312	0.8067397	0.80317533	0.84557843	0.7939112	0.75720394	0.86290795	0.70975363	0.8199943	0.83592767	0.86629707	0.8810126	0.82805586	0.8320867	0.7088331	0.67674613	0.8368658	0.78712505	0.8371585	0.8168678	0.7567087	0.71334374	0.80813074	0.80841744	0.7309011	0.8283895	0.88366836	0.82697475	0.84855497	0.8497844	0.7924268	0.9606923	0.7404395	0.72931373	0.0	0.87812597	0.72833437	0.83636546	0.8533313	0.88890606	0.81542575	0.8821129	0.73982126	0.81416535	0.8341473	0.8179393	0.7979394	0.8602349	0.7086248	0.7337395	0.9100643	0.746577	0.79143655	0.71578467	0.78820646	0.68970996	0.7821152	0.80599195	0.8024342	0.69257796	0.81804943	0.8054354	0.7141571	0.75845504	0.77891976	0.7594062	0.7122361	0.6624019	0.5441233	0.9081671	0.8092872	0.7082671	0.8197639	0.8108596	0.8033708	0.72404253	0.771081	0.79341054	0.7898305	0.79520607	0.8947205	0.7435576	0.74275786	0.85601956	0.71354115	0.8014461	0.7916481	0.8025465	0.7406267	0.7245445	0.7826228	0.50075483	0.8162161	0.8278332	0.8507556	0.6641006	0.76644737	0.79436374	0.76499796	0.75425017	0.87609655	0.6504884	0.8080537	0.7332624	0.83594084	0.77767456	0.6004805	0.73933244	0.7243353	0.8248961	0.7720285	0.7174389	0.6113014	0.7862663	0.8273528	0.8102103	0.8366759	0.81774944	0.7994005	0.7281089	0.86532795	0.83178246	0.6760918	0.8055024	0.7641565	0.79989094	0.8034167	0.8135391	0.87621874	0.77653354	0.7978288	0.75487375	0.8816645	0.64317393	0.64888614	0.848928	0.8354492	0.82356393	0.81696063	0.86609256	0.8545619	0.818558	0.79609203	0.74068636	0.76799273	0.68454874	0.9003231	0.8438828	0.7910598	0.8140161	0.7147727	0.84029305	0.82429934
gehard/adj	0.9085405	0.90443844	0.788959	0.9248404	0.8669194	0.8585495	0.8923572	0.91125286	0.9068913	0.93010163	0.8442539	0.94092983	0.92600244	0.92766595	0.87522614	0.8702774	0.8203593	0.88323903	0.8990957	0.9396355	0.9180544	0.8890517	0.90936863	0.9088495	0.89916855	0.855157	0.88295454	0.86621284	0.937594	0.8740909	0.8978221	0.88936263	0.9310734	0.89137095	0.8947844	0.9238853	0.89139336	0.92510986	0.9334908	0.8837799	0.92879164	0.88367474	0.89453214	0.87812597	0.0	0.8959356	0.8971651	0.9336649	0.9127592	0.9057646	0.93318206	0.9002053	0.89695305	0.9192533	0.87472975	0.86806566	0.93083835	0.8018156	0.8379325	0.9230592	0.921382	0.90105283	0.8839541	0.9294834	0.9281215	0.8435868	0.9264093	0.8924466	0.86608666	0.89333373	0.90211815	0.9021884	0.8885907	0.88468516	0.88743025	0.8664535	0.9121891	0.8948249	0.9363534	0.9230763	0.90767354	0.88995636	0.92112076	0.91293323	0.9206447	0.87156904	0.89945394	0.8519306	0.895426	0.9001772	0.9132835	0.9240984	0.92487794	0.8560015	0.89474976	0.9173595	0.9264307	0.90715927	0.8355192	0.9186279	0.882384	0.89072347	0.89521885	0.89865094	0.89241564	0.87503916	0.86741346	0.84435266	0.93231964	0.89565265	0.87717915	0.9053373	0.90909827	0.931357	0.88269866	0.86634773	0.89763534	0.8809089	0.84069055	0.87082434	0.8622407	0.8490252	0.89743865	0.89078236	0.9207028	0.89424735	0.8898127	0.9018747	0.8933806	0.908975	0.904798	0.88135874	0.90367544	0.9074722	0.90128344	0.87235916	0.9046801	0.9128609	0.88124126	0.89851254	0.92499495	0.9315321	0.84423673	0.86076444	0.923206	0.9043027	0.81572986	0.8933718	0.88121396	0.91874695	0.90656674	0.83255506	0.90197	0.9308714	0.8866251	0.93296057	0.9109458	0.88289094	0.9034567	0.88575894	0.93752074	0.86146927
storend/adj	0.785006	0.79952425	0.7453916	0.86283827	0.775066	0.69532967	0.8407921	0.8355547	0.85679555	0.83036566	0.81584287	0.865479	0.89780015	0.84522307	0.7964702	0.88450783	0.7601766	0.83314264	0.8243257	0.9096954	0.88556486	0.85169256	0.89716303	0.82711416	0.80432963	0.90442795	0.8243825	0.83874375	0.8262912	0.7920324	0.7975561	0.82682025	0.86197305	0.8242671	0.8391257	0.8927323	0.9022652	0.8956334	0.8562423	0.8118325	0.96982354	0.8243442	0.8147949	0.72833437	0.8959356	0.0	0.85803974	0.8851339	0.8777167	0.82013375	0.83773834	0.8474245	0.879587	0.9089345	0.85554045	0.79090613	0.8641403	0.7066219	0.7825548	0.9549416	0.8183477	0.8028575	0.8177229	0.9015388	0.8119013	0.8363032	0.83778673	0.83345056	0.7694366	0.84108233	0.88979894	0.80452806	0.76564014	0.820799	0.80153954	0.75980574	0.81574786	0.7830658	0.94058824	0.86652434	0.83497894	0.8531387	0.7558025	0.8371706	0.8255293	0.78998035	0.84208125	0.81571925	0.8978344	0.91384226	0.8084327	0.856521	0.89001715	0.79237765	0.8634222	0.84948146	0.8462946	0.8156929	0.76050574	0.80256766	0.7306497	0.84203607	0.8503756	0.8904705	0.79387367	0.8050675	0.80124545	0.8146392	0.8297738	0.8555012	0.8087854	0.7640581	0.84439254	0.9178948	0.8114196	0.7964556	0.85335875	0.7810669	0.858195	0.8223745	0.8021929	0.7959791	0.78431	0.8825994	0.855576	0.87188756	0.8583696	0.8578277	0.8409563	0.9126365	0.8677791	0.82351947	0.84814066	0.82767355	0.82767355	0.8154305	0.8544743	0.8661555	0.846506	0.8103003	0.8596647	0.8937365	0.7477002	0.7777679	0.86475444	0.8606929	0.8466098	0.8308125	0.87678444	0.84531933	0.77719647	0.80885667	0.8220803	0.83762395	0.8017466	0.9515791	0.86893797	0.83822376	0.88700867	0.803885	0.9039229	0.8512509
vol/adj	0.9001873	0.90970206	0.8672397	0.87635	0.8946017	0.8810097	0.94871444	0.8730792	0.8717967	0.85972726	0.81926787	0.9164617	0.927049	0.9081097	0.8549212	0.8990891	0.56655884	0.9282194	0.8209547	0.89749825	0.8851144	0.85127836	0.8859272	0.8784337	0.878283	0.8987969	0.8655299	0.85504353	0.8889579	0.83337146	0.896474	0.83534145	0.88815635	0.82789457	0.83254045	0.88276803	0.9139632	0.9333038	0.89588	0.829173	0.938955	0.9118322	0.8555244	0.83636546	0.8971651	0.85803974	0.0	0.84339106	0.84076047	0.7692051	0.8764359	0.8760878	0.87936485	0.8952008	0.7996987	0.77799463	0.8814839	0.7111553	0.7690573	0.9291479	0.87327456	0.8702749	0.82741296	0.93714404	0.8173312	0.8109778	0.8798261	0.75938565	0.78758854	0.7450459	0.91398966	0.844433	0.849166	0.84531105	0.8896272	0.80404717	0.8378851	0.90163386	0.9297931	0.873839	0.9030437	0.854292	0.8834649	0.8631136	0.9098225	0.7691426	0.846092	0.8601264	0.86809003	0.8907844	0.8806729	0.9294363	0.8190601	0.7517103	0.8124428	0.93267506	0.7682191	0.8650235	0.86081785	0.8915169	0.9018781	0.90882844	0.9084374	0.8011206	0.9185807	0.84343314	0.8072133	0.8505428	0.9530642	0.93690425	0.92269546	0.7891606	0.8967413	0.8775542	0.79614615	0.81953084	0.8785433	0.8487424	0.8584181	0.8588541	0.8477608	0.7638559	0.90849805	0.89615977	0.9170941	0.88497186	0.93118197	0.90568167	0.7910944	0.89117867	0.9288663	0.7791045	0.90641946	0.88881624	0.77051425	0.8325866	0.8597221	0.8652835	0.92416036	0.8926012	0.9174397	0.9363481	0.7787287	0.81733614	0.7802629	0.85253257	0.82050496	0.7444714	0.9234004	0.92381394	0.85926855	0.7681327	0.8528545	0.9166441	0.85000056	0.92658085	0.8788156	0.8678195	0.92704356	0.82980216	0.94600993	0.80060655
begin/verb	0.8884311	0.8524092	0.8570884	0.92705417	0.85506535	0.8352027	0.9127204	0.8677367	0.9141311	0.8895746	0.89957947	0.9166801	0.9321202	0.91740423	0.8300245	0.885235	0.8528336	0.8798877	0.9152863	0.918091	0.9248219	0.9092974	0.8620402	0.8718251	0.8144567	0.91948825	0.89424086	0.9259163	0.8310996	0.89722556	0.9206598	0.8550459	0.90030694	0.854352	0.9120584	0.9117839	0.9099609	0.9266378	0.88473487	0.8485534	0.9407806	0.91380817	0.9093816	0.8533313	0.9336649	0.8851339	0.84339106	0.0	0.9435252	0.8735875	0.9248281	0.8846814	0.85949445	0.9349778	0.8761088	0.8973703	0.84606975	0.8076827	0.8880832	0.8862444	0.9082452	0.8916751	0.8813461	0.8927396	0.8840687	0.89267206	0.8567535	0.78850085	0.86957884	0.9225364	0.8577163	0.89228773	0.85115385	0.89456344	0.91937226	0.8785397	0.84917516	0.90540224	0.9019094	0.867793	0.8479615	0.87484944	0.8921635	0.9228981	0.83256876	0.81214815	0.9082336	0.85258096	0.81838334	0.88308346	0.87479836	0.9033128	0.7678584	0.8382939	0.9118422	0.8235697	0.8288777	0.8935699	0.8446968	0.8632864	0.8451639	0.8928906	0.90379155	0.90899086	0.90486133	0.95265985	0.90048367	0.8882491	0.9168729	0.8833096	0.93420655	0.8971913	0.8978385	0.9000318	0.88922596	0.88337165	0.80910337	0.87784165	0.9051775	0.88765097	0.8280569	0.7734295	0.8496964	0.9313947	0.8861289	0.92486084	0.8549491	0.8862147	0.84903187	0.86169493	0.9417288	0.8294999	0.8640272	0.8427428	0.8978483	0.8513378	0.87545764	0.9304403	0.89811605	0.8747825	0.8809568	0.7968961	0.7660383	0.86106974	0.8947767	0.8837809	0.87681335	0.91776127	0.90790623	0.92401457	0.869993	0.856815	0.87885445	0.857625	0.81246936	0.89016867	0.8235764	0.8685755	0.91449416	0.86645734	0.90238374	0.9147485
priem/verb	0.9239763	0.9205197	0.88380206	0.9087331	0.88913614	0.89448005	0.94288826	0.904536	0.90110934	0.891956	0.8402823	0.899899	0.94241446	0.9278302	0.898858	0.9256249	0.75483596	0.9106355	0.823194	0.94223803	0.85075104	0.8750718	0.92943114	0.9148433	0.88904506	0.93188286	0.86165935	0.7549243	0.92145276	0.845244	0.93002933	0.8457103	0.9449122	0.8693516	0.92885303	0.832895	0.941639	0.929661	0.93725026	0.8585669	0.9707041	0.8910077	0.86270523	0.88890606	0.9127592	0.8777167	0.84076047	0.9435252	0.0	0.7941967	0.88701934	0.90664756	0.92566496	0.92452127	0.8910553	0.79415333	0.91116834	0.7679813	0.7387295	0.9441499	0.9523183	0.8615146	0.9033992	0.9354958	0.93691576	0.8045678	0.93443054	0.86058515	0.8818579	0.7137693	0.9300884	0.88426423	0.87225026	0.8770963	0.8735214	0.80740047	0.9086125	0.92593014	0.9440047	0.92508185	0.9342484	0.91783	0.90207875	0.891732	0.91986	0.8442565	0.8154036	0.8592635	0.9139166	0.89438206	0.89136577	0.9097387	0.8433783	0.80951536	0.9013421	0.94570285	0.8395206	0.8665812	0.87704265	0.9292917	0.95141196	0.8864932	0.92183846	0.8335377	0.92053413	0.8656093	0.8329992	0.9180886	0.94014275	0.91334486	0.92659354	0.7998049	0.94572675	0.93253446	0.7944576	0.89280623	0.9166162	0.9065028	0.83341086	0.8883181	0.9080914	0.8441437	0.906616	0.9239563	0.95826507	0.9050731	0.88663244	0.92323697	0.8344511	0.91972005	0.89124715	0.816066	0.9253134	0.92728317	0.82358485	0.8620392	0.8883565	0.8881775	0.9242368	0.9202289	0.93094933	0.9439602	0.83702564	0.887278	0.8082675	0.87039614	0.8635797	0.7469919	0.9137569	0.92673826	0.9011406	0.836727	0.8718262	0.94198227	0.9009112	0.94625074	0.94607097	0.9256863	0.9388522	0.89661986	0.9544819	0.7591262
kaars/noun	0.8826467	0.8336463	0.79977834	0.8492518	0.8200681	0.8452012	0.91766083	0.8354779	0.8785233	0.7880431	0.82097936	0.8612467	0.89738107	0.8491343	0.86414266	0.89741325	0.645531	0.869664	0.8298963	0.9193855	0.7984135	0.8216902	0.9084156	0.8818839	0.87116534	0.8671588	0.8015473	0.79915977	0.8786357	0.687678	0.90435404	0.80576086	0.88823795	0.80960894	0.8426117	0.80411595	0.92740005	0.9365371	0.8470948	0.8480576	0.9659796	0.9200488	0.77758104	0.81542575	0.9057646	0.82013375	0.7692051	0.8735875	0.7941967	0.0	0.84690785	0.886961	0.8618127	0.9509967	0.8270278	0.6196668	0.79293585	0.6660272	0.6465875	0.9269638	0.9006806	0.83458763	0.8360956	0.93226546	0.8905734	0.82119775	0.8656567	0.81404555	0.7784757	0.6376121	0.9196597	0.8452792	0.75674367	0.8643215	0.8403775	0.80556947	0.8479396	0.8743988	0.9373404	0.8905797	0.8879573	0.8502249	0.83537936	0.87148	0.88160694	0.72738385	0.7806183	0.7743144	0.9095923	0.9126216	0.86758727	0.9028477	0.83221155	0.74213	0.8403714	0.9124096	0.8234383	0.8781389	0.79325247	0.8822686	0.8724432	0.885103	0.86022073	0.66672873	0.88804775	0.77579916	0.7862434	0.8207865	0.9132405	0.9270155	0.86592245	0.636018	0.9231312	0.85308313	0.6754023	0.85100925	0.86991346	0.8770118	0.8232241	0.8739781	0.86453056	0.7901188	0.8960447	0.9191944	0.88953215	0.851353	0.9284624	0.8221516	0.7444783	0.8885184	0.89202535	0.81483567	0.89754593	0.86719704	0.7848584	0.79349416	0.7729152	0.79838383	0.91176283	0.87700707	0.85483384	0.9160468	0.7095076	0.8174907	0.76515275	0.78306115	0.7389133	0.65608025	0.9211979	0.9098312	0.83287454	0.72670627	0.80795515	0.8800901	0.90707904	0.932016	0.8836766	0.85398513	0.929463	0.8245417	0.93738323	0.74506164
