	bank/noun	overheid_schuld/noun	ver/adj	daarom/pp	eerder/noun	voor/comp	voetbal_bond/noun	keer/adv	activiteit/noun	dochter/noun	maar/adv	namelijk/adv	organisatie/noun	economie/noun	familie_bedrijf/noun	binnen/prep	om/comp	staal_industrie/noun	landbouw_sector/noun	drastisch/adj	spoor_weg/noun	al/adv	bank_sector/noun	Belgische/name	luchtvaart_maatschappij/noun	huishouding/noun	vervolgens/adv	diep/noun	Fabricom/name	die/det	netwerk/noun	nu/adv	Hof/name	druk/noun	ingekort/adj	Europa/name	brandweer/noun	volop/adv	luchtvaart_bedrijf/noun	snel/adj	secretariaat/noun	slechts/adv	afdeling/noun	tijd/noun	choreografie/noun	en/vg	schooljaar/noun	AG/name	mede/adv	grotendeels/adv	vermogen/noun	Nissan/name	tak/noun	ze/pron	moet/verb	opleiding/noun	Chrysler/name	weer/adv	bovendien/adv	filiaal/noun	fabriek/noun	Top/name	jaar/noun	dus/adv	fors/adj	het/det	waardoor/pp	opnieuw/adv	Philips/name	intussen/adv	zich/pron	jeugd_beleid/noun	merk/noun	directie/noun	Bax/name	marketing_afdeling/noun	groep/noun	productie/noun	flink/adj	terwijl/comp	volledig/adj	gewoon/adj	regio/noun	jeugd_voetbal/noun	ten/adv	lening/noun	vermoedelijk/adj	totaal/noun	gebied/noun	dienst/noun	voetbal/noun	zonder/prep	Franse/name	we/pron	bestuurder/noun	markt/noun	zodat/comp	container_park/noun	Unilever/name	topman/noun	marketing/noun	Italiaan/noun	top/noun	dringend/adj	1999/noun	grondig/adj	dagenlang/adj	management/noun	administratie/noun	uiteindelijk/adj	sector/noun	volgens/prep	club/noun	zwaar/adj	zonder/comp	eerst/adv	medium_groep/noun	doorgaans/adv	schuld/noun	concern/noun	traject/noun	onderneming/noun	leger/noun	zichzelf/pron	tot/prep	wij/pron	staat_bedrijf/noun	bedrijf/noun	er/adv	bedrijf_terrein/noun
regio/noun	0.8845356	0.901865	0.8657264	0.8843803	0.8664818	0.93736655	0.90870583	0.9258113	0.74732757	0.9349511	0.94294006	0.85921687	0.7855835	0.7678253	0.815048	0.7950942	0.8694968	0.8308921	0.79083115	0.8473657	0.8068694	0.909425	0.8000062	0.87412536	0.8368988	0.873578	0.90133816	0.8792427	0.8813481	0.9015751	0.7934897	0.9118657	0.8870994	0.8676828	0.94210136	0.67787886	0.7103685	0.86190164	0.87384343	0.90026045	0.8127917	0.8935432	0.6843945	0.9009269	0.90071464	0.7289945	0.8341781	0.8775948	0.86263484	0.813266	0.8849206	0.851288	0.8029213	0.9259879	0.8790527	0.7930932	0.8934804	0.9237605	0.7971799	0.71517503	0.7767826	0.87560165	0.9091996	0.91306716	0.85310364	0.83194625	0.8041073	0.80979	0.8644491	0.8208311	0.89065284	0.8294624	0.83996046	0.8810326	0.9464481	0.89974004	0.7391275	0.83612865	0.874188	0.8206756	0.8803277	0.9391432	0.0	0.80503714	0.9069758	0.89502585	0.8365196	0.84910005	0.6111213	0.7817962	0.8411151	0.88516504	0.88379574	0.92440593	0.840049	0.8230112	0.8384004	0.7714601	0.889774	0.943119	0.87363183	0.91919166	0.8449932	0.8464963	0.90975153	0.89104337	0.8442506	0.86565244	0.8297243	0.93257946	0.6631696	0.8725266	0.7613988	0.84665674	0.9078597	0.91865665	0.85170716	0.82823074	0.8892877	0.8559593	0.7687877	0.79108125	0.7986854	0.92874587	0.88684225	0.90071976	0.8402108	0.7805234	0.86740184	0.7736886
jeugd_voetbal/noun	0.9191318	0.9131848	0.89218503	0.8509851	0.92163527	0.9069095	0.8069515	0.9304137	0.8353809	0.94243354	0.90176344	0.8748636	0.8399848	0.86959684	0.84578174	0.863603	0.86087686	0.88015234	0.88679004	0.8908321	0.86803347	0.8963947	0.8708718	0.89724827	0.8954343	0.8942654	0.9010549	0.8912773	0.9172424	0.86717963	0.86289	0.8913694	0.93517953	0.90139717	0.9213644	0.87159705	0.86865985	0.8762313	0.88858515	0.92584383	0.83004975	0.9072995	0.79109704	0.9046795	0.9168001	0.85177904	0.8568317	0.8976972	0.86128366	0.88807786	0.9094575	0.86975145	0.9090385	0.8940799	0.87044394	0.81506276	0.89689565	0.9015113	0.84985423	0.8759615	0.91374403	0.88211745	0.90412426	0.8745177	0.89203054	0.87910944	0.8868917	0.8436147	0.8928027	0.84367156	0.89812875	0.82349	0.8881618	0.89658964	0.9402919	0.8989607	0.8922072	0.8791269	0.86807793	0.89729226	0.8919705	0.9304909	0.80503714	0.0	0.93302083	0.92401034	0.93549466	0.9319033	0.89518285	0.8789041	0.72508514	0.87865824	0.89454454	0.855201	0.9062371	0.8928514	0.8440982	0.88451654	0.9147549	0.93643904	0.85574293	0.9286043	0.9034932	0.8749984	0.89349854	0.88159573	0.9216199	0.86653805	0.8576045	0.904809	0.8630105	0.9129335	0.752336	0.89444304	0.90542626	0.9011864	0.8902823	0.88832694	0.9311513	0.88558775	0.8766959	0.84394646	0.9200163	0.90974694	0.88331294	0.86780626	0.8888875	0.85128117	0.8714484	0.89007306
ten/adv	0.86782587	0.81513256	0.86565536	0.78107107	0.80799794	0.82328266	0.87949	0.8408687	0.88161755	0.8936213	0.8116417	0.80193394	0.862756	0.8873146	0.85103214	0.79537016	0.80917835	0.877481	0.85949993	0.8572625	0.8779135	0.8155416	0.8620615	0.9124699	0.8676937	0.87396395	0.8338192	0.8861698	0.8477401	0.7904569	0.88139856	0.80531234	0.8814528	0.9128891	0.86780834	0.87313384	0.9251191	0.871198	0.9012376	0.88724124	0.887104	0.6326764	0.92630434	0.8735759	0.9057013	0.8500098	0.85568076	0.8768658	0.838863	0.7999846	0.7386861	0.8739443	0.9116107	0.8119928	0.76711047	0.8594339	0.8634697	0.90549135	0.77133584	0.8591446	0.8692664	0.90460825	0.6673606	0.80969274	0.8499103	0.87286824	0.8313545	0.8576286	0.872242	0.80785227	0.85169226	0.88886756	0.90969133	0.85411495	0.9359576	0.9336174	0.8495718	0.8566415	0.87380695	0.8298551	0.81416935	0.90991366	0.9069758	0.93302083	0.0	0.7772359	0.7981259	0.62036514	0.8708075	0.88342965	0.9423081	0.886629	0.9170157	0.82634425	0.8774278	0.8957035	0.83965105	0.89077425	0.8311696	0.9223784	0.9096564	0.87364113	0.8860117	0.8529702	0.8278966	0.85927725	0.8508257	0.86590075	0.86937594	0.7699261	0.8684539	0.8347716	0.90334857	0.87407887	0.81286854	0.8263661	0.9105631	0.81275094	0.7896035	0.8287309	0.828274	0.8029696	0.835943	0.8317934	0.756862	0.77322865	0.85771614	0.80205727	0.7954589	0.864624
lening/noun	0.53099346	0.71966994	0.8890447	0.82294583	0.7901573	0.8967882	0.8427636	0.9096719	0.7359461	0.8547724	0.9094351	0.7699861	0.8167967	0.7849534	0.79602057	0.8366458	0.7766654	0.8199071	0.8250356	0.7844228	0.80923384	0.8694878	0.7363434	0.892519	0.7295786	0.81138945	0.83855486	0.9218409	0.8536651	0.82065785	0.7612504	0.8719058	0.9136881	0.8425328	0.89974743	0.8383172	0.93481606	0.90916497	0.8220611	0.8859222	0.84719914	0.75136817	0.8772468	0.91951346	0.9259649	0.8380742	0.83276874	0.7831287	0.77362275	0.7805063	0.5818126	0.81958526	0.8485077	0.87583745	0.7703174	0.81970495	0.8111979	0.89349794	0.691668	0.7300464	0.8062971	0.9150625	0.7863054	0.8241519	0.6688369	0.8569219	0.7113723	0.86834234	0.71249676	0.8552761	0.8864398	0.8858876	0.83086276	0.8194228	0.92420554	0.875716	0.8481803	0.7615197	0.7821022	0.808877	0.7831629	0.9144336	0.89502585	0.92401034	0.7772359	0.0	0.90230644	0.6826786	0.8640609	0.78857684	0.9286984	0.8588552	0.8782071	0.8890703	0.8738787	0.7661448	0.76007736	0.8300221	0.70042247	0.82393104	0.834836	0.9336592	0.88227147	0.8530852	0.78848803	0.913757	0.90556455	0.74106735	0.77389014	0.8400528	0.7420133	0.8589294	0.8548425	0.9153424	0.83997357	0.8768036	0.7861221	0.79950756	0.535223	0.64612067	0.79901606	0.57923204	0.89959204	0.8858777	0.8015467	0.86870813	0.6928468	0.5686562	0.8724945	0.8144728
vermoedelijk/adj	0.89265245	0.9086948	0.8976872	0.9053528	0.7725817	0.75274014	0.87354183	0.83799845	0.8665904	0.8265531	0.90252596	0.8197566	0.86254406	0.91522735	0.86545116	0.8805884	0.85390425	0.90588236	0.90561235	0.8648188	0.8472858	0.8265622	0.8982096	0.9020216	0.872401	0.8962672	0.6933588	0.83696395	0.885362	0.8389442	0.8230413	0.8846399	0.90938944	0.904828	0.9051278	0.8723277	0.74616224	0.9048674	0.8979664	0.8154798	0.8835551	0.85178334	0.9172851	0.8820871	0.9186993	0.76177686	0.86229604	0.89650005	0.8059128	0.75805956	0.88710314	0.786422	0.8648429	0.7899878	0.8610483	0.89712006	0.8316158	0.8502268	0.8427284	0.8422652	0.80335104	0.92915654	0.8280003	0.88390446	0.8722522	0.8419071	0.75544286	0.7489759	0.9090631	0.7668936	0.8669579	0.9140451	0.87397504	0.89578074	0.9393991	0.9281201	0.82010746	0.8478578	0.85933745	0.7790555	0.82150954	0.8788042	0.8365196	0.93549466	0.7981259	0.90230644	0.0	0.7757975	0.8305974	0.90307975	0.9120649	0.8036345	0.8795915	0.90259004	0.7611337	0.8985063	0.7809955	0.7989692	0.895857	0.9233961	0.9335419	0.8407799	0.90873164	0.8982525	0.7775007	0.8691782	0.7379664	0.9035165	0.89158714	0.77659047	0.92246455	0.800233	0.89068174	0.72346634	0.8155053	0.8439878	0.91390526	0.7883332	0.83459175	0.8846255	0.8437191	0.8903937	0.7538326	0.8629461	0.83911055	0.9103277	0.8708173	0.86349475	0.81139714	0.7839229
totaal/noun	0.8260381	0.82863283	0.9037152	0.90651137	0.81636286	0.85743725	0.90887946	0.915309	0.861303	0.856941	0.8637675	0.86109054	0.87046295	0.9193953	0.8152894	0.82833093	0.88027745	0.8802916	0.881421	0.8692729	0.83419347	0.7504489	0.860059	0.8937017	0.81881946	0.8894531	0.82013386	0.89673007	0.87195045	0.8883316	0.86054176	0.84526527	0.9472563	0.9289787	0.86578965	0.89161736	0.8693317	0.9089037	0.8617917	0.8892256	0.86086357	0.47199583	0.87499416	0.8725475	0.929611	0.828933	0.77401584	0.81621873	0.90604323	0.85582924	0.68123853	0.78626865	0.8910273	0.8759438	0.82758796	0.87517047	0.81141174	0.9117792	0.8162195	0.7221982	0.77886444	0.8220982	0.48533553	0.9065221	0.80682856	0.9015417	0.8194375	0.84721327	0.77512467	0.7904656	0.9183692	0.9252736	0.88066804	0.89326495	0.9000785	0.9079545	0.77771914	0.8174629	0.8476831	0.7947058	0.8600775	0.9162799	0.84910005	0.9319033	0.62036514	0.6826786	0.7757975	0.0	0.86751324	0.82630646	0.9448987	0.88243467	0.8958734	0.8984977	0.78269994	0.8875757	0.83819854	0.8252785	0.76050645	0.9071051	0.9118219	0.8537064	0.8654114	0.9149541	0.70767236	0.8999339	0.8601728	0.88592917	0.86010695	0.7941846	0.8660556	0.88537353	0.88450885	0.8585942	0.87116736	0.8870743	0.86453843	0.8629772	0.76587206	0.7781108	0.7273816	0.7654943	0.8699181	0.9337122	0.6856678	0.910695	0.82953763	0.7094668	0.8014524	0.80614
gebied/noun	0.8786825	0.90341383	0.8185202	0.8212162	0.8084961	0.8942486	0.9160048	0.88257253	0.69170743	0.93910515	0.9285524	0.77667785	0.7399534	0.7900911	0.79342484	0.7675344	0.80608803	0.8401899	0.7946935	0.82604593	0.75180006	0.89437795	0.81316715	0.924322	0.830441	0.8339422	0.8287179	0.8374045	0.889593	0.84029984	0.6865343	0.87389684	0.9080808	0.8116295	0.9330636	0.65118915	0.8599317	0.8753093	0.8801026	0.8654639	0.8543948	0.87282944	0.8356515	0.90385824	0.88389635	0.68110955	0.881138	0.8614053	0.84959763	0.7152798	0.82406914	0.8485206	0.74478483	0.8657005	0.8176893	0.8239066	0.88682246	0.8959803	0.7411039	0.8147778	0.7360008	0.9445448	0.9176244	0.8600918	0.87221867	0.8010591	0.73414683	0.8548414	0.8914259	0.80411613	0.8094608	0.8552187	0.80612284	0.8913385	0.9493799	0.91771525	0.7232183	0.79157704	0.87788486	0.7874776	0.7861038	0.9188036	0.6111213	0.89518285	0.8708075	0.8640609	0.8305974	0.86751324	0.0	0.7819455	0.9387322	0.86563903	0.86570966	0.8981951	0.90337133	0.76648986	0.75837517	0.78504133	0.87726253	0.94717	0.8588344	0.88570356	0.8581267	0.85978776	0.89685917	0.8509561	0.7599342	0.8333316	0.8126019	0.88764703	0.66636264	0.817742	0.8825196	0.8661554	0.8328899	0.88073224	0.8859685	0.758761	0.863642	0.832677	0.72969055	0.75457615	0.60920846	0.8523041	0.8894678	0.87875426	0.7756952	0.7453628	0.8443507	0.6748402
dienst/noun	0.77648646	0.88955104	0.9110624	0.8111748	0.8701184	0.92286533	0.7915722	0.91926354	0.674713	0.88714397	0.9467986	0.8417376	0.65315	0.8288719	0.7974039	0.7805707	0.79821193	0.8718054	0.83574164	0.837001	0.7810463	0.8805244	0.8067901	0.85700274	0.7775033	0.8166714	0.84407014	0.9330452	0.84533143	0.89549816	0.62746906	0.88429594	0.8878226	0.8752065	0.9449664	0.862021	0.78800935	0.8438314	0.84445167	0.9050927	0.6273569	0.8877755	0.5743413	0.9460129	0.9082292	0.7439256	0.79397744	0.80470556	0.87376463	0.82163966	0.85615367	0.8706547	0.8181585	0.8950572	0.7986126	0.65909827	0.8806772	0.9512213	0.7578201	0.71801585	0.7888919	0.9177477	0.9016345	0.916808	0.85971916	0.8033917	0.8225062	0.88561714	0.8124534	0.77724946	0.88510954	0.7771729	0.8362034	0.7436818	0.92343986	0.8581771	0.8054091	0.8027322	0.9174457	0.87874967	0.7980599	0.91033936	0.7817962	0.8789041	0.88342965	0.78857684	0.90307975	0.82630646	0.7819455	0.0	0.9086702	0.87269914	0.8500007	0.89980286	0.84686065	0.7947822	0.79426545	0.7187538	0.8686174	0.9018168	0.74364847	0.9429508	0.89366245	0.7532506	0.8989985	0.81389767	0.88247705	0.698802	0.500744	0.9228246	0.68298763	0.7969037	0.8159306	0.9148395	0.8678052	0.86031735	0.85060906	0.8369902	0.8610082	0.8070551	0.80923164	0.68430555	0.7739266	0.9052716	0.91483563	0.86219835	0.7524348	0.6305373	0.8856193	0.8062747
voetbal/noun	0.8913183	0.9192729	0.9082175	0.880102	0.8776659	0.91373765	0.643692	0.9094799	0.8849802	0.9347062	0.8507032	0.8557004	0.8551495	0.84447813	0.8678186	0.89556015	0.8897628	0.89475584	0.89995617	0.93242353	0.89324486	0.89032805	0.8828094	0.8649032	0.87347376	0.8890827	0.9125153	0.862029	0.93554693	0.84014547	0.921743	0.8534715	0.92424846	0.89925814	0.8993796	0.8683449	0.90171945	0.83364856	0.9108098	0.89786017	0.86934507	0.8918505	0.83992434	0.8815715	0.87090623	0.78744173	0.9111856	0.9050088	0.86065304	0.9036401	0.9047162	0.87702984	0.88159275	0.86698866	0.8754883	0.84775007	0.91540414	0.86263615	0.8488484	0.86803555	0.8690403	0.8229947	0.9270363	0.82616293	0.93383753	0.8525957	0.8852225	0.7915667	0.9036275	0.8727355	0.8989969	0.86326164	0.8621852	0.9380158	0.89589596	0.94802654	0.8488358	0.8931085	0.9115133	0.8810824	0.90576464	0.82085586	0.8411151	0.72508514	0.9423081	0.9286984	0.9120649	0.9448987	0.9387322	0.9086702	0.0	0.82801616	0.8402891	0.78964186	0.9169282	0.86359096	0.8745191	0.9173438	0.91507494	0.92100483	0.8234925	0.81360066	0.83342123	0.9175862	0.91181433	0.92777884	0.8682672	0.85424495	0.92855364	0.8936227	0.89928055	0.9144929	0.54210734	0.91171324	0.88974965	0.8965615	0.8972374	0.8271505	0.9264843	0.8945278	0.9204932	0.896999	0.90316683	0.8940811	0.93976194	0.79943556	0.8866149	0.89857113	0.8952042	0.92562664
zonder/prep	0.86513704	0.8953453	0.8542387	0.8195284	0.8809306	0.75665677	0.8544513	0.8625577	0.87830156	0.9134806	0.8579427	0.7657629	0.8617519	0.8765529	0.86746854	0.8169085	0.71601766	0.8530413	0.84036165	0.8179625	0.8406184	0.8763703	0.83759046	0.90825415	0.8627856	0.8518827	0.7792492	0.8585793	0.92415863	0.7053189	0.8700159	0.86814356	0.929289	0.87300634	0.8853612	0.8438078	0.87863827	0.8404408	0.9005905	0.7918426	0.8828777	0.8341721	0.9023257	0.8855027	0.86687815	0.6770661	0.891661	0.88843554	0.78976023	0.7798998	0.8518735	0.8486104	0.8775296	0.79078364	0.7302183	0.8244401	0.86997473	0.8336362	0.7290374	0.9241324	0.87959325	0.93590945	0.9400777	0.76918155	0.83071744	0.80196476	0.6816931	0.8002209	0.89229226	0.8165524	0.8773512	0.87914366	0.8752373	0.847411	0.93897545	0.91198176	0.87862575	0.85867506	0.8198004	0.7407483	0.7920148	0.7515532	0.88516504	0.87865824	0.886629	0.8588552	0.8036345	0.88243467	0.86563903	0.87269914	0.82801616	0.0	0.9155026	0.82190293	0.8612391	0.8780399	0.6831213	0.8715595	0.9092108	0.9483309	0.86617494	0.8737817	0.9119442	0.7984046	0.9175205	0.8402951	0.76332116	0.83081746	0.8462842	0.7958424	0.83083236	0.8843784	0.8387893	0.7831078	0.60665774	0.7946994	0.91377246	0.75411844	0.86200666	0.88339126	0.8491385	0.854171	0.86040545	0.84614587	0.8817823	0.8122045	0.86477244	0.8411432	0.76169467	0.8677898
Franse/name	0.7876231	0.9023558	0.93240184	0.88699967	0.83094245	0.902807	0.7769276	0.9139901	0.86804974	0.82708424	0.956563	0.8624707	0.8221308	0.86151034	0.7872926	0.86001456	0.89391804	0.87004095	0.89001274	0.90623	0.77996624	0.89607596	0.82400006	0.6559359	0.73848295	0.9182933	0.8860216	0.86536443	0.8336897	0.872816	0.86298054	0.91233295	0.83460385	0.9082701	0.9118783	0.8189073	0.92301536	0.90200675	0.82688344	0.92820686	0.8378595	0.91276544	0.77612317	0.9401247	0.8383195	0.78246737	0.8781382	0.74651074	0.89069825	0.8313685	0.90373147	0.8108557	0.8419955	0.8982196	0.9049823	0.87594116	0.80708724	0.9315671	0.88091767	0.776066	0.8194907	0.8328526	0.8973304	0.9092248	0.8959034	0.81477517	0.8941237	0.8745035	0.8375704	0.8362597	0.90772736	0.8947484	0.81665516	0.83922124	0.8972162	0.9262057	0.846331	0.8381351	0.91492903	0.88363373	0.85686624	0.92839974	0.88379574	0.89454454	0.9170157	0.8782071	0.8795915	0.8958734	0.86570966	0.8500007	0.8402891	0.9155026	0.0	0.9124331	0.87393725	0.8714473	0.89760745	0.8889546	0.8206889	0.7958909	0.87210584	0.8227232	0.8803705	0.90167004	0.80456585	0.89741695	0.863109	0.82637495	0.8001042	0.88211703	0.8656634	0.8069254	0.8260254	0.9218122	0.89909035	0.9022416	0.7586415	0.86761093	0.89598024	0.78876084	0.8900041	0.79725695	0.84153837	0.9045057	0.8840535	0.90235156	0.7652606	0.7762309	0.9285331	0.87620974
we/pron	0.8615115	0.86208606	0.7274754	0.58257735	0.8835044	0.6766817	0.86505485	0.79853827	0.8548558	0.9030645	0.5852641	0.7133255	0.86396307	0.8708421	0.8533271	0.8638797	0.6059288	0.8479489	0.8255334	0.8374008	0.8755485	0.66638803	0.8384183	0.9183873	0.88247395	0.8622596	0.7122952	0.82194835	0.8702686	0.62213606	0.873163	0.5082522	0.93311876	0.84560704	0.88723373	0.86511123	0.86549044	0.75512	0.8607701	0.69940126	0.882349	0.82665676	0.922758	0.7378057	0.8623389	0.82886183	0.8042584	0.91359055	0.8772013	0.83480954	0.84181666	0.8348736	0.9095121	0.3794402	0.48847502	0.85484433	0.85693127	0.62110615	0.6671976	0.9152476	0.8970818	0.9308796	0.8768166	0.5095997	0.8651718	0.863451	0.7855123	0.65981185	0.8867081	0.6949774	0.79393363	0.8180146	0.86578715	0.8119972	0.9096625	0.86182463	0.84915113	0.87837905	0.7815709	0.7612877	0.7903495	0.6035534	0.92440593	0.855201	0.82634425	0.8890703	0.90259004	0.8984977	0.8981951	0.89980286	0.78964186	0.82190293	0.9124331	0.0	0.9154034	0.86027646	0.6397438	0.84198177	0.8663964	0.95334846	0.8729842	0.8329939	0.8629527	0.77059543	0.9326358	0.7754025	0.7959742	0.8317212	0.8077119	0.7041539	0.8474722	0.9333857	0.7730947	0.86316025	0.6154678	0.5824436	0.87046236	0.7801066	0.87305886	0.85273916	0.83105516	0.854716	0.90609705	0.73553145	0.8869973	0.17454493	0.88536924	0.8406253	0.6179993	0.85720164
bestuurder/noun	0.8241982	0.9141624	0.9283782	0.8746927	0.8142177	0.8717782	0.85617054	0.85725874	0.8807676	0.83044726	0.93990785	0.8743516	0.871931	0.91260296	0.8428408	0.8724429	0.87710166	0.92987794	0.9037166	0.8928771	0.7947354	0.9105881	0.8739058	0.8208726	0.84010464	0.89308816	0.77765954	0.9129565	0.87512714	0.89298487	0.8835427	0.92440754	0.90260655	0.8960214	0.92182934	0.91754913	0.7128035	0.93189806	0.84365135	0.83200467	0.83213925	0.8627963	0.8258336	0.94194865	0.8916283	0.7540208	0.9217918	0.82870114	0.87514913	0.87591755	0.87273586	0.7548157	0.84702045	0.8407334	0.8309114	0.9129485	0.8116808	0.90413153	0.8144136	0.8073698	0.876812	0.8645613	0.9046945	0.90259916	0.8495909	0.891271	0.8131341	0.85205853	0.79471266	0.8059418	0.89410007	0.87434757	0.87715864	0.75258553	0.8393747	0.90107906	0.8906299	0.9004523	0.8645151	0.8446948	0.857612	0.90860635	0.840049	0.9062371	0.8774278	0.8738787	0.7611337	0.78269994	0.90337133	0.84686065	0.9169282	0.8612391	0.87393725	0.9154034	0.0	0.9030104	0.8373426	0.8528198	0.8313419	0.54570264	0.8311577	0.87504596	0.8828246	0.8966365	0.8830719	0.9006558	0.86986303	0.7473352	0.8295957	0.85519636	0.8831472	0.73380697	0.86941993	0.770825	0.828745	0.88914734	0.8592988	0.8707245	0.86922383	0.8383233	0.8134695	0.80680823	0.86741364	0.8804551	0.90517396	0.9120426	0.8278688	0.81245	0.8967769	0.83192563
markt/noun	0.64916134	0.7708794	0.8492938	0.8179386	0.8161907	0.8995075	0.88292265	0.8863323	0.7133093	0.88128585	0.8987345	0.7743498	0.80083984	0.5698428	0.7392895	0.8173854	0.7991049	0.7610473	0.78328335	0.7975222	0.80923575	0.8967986	0.66017044	0.90890473	0.73090225	0.83670086	0.8174039	0.877367	0.8999214	0.83211964	0.65095544	0.85291755	0.9425665	0.7766309	0.91685486	0.64226186	0.91562	0.81607825	0.8266771	0.77296233	0.8883204	0.8701752	0.8249534	0.8709898	0.9073458	0.76420593	0.90877473	0.80973107	0.769589	0.7719612	0.7535957	0.77260387	0.739456	0.861061	0.82874966	0.8611947	0.7732682	0.82703376	0.6836536	0.72778654	0.7537506	0.9314834	0.90694094	0.81664956	0.7134317	0.83608174	0.6729636	0.8244643	0.68299913	0.83382463	0.8320985	0.87618697	0.6568601	0.8858565	0.9210971	0.85528684	0.77071846	0.65246284	0.76118034	0.77759504	0.77841914	0.8687171	0.8230112	0.8928514	0.8957035	0.7661448	0.8985063	0.8875757	0.76648986	0.7947822	0.86359096	0.8780399	0.8714473	0.86027646	0.9030104	0.0	0.7473565	0.81786895	0.66422755	0.84990096	0.7480285	0.9229126	0.82603365	0.8832249	0.8623117	0.8807477	0.8512064	0.72168726	0.8448524	0.8760837	0.5859666	0.8616999	0.85964954	0.8938012	0.8508363	0.8902451	0.75115865	0.74794495	0.8371972	0.60089624	0.883454	0.5717381	0.83855903	0.87870896	0.8764259	0.84887075	0.73400664	0.5681366	0.84777224	0.83397406
zodat/comp	0.79602176	0.7979319	0.75500643	0.6569818	0.86041504	0.6561964	0.8582836	0.80076617	0.7513594	0.9181442	0.77553093	0.6573117	0.82645017	0.79358304	0.8140448	0.7814439	0.5484216	0.8292326	0.79575896	0.7165967	0.73924685	0.7946006	0.77230525	0.90757567	0.82171005	0.809608	0.5737557	0.7721337	0.8744397	0.6689701	0.71059084	0.7487235	0.90647304	0.80795395	0.81480026	0.8067477	0.76413995	0.78236747	0.86735386	0.61075217	0.7927596	0.77923226	0.85839856	0.75705796	0.8121404	0.61272955	0.7329762	0.8601505	0.82441795	0.70321125	0.7572564	0.8050885	0.77621025	0.6812218	0.529357	0.75609064	0.8277628	0.61657095	0.51707387	0.84790945	0.75929964	0.93426055	0.8821139	0.5914904	0.7634517	0.75958455	0.28201282	0.6476455	0.8499216	0.6761559	0.7729074	0.79610234	0.79935825	0.8326386	0.9240351	0.88817626	0.79852927	0.73095536	0.6798592	0.6122865	0.6162231	0.69578815	0.8384004	0.8440982	0.83965105	0.76007736	0.7809955	0.83819854	0.75837517	0.79426545	0.8745191	0.6831213	0.89760745	0.6397438	0.8373426	0.7473565	0.0	0.69106525	0.8488153	0.94694406	0.83483243	0.8737972	0.8686014	0.7353575	0.9072053	0.7446642	0.7327274	0.7916207	0.70321995	0.7356134	0.7541043	0.87274677	0.84565943	0.79547065	0.60948616	0.66416943	0.8538158	0.6762636	0.8204635	0.82170796	0.6604807	0.77804345	0.8689767	0.7926625	0.820095	0.69871265	0.8057495	0.7412076	0.6709756	0.6924867
container_park/noun	0.84926164	0.90914327	0.87145966	0.81423795	0.90069336	0.8520192	0.8981269	0.91641825	0.77644604	0.9192108	0.9141419	0.821999	0.862527	0.9099358	0.8350054	0.8550991	0.80322367	0.86232525	0.8621543	0.7920597	0.7241804	0.8690206	0.8720366	0.897703	0.84845686	0.8710415	0.79290676	0.89175886	0.82972074	0.8502911	0.74415183	0.8607836	0.8631311	0.9199992	0.9153333	0.8824616	0.69783795	0.85400915	0.87444025	0.8501314	0.6968394	0.8540567	0.76232576	0.9179556	0.9071353	0.7956201	0.75535727	0.8636123	0.9010544	0.814389	0.883473	0.81828004	0.86633253	0.82795	0.7658831	0.84325325	0.856191	0.85385185	0.759595	0.72743034	0.7017014	0.9228645	0.9025865	0.8612821	0.84498686	0.8232717	0.76826847	0.75977397	0.8769571	0.79360425	0.8754181	0.82110417	0.88244516	0.8379314	0.9289044	0.90175116	0.8962817	0.79488856	0.8683435	0.8635516	0.7736395	0.8764176	0.7714601	0.88451654	0.89077425	0.8300221	0.7989692	0.8252785	0.78504133	0.7187538	0.9173438	0.8715595	0.8889546	0.84198177	0.8528198	0.81786895	0.69106525	0.0	0.89146227	0.9307903	0.87320155	0.94334626	0.9272289	0.80324286	0.8607594	0.7852774	0.8588295	0.8440158	0.71422315	0.8513391	0.8579012	0.8932679	0.8770125	0.8724346	0.82804304	0.8316751	0.87790024	0.85481197	0.8911736	0.8608805	0.74959767	0.825673	0.9001334	0.93078095	0.8454927	0.84987724	0.8470771	0.7477199	0.8337288	0.66220134
