	of/adj	werk_uit/verb	prachtig/adj	feestelijk/adj	acteer/verb	als/prep	gestuurd/adj	Andriessen/name	componist/noun	toneelstuk/noun	provocerend/adj	tegendeel/noun	wel/adv	poëzie/noun	maar/adv	waanzinnig/adj	kort/adj	the/UNKNOWN	vrij/adj	Ralph/name	intelligent/adj	noch/vg	Rowan/name	New/name	streef_na/verb	opera/noun	menig/det	schrijnend/adj	tegelijk/adj	'98/noun	bedoeling/noun	doorgewinterd/adj	stuk/noun	dankzij/prep	antwoord/noun	dan/comparative	pak_uit/verb	podium/noun	melig/adj	literair/adj	dynamisch/adj	bijvoorbeeld/adv	Shannon/name	goochel/verb	voedsel/noun	bedoel/verb	oneliner/noun	cd/noun	onomstotelijk/adj	script/noun	weduwnaar/noun	gemeen/adj	debuut/noun	choreografie/noun	toch/tag	en/vg	trailer/noun	breng/verb	kaart/fixed	gemoedelijk/adj	Engeland/name	Newyorks/adj	verteder/adj	Frans/name	essay/noun	variant/noun	man/noun	onrustig/adj	weerzinwekkend/adj	weer/adv	manier/noun	flets/adj	film/noun	doe/verb	onderschrift/noun	acteur/noun	zeer/adj	als/comp	feest/noun	teweeg/part	The/name	verhaal/noun	zo/adj	onweerstaanbaar/adj	ben/verb	Portrait/name	spits/adj	ontleed/verb	bloes_DIM/noun	gewiekst/adj	haar/pron	mengeling/noun	ontnuchter/adj	breng_teweeg/verb	spontaan/adj	ergerlijk/adj	voorstelling/noun	aardig/adj	te/adv	Risseeuw/name	aria/noun	bundel/noun	droog/adj	licht/adj	ingenieus/adj	dat/det	dat/pron	Hot/name	ontwapen/adj	lady/noun	Arjen/name	fraai/adj	heel/adv	More/name	oorspronkelijk/adj	briljant/adj	zachtaardig/adj	oneerbiedig/adj	Journalist/name	kijk_heen/verb	seizoen/noun	Kwaremont/name	8/num	Ruby/name	als/comparative	zijn/det	vaak/adj	vertoon/verb	boek/noun	tragikomische/adj	voltooi/verb	opvallend/adj	wat/pron	speel/verb	beeld/noun	observatie/noun	wissel_af/adj	roman/noun	eindeloos/adj	bom/noun	stijl/noun	nauwelijks/adv	die/pron	bijzonder/adj	and/noun	zoals/comp	dit/det	immer/adv	wreed/adj	inconsequent/adj	Stefan/name	desinteresse/noun	lied_DIM/noun	technisch/adj	Harry/name	trouwens/adv	gemak/noun	verfrissend/adj	boorde_vol/prep	gesprekspartner/noun	veelzijdig/adj	Talk/name	altijd/adv	want/vg	houd_over/verb	megalomaan/adj	neus_hoorn/noun	obsessie/noun	vol/adj	Love/name	kinderlijk/adj	Gore/name	vind/verb	muzikant/noun	vondst/noun	sketch/noun	paar/noun	wrang/adj	serieus/adj	De/det	kritisch/adj	lang/adv	milieu/noun	Miller/name	improviseer/adj	deze/det	tent/noun	vrijmoedig/adj	overtuigend/adj	Pedro/name	onbegrijpelijk/adj	ze/pron	arrogantie/noun	bijrol/noun	Donner/name	ad/adj	zelden/adj	Mulisch/name	toegankelijk/adj	ga_vooraf/verb	gedicht/noun	uitgesponnen/adj	heerlijk/adj	slipper/noun	eenvoudig/adj	romancier/noun	slapstick/noun	schrijfster/noun	roem/noun	performance/noun	schrijf_op/verb	time/verb	slim/adj	eenzaam/adj	toch/adv	Merwijk/name	zwijg/adj	terloops/adj	Rawie/name	vooruitzicht/noun	nogal/adv	Amerika/name	zeil/verb	Self/name	nota/adv	geweldig/adj	poging/noun	coma/noun	waarbij/pp	doos/noun	sprekend/adj	vele/adj	voordracht/noun	relatie/noun	dandy/noun	Polleke/name	kwartet/noun	associatief/adj	lek/adj	Nieuw-Zeelander/noun	Batavia/name	Peper/name	wijn_fles/noun	verdienste/noun	zin/noun	waarop/pp	beetje/noun	aanstekelijk/adj	thematiek/noun	gast/noun	hierin/pp	ludiek/adj	daarbij/pp	bizar/adj	verzameling/noun	zowel/vg	logica/noun	tenger/adj	spot/adj	spel/noun	lever_op/verb	creatief/adj	Wax/name	eens/adv	commentaar/noun	stereotiep/adj	haast/adv	vorm/verb	gezang/noun	emmer/noun	een/adj	hoe/adj	zoek_tocht/noun	geschreven/adj	speels/adj	Me/name	zo'n/det	Roland/name	klink/verb	vriendelijk/adj	reactie/noun	ziekelijk/adj	toe/adv	gaaf/adj	flits/adj	Food/name	film_DIM/noun	welbespraakt/adj	presentator/noun	Fred/name	waan/noun	enkel/det	kunst/noun	ook/adv	waarin/pp	tempo/noun	bitter/adj	vervang/verb	ook/vg	schrijf/verb	anekdote/noun	onwaarschijnlijk/adj	spionne/noun	danser/noun	juist/adj	Hoorn/name	vervolgens/adv	hedonistisch/adj	pretentieus/adj	lach/verb	fris/adj	zo/adv	Hamlet/name	aflevering/noun	Ford/name	eigenlijk/adj	onzinnig/adj	Richard/name	Dan/name	vinnig/adj	snel/adj	Hit/name	origineel/adj	!/name	neer/part	Life/name	maar/vg	Minoes/name	genoeg/adv	rock/noun	erg/adj	lied/noun	heimwee/noun	woordspeling/noun	hermetisch/adj	rem/adj	wijze/noun	helder/adj	3000/num	Peet/name	bovendien/adv	gek/adj	verslag/noun	Amanda/name	geil/adj	grof/adj	duivel_DIM/noun	virtuoos/adj	pianist/noun	mossel/noun	vooraf/part	Francis/name	dramatisch/adj	Marokkaans/adj	adembenemend/adj	scène/noun	beperking/noun	modern/adj	illustratie/noun	voor_publicatie/noun	lees/verb	reeks/noun	verrukkelijk/adj	gezicht/noun	maak/verb	super/adj	beminnelijk/adj	melancholie/noun	plaat/noun	broederschap/noun	elegant/adj	element/noun	al/comp	wending/noun	geïllustreerd/adj	stapel/noun	hedendaags/adj	verontrustend/adj	It/name	waanzin/noun	stel/noun	musical/noun	Jeroen/name	hij/pron	gulzig/adj	even/adj	grappig/adj	absoluut/adj	spaar/verb	ironisch/adj	Engelstalig/adj	bijdrage/noun	maar/comp	portret/noun	vers/noun	tentoonstelling/noun	patroon/noun	Walle/name	wat/adv	overrompel/adj	detail/noun	veel/adj	beschrijving/noun	dialoog/noun	geluid_effect/noun	Xander/name	vertel/verb	Small/name	stoutmoedig/adj	karikatuur/noun	komedie/noun	thriller/noun	satire/noun	actie_film/noun	regisseur/noun	om_kade_ring/noun	neig/verb	onnavolgbaar/adj	Noorden/name	Bob/name	als/vg	blijk/verb	variatie/noun	min/adj	vol/prep	mik/verb	onverwacht/adj	hoewel/comp	behoorlijk/adj	onschadelijk/adj	schets/verb	hoogstaand/adj	zoet/adj	onnodig/adj	duidelijk/fixed	reputatie/noun	lijk/verb	zwart_wit/adj	rancuneus/adj	teken_uit/verb	serie/noun	net/adv	passage/noun	in/fixed	groep_DIM/noun	bijna/adv	zelfs/adv	toespraak/noun	fris/noun	creatie/noun	fair/adj	zeer/adv	origineel/noun	onderdeel/noun	column/noun	gesprek/noun	scherp/adj	energiek/adj	en/adv	Mini/name	hoorn/noun	dol/adj	gevoelig/adj	personage/noun	buitengewoon/adj	computer/noun	typering/noun	Atkinson/name	goed/adj	onbedaarlijk/adj	sterk/adj	moment/noun	inhoudelijk/adj	messcherp/adj	Coppola/name	laconiek/adj	uitval/noun	werk_DIM/noun	leuk/adj	cynisme/noun	Zwitser/noun	draai/noun	war/name	alert/adj	opmerkelijk/adj	beklemmend/adj	verbeeld/verb	spannend/adj	contrasteer/adj	voorspelbaar/adj	alleszins/adv	thema/noun	mild/adj	ontroerend/adj	op/part	mijne/noun	neurose/noun	opmerking/noun	overvloede/adv	World/name	bedoeld/adj	koe/noun	West_Vlaams/adj	echt/adj	aankondiging/noun	uitermate/adv	maak_mee/verb	mooi/adj	heel/adj	mix/noun	luister/verb	soms/adv	vooral/adv	herhaaldelijk/adv	uitzinnig/adj	af/adv	met/prep	geloofwaardig/adj	ongelooflijk/adj	absurd/adj	villa/noun	wend_voor/verb	grap_DIM/noun	naïef/adj	tafel/noun	titel/noun	uitgedost/adj	uit_vergroting/noun	even/adv	over/prep	raak/adj	hoofdpersoon/noun	rol/noun	gewoon/adj	haar/det	getekend/adj	dirigent/noun	ongekend/adj	Almodovar/name	Straat/name	humor/noun	kleurrijk/adj	plant/noun	erudiet/adj	charmant/adj	rijm/verb	natuurlijk/adj	zonder/prep	gevat/adj	hilarisch/adj	ramp/adv	gelukkig/adj	effect/noun	cosmopolitisch/adj	rest/noun	tegenover/prep	bene/adv	lekker/adj	bevat/verb	ijzersterk/adj	fel/adj	vervolg/noun	Graham/name	vindingrijk/adj	onvoorspelbaar/adj	scherpzinnig/adj	een/det	waarmee/pp	zet_neer/verb	onderhoud/adj	voorzie/verb	Claus/name	of/vg
of/adj	0.0	0.7546031	0.81429577	0.8301282	0.8612107	0.82512665	0.8364053	0.9485368	0.879059	0.88026744	0.77553576	0.86708987	0.80942136	0.8317876	0.87608737	0.7908787	0.88883024	0.94793206	0.86306256	0.9199751	0.79807645	0.8213881	0.9726093	0.9431167	0.84923995	0.9098598	0.8145919	0.77786267	0.81079257	0.9740521	0.92630625	0.89567375	0.85315275	0.8659074	0.8954758	0.8936393	0.8205352	0.8561412	0.79284793	0.7934343	0.84982955	0.818694	0.95649695	0.8254455	0.84794486	0.8863411	0.81856924	0.87579966	0.86029446	0.82547677	0.95722777	0.7898058	0.89086944	0.8818636	0.7887765	0.79616153	0.9462681	0.8946714	0.8826609	0.86370164	0.9372321	0.91764575	0.7998378	0.95205545	0.8846377	0.8710498	0.92251986	0.8802096	0.76791465	0.82987404	0.70400083	0.87229395	0.84471405	0.86466455	0.8810811	0.8848855	0.9344383	0.83237994	0.78249776	0.9145466	0.92203933	0.77342856	0.80059993	0.7776105	0.81172705	0.97941655	0.8759181	0.8617095	0.93068755	0.89647126	0.88299537	0.8509724	0.8898837	0.89003456	0.8106574	0.75225943	0.8517796	0.8186195	0.8042885	0.9962705	0.9023262	0.85517013	0.8746733	0.8414161	0.75912285	0.83600396	0.79720944	0.95386094	0.8640749	0.9426751	0.8630328	0.82562697	0.8140911	0.9412949	0.87036633	0.8155689	0.8747694	0.90480417	0.9581318	0.93077034	0.92894596	0.98307025	0.94937456	0.9757129	0.77973723	0.8389029	0.7453501	0.85357946	0.8554111	0.8666196	0.8912218	0.83809274	0.88070905	0.89924335	0.84413123	0.8255666	0.8333626	0.867734	0.84446245	0.9085505	0.8053731	0.89237076	0.7623147	0.7826092	0.9410113	0.82728684	0.84100664	0.8615604	0.7369515	0.89775765	0.9579378	0.9509153	0.783278	0.84912395	0.91628444	0.8598416	0.88432324	0.811095	0.8258046	0.927148	0.88926613	0.93805146	0.7884226	0.8441129	0.91342425	0.82647264	0.95836705	0.8722877	0.8702514	0.9203337	0.8024911	0.92623645	0.76935256	0.8922977	0.7803277	0.8190721	0.86397934	0.8105476	0.8175237	0.903023	0.8460874	0.8579967	0.92261994	0.94080245	0.899384	0.7268495	0.87398076	0.890326	0.8204943	0.9521463	0.78112614	0.8660374	0.87167615	0.931161	0.9414676	0.9131389	0.79085267	0.86971045	0.8344163	0.92402154	0.83246386	0.87504464	0.85166585	0.9710933	0.76548105	0.8842686	0.85845065	0.84709716	0.90712684	0.83663595	0.85410833	0.9509442	0.791558	0.9009743	0.7562037	0.9422586	0.8700043	0.7903065	0.9739103	0.92676705	0.7184319	0.87210846	0.9664711	0.95647186	0.9095634	0.8619807	0.84781104	0.95833284	0.8001674	0.8338908	0.87034833	0.75262105	0.8839679	0.88858086	0.9030986	0.9152728	0.9315813	0.8092949	0.8496759	0.9689052	0.94413507	0.927145	0.9404881	0.9017823	0.82161075	0.70152175	0.7339755	0.81594133	0.8304461	0.81188136	0.8758427	0.6520582	0.90177286	0.7250128	0.8236302	0.90472865	0.870406	0.9239826	0.8685147	0.7803338	0.85026443	0.7302898	0.9688393	0.8851093	0.8315327	0.86814713	0.73756486	0.85305035	0.8654262	0.9466041	0.364532	0.7803711	0.79466915	0.849127	0.75940025	0.9119415	0.7071037	0.91866755	0.7742637	0.87208056	0.8793816	0.9026598	0.82044846	0.9094652	0.7909778	0.9653301	0.7290503	0.90596247	0.86118925	0.91716945	0.9163229	0.806456	0.86674994	0.8454684	0.7949561	0.8274751	0.85997576	0.8350489	0.78510916	0.886709	0.7753906	0.86295533	0.9244556	0.86360383	0.77380234	0.8449305	0.8276571	0.8679754	0.74484324	0.84562135	0.8224763	0.8080564	0.9278709	0.8913483	0.97338885	0.84155905	0.81345856	0.9229748	0.9180516	0.8941826	0.881371	0.94545484	0.72453094	0.8893049	0.9301836	0.8673072	0.769102	0.96220565	0.86015165	0.87032473	0.8212065	0.8483951	0.88845855	0.8067572	0.8938011	0.91147745	0.7675794	0.86588675	0.9495083	0.9516251	0.8237975	0.7904118	0.817123	0.96435386	0.7964067	0.7763777	0.90890175	0.78009665	0.88336754	0.88058376	0.920643	0.92839265	0.84841835	0.9206062	0.8314585	0.8144404	0.88832897	0.83906126	0.8745892	0.95635027	0.84911925	0.86093944	0.8769483	0.8501488	0.813067	0.8580883	0.8943425	0.85057706	0.8601415	0.914675	0.8179208	0.832148	0.8789572	0.8452717	0.8946985	0.8735731	0.8175669	0.8570113	0.9285387	0.8409569	0.7873752	0.85899556	0.93126625	0.8908177	0.8798106	0.8180986	0.75089216	0.891922	0.87831557	0.7688184	0.8999316	0.85682976	0.8397989	0.875565	0.9087316	0.8761607	0.8931954	0.964013	0.7698194	0.8366423	0.82240635	0.86139655	0.8634509	0.78114015	0.852283	0.8630533	0.86805487	0.9361852	0.89192843	0.86143625	0.84772563	0.8587985	0.8731741	0.8830406	0.8625462	0.8631848	0.8907987	0.7493583	0.8767407	0.8907845	0.88902056	0.90378225	0.8385041	0.85095555	0.7486012	0.82809544	0.8242397	0.8546262	0.739762	0.9054694	0.8770976	0.86840034	0.86381125	0.83742195	0.7803116	0.90831405	0.8056382	0.94115317	0.881835	0.8794057	0.86186254	0.87528116	0.8139976	0.907575	0.8634054	0.8351354	0.8426855	0.8996873	0.96392035	0.81301653	0.8812298	0.8339699	0.8164648	0.8314593	0.87831056	0.9061525	0.83126473	0.84619963	0.80819297	0.9535954	0.9314004	0.84450006	0.8319724	0.76743466	0.79631704	0.81362337	0.9042671	0.9762215	0.8871754	0.968776	0.92650175	0.8514601	0.8572002	0.8596458	0.9337859	0.81267804	0.88628834	0.8306383	0.75175285	0.9055664	0.88770443	0.82971644	0.9700127	0.92912304	0.8778574	0.84749985	0.80088484	0.82497495	0.91951704	0.74475807	0.85448927	0.80896705	0.8424623	0.7889714	0.9130144	0.93840504	0.92531526	0.8037075	0.9767195	0.95217896	0.7783452	0.88978434	0.8817671	0.81751895	0.86268026	0.85258484	0.80254555	0.8290719	0.8045087	0.8139174	0.90081185	0.7324505	0.7531271	0.9398778	0.82136166	0.8384964	0.8355156	0.8023343	0.7767997	0.7470772	0.9270763	0.95508325	0.78632665	0.7594655	0.9048178	0.8655391	0.87574565	0.87798375	0.7889087	0.82949233	0.80688167	0.8546665	0.9307449	0.8075955	0.8728052	0.862815	0.8623278	0.8731832	0.97225755	0.97015375	0.7627653	0.7992039	0.90260714	0.86398715	0.8324166	0.9149531	0.73578984	0.84299695	0.82819986	0.7489057	0.9775522	0.83420336	0.87184423	0.8645434	0.92176497	0.9143121	0.9414467	0.80576265	0.8102931	0.9025007	0.8872932	0.91423386	0.9005757	0.86449957	0.86521924	0.86638266	0.74444574	0.8147603	0.85475266	0.84292614	0.8985708	0.8871482	0.7650305
werk_uit/verb	0.7546031	0.0	0.65739846	0.7553849	0.67448664	0.69708663	0.856236	0.8574476	0.80230594	0.68449336	0.76995444	0.81884634	0.87292206	0.6994797	0.8606435	0.7288724	0.7587344	0.8423764	0.7508991	0.80721235	0.59086734	0.7962056	0.87243545	0.8792482	0.7061713	0.7420852	0.70378727	0.72071874	0.69996107	0.8988005	0.7438189	0.8538007	0.59716254	0.63980836	0.7633881	0.79904544	0.6625777	0.77981097	0.7964416	0.6505157	0.5689993	0.7212329	0.9068552	0.72604644	0.861122	0.8101749	0.740526	0.7870422	0.8458108	0.66251236	0.85867167	0.8457596	0.7488017	0.59843993	0.82880867	0.61429954	0.8687527	0.7581036	0.7513524	0.83350855	0.8605988	0.7661606	0.78000355	0.83271897	0.7735539	0.6951749	0.90068436	0.90573907	0.8071381	0.86987674	0.6162964	0.72778845	0.5325726	0.8853624	0.8570158	0.6561957	0.88768315	0.8760787	0.8346235	0.86256254	0.73247796	0.5760323	0.7346833	0.70455897	0.72931504	0.96185994	0.7075922	0.73195696	0.95987916	0.80643916	0.8580605	0.6875807	0.78991383	0.8534869	0.70888233	0.7137152	0.5619476	0.6795809	0.8333354	0.8941308	0.70319873	0.69025356	0.8669517	0.7695459	0.58324647	0.83151585	0.68529963	0.87410015	0.751502	0.9115488	0.9137849	0.64717656	0.7158142	0.9048998	0.67391896	0.6152539	0.8352449	0.8247919	0.91239655	0.85781664	0.8800243	0.8578704	0.91179043	0.91377807	0.66549504	0.7514786	0.65627116	0.70732266	0.6516948	0.7294447	0.7714569	0.6889096	0.83434725	0.6891982	0.6675214	0.68881184	0.68405	0.64862645	0.6571585	0.8651844	0.57867163	0.7596127	0.7025493	0.567424	0.8165457	0.65652084	0.7893817	0.70096385	0.7477485	0.7806399	0.88769627	0.9553937	0.6895521	0.67196244	0.8381307	0.78028274	0.7837209	0.6924775	0.68032265	0.7790263	0.7046749	0.8045262	0.7548729	0.77524376	0.82225347	0.8539251	0.93498564	0.74099725	0.85826	0.774789	0.78088313	0.8474643	0.8245293	0.7173059	0.60900253	0.7280905	0.8108196	0.77853096	0.76662016	0.73493564	0.7612497	0.798099	0.7789465	0.7865658	0.77657735	0.58101887	0.8767065	0.7988584	0.63415796	0.8496189	0.82685834	0.8676605	0.8786132	0.72042626	0.8594128	0.79919505	0.667778	0.806057	0.7094582	0.76590246	0.69702554	0.6690074	0.7861916	0.9604213	0.68635213	0.80989397	0.66735387	0.76040816	0.8765472	0.7602604	0.71332806	0.8272468	0.69522464	0.8495827	0.8291422	0.91571134	0.845279	0.72831714	0.9374024	0.90363455	0.65891933	0.7740691	0.8888836	0.8669218	0.91895986	0.76707673	0.7489064	0.88022256	0.526204	0.81632704	0.7641799	0.6762024	0.70748365	0.76298815	0.89057136	0.84970856	0.7305485	0.7115129	0.7231438	0.8949548	0.804672	0.8799642	0.95173335	0.8575202	0.73443353	0.6894384	0.7845687	0.6156394	0.7123879	0.80088246	0.7351159	0.67726433	0.72493577	0.62636554	0.7047973	0.6716152	0.7460647	0.9042914	0.8367532	0.5412531	0.6495122	0.6554919	0.92530984	0.9203676	0.71721524	0.81606674	0.75195366	0.6183885	0.84459347	0.91209364	0.73752916	0.71287084	0.68793386	0.5968034	0.5542635	0.81825536	0.7724205	0.84749424	0.7444062	0.7905214	0.8128904	0.86365414	0.8282057	0.79915476	0.62693113	0.8355038	0.6689786	0.8288527	0.7904123	0.8488848	0.9203355	0.7204733	0.7241971	0.8047478	0.53400844	0.6636744	0.79833996	0.77773863	0.7085595	0.69314975	0.6913804	0.6571468	0.7798604	0.6533485	0.77589154	0.8481244	0.76729	0.82923794	0.7427206	0.86080575	0.72032154	0.747651	0.77472514	0.6991155	0.88157797	0.8495082	0.6971134	0.7548493	0.85710853	0.7427813	0.8343477	0.91015315	0.5467853	0.78487676	0.79215896	0.8369142	0.68047684	0.8308237	0.7457196	0.75273895	0.679687	0.7141677	0.8709156	0.74215716	0.8300054	0.7603982	0.5735856	0.6832239	0.9137951	0.93641096	0.6939223	0.84161067	0.70960486	0.8486988	0.874398	0.7776136	0.9053017	0.65877944	0.768515	0.9290829	0.7891954	0.8493856	0.642529	0.89386517	0.69526947	0.58121186	0.7767	0.64972454	0.7638167	0.8914096	0.75119877	0.650182	0.7803023	0.8209638	0.7349668	0.86603606	0.86970896	0.7943319	0.758939	0.85732055	0.67712426	0.5936854	0.76988673	0.68538266	0.745355	0.8747396	0.6369485	0.6980029	0.8737082	0.7961923	0.769006	0.69847673	0.9037755	0.80815023	0.92094004	0.75183696	0.6204058	0.8315416	0.8582094	0.67293847	0.79937863	0.7165521	0.8409318	0.7398412	0.7553767	0.6791778	0.62863255	0.90262306	0.7513937	0.71506995	0.6105591	0.7555522	0.6957235	0.5450101	0.8578299	0.94152945	0.7531754	0.8463696	0.8014734	0.78131473	0.6390577	0.6061193	0.71285486	0.6512596	0.6325201	0.7701921	0.8412856	0.7174549	0.89778465	0.8007263	0.7043619	0.81027967	0.6277786	0.69605017	0.60016644	0.7306881	0.73846984	0.7041874	0.69298893	0.8600911	0.67717826	0.71391547	0.85646987	0.82490516	0.81774276	0.840348	0.75701755	0.86487746	0.91572034	0.6805653	0.63282144	0.8377125	0.7221643	0.8577841	0.7817421	0.8285907	0.7645274	0.81855637	0.92709416	0.6910726	0.8713838	0.6176538	0.6355173	0.6887629	0.78132135	0.7692395	0.69153464	0.6949769	0.8172844	0.8662309	0.8693443	0.80119395	0.75283873	0.5928209	0.6616932	0.81285316	0.7251686	0.873254	0.8525996	0.85802114	0.7329345	0.7756383	0.65182745	0.7230816	0.86697686	0.7634374	0.84917676	0.72990394	0.6576835	0.8545127	0.8163033	0.7012124	0.8905214	0.8392197	0.67960584	0.73909676	0.6531412	0.61298454	0.7849569	0.573096	0.7877864	0.53852284	0.7719786	0.65170336	0.826973	0.9182164	0.89711684	0.78595495	0.91280496	0.89178944	0.6982472	0.9139687	0.8165636	0.7610252	0.8356397	0.6327801	0.85392123	0.7157746	0.7201009	0.59659046	0.8470854	0.64634514	0.65445906	0.8276753	0.76044136	0.8265771	0.6844507	0.7054019	0.6967511	0.6450062	0.93706	0.88007945	0.76755357	0.6878381	0.83687866	0.7559818	0.8637862	0.8210575	0.64979756	0.6847129	0.755276	0.7203549	0.71961087	0.85701525	0.7734797	0.66852707	0.8088345	0.78698736	0.91279125	0.9050462	0.6143371	0.60623807	0.81209075	0.76485765	0.64318466	0.79692876	0.7927562	0.78208643	0.76381874	0.6257683	0.93300056	0.86435354	0.7342346	0.82192636	0.909211	0.87602174	0.875306	0.794889	0.64158	0.6550701	0.82200027	0.66863537	0.85486495	0.6646289	0.70120794	0.7614815	0.5871774	0.63638836	0.68078935	0.68493617	0.78711355	0.75105596	0.80425304
