	gesprek/noun	zogezegd/adj	bezinning/noun	verkiezingsnederlaag/noun	water/noun	demonstratie/noun	pedagoog/noun	bijzonder/adj	cyclus/noun	omgeving/noun	rust_periode/noun	bad/noun	die/det	verlaging/noun	voorteken/noun	onderhandeling/noun	behandeling/noun	tik/noun	hoe/adj	kritiek/noun	thee/noun	invloed/noun	samenstelling/noun	verschuiving/noun	eigenschap/noun	buitengewoon/adj	zo/adv	dynamiek/noun	evolutie/noun	interesse/noun	het/det	gevolg/noun	rust/noun	advies/noun	commissie/noun	effect/noun	min/adj	heel/adj	Haring/name	weg/noun	bestanddeel/noun	ontnuchtering/noun	concurrentie/noun	vuur/noun	nederlaag/noun	schok/noun	sanering/noun	periode/noun	verplichting/noun	begrotingstekort/noun	uitwerking/noun	oppositie/noun	erg/adj	reflecteer/verb	boodschap/noun	het/noun	functie/noun	dat/comp	klimaat/noun	kracht/noun	medisch/adj	samenwerking/noun	alternatief/noun	toepassing/noun	wending/noun	muziek/noun	dat/det	les/noun	ander/adj	werk/noun	suggestie/noun	compensatie/noun	werking/noun	zeer/adv	cluster/noun	christendom/noun	of/vg	werkelijkheid/noun
gesprek/noun	0.0	0.88520956	0.84461373	0.91975796	0.95432657	0.79359007	0.85717565	0.8584391	0.8398201	0.91949713	0.8979943	0.91335493	0.8634764	0.9053863	0.89342123	0.4697395	0.8121612	0.9253018	0.8564729	0.84085095	0.89518225	0.8780274	0.8788629	0.8519256	0.8884963	0.83424723	0.8459795	0.8986659	0.84826666	0.82979107	0.8803785	0.9103828	0.93241024	0.80600977	0.8338499	0.923493	0.89694965	0.8764073	0.90515715	0.9272333	0.9301293	0.90095466	0.8996028	0.9297197	0.92895275	0.8997585	0.8249158	0.87735415	0.84406734	0.922757	0.8288269	0.85297644	0.888332	0.8986954	0.8384118	0.92083037	0.8520863	0.83239233	0.89917237	0.9403902	0.8639539	0.70676005	0.9088021	0.8798811	0.85906065	0.8654767	0.8762276	0.83168703	0.8606086	0.8171667	0.7983635	0.89041924	0.89073575	0.8162943	0.8978857	0.8888013	0.8704633	0.8902782
zogezegd/adj	0.88520956	0.0	0.8455299	0.89647716	0.85026217	0.819937	0.8746154	0.80536664	0.8568562	0.81174165	0.900434	0.828663	0.72736555	0.8665939	0.86601824	0.8784457	0.81710434	0.87526745	0.82021976	0.8590847	0.8417029	0.83451194	0.84644544	0.8176023	0.7947571	0.7861333	0.80495596	0.8320685	0.83602643	0.86425054	0.79492694	0.84729755	0.87497854	0.85667694	0.8509701	0.8381743	0.7915026	0.81110734	0.903756	0.8663746	0.8247317	0.918082	0.8568332	0.8738955	0.8796349	0.85568345	0.84513915	0.8767131	0.8099164	0.8803972	0.8145592	0.838595	0.816688	0.8407105	0.7987238	0.87825304	0.8351456	0.81527704	0.8260294	0.8206949	0.8062129	0.86579734	0.8180864	0.7990694	0.8431889	0.83805877	0.81622154	0.862603	0.7681761	0.84485483	0.8019004	0.8106897	0.82008475	0.79630697	0.8775302	0.8245841	0.65784216	0.82453734
bezinning/noun	0.84461373	0.8455299	0.0	0.8775433	0.9075999	0.8315949	0.8750348	0.8263903	0.8418886	0.8585798	0.86711603	0.86726934	0.77072215	0.8816854	0.86165315	0.85282886	0.83169746	0.90105385	0.8620869	0.8352908	0.90914595	0.8462485	0.8813401	0.8166646	0.8377253	0.8430605	0.8745003	0.78204626	0.81331885	0.857921	0.8391446	0.87747824	0.8425653	0.85590726	0.8459821	0.8517554	0.85790706	0.8738817	0.8980615	0.9296497	0.8703266	0.8644242	0.8866595	0.94967747	0.9153857	0.8409578	0.8308293	0.8706974	0.86996174	0.8839	0.8156063	0.83515835	0.8653897	0.8131322	0.8379476	0.8979866	0.84782	0.8463417	0.8003896	0.80079615	0.8353338	0.8078993	0.85179245	0.8232658	0.82253563	0.8306776	0.8338913	0.8412857	0.84701174	0.8568307	0.8252442	0.86169416	0.85058355	0.8285895	0.86161596	0.7955475	0.83142257	0.8405967
verkiezingsnederlaag/noun	0.91975796	0.89647716	0.8775433	0.0	0.9412147	0.8427831	0.9065612	0.8896266	0.8658312	0.92541206	0.9190619	0.9423998	0.8433483	0.8568624	0.90892	0.88869774	0.91597	0.85997623	0.88845366	0.79919624	0.9358592	0.8882685	0.8974656	0.8246801	0.9264419	0.8810541	0.8894083	0.86581415	0.8601671	0.9367371	0.9012115	0.8393052	0.93237656	0.90572333	0.86138755	0.8834021	0.86771846	0.9215506	0.9585991	0.9407971	0.92664915	0.9031241	0.88052344	0.91520876	0.6205155	0.8092159	0.8259608	0.8790718	0.94456106	0.8555355	0.8887031	0.7465537	0.88464355	0.9089545	0.9128804	0.91852754	0.9065153	0.8558271	0.86297506	0.8858773	0.9207159	0.8582655	0.91246676	0.92901933	0.86365396	0.95063186	0.87299186	0.9116721	0.92111164	0.92138934	0.87979174	0.9032888	0.90218407	0.8777939	0.91764754	0.9122287	0.9230939	0.9063254
water/noun	0.95432657	0.85026217	0.9075999	0.9412147	0.0	0.902524	0.9470105	0.8915612	0.87281114	0.765835	0.9275705	0.5666425	0.8395964	0.91730565	0.9333849	0.9462337	0.94069016	0.8711069	0.8855202	0.9151826	0.6071825	0.8984798	0.8607936	0.88617384	0.81883097	0.9166186	0.8543825	0.8760156	0.89334035	0.9337661	0.80145556	0.9088986	0.8947362	0.95626855	0.96615404	0.87139064	0.86055416	0.8340509	0.8857043	0.74780214	0.76015425	0.9218161	0.8929825	0.6459527	0.9394311	0.84746337	0.8553072	0.90433604	0.93451285	0.9139764	0.91605264	0.9338007	0.88553065	0.8397166	0.9015511	0.9547666	0.93952763	0.96285194	0.8094295	0.84087956	0.90338904	0.95387757	0.8805459	0.87106943	0.9208462	0.888787	0.9255868	0.9468767	0.8628371	0.91934395	0.89176595	0.8683218	0.87164384	0.8574328	0.8906906	0.90434414	0.647805	0.8992872
demonstratie/noun	0.79359007	0.819937	0.8315949	0.8427831	0.902524	0.0	0.8980563	0.8506981	0.82154435	0.8540766	0.9353576	0.87941784	0.8434696	0.8832551	0.8721245	0.7790473	0.867501	0.8992824	0.8906332	0.803254	0.88986284	0.86405253	0.89660174	0.8408917	0.8639522	0.8547026	0.8776359	0.8460263	0.84173596	0.8590344	0.8353565	0.851047	0.91100484	0.8772931	0.89212406	0.87018025	0.8801686	0.87211406	0.91646576	0.8808929	0.91083044	0.9157324	0.89745635	0.8286756	0.8931216	0.84898627	0.8245958	0.8766652	0.8695345	0.8942733	0.8327199	0.718894	0.8919648	0.908903	0.8375002	0.9357107	0.91391593	0.89658535	0.8527237	0.8536927	0.8600399	0.8207023	0.86912215	0.8295479	0.87266105	0.8216585	0.8951918	0.7840352	0.8708641	0.86601526	0.8183067	0.8609921	0.8603605	0.8399282	0.90321743	0.8305509	0.8173518	0.88177407
pedagoog/noun	0.85717565	0.8746154	0.8750348	0.9065612	0.9470105	0.8980563	0.0	0.85651255	0.89198124	0.88368356	0.952798	0.9132766	0.8438443	0.9205021	0.9306402	0.92898434	0.87572485	0.9336717	0.81996346	0.86459327	0.93055135	0.89228755	0.8868194	0.8725803	0.8466393	0.82957137	0.847504	0.872379	0.8443699	0.8876724	0.8889384	0.90864396	0.935232	0.85380423	0.85286677	0.90070873	0.8620107	0.91033304	0.8827186	0.9633776	0.8987486	0.95789164	0.93075013	0.9328061	0.9270763	0.92316276	0.9165924	0.93794197	0.9107334	0.9200856	0.859902	0.8679226	0.85620785	0.8756572	0.9136474	0.9055647	0.858621	0.81834173	0.86740994	0.89284086	0.81354594	0.86654484	0.88026446	0.86378306	0.88933593	0.8600295	0.862562	0.8349646	0.8505667	0.86425173	0.85173637	0.9022089	0.8804554	0.82797843	0.8989131	0.85284936	0.86792207	0.8708367
bijzonder/adj	0.8584391	0.80536664	0.8263903	0.8896266	0.8915612	0.8506981	0.85651255	0.0	0.7939529	0.76844686	0.9075664	0.84932065	0.7219398	0.86842334	0.8427333	0.88535464	0.8232741	0.8762936	0.6865758	0.8200903	0.84348464	0.8228266	0.82564914	0.796466	0.6619032	0.3100276	0.5854292	0.7256814	0.73855263	0.81602514	0.8267708	0.83143926	0.88017875	0.85099494	0.87217927	0.792465	0.55972326	0.69883215	0.86828166	0.90575796	0.846067	0.8902309	0.87152684	0.937451	0.8614325	0.8346615	0.85550207	0.8152232	0.8843498	0.9109341	0.71464515	0.8734365	0.39763302	0.80962557	0.8203849	0.80411315	0.850296	0.8475623	0.7638121	0.79278326	0.8456198	0.83441454	0.82200205	0.7718815	0.70447326	0.7114346	0.7848289	0.84577465	0.7846653	0.74445784	0.78698665	0.86355066	0.80273676	0.34420836	0.8296566	0.8385123	0.79893184	0.7855201
cyclus/noun	0.8398201	0.8568562	0.8418886	0.8658312	0.87281114	0.82154435	0.89198124	0.7939529	0.0	0.84764814	0.847952	0.8449545	0.77936023	0.8602334	0.831578	0.82478744	0.8380609	0.89137036	0.8272743	0.88716424	0.9003533	0.82880604	0.82979804	0.80174476	0.80588394	0.79309356	0.81678426	0.76531696	0.7196036	0.82992053	0.7916991	0.8415985	0.88987136	0.8971567	0.88175464	0.8178431	0.83180046	0.8115418	0.883039	0.9036847	0.85254866	0.89689934	0.8893111	0.91043425	0.87051284	0.8035278	0.8169266	0.7735338	0.8693688	0.839481	0.7836738	0.89442116	0.8536138	0.82500476	0.8498291	0.9174073	0.8724491	0.9009899	0.77458525	0.8481412	0.8654343	0.81581616	0.8614505	0.8252414	0.77851665	0.75717336	0.8399687	0.834045	0.8539722	0.7639334	0.8410762	0.87222916	0.82563806	0.7909348	0.82619375	0.8270495	0.81707036	0.81765217
omgeving/noun	0.91949713	0.81174165	0.8585798	0.92541206	0.765835	0.8540766	0.88368356	0.76844686	0.84764814	0.0	0.9225822	0.7816032	0.8108596	0.91600055	0.8793821	0.92723626	0.873074	0.9200026	0.80414164	0.9102181	0.8769343	0.82388085	0.84088814	0.8341738	0.75779825	0.7871291	0.77454245	0.77890784	0.79589444	0.8603195	0.76514184	0.8487343	0.89123046	0.90321976	0.92854834	0.8059714	0.7880833	0.784624	0.89625204	0.76958406	0.85352767	0.9372274	0.86023355	0.85475755	0.93771756	0.8248076	0.8405644	0.8574002	0.8953418	0.93253106	0.8365207	0.9098496	0.78857255	0.8426529	0.8581581	0.91228276	0.8381032	0.9080333	0.68350756	0.84822965	0.8758829	0.8762396	0.8180514	0.8209808	0.85687494	0.8055973	0.862846	0.8905321	0.81706625	0.83169734	0.84164476	0.8488556	0.8032656	0.7354667	0.82524174	0.8497088	0.7596075	0.77775496
