	Charlie/name	EU/name	Albanees/noun	winkel/verb	baas/noun	vrijheid/noun	inmiddels/adv	zoals/comp	Anthuenis/noun	vergadering/noun	prostituee/noun	klus/noun	vanwege/prep	Blair/name	prietpraat/noun	immigrant/noun	Linda/name	Amerikaan/noun	in/adv	journalist/noun	stilaan/adv	Leys/name	hoewel/comp	Arabier/noun	jodendom/noun	moeder/noun	gij/pron	Cools/name	alles/noun	platteland/noun	heb_lief/verb	namelijk/adv	kunst/noun	woord/noun	Duitser/noun	islam/noun	systeem/noun	om/comp	meute/noun	Olympische/name	type/noun	hoe/noun	overigens/adv	politiek/noun	Friesland/name	super_held/noun	kind/noun	sinds/comp	Syriër/noun	evenzeer/adv	elkaar/pron	intens/adj	VS/name	oorlog/noun	stad/noun	wegens/prep	die/det	Irving/name	zij/pron	regel_DIM/noun	diep/adj	daarna/pp	zo/adv	je/pron	vrede/noun	hartstochtelijk/adj	eigenlijk/adj	moslim/noun	pas/noun	Waal/noun	laconiek/adj	Tutsi/noun	Barend/name	en/vg	liefde/noun	maar/vg	ding/noun	vijand/noun	erg/adj	hartgrondig/adj	premier/noun	om/prep	zozeer/adj	geit/noun	iedereen/pron	realiteit/noun	tegenstander/noun	ze/pron	destijds/adv	Bardot/name	niet/adv	tennis/noun	man/noun	Wout/name	gelijkelijk/adv	maandag/noun	Borms/name	vrouw/noun	armband/noun	film/noun	als/comp	ons/noun	etiket/noun	omdat/comp	oprichter/noun	toch/adv	het/det	geweld/noun	men/pron	soms/adv	Sperwer/name	wereld/noun	haar/pron	anderzijds/adv	Amerika/name	genocide_wet/noun	gezeik/verb	vader/noun	Mondriaan/name	aartsvijand/noun	NAVO/name	mens/noun	misschien/adv	volk/noun	ras/noun	ik/pron	tuig/noun	van/pron	Mona/name	perfectie/noun	terwijl/comp	al/comp	toerist/noun	gewoon/adj	dat/det	voordracht/noun	dirigent/noun	Cézanne/name	waarschijnlijk/adj	erom/pp	gevoel/noun	Mussolini/name	jullie/pron	hier/adv	u/pron	staat/noun	ongelijkheid/noun	voetbal/noun	mij/pron	natuurlijk/adj	hen/pron	hij/pron	we/pron	ander/noun	Boudewijn/name	me/pron	ons/pron	strafschop/noun	huis_werk/noun	wanneer/comp	Engelsman/noun	Schenk/name	kerst/noun	jezelf/pron	pop_ster/noun	Derksen/name	fel/adj	regelrecht/adj	wat/pron	Frank/name	sprookje/noun	overzee/pp	mezelf/pron	jood/noun	muziek/noun	zichzelf/pron	wij/pron	Nederlander/noun	hem/pron	Reagan/name	zwart/adj	president/noun
islam/noun	0.91796905	0.75026727	0.7445617	0.9042923	0.90950954	0.61632836	0.87393063	0.772479	0.88529533	0.92355835	0.8551085	0.9523655	0.7376138	0.7749581	0.8707592	0.7191808	0.9434874	0.74267197	0.9185639	0.81556535	0.8711951	0.9435077	0.7490368	0.5923964	0.54740644	0.907024	0.8263236	0.94656104	0.8859373	0.80184054	0.8209567	0.7533378	0.6880511	0.79976994	0.86289966	0.0	0.8097631	0.838391	0.8701495	0.96644413	0.8695539	0.78702724	0.7907091	0.62619287	0.90007645	0.8742646	0.87069726	0.8318641	0.8102705	0.7100456	0.84483963	0.8417108	0.77135015	0.680956	0.85912836	0.8399607	0.7457022	0.86170137	0.75514066	0.8233989	0.86645156	0.9231695	0.86416614	0.8749694	0.70604694	0.76792	0.8675897	0.43765616	0.91864145	0.834757	0.8525923	0.792982	0.89485264	0.7416321	0.76450676	0.81890094	0.8740655	0.63191307	0.87048763	0.8318311	0.84112793	0.9033535	0.8113246	0.8944112	0.8668667	0.771638	0.78783226	0.8433928	0.8068901	0.8873687	0.85559785	0.8813604	0.8815081	0.9360754	0.89133316	0.95265806	0.93645346	0.826139	0.9176291	0.87689584	0.85004544	0.82747406	0.8346885	0.789034	0.9019723	0.8927414	0.8507967	0.6742665	0.7983175	0.82214856	0.9254823	0.7217767	0.84293926	0.73736477	0.6402397	0.8123849	0.91059875	0.8691136	0.88989615	0.7991332	0.74998283	0.84041446	0.8804879	0.705779	0.70892036	0.8931549	0.83555263	0.88741976	0.8758286	0.831341	0.850725	0.85364944	0.87696207	0.8955187	0.82407844	0.8773716	0.93125474	0.91679287	0.86342406	0.81725657	0.8306983	0.790941	0.8411	0.85576046	0.89741665	0.68900937	0.70276284	0.89789957	0.8498537	0.8350385	0.79872847	0.8312664	0.89684594	0.85921896	0.90925735	0.89081305	0.8539287	0.9644037	0.90390444	0.8514927	0.84516764	0.89036787	0.87792605	0.8066835	0.8350818	0.8837852	0.7888403	0.73791134	0.83555347	0.96125245	0.82611537	0.8164621	0.84708637	0.64027816	0.8280843	0.77493787	0.79527396	0.83184254	0.82733446	0.8146259	0.8879242	0.8071435
systeem/noun	0.9190441	0.7337494	0.8956117	0.83698225	0.8924042	0.76305896	0.8058454	0.7770952	0.8696225	0.89869076	0.85678333	0.81501216	0.7914112	0.89559895	0.8864184	0.8272229	0.96097744	0.8898485	0.87381643	0.90904564	0.8639086	0.9134995	0.7877589	0.884172	0.8196186	0.94408494	0.9072784	0.9398431	0.821025	0.8377217	0.8992067	0.66498035	0.84907985	0.88465023	0.9272988	0.8097631	0.0	0.697637	0.9045422	0.9527801	0.7239778	0.84209967	0.7680986	0.7817571	0.8891974	0.88789207	0.8637231	0.8676196	0.9230586	0.7881267	0.8447499	0.8805347	0.8946422	0.89321303	0.87480485	0.85145926	0.73862326	0.9259159	0.7338474	0.7482565	0.91931033	0.874827	0.8083084	0.81340724	0.84243643	0.85962105	0.8381097	0.8793476	0.83027184	0.8538967	0.9123567	0.8818476	0.94861245	0.76947117	0.9278161	0.8000542	0.82299614	0.85020286	0.84305686	0.9143079	0.9092983	0.9275823	0.8718231	0.881573	0.8255824	0.78323704	0.84400177	0.8022778	0.8108587	0.9441594	0.7993922	0.8817839	0.93391955	0.92140293	0.8684268	0.9449156	0.9490068	0.91324645	0.86516684	0.8643956	0.80760956	0.8657926	0.768644	0.74185586	0.9413088	0.8537137	0.838633	0.84801	0.7397994	0.8331329	0.8793682	0.78557396	0.8947497	0.70631075	0.8627501	0.73224974	0.92774695	0.93886393	0.89698076	0.89549774	0.8141737	0.82670546	0.8659937	0.8753555	0.76206046	0.8974353	0.7572644	0.8824222	0.8901936	0.8362829	0.86386156	0.8549155	0.8927325	0.8412416	0.78803045	0.90132076	0.92281795	0.94552165	0.8319444	0.8439144	0.84558344	0.8880386	0.8930386	0.87925375	0.88584465	0.772448	0.72899866	0.87697256	0.8885698	0.83324885	0.8252609	0.85394204	0.78899485	0.824431	0.9378255	0.8855616	0.8421443	0.948244	0.84873563	0.7585478	0.9135008	0.8972471	0.8989621	0.8104627	0.8838005	0.92183995	0.8767344	0.8570405	0.86471486	0.9741464	0.8724511	0.8598606	0.86008346	0.87572026	0.82253057	0.8091597	0.74934936	0.91554725	0.87091863	0.87317884	0.9299475	0.897997
om/comp	0.8932046	0.72423553	0.81847733	0.78640664	0.8709587	0.7523937	0.8126165	0.829309	0.80129206	0.84197557	0.80535454	0.76664066	0.76018465	0.8019403	0.86445373	0.8026504	0.9269199	0.8095062	0.8912898	0.84630585	0.7919934	0.8893306	0.76118594	0.81497055	0.8449572	0.87205386	0.8016788	0.9207553	0.7331246	0.8353988	0.8142761	0.6409791	0.84452426	0.8293516	0.8818654	0.838391	0.697637	0.0	0.80716395	0.91806793	0.8375769	0.78752446	0.77124107	0.7817033	0.85987186	0.8593596	0.79137695	0.8570808	0.85316277	0.75278723	0.8015121	0.8056381	0.84799176	0.8379046	0.8269637	0.8228646	0.6229845	0.9018609	0.59583884	0.770982	0.8452813	0.7638066	0.7564548	0.6896474	0.752707	0.82140964	0.79140985	0.8326159	0.8624451	0.81346977	0.86675656	0.84375554	0.9175082	0.73683226	0.8511367	0.67955744	0.75719243	0.79566056	0.8201844	0.87698853	0.8671617	0.870028	0.8256285	0.8147549	0.67496884	0.8162705	0.81317496	0.62329435	0.7994242	0.8860504	0.68952584	0.84840405	0.8641239	0.90193844	0.8570956	0.9038713	0.9198512	0.850063	0.8680954	0.89857686	0.65256596	0.69763833	0.7974663	0.62115026	0.9562282	0.70064604	0.8053348	0.7687329	0.6612347	0.7279516	0.86559933	0.8198912	0.7216213	0.6379679	0.83197355	0.8052993	0.8438302	0.8847439	0.8679184	0.8606767	0.71215	0.69399035	0.75214994	0.77970976	0.8377615	0.7157775	0.7446089	0.8076365	0.8740229	0.7954913	0.7728178	0.7760767	0.80866086	0.722439	0.7170813	0.87919545	0.9177821	0.9258843	0.8020511	0.71582055	0.804105	0.85115445	0.7206373	0.78549176	0.7627001	0.81681526	0.77714956	0.8897628	0.74823236	0.7428067	0.6223464	0.7127733	0.6059288	0.7648862	0.9109357	0.74066114	0.6748642	0.9189196	0.76279324	0.6518241	0.87855756	0.8874744	0.80680865	0.68292075	0.85188836	0.8725932	0.8477266	0.84650314	0.7714264	0.9706015	0.89578545	0.80317074	0.7190389	0.8497547	0.8616762	0.71554726	0.58855	0.8771392	0.6949488	0.84385055	0.90827984	0.85660046
meute/noun	0.8558675	0.9197382	0.78962445	0.81935406	0.8769605	0.90227306	0.8534917	0.8940981	0.8665695	0.897767	0.83209044	0.8633429	0.8607689	0.8729384	0.8651091	0.8580236	0.906531	0.78735125	0.89235425	0.7894318	0.8448084	0.91106063	0.8589931	0.7820836	0.894744	0.8389752	0.82307756	0.91393065	0.85125315	0.83062947	0.8512085	0.8341342	0.9130566	0.89020467	0.78843844	0.8701495	0.9045422	0.80716395	0.0	0.92496973	0.83447146	0.8434777	0.8793824	0.8614805	0.8597362	0.87229705	0.8163636	0.85074043	0.8604496	0.8364324	0.78581786	0.840555	0.9144289	0.8701707	0.83145094	0.8931575	0.82725203	0.9028094	0.78315175	0.842616	0.8738434	0.76729965	0.83462596	0.7748983	0.89709204	0.7901884	0.8732433	0.8006795	0.8168035	0.8300421	0.87738836	0.82083136	0.85780597	0.75732815	0.87667316	0.815497	0.88412595	0.8342174	0.845982	0.8731146	0.91027343	0.85473084	0.82867897	0.76785505	0.77137506	0.86371076	0.81452227	0.702777	0.8396789	0.88394743	0.8494651	0.8833659	0.7283437	0.87298375	0.9216952	0.89103824	0.90718895	0.78788143	0.87459904	0.89453954	0.7918352	0.7763516	0.86795926	0.8147947	0.9161046	0.8344987	0.85442513	0.8279201	0.82532007	0.7769102	0.90523535	0.83610225	0.74237454	0.8442884	0.8496679	0.9064635	0.8897658	0.8517764	0.8946413	0.86986005	0.8715082	0.785438	0.87828666	0.7959882	0.8444391	0.80852705	0.7820299	0.83639336	0.8735013	0.86570954	0.7046196	0.8567835	0.7452886	0.793318	0.89361477	0.91611785	0.863269	0.9343945	0.8707049	0.8463206	0.87495345	0.86029464	0.7999078	0.7779232	0.8489055	0.9015104	0.8998562	0.8986381	0.83149445	0.87202036	0.7711971	0.7505972	0.8024795	0.87058914	0.8847698	0.80164325	0.79876375	0.9158891	0.86660755	0.7409364	0.7702157	0.86994404	0.80652297	0.84169286	0.8240296	0.86291534	0.8468492	0.84867704	0.87076783	0.9078799	0.8615034	0.86402524	0.86511993	0.83934283	0.86210155	0.84390795	0.824048	0.8138726	0.7559518	0.862504	0.8157444	0.91462624
Olympische/name	0.91933036	0.8996124	0.95126116	0.9393849	0.9482728	0.95608073	0.9322255	0.94120854	0.8871808	0.83958435	0.9393366	0.9326951	0.9233323	0.95024717	0.9844035	0.9156548	0.9559795	0.899165	0.93677145	0.927847	0.9158694	0.94904125	0.93454796	0.95034647	0.94354296	0.966954	0.95971304	0.9563272	0.9436575	0.9350871	0.9573427	0.93273133	0.9305743	0.9757879	0.8667736	0.96644413	0.9527801	0.91806793	0.92496973	0.0	0.9608671	0.9468288	0.9460302	0.9396486	0.9153037	0.94013405	0.94192517	0.84539366	0.9380144	0.9349661	0.9558577	0.9337981	0.89013296	0.8778394	0.89304096	0.92562157	0.93545437	0.93304247	0.9244786	0.95857394	0.9749794	0.86860275	0.95899546	0.94585264	0.93250304	0.905471	0.9572728	0.9605735	0.91458553	0.9123435	0.9454683	0.9355138	0.9363698	0.91724956	0.95760864	0.9385051	0.9604876	0.94032454	0.96952623	0.95781606	0.9335084	0.91988224	0.9313516	0.95018065	0.9404249	0.9539407	0.8942668	0.93196917	0.91679245	0.9426165	0.9439268	0.8051243	0.9640901	0.9274039	0.96001476	0.88902146	0.95009524	0.9449193	0.93325496	0.92023546	0.93433917	0.93620247	0.952354	0.95216435	0.9100257	0.9294378	0.8902598	0.96351093	0.9478324	0.9631546	0.9452412	0.94376427	0.94650626	0.92939043	0.8849101	0.95175487	0.95204157	0.9528382	0.92465353	0.87965673	0.92473626	0.9540221	0.9424077	0.9396744	0.94292635	0.9291545	0.9205577	0.94729704	0.9333918	0.9435228	0.95121384	0.93565494	0.9073018	0.95191425	0.9650902	0.9122851	0.9325565	0.95436305	0.90151656	0.9558449	0.9683243	0.93240625	0.93578374	0.9607271	0.9537912	0.9389432	0.95384854	0.75930715	0.9503847	0.94244045	0.94531065	0.8821348	0.90713584	0.959165	0.9226426	0.9578503	0.9402547	0.9336407	0.9450346	0.9225001	0.85413164	0.86554533	0.87297136	0.9611788	0.9190707	0.8933093	0.9432988	0.918266	0.9625731	0.93575305	0.9297811	0.93821985	0.95172834	0.94766366	0.95820886	0.9470567	0.9262725	0.87840325	0.9454613	0.9078356	0.94599104	0.92807
type/noun	0.8313353	0.9186772	0.8883572	0.82560587	0.860254	0.8696904	0.84000474	0.7447566	0.89338815	0.9346217	0.830062	0.82960105	0.84507346	0.9291765	0.8610636	0.851151	0.8973207	0.8696059	0.8445835	0.84869635	0.9067331	0.92333275	0.764585	0.84409344	0.88080937	0.8910925	0.85134244	0.9238028	0.86169255	0.8543266	0.8769242	0.69029975	0.8314557	0.81025714	0.88682413	0.8695539	0.7239778	0.8375769	0.83447146	0.9608671	0.0	0.7912486	0.7783962	0.882948	0.8557009	0.83355546	0.81512064	0.8729968	0.9130347	0.8031471	0.8060314	0.803895	0.92460364	0.93618083	0.8686509	0.9074719	0.76594055	0.882334	0.83352417	0.7970449	0.8903261	0.8822369	0.78886676	0.7507394	0.93082505	0.8198509	0.78858554	0.8878403	0.8579047	0.8513999	0.8578676	0.8913364	0.9003991	0.72744405	0.8536706	0.7897979	0.721007	0.86486834	0.7635328	0.89558613	0.95165825	0.90618455	0.8488607	0.82628125	0.82743084	0.84136343	0.8700555	0.79008764	0.8228445	0.8918452	0.8260135	0.8449488	0.7650629	0.8890069	0.88267946	0.95875514	0.9290091	0.8027305	0.82202655	0.77861226	0.8199653	0.8466556	0.7160215	0.7907232	0.9112517	0.80645794	0.8676014	0.8757032	0.8041819	0.7150233	0.889147	0.82877773	0.83492893	0.8137359	0.8746871	0.8941305	0.8801022	0.89112186	0.84358305	0.8876744	0.9057231	0.7385042	0.7957685	0.8507838	0.65929806	0.84085286	0.7354302	0.8527281	0.83638626	0.8051881	0.7681135	0.81965804	0.80654275	0.7614429	0.8298548	0.9060121	0.8913679	0.88849473	0.825639	0.8420881	0.7935359	0.8454111	0.84715486	0.8021959	0.85693264	0.89687425	0.84843236	0.8805954	0.838299	0.7925997	0.86139214	0.8487844	0.83903885	0.87771887	0.8888932	0.8529565	0.85917205	0.94702905	0.86587083	0.76780903	0.8450875	0.90122247	0.8219734	0.8208226	0.8104327	0.8828034	0.8869738	0.84790695	0.84231645	0.9344629	0.80492985	0.8784044	0.8673834	0.8816245	0.7677492	0.81044626	0.8204081	0.8291953	0.8595735	0.86660236	0.77121496	0.94373924
hoe/noun	0.8188658	0.8785853	0.8808832	0.80600935	0.82801944	0.79741305	0.8349962	0.7555535	0.8302196	0.8996906	0.8262756	0.87392026	0.8095776	0.8596147	0.8596842	0.8492408	0.8535887	0.84639275	0.8931966	0.80282223	0.8443703	0.8741206	0.77557534	0.79933816	0.8240289	0.8076968	0.7461617	0.8670554	0.7884142	0.83072096	0.7890822	0.75107974	0.78161263	0.78506243	0.8718656	0.78702724	0.84209967	0.78752446	0.8434777	0.9468288	0.7912486	0.0	0.77025974	0.7859131	0.85672987	0.86712015	0.8104369	0.8570913	0.87573564	0.7526437	0.81448895	0.7623121	0.8917618	0.87358135	0.8742482	0.89093685	0.7134023	0.8632379	0.74024	0.7978636	0.83395773	0.8151653	0.71916187	0.6828758	0.87489504	0.79277813	0.7285506	0.81499094	0.855231	0.8074609	0.76173997	0.8986585	0.8409922	0.6942307	0.753146	0.7361362	0.71334076	0.8259482	0.7756133	0.86150044	0.8966324	0.88800573	0.8259064	0.83732456	0.76709974	0.7676416	0.8717438	0.708046	0.78341794	0.8639661	0.7698047	0.81999856	0.82493657	0.86246765	0.8944552	0.89692956	0.9033873	0.7944743	0.86635435	0.8032036	0.7056992	0.7522683	0.80312294	0.78177	0.8867918	0.74171555	0.82727915	0.85106766	0.74376005	0.6790478	0.9062921	0.81226677	0.76895607	0.7913291	0.8138458	0.8996932	0.84219825	0.8130059	0.83374	0.85779214	0.86623776	0.75052094	0.7359525	0.8426277	0.7982888	0.7342189	0.80750155	0.82215863	0.7984392	0.8040717	0.77342546	0.7682463	0.8412739	0.7525803	0.73324835	0.8360232	0.8601198	0.9033979	0.80580926	0.7601721	0.7640704	0.84861314	0.6962392	0.75392395	0.72612643	0.8738445	0.8150661	0.8486599	0.7234546	0.7543182	0.7742772	0.75980955	0.77071714	0.7910345	0.8416248	0.75364685	0.771873	0.9355517	0.8000312	0.6970139	0.8453272	0.8608577	0.8066596	0.73914695	0.8028617	0.84973294	0.8707996	0.8245225	0.67417365	0.88754654	0.7703649	0.8711377	0.8050158	0.8392922	0.7885225	0.7927849	0.7393671	0.8231307	0.7772663	0.84091276	0.8528887	0.9024043
overigens/adv	0.8652751	0.76653266	0.86222315	0.8444334	0.8569329	0.8266336	0.6954311	0.7657556	0.7876664	0.82779425	0.8389853	0.8268983	0.7361319	0.7546302	0.8466451	0.8295513	0.9170232	0.7973084	0.87073123	0.8143127	0.858891	0.8887099	0.4595332	0.82121253	0.83335036	0.91418195	0.84791076	0.9207771	0.80139756	0.86403924	0.8697729	0.5073013	0.8681448	0.75348353	0.8549992	0.7907091	0.7680986	0.77124107	0.8793824	0.9460302	0.7783962	0.77025974	0.0	0.7937443	0.8141176	0.8904179	0.9062723	0.82663417	0.86160594	0.68923175	0.83288884	0.83197135	0.8578657	0.8806428	0.9050129	0.83239317	0.6707214	0.8222554	0.6494472	0.7730075	0.8859337	0.8847405	0.7191464	0.78432804	0.8822104	0.78033304	0.6604903	0.83873254	0.8496146	0.79086655	0.73673713	0.8955976	0.848244	0.8403459	0.8735191	0.5814107	0.7506478	0.83837044	0.71395177	0.80620724	0.8023708	0.8942186	0.802214	0.8821442	0.74256706	0.79679775	0.8145101	0.74414843	0.66000456	0.8809794	0.6221131	0.84370774	0.8907886	0.8855022	0.84417534	0.87796414	0.9147514	0.88009137	0.89232033	0.80982065	0.73868597	0.7960784	0.7651745	0.63884133	0.89063275	0.6350259	0.80555296	0.8459302	0.66961426	0.70860493	0.8794231	0.8570947	0.78499866	0.6709256	0.834211	0.80281574	0.8749418	0.9125	0.85643774	0.8522666	0.7823997	0.807913	0.7185448	0.8491467	0.79414505	0.74560034	0.83114755	0.8466766	0.83319056	0.8225617	0.7959572	0.504706	0.8543151	0.8300674	0.5803387	0.85271055	0.8841186	0.92531276	0.6546622	0.8229133	0.8158417	0.83358264	0.7830051	0.7682593	0.76373833	0.82160056	0.780424	0.8729048	0.70266604	0.6904762	0.77162606	0.7035929	0.75882536	0.79974675	0.8839892	0.7581848	0.7361725	0.9085517	0.80351347	0.7546754	0.83104247	0.8454263	0.8301275	0.8112314	0.8316018	0.8266722	0.79040134	0.8088029	0.7317132	0.92126405	0.84242094	0.8356446	0.7957852	0.84079283	0.852234	0.7710381	0.6789169	0.7962136	0.7328224	0.80654293	0.9128551	0.8573028
politiek/noun	0.9033211	0.7046994	0.82281446	0.8770446	0.86506057	0.7261593	0.8444844	0.8150614	0.8535396	0.8722079	0.8379118	0.9127294	0.76312697	0.72787225	0.86946404	0.7583692	0.9301315	0.81169355	0.91421115	0.75593185	0.83020353	0.913945	0.766896	0.7352419	0.69424933	0.90870154	0.85587496	0.9229865	0.84978056	0.7755366	0.838562	0.7838467	0.61953974	0.8154435	0.8839248	0.62619287	0.7817571	0.7817033	0.8614805	0.9396486	0.882948	0.7859131	0.7937443	0.0	0.8758606	0.8785076	0.8994694	0.78597045	0.8655499	0.6875378	0.82172024	0.79912543	0.8152797	0.7669053	0.8619479	0.8627121	0.7654804	0.8670432	0.7361222	0.835667	0.8254788	0.88912135	0.8374921	0.8289283	0.74383557	0.77048075	0.82045853	0.72094476	0.899497	0.82541466	0.8294226	0.82788545	0.8958147	0.7228767	0.77871615	0.772502	0.829219	0.748497	0.8354442	0.8543438	0.7255559	0.9226108	0.8052452	0.9134761	0.8182161	0.7071379	0.81672037	0.8116017	0.7724323	0.8909429	0.7962523	0.7888098	0.8959148	0.90304446	0.85204244	0.9279896	0.9202688	0.85165775	0.931793	0.8352723	0.8268158	0.8165471	0.84355676	0.7740305	0.89280987	0.8516482	0.80275244	0.7545519	0.7603662	0.82298434	0.92283493	0.78259814	0.8425078	0.70306265	0.7342427	0.7926124	0.87775254	0.9033414	0.8827296	0.7976465	0.735202	0.815963	0.8536846	0.72174513	0.7751235	0.84187925	0.84723973	0.8771974	0.88783294	0.80850905	0.82609755	0.8420356	0.8475631	0.85044146	0.81018454	0.87200433	0.8806136	0.9229098	0.85881186	0.78582364	0.8024151	0.81780285	0.8341453	0.8805917	0.8730755	0.6901784	0.72568923	0.77700114	0.8000179	0.8361782	0.81019735	0.7902361	0.8350395	0.8326689	0.8932668	0.8183525	0.7994493	0.97228205	0.8664382	0.8314182	0.8840879	0.87838686	0.90673345	0.79298365	0.8275534	0.88489753	0.77928203	0.799152	0.8254213	0.9404012	0.858061	0.8499129	0.83834785	0.7627322	0.77639836	0.79721856	0.76388615	0.85188717	0.8121783	0.7874255	0.9104742	0.7474617
Friesland/name	0.89330477	0.8411164	0.8283737	0.8577229	0.8735219	0.89854735	0.7562394	0.8703568	0.8986284	0.8516009	0.80978775	0.9014011	0.82943213	0.89033556	0.9245952	0.81248224	0.8862083	0.87307465	0.8669276	0.87254506	0.87126774	0.8835489	0.83425975	0.85800374	0.8982415	0.8624235	0.87580067	0.89470327	0.90819854	0.7187201	0.8825995	0.7922284	0.8516521	0.9121877	0.8654722	0.90007645	0.8891974	0.85987186	0.8597362	0.9153037	0.8557009	0.85672987	0.8141176	0.8758606	0.0	0.9364673	0.86067843	0.8284686	0.86185366	0.8652185	0.90957946	0.9011338	0.8671954	0.90656626	0.71466064	0.88594216	0.858508	0.88442683	0.8105589	0.87978643	0.9143338	0.8084869	0.9029627	0.8870533	0.9103886	0.8620292	0.9149121	0.85672843	0.8853874	0.8385725	0.8689539	0.8778378	0.8776922	0.7469759	0.89775294	0.8719474	0.921473	0.8927035	0.93572104	0.9061955	0.8984507	0.914215	0.8749198	0.79119575	0.87476957	0.90214175	0.8993968	0.83892184	0.7793634	0.91956663	0.90486205	0.9003706	0.88511163	0.85571706	0.90860796	0.8646546	0.9273014	0.8804577	0.9069812	0.8996064	0.8614225	0.87248945	0.87946236	0.8302894	0.8268842	0.8943353	0.79434186	0.89262915	0.8754827	0.88727725	0.87529105	0.8672922	0.88784117	0.8545123	0.80122554	0.91151696	0.9229739	0.86898524	0.80867887	0.86758333	0.8725473	0.84891295	0.91204095	0.8936472	0.85116434	0.8843231	0.8531778	0.89873123	0.85302323	0.9007021	0.81522787	0.8855672	0.7800582	0.86453193	0.8939752	0.8681619	0.88372153	0.9131403	0.822259	0.89685154	0.9068418	0.8762571	0.8860265	0.8246845	0.88707864	0.85138845	0.86090356	0.8832231	0.9180418	0.89752203	0.8768999	0.8381397	0.86399126	0.91033673	0.8326862	0.9215908	0.9112176	0.92549264	0.8800142	0.842397	0.84516054	0.83463097	0.8107606	0.8998397	0.8592506	0.8438157	0.884877	0.863262	0.91616863	0.91045046	0.87124467	0.8521471	0.9170863	0.8611103	0.8904066	0.8874347	0.8590804	0.80877817	0.8857475	0.86151147	0.8993075	0.9009287
super_held/noun	0.7862191	0.93458813	0.9148753	0.8817596	0.88524306	0.87572896	0.879381	0.8578431	0.9103851	0.94438225	0.87877053	0.9188686	0.8943624	0.88398874	0.8793521	0.87690485	0.8829807	0.84907806	0.9171576	0.8625493	0.86390775	0.93922615	0.87024355	0.86254716	0.8936517	0.8792546	0.8641131	0.93382233	0.870472	0.89629865	0.9054034	0.8465397	0.8748988	0.8723099	0.8939796	0.8742646	0.88789207	0.8593596	0.87229705	0.94013405	0.83355546	0.86712015	0.8904179	0.8785076	0.9364673	0.0	0.8635492	0.88555235	0.9045361	0.84190047	0.8959622	0.85290074	0.8984262	0.9000805	0.9190515	0.93816316	0.8442081	0.8451047	0.86181414	0.867427	0.9074406	0.9095822	0.8552445	0.8409489	0.9182712	0.8599253	0.8819784	0.8854481	0.9118332	0.89959496	0.9075654	0.907484	0.92704755	0.83680975	0.83918977	0.8470463	0.8395796	0.84301245	0.8554312	0.9136038	0.92690927	0.9224327	0.859918	0.8850117	0.8566781	0.85173684	0.8815624	0.84168774	0.8748732	0.86259335	0.87057793	0.8684517	0.86668307	0.90768284	0.932071	0.9560788	0.91419834	0.85009754	0.8817827	0.76229286	0.8711297	0.87015873	0.87026834	0.89353466	0.89404047	0.8571101	0.8820513	0.9035772	0.873817	0.8440744	0.9428697	0.8274094	0.8345078	0.8932538	0.83141184	0.9133108	0.86391944	0.86998695	0.86964536	0.8732742	0.90512294	0.84694874	0.87516594	0.8508654	0.8460538	0.86604226	0.8502201	0.8876984	0.861027	0.83988625	0.8467087	0.878342	0.8798964	0.8730564	0.86948985	0.94786364	0.87033796	0.91858286	0.8828525	0.90424967	0.882254	0.85918915	0.87152433	0.88991106	0.8896539	0.90766346	0.89129543	0.89834535	0.87641716	0.87214077	0.8803151	0.8442228	0.8678142	0.8853056	0.9088442	0.8857528	0.88407075	0.9560015	0.90865135	0.847445	0.85699654	0.8940584	0.85232294	0.85618776	0.7416234	0.90444756	0.9000281	0.88663834	0.8735282	0.9291759	0.7903191	0.8836419	0.8658693	0.88529897	0.8323805	0.83283216	0.86035186	0.89281857	0.8594605	0.8429533	0.8647765	0.9093788
