	hersencellen/noun	deur/noun	morgen/adv	inmiddels/adv	waas/noun	hoofd/noun	vilt/noun	nevel/noun	pantalon/noun	kuif/noun	blok/noun	Flandria/noun	gewaad/noun	klei/noun	alles/noun	kort/adj	natuur_steen/noun	bastion/noun	brij/noun	bak/noun	muis_DIM/noun	lul/noun	omlijsting/noun	poes_DIM/noun	regenjas/noun	sok/noun	poeder/noun	gans/noun	krul/noun	lucht/noun	water/noun	stad/noun	massa/noun	zak/noun	druk/noun	vloer/noun	outfit/noun	klinker/noun	tand/noun	zo/adv	wolf/noun	figuur/noun	hoed/noun	kimono/noun	aluminium/noun	pruik/noun	zeehond/noun	schemer_zone/noun	gevel/noun	tovenaar/noun	haar_kleur/noun	krijt_streep/noun	imago/noun	steen/noun	erg/adj	kapsel/noun	overweeg/adj	zoveelste/num	uiterst/adj	vest/noun	schelp/noun	plastic/noun	schakering/noun	jas/noun	veelal/adv	man/noun	hout/noun	vlucht_wagen/noun	pak/noun	werkelijkheid/noun	brood/noun	heer/noun	dun/adj	midden/noun	rot/noun	voorstad/noun	lok/noun	golf/noun	bestaan/noun	haar/noun	haar/pron	vooruitblik/noun	ambtenaar/noun	garnaal/noun	marmer/noun	tint/noun	te/adv	brommer/noun	even/adv	doek/noun	robot/noun	doos/noun	handel/noun	straat/noun	rookwolk/noun	kubus/noun	licht/noun	gebied/noun	muis/noun	middenmoot/noun	graniet/noun	vuilniszak/noun	hemel/noun	monster/noun	raam/noun	dag/noun	seizoen/noun	verleden/noun	kous/noun	vaak/adj	wolk/noun	zone/noun	sanitair/noun	wat/adv	blad/noun	achtergrond/noun	mist/noun	start/noun	rok_DIM/noun	baard/noun	tapijt/noun	beton/noun	nauwelijks/adv	wolkendek/noun	baard_DIM/noun	glans/adj	rook_gordijn/noun	panter/noun
hersencellen/noun	0.0	0.94904363	0.9518851	0.8494416	0.9043185	0.92030627	0.90324247	0.9114146	0.9391278	0.9244885	0.8927327	0.94350106	0.9167331	0.8596191	0.89271736	0.925182	0.88033015	0.9102054	0.86224276	0.88160354	0.8767916	0.9340725	0.941449	0.92812073	0.9171194	0.89819646	0.8587446	0.8596021	0.9132494	0.8864418	0.85106015	0.922207	0.8385781	0.8990809	0.9077323	0.88241017	0.9111439	0.88070536	0.8501482	0.8848344	0.88967925	0.8945418	0.9102969	0.9483071	0.8506917	0.9057235	0.82540023	0.91451097	0.8904355	0.93601453	0.9124607	0.9285948	0.87592614	0.8627538	0.90028226	0.8774418	0.9102998	0.92994356	0.88588196	0.89613205	0.87423086	0.83154273	0.90456074	0.897662	0.83949435	0.8938383	0.83348316	0.9411873	0.90387595	0.8984642	0.8925781	0.93392074	0.86093783	0.9304167	0.9000371	0.9308809	0.91537523	0.8783706	0.89708734	0.87321603	0.8847506	0.9618958	0.8981384	0.903542	0.8773583	0.8823323	0.8863299	0.91214186	0.93085164	0.90578127	0.8155154	0.873652	0.88012105	0.9217743	0.89915293	0.8881496	0.8641459	0.86276627	0.6942133	0.91682065	0.90829766	0.8727883	0.93222356	0.84799814	0.9244194	0.93004376	0.93929875	0.888226	0.8865449	0.8427376	0.8798409	0.89853835	0.9113435	0.9006364	0.9005054	0.9063804	0.89168	0.9491824	0.9227586	0.90800357	0.86862975	0.8467299	0.83861953	0.9238927	0.94017214	0.88396174	0.92768025	0.90832967
deur/noun	0.94904363	0.0	0.84903145	0.895139	0.92337275	0.8130718	0.8907361	0.9075459	0.88708746	0.93216574	0.76839274	0.957256	0.8797175	0.87134427	0.8692553	0.93619967	0.8162787	0.91378176	0.9066441	0.7606655	0.921534	0.91998184	0.8593929	0.9057627	0.852806	0.82946885	0.870182	0.87411284	0.83801365	0.8299477	0.8281744	0.87542254	0.8250953	0.8225102	0.9437357	0.5923187	0.911747	0.847457	0.856738	0.9211517	0.910274	0.9295171	0.8331885	0.89053804	0.80386144	0.87217087	0.90529805	0.9578322	0.6331837	0.9154249	0.9715036	0.93918765	0.9341229	0.73574924	0.94952166	0.8848895	0.9269021	0.8864244	0.95104045	0.80460733	0.8220554	0.79149765	0.9454631	0.7665532	0.86769897	0.8303833	0.78014827	0.830788	0.8549162	0.93077844	0.8835619	0.8866174	0.8469475	0.79445416	0.9282334	0.89130753	0.927249	0.9057236	0.9451674	0.883231	0.8532146	0.94686455	0.928018	0.91241705	0.81088114	0.8723034	0.918939	0.8244808	0.84468937	0.7936995	0.86571044	0.681878	0.9149988	0.72156775	0.8500471	0.786632	0.78581	0.9240902	0.8981225	0.9326103	0.8908258	0.76839083	0.84684706	0.8884848	0.37511456	0.85490364	0.957135	0.9526962	0.8901913	0.8854674	0.86251545	0.8733937	0.7630832	0.90275013	0.8992629	0.90863293	0.89115936	0.93662643	0.8863668	0.88603294	0.72666615	0.75886303	0.9382828	0.85868216	0.93845767	0.78530127	0.92510134	0.9224988
morgen/adv	0.9518851	0.84903145	0.0	0.8246933	0.94957596	0.9173693	0.9486657	0.8333043	0.93697846	0.9470259	0.8854437	0.9107687	0.9123939	0.9192757	0.8849017	0.84707534	0.9494007	0.9323012	0.9332443	0.89306945	0.91168493	0.9244285	0.8905903	0.92397654	0.9022226	0.91574824	0.8967327	0.8732423	0.9400799	0.8323282	0.8914683	0.8799765	0.8614941	0.9287358	0.8857202	0.9182296	0.88585234	0.9242397	0.927212	0.89684963	0.8939823	0.93927586	0.9049399	0.93142116	0.94006854	0.94509923	0.9051023	0.95493925	0.9187395	0.9130208	0.9442219	0.94190973	0.9360999	0.9171467	0.92000717	0.90546954	0.8096672	0.8537038	0.90284914	0.9233937	0.9057828	0.93088216	0.953563	0.9033296	0.8768072	0.91282046	0.9111449	0.9579364	0.9042365	0.9430734	0.9026387	0.86258155	0.9053951	0.8731909	0.9051433	0.91616726	0.9438069	0.8772667	0.88860506	0.92561746	0.8803634	0.8313345	0.8758498	0.8895136	0.9224127	0.9087341	0.9273563	0.8896914	0.8820347	0.89453214	0.91717577	0.9117155	0.91105944	0.91772133	0.9141187	0.9287263	0.87965673	0.88991356	0.9219953	0.91180277	0.947546	0.9271919	0.84695065	0.91331387	0.89895785	0.6231977	0.7496956	0.92638946	0.9300246	0.8743313	0.78802454	0.89653844	0.9288362	0.85017693	0.880083	0.91836846	0.7988238	0.78879225	0.9262013	0.9112792	0.9148673	0.9102104	0.8846894	0.86372024	0.95816743	0.90696514	0.9412365	0.91608566
inmiddels/adv	0.8494416	0.895139	0.8246933	0.0	0.93176556	0.9038309	0.94583404	0.89988333	0.9200134	0.9127585	0.8566922	0.88704324	0.89609635	0.8719174	0.84162915	0.85114044	0.90108943	0.85051197	0.90774214	0.8805524	0.9136914	0.8874454	0.9353845	0.9218075	0.88882816	0.8762271	0.85294914	0.8631945	0.9041113	0.9089706	0.8915433	0.8059207	0.8300709	0.8838074	0.8259326	0.8847906	0.8760896	0.8951631	0.8922874	0.84837025	0.85961366	0.8407291	0.87849814	0.9383774	0.8626398	0.8809279	0.82992256	0.9181784	0.8480991	0.8568258	0.93324083	0.924015	0.85151255	0.866094	0.8959683	0.8542457	0.8430702	0.808638	0.8713616	0.88746	0.87648463	0.8534546	0.91968185	0.87928444	0.6999477	0.77871436	0.8604926	0.9258619	0.87220335	0.8468941	0.8929164	0.8427752	0.888358	0.8732211	0.8716763	0.83708644	0.9191247	0.8553935	0.8317149	0.90352994	0.81780624	0.92940986	0.7633798	0.8829538	0.89863795	0.91182876	0.9000455	0.8488927	0.85571253	0.850416	0.82497406	0.84330964	0.79827785	0.85467744	0.91562897	0.897507	0.923491	0.7741574	0.80358005	0.8740684	0.90925467	0.84415966	0.8984499	0.8072268	0.9025871	0.8245058	0.85155874	0.817193	0.8801847	0.8189885	0.8789857	0.8299475	0.88101137	0.8683344	0.77899015	0.87586516	0.8564895	0.91364944	0.9175158	0.86990607	0.85788226	0.8413845	0.81030846	0.9382156	0.9286178	0.883014	0.9022225	0.9177726
waas/noun	0.9043185	0.92337275	0.94957596	0.93176556	0.0	0.8627397	0.8684843	0.7390653	0.8731395	0.84691584	0.8868114	0.9421308	0.80708486	0.8309833	0.90327275	0.9187347	0.8869986	0.90861034	0.81147254	0.8303183	0.8958363	0.90130556	0.88693464	0.904327	0.8306955	0.83184624	0.82393914	0.87594444	0.766253	0.8072226	0.825788	0.90354735	0.7998475	0.8718506	0.9349311	0.8505227	0.84858346	0.85951877	0.86131024	0.8782377	0.85222936	0.81886727	0.82225907	0.89354664	0.892356	0.8276462	0.9034494	0.8725551	0.84188855	0.86426824	0.90275896	0.87467086	0.8802199	0.81777614	0.89116514	0.8534426	0.84729314	0.88838464	0.87979525	0.83425605	0.82874084	0.81658113	0.8280575	0.7946804	0.84434265	0.8828576	0.8119146	0.91121894	0.8077353	0.8254172	0.8833584	0.8972479	0.7694129	0.84315526	0.9156577	0.9186427	0.8065679	0.805789	0.8578695	0.7681979	0.8295573	0.95100474	0.9252839	0.8984504	0.81518495	0.728756	0.8773787	0.90609527	0.8443423	0.74434805	0.87851155	0.8359093	0.9036969	0.8946938	0.802773	0.86234635	0.7294724	0.906295	0.8811884	0.92577535	0.854839	0.85636073	0.794211	0.8072793	0.8472189	0.9139099	0.95624626	0.8444981	0.84734446	0.8354508	0.6985612	0.8895538	0.9236723	0.8469275	0.8616011	0.7593804	0.74866426	0.948545	0.8441609	0.8174918	0.7825917	0.84114265	0.8792716	0.81616926	0.854787	0.7703629	0.8360712	0.90107363
hoofd/noun	0.92030627	0.8130718	0.9173693	0.9038309	0.8627397	0.0	0.8640198	0.8471077	0.84919316	0.8550694	0.83234143	0.96490777	0.7924612	0.79659426	0.865973	0.90382963	0.8966331	0.9328678	0.8697982	0.77493453	0.8945278	0.84498227	0.887303	0.8769641	0.7980145	0.75901383	0.83369946	0.8546115	0.72951454	0.71282196	0.7895817	0.9190134	0.7988458	0.7687249	0.8837716	0.74812055	0.8433095	0.8717623	0.74480474	0.8799466	0.8739604	0.8631252	0.72626084	0.89537936	0.8608023	0.75514114	0.88080215	0.9167945	0.77257603	0.8801406	0.9244238	0.8918989	0.91018844	0.7008492	0.92306966	0.79352736	0.89270777	0.8764415	0.90895987	0.7702193	0.7821473	0.75205344	0.9261642	0.6826184	0.8611021	0.76355135	0.7984674	0.87531495	0.7536985	0.89259744	0.8466412	0.8444742	0.7334346	0.81185335	0.9204127	0.9147347	0.8103906	0.8418262	0.9357711	0.66669035	0.7709725	0.9453443	0.8866199	0.86793673	0.820095	0.8281952	0.8916503	0.8629632	0.8290069	0.7744877	0.8568324	0.7436853	0.9274174	0.8209379	0.83571005	0.85111487	0.8428986	0.91297674	0.8339837	0.89757717	0.8829826	0.7854722	0.77541435	0.82873607	0.71276605	0.9268757	0.93775	0.9114332	0.82056034	0.8654542	0.7794285	0.9369976	0.92770404	0.8508265	0.8469402	0.843084	0.8431604	0.9465284	0.7777301	0.72015524	0.778872	0.7789868	0.89455414	0.85323703	0.82354677	0.74925554	0.9124243	0.9010396
vilt/noun	0.90324247	0.8907361	0.9486657	0.94583404	0.8684843	0.8640198	0.0	0.8822725	0.82104015	0.87837625	0.84100163	0.93008435	0.7999319	0.76451784	0.93367475	0.92892635	0.7539468	0.8851532	0.8641395	0.8517125	0.9180173	0.90885204	0.87136835	0.9223416	0.82338	0.80814594	0.82621545	0.8979429	0.77282804	0.87223405	0.8867715	0.9442134	0.8742359	0.85561925	0.96980155	0.8102084	0.83339953	0.8340856	0.86285746	0.90973747	0.9037347	0.8590102	0.7653034	0.8192327	0.74434185	0.80083597	0.90516233	0.93286484	0.8300622	0.91102713	0.8898582	0.82516325	0.9163057	0.77811986	0.9203853	0.81341064	0.8806277	0.9124085	0.92167306	0.8161881	0.81218505	0.68945026	0.85677373	0.7690854	0.85732293	0.9022557	0.70644176	0.9295005	0.8264104	0.90174145	0.86191255	0.9079394	0.7477859	0.8699713	0.91751295	0.9406417	0.83665144	0.90038794	0.9275551	0.8034141	0.8823131	0.9375367	0.97035974	0.9076504	0.7593345	0.7519909	0.9020257	0.92640465	0.9220741	0.7818974	0.86819595	0.78850055	0.9121016	0.91454965	0.9118829	0.8504879	0.86959875	0.94726783	0.85483754	0.9340118	0.7876364	0.84484786	0.88641393	0.8505644	0.89230675	0.9506352	0.9607114	0.9339484	0.8148399	0.8961343	0.8570763	0.93380004	0.88748264	0.87375176	0.8632621	0.86178416	0.8931399	0.9656842	0.8025322	0.8287296	0.71628726	0.7637092	0.93862903	0.8818489	0.87579656	0.7377343	0.9372311	0.9066486
nevel/noun	0.9114146	0.9075459	0.8333043	0.89988333	0.7390653	0.8471077	0.8822725	0.0	0.8612396	0.8689541	0.8468133	0.9414915	0.80978334	0.7881633	0.88116825	0.90371627	0.8810898	0.89803565	0.823946	0.84882593	0.9084086	0.90434724	0.87556446	0.90205204	0.8391409	0.83656466	0.80071795	0.8573587	0.8248922	0.67894423	0.738938	0.8716732	0.7670256	0.90338326	0.9105028	0.8158079	0.87399113	0.85290635	0.86622065	0.84043276	0.81154114	0.7928146	0.818429	0.8887632	0.84994936	0.8312623	0.8476999	0.8950613	0.80003136	0.8458704	0.9083582	0.8950291	0.9035168	0.79479	0.8532057	0.83789515	0.743927	0.9009055	0.8299419	0.8500987	0.82995236	0.78647196	0.87826085	0.8184174	0.7993589	0.8908592	0.7814271	0.94114166	0.81420803	0.8298749	0.88795197	0.88838947	0.74280185	0.7873622	0.8955678	0.91926515	0.8104262	0.79954755	0.86263335	0.7866225	0.87236	0.92662174	0.926892	0.8521496	0.8250972	0.7249059	0.8521941	0.89825684	0.80434704	0.7433064	0.8592638	0.8345826	0.89901114	0.86366993	0.7639903	0.8459697	0.6938716	0.8513083	0.84186375	0.90502006	0.8362742	0.8660728	0.67981666	0.8062281	0.8042192	0.8437611	0.92286813	0.861044	0.8717844	0.83005077	0.48476177	0.8778932	0.92881125	0.7885065	0.8301081	0.7690097	0.5094257	0.8896196	0.85871565	0.83288634	0.7732358	0.7812209	0.8649527	0.6823828	0.8817872	0.7741288	0.8257852	0.90154827
pantalon/noun	0.9391278	0.88708746	0.93697846	0.9200134	0.8731395	0.84919316	0.82104015	0.8612396	0.0	0.7973473	0.8896515	0.95515114	0.69338906	0.85116947	0.8964713	0.8540913	0.83341223	0.92112225	0.8509681	0.8742916	0.9140637	0.8922647	0.8437443	0.9150619	0.66179943	0.67259705	0.84766567	0.8973869	0.7207972	0.8970004	0.8879244	0.94214565	0.88278186	0.8312167	0.9635674	0.8577848	0.6930659	0.8445534	0.82018304	0.85897124	0.9066658	0.8627296	0.656459	0.74212134	0.8318547	0.7183118	0.9045923	0.9296674	0.81610125	0.8957586	0.88721347	0.6771488	0.8779246	0.8425599	0.8858921	0.68014765	0.85926116	0.9264914	0.8786929	0.6480435	0.8469227	0.76648	0.86996984	0.5870936	0.8479507	0.84498656	0.8157922	0.9159435	0.5929327	0.9277557	0.87533545	0.76495826	0.7377093	0.84101063	0.9161834	0.94045836	0.7617763	0.88997203	0.94941753	0.6549755	0.85748845	0.9545563	0.9295939	0.88604677	0.82553613	0.7504374	0.8453903	0.89840966	0.86756253	0.7965397	0.8992138	0.79905665	0.93392503	0.8936795	0.8887724	0.82197654	0.8753495	0.94476974	0.8665237	0.92953694	0.8686451	0.8369726	0.8441957	0.8672025	0.8611047	0.9338522	0.94382524	0.93755543	0.68247646	0.8887021	0.8377895	0.9069296	0.90976024	0.8384531	0.84107494	0.8685176	0.89346194	0.9530988	0.5866344	0.71851337	0.7965859	0.8242162	0.92393523	0.86183816	0.72887	0.6986776	0.9176772	0.8763419
kuif/noun	0.9244885	0.93216574	0.9470259	0.9127585	0.84691584	0.8550694	0.87837625	0.8689541	0.7973473	0.0	0.8864312	0.95610696	0.78417593	0.8278505	0.88796777	0.8787712	0.88798296	0.9116755	0.86189723	0.8648044	0.83965945	0.8564106	0.8890896	0.87812227	0.7761869	0.7569053	0.8459365	0.86996377	0.69992816	0.85338426	0.8832558	0.9293422	0.8535302	0.8806208	0.9538263	0.88408756	0.7681887	0.8703156	0.80821943	0.86268693	0.9029693	0.8364513	0.74950147	0.85788375	0.8927488	0.7136425	0.89431965	0.9419899	0.86311865	0.89900875	0.85146713	0.7749268	0.8990009	0.865814	0.89952147	0.67225707	0.88773453	0.914236	0.9186944	0.76829094	0.85562015	0.8314118	0.87368023	0.70771796	0.89356256	0.85351604	0.8666073	0.94026345	0.7015196	0.89534104	0.8508125	0.8316855	0.78089863	0.86449	0.927017	0.9413855	0.73218954	0.88649315	0.93748635	0.62970626	0.83497226	0.9483008	0.96266586	0.9047569	0.88008666	0.7783664	0.8743162	0.9048331	0.8578078	0.81731033	0.89661	0.8502118	0.93690646	0.8934735	0.86878777	0.85119563	0.8604214	0.9327498	0.8466271	0.9322302	0.866587	0.8575808	0.8499697	0.8423597	0.87457347	0.92378986	0.95462173	0.9229374	0.78614795	0.887643	0.8049085	0.93397456	0.9449468	0.8262489	0.877374	0.86803263	0.8797884	0.9364102	0.7219475	0.66990626	0.8384901	0.8788096	0.9112388	0.89213264	0.7457541	0.77080387	0.933684	0.8591775
