	Hewitt/name	alleen/adj	eraan/pp	alsof/comp	blijf/adj	als/prep	nog/adv	Nationaal/name	lief/adj	kerst_avond/noun	maar/adv	documentaire/noun	plek/noun	alles/noun	Eddy/name	discussie/noun	Lily/name	Michiels/name	versregel/noun	inwoner/noun	woord/noun	ook/adv	passage/noun	voorman/noun	bitter/adj	dagelijks/adj	zelfs/adv	altijd/adv	uit/prep	Madonna/name	niets/noun	minister-president/noun	gesprek/noun	daaraan/pp	feit/noun	niets/adv	Ria/name	alleen/adv	producer/noun	die/det	publiek/noun	Blok/name	zij/pron	mentor/noun	zo/adv	lezer/noun	acht_baan/noun	geweeklaag/noun	goed/adj	je/pron	amper/adv	bewindsman/noun	nota/noun	tv_kijker/noun	periode/noun	tekst/noun	magie/noun	wie/pron	Von/name	Marja/name	laat/adj	iedereen/pron	Ten/adv	dokter/noun	voornaam/noun	ze/pron	graag/adv	toen/adv	SP/name	niet/adv	les/noun	iets/noun	man/noun	weer/adv	aan/prep	ons/noun	Bram/name	The/name	kast/noun	Mike/name	niemand/pron	men/pron	vooral/adv	leraar/noun	haar/pron	meisje/noun	Croes/name	zich/pron	duur_voort/adj	opeens/adv	Grosjean/name	Tomislav/name	mens/noun	levendig/adj	song/noun	misschien/adv	Gerard/name	plaat/noun	ik/pron	Rosenmöller/name	klassieker/noun	partij_genoot/noun	voorts/adv	Lamine/name	dat/det	correct/adj	Rijkaard/name	achteraf/pp	meer/adj	concert/noun	u/pron	mij/pron	geleden/adj	toen/comp	foto/noun	Clinton/name	hij/pron	we/pron	VVD'er/noun	me/pron	weinig/adj	ons/pron	gelukkig/adj	lang/adj	Robert/name	dag/noun	begin_periode/noun	atlete/noun	Ids/name	vaak/adj	politicus/noun	veld_slag/noun	werk_dag/noun	voorzitter/noun	Frank/name	niks/noun	detail/noun	veel/adj	5-1/num	het/adj	muziek/noun	wij/pron	Charlotte/name	satire/noun	café_bezoeker/noun	hem/pron	eens/adv
Ria/name	0.84847665	0.89639205	0.8805438	0.8729431	0.8936458	0.82325566	0.9115624	0.83388263	0.8493961	0.82842654	0.89291793	0.8426672	0.90733206	0.90005106	0.562155	0.9196327	0.7123261	0.62954396	0.9251238	0.8569508	0.8976849	0.8677449	0.8857864	0.7546203	0.88528264	0.88133895	0.88527644	0.87791723	0.8053071	0.7646058	0.91541255	0.79384387	0.8197563	0.91267836	0.8963303	0.9074864	0.0	0.8844067	0.73323214	0.87868845	0.87632084	0.7884455	0.8007485	0.7426931	0.8860711	0.8593888	0.8936882	0.93101364	0.8813444	0.8613196	0.8504552	0.8542871	0.8593073	0.85616946	0.9368398	0.833781	0.8647569	0.83619004	0.77291495	0.70488787	0.9109436	0.87493014	0.81510144	0.728335	0.8033558	0.79170173	0.8470159	0.8361243	0.70968187	0.9076377	0.89909893	0.9061377	0.82754165	0.90204364	0.90253574	0.8487421	0.66679657	0.88323194	0.90821594	0.7040297	0.8871617	0.87379825	0.89647067	0.7758937	0.78923583	0.8352817	0.74489707	0.877596	0.8919195	0.85371983	0.8613955	0.8727316	0.8709388	0.85489285	0.8770037	0.897117	0.578054	0.89308107	0.8407649	0.8035307	0.85970306	0.6846634	0.80427	0.7933499	0.8972854	0.903642	0.81561625	0.83558154	0.9031503	0.8583342	0.8355316	0.84611416	0.8912314	0.8244768	0.79063976	0.8532385	0.78852487	0.86916816	0.7660578	0.8552991	0.91017205	0.86786914	0.86509293	0.9102074	0.63738096	0.8992391	0.87981683	0.78923565	0.8249108	0.8748605	0.84842706	0.88064474	0.86406183	0.6503587	0.6170535	0.9061817	0.9008824	0.9139738	0.81998634	0.9252911	0.88897276	0.8626036	0.65816957	0.85761935	0.8880886	0.8235185	0.89189184
alleen/adv	0.89482975	0.37046838	0.87875247	0.75283504	0.77630013	0.8030071	0.7409855	0.96057075	0.7027877	0.90141785	0.6087314	0.90634364	0.8671488	0.79054224	0.9474241	0.8478506	0.9056076	0.9511863	0.89933735	0.87951106	0.8094963	0.60315627	0.8449259	0.9013044	0.7688182	0.81030566	0.6775714	0.6350241	0.8632057	0.8585478	0.7552222	0.9334086	0.9113629	0.8162949	0.86214185	0.7480626	0.8844067	0.0	0.9051013	0.6818768	0.80603194	0.8840793	0.7456309	0.8946134	0.76894367	0.8121681	0.8553152	0.8868891	0.75599825	0.6833868	0.82314	0.85595024	0.89150727	0.84104896	0.8993643	0.84011495	0.7671472	0.7284349	0.870439	0.876139	0.910928	0.7162781	0.83786	0.8654127	0.81577194	0.71838105	0.73109066	0.8169534	0.91440165	0.6659569	0.8614077	0.7865426	0.8875249	0.8045929	0.85760814	0.7300082	0.9315166	0.96954364	0.8728034	0.94273865	0.7225988	0.7262162	0.59369004	0.8579867	0.8035103	0.8722544	0.9096652	0.82157904	0.7130063	0.7700136	0.9075182	0.9062634	0.77148134	0.8026512	0.85273916	0.7149471	0.95433563	0.8541968	0.69819486	0.8324462	0.88157684	0.92799836	0.8038506	0.8744261	0.6841482	0.7948978	0.85236686	0.7810933	0.7372062	0.90768474	0.786517	0.7515646	0.9582455	0.88801426	0.9343988	0.89565164	0.7853019	0.7171619	0.8581708	0.7896544	0.69728935	0.75201064	0.74810505	0.8611816	0.9679799	0.88992846	0.87810093	0.87980217	0.8757091	0.6548064	0.8397827	0.8599181	0.8834711	0.9715039	0.954985	0.75177205	0.8325738	0.6630268	0.94701004	0.8483813	0.8021309	0.6880236	0.91532624	0.8424366	0.8782333	0.8045261	0.74876964
producer/noun	0.8431683	0.8871213	0.9040705	0.8790706	0.89860326	0.7224612	0.9168408	0.8802172	0.88117826	0.85197747	0.92080295	0.67149866	0.90517795	0.9077632	0.7051855	0.9296745	0.7429386	0.69214875	0.891868	0.9246144	0.87931496	0.854239	0.84055924	0.6618342	0.901578	0.8954245	0.88628095	0.87236947	0.85166264	0.61004454	0.92181903	0.83949536	0.78570855	0.9166742	0.9236638	0.9135007	0.73323214	0.9051013	0.0	0.87436986	0.8165214	0.8776407	0.8401983	0.66393435	0.8862406	0.850205	0.8957183	0.94018257	0.85942465	0.8786544	0.92830855	0.88469416	0.90030384	0.8455068	0.9393507	0.7582936	0.81140983	0.8297654	0.7284317	0.83308876	0.8981406	0.87746763	0.8680648	0.7420602	0.747537	0.8410454	0.86397874	0.8685176	0.8337673	0.9028529	0.91085964	0.8977307	0.88094884	0.9080589	0.92470396	0.882724	0.70965344	0.60030067	0.91255826	0.5849261	0.8994266	0.87085056	0.8535652	0.77893007	0.834497	0.89044094	0.80469525	0.9095932	0.8755396	0.85413516	0.8745764	0.89299303	0.8662413	0.85063887	0.65247715	0.8879653	0.6920139	0.6603435	0.8662863	0.850439	0.7156	0.7659589	0.8135979	0.84285164	0.8991959	0.90557605	0.8186557	0.87524205	0.9131509	0.7272607	0.88447344	0.88258475	0.91503364	0.8588414	0.709744	0.8112491	0.8121287	0.8792939	0.8327993	0.88713133	0.88877344	0.9099542	0.8933276	0.9332236	0.5837424	0.93260425	0.8424705	0.8203018	0.8400182	0.85918224	0.8092367	0.8810364	0.9184368	0.69789934	0.6665381	0.91898865	0.8890341	0.8917575	0.90591127	0.8986043	0.71739125	0.87200916	0.7146199	0.7577398	0.92470527	0.8482261	0.9076936
die/det	0.8698923	0.65664315	0.85657114	0.7247892	0.70928955	0.7960657	0.7476826	0.94860166	0.7314594	0.84165287	0.70654786	0.88131577	0.8110942	0.7151499	0.960856	0.7817673	0.87176424	0.9464509	0.859812	0.9127861	0.753268	0.64903295	0.77518725	0.8938426	0.7722996	0.8287888	0.73859286	0.6734376	0.8111899	0.820765	0.7839412	0.88503003	0.87882566	0.7453722	0.76131344	0.7779068	0.87868845	0.6818768	0.87436986	0.0	0.78437525	0.84086275	0.6576076	0.8719405	0.70471394	0.73528177	0.84404314	0.8268792	0.7126181	0.5963714	0.8465518	0.78666306	0.823996	0.81450635	0.84876	0.77295995	0.7008544	0.7193675	0.81260455	0.8458772	0.7881267	0.69415677	0.7990395	0.8352997	0.76088	0.62281394	0.7257918	0.75716555	0.91122484	0.64639086	0.8488226	0.7296983	0.8558544	0.75141	0.78659344	0.7134366	0.93551683	0.95360947	0.8256032	0.92669755	0.73791647	0.6363892	0.7282072	0.83018154	0.72312635	0.841537	0.86607385	0.7838836	0.6829114	0.68694884	0.87886816	0.89825404	0.72626144	0.7579293	0.76857126	0.66326773	0.93811285	0.8013769	0.6361844	0.7901107	0.8451029	0.87425804	0.7742339	0.8158064	0.55782676	0.6466789	0.7967806	0.6900133	0.7681142	0.89525414	0.70984757	0.6609961	0.9109563	0.84034777	0.9277037	0.8377876	0.7087689	0.62213606	0.8274127	0.6940038	0.7216035	0.6791297	0.72834456	0.8042894	0.96870637	0.8731097	0.8244286	0.8635347	0.85664326	0.66034234	0.790314	0.8361622	0.87403977	0.9593898	0.9693753	0.757627	0.7484844	0.6911707	0.92569816	0.85787237	0.7897187	0.5939395	0.9023863	0.7852273	0.87084013	0.7111635	0.74981093
publiek/noun	0.8508488	0.78082305	0.9224012	0.77920175	0.841502	0.81080127	0.86634934	0.9177201	0.81762874	0.85303056	0.82817924	0.83828515	0.8242081	0.8451772	0.93403447	0.8356807	0.8709065	0.9417858	0.8969659	0.8576156	0.8171843	0.7459239	0.8192865	0.88319796	0.83999497	0.85514426	0.8133594	0.7207681	0.8885396	0.7955929	0.88943547	0.9012034	0.8667113	0.8970539	0.87239426	0.8798063	0.87632084	0.80603194	0.8165214	0.78437525	0.0	0.87334025	0.74182546	0.8802662	0.7655027	0.55733645	0.866044	0.86831117	0.80496895	0.72519964	0.89085037	0.83857954	0.89195335	0.7100677	0.92331773	0.80054736	0.79153734	0.7862153	0.8308076	0.8989276	0.91048104	0.63486767	0.86005425	0.89153373	0.8324862	0.692294	0.8443358	0.8354745	0.9237355	0.7931651	0.8724653	0.81971335	0.849645	0.79361194	0.87412286	0.73803556	0.9369344	0.9131659	0.8657337	0.9012431	0.79541093	0.7415977	0.71703815	0.84159756	0.71691173	0.8193046	0.90636545	0.7877645	0.7753446	0.7438176	0.88831335	0.92470676	0.72477937	0.737944	0.7595849	0.83854103	0.92507195	0.7851495	0.7552097	0.8292324	0.81995636	0.88309735	0.8195965	0.87171197	0.8363105	0.8351418	0.8156239	0.8097754	0.79195285	0.72540367	0.7824316	0.7363907	0.9373125	0.84773624	0.93605757	0.8670269	0.7392752	0.7635106	0.87230587	0.7513095	0.76791024	0.7224798	0.8470566	0.88071764	0.932396	0.90632445	0.8720994	0.8588016	0.87824607	0.77548003	0.7409291	0.8710971	0.8965122	0.96158814	0.946671	0.8874488	0.84709966	0.7512241	0.9475021	0.84054005	0.6490276	0.7449447	0.880355	0.8126163	0.8593163	0.72569597	0.8165149
Blok/name	0.89525044	0.8704535	0.8994268	0.92624193	0.8726417	0.8509518	0.9185684	0.8606809	0.89771473	0.9078957	0.8991194	0.9171962	0.9587202	0.91859436	0.7946942	0.8123534	0.92235494	0.82253635	0.94444823	0.8811871	0.90025723	0.84506917	0.8989867	0.70634	0.87870634	0.93859977	0.84724486	0.8878638	0.88363767	0.8993372	0.9075787	0.6978798	0.85424405	0.90790343	0.8655609	0.8926221	0.7884455	0.8840793	0.8776407	0.84086275	0.87334025	0.0	0.7681698	0.86950713	0.91609985	0.8713864	0.9414713	0.9257835	0.9096759	0.9040108	0.9103836	0.7899221	0.7991054	0.8785347	0.93002665	0.86291796	0.91155297	0.8668949	0.8610348	0.8793709	0.92968976	0.8821033	0.78116274	0.8757506	0.8849259	0.8376078	0.8711284	0.8557187	0.5038115	0.86675936	0.92223454	0.92409754	0.9228187	0.9246498	0.9272911	0.88794065	0.8841143	0.93090963	0.9411375	0.8638906	0.8634674	0.8002417	0.852667	0.8837357	0.87061584	0.9418066	0.8228445	0.8457098	0.86833066	0.9042667	0.92585266	0.92143816	0.9173823	0.9162093	0.9234233	0.911917	0.8481433	0.9391075	0.89086556	0.73777366	0.90453315	0.6596538	0.7553633	0.76003814	0.8748029	0.853742	0.8738725	0.8794085	0.88886523	0.92143315	0.8725704	0.88789916	0.9242063	0.90080535	0.86816674	0.8076179	0.8099663	0.85335124	0.72628045	0.899421	0.86689556	0.8675532	0.9258412	0.92518586	0.84985286	0.96188253	0.9025239	0.8690007	0.90583074	0.8772963	0.6939101	0.8891926	0.93594337	0.73762035	0.7728926	0.9024885	0.92777705	0.90034574	0.92564344	0.9012691	0.94060385	0.7986214	0.8845203	0.903698	0.9472435	0.842381	0.9110895
zij/pron	0.82932824	0.60665905	0.78877926	0.770506	0.70860344	0.7652799	0.7559681	0.92517376	0.7377898	0.82163185	0.7536978	0.8954581	0.835008	0.73797846	0.9190427	0.8212675	0.79811853	0.9253033	0.8763049	0.8217244	0.7821603	0.6421219	0.80646974	0.83123577	0.81192046	0.79608077	0.73655754	0.70083106	0.8745836	0.7745259	0.7310604	0.7910312	0.8362584	0.7244978	0.7086449	0.7391629	0.8007485	0.7456309	0.8401983	0.6576076	0.74182546	0.7681698	0.0	0.7847846	0.7391745	0.65490043	0.8690028	0.8551892	0.7625845	0.5860903	0.8696236	0.60443497	0.7706957	0.8001251	0.8907953	0.815495	0.7954269	0.5592064	0.7354923	0.7946367	0.8444296	0.58945596	0.7298228	0.6788262	0.77189994	0.27400452	0.7114756	0.68534446	0.8127566	0.61155844	0.8418348	0.7261034	0.68295693	0.7970496	0.76353705	0.6549946	0.9057291	0.96478707	0.89587593	0.8869526	0.5738815	0.44286513	0.7865285	0.7121726	0.52279294	0.7226224	0.81516707	0.64198434	0.70560455	0.7568001	0.85577226	0.8850652	0.6039904	0.85979074	0.8346955	0.771772	0.8862035	0.8658169	0.58124316	0.668077	0.8986411	0.77123964	0.68030536	0.7551294	0.70006895	0.6926712	0.74660265	0.66114193	0.7766515	0.9153472	0.57752144	0.65922886	0.82495844	0.75355434	0.94305956	0.68029284	0.3037839	0.54956126	0.71181166	0.6667365	0.7326734	0.6153201	0.76862717	0.8106062	0.9243787	0.84218323	0.8545178	0.76828814	0.82258284	0.65778685	0.6666414	0.84636784	0.87724996	0.9084301	0.9315704	0.7794593	0.78567445	0.7531779	0.9497872	0.7682835	0.8629378	0.43101662	0.8139887	0.85695565	0.8196273	0.5120481	0.75506055
mentor/noun	0.8423481	0.87599	0.9017221	0.91068494	0.8555975	0.71253705	0.9068781	0.90690553	0.8710228	0.86662275	0.90806854	0.8302525	0.8972409	0.9081164	0.69874865	0.9067962	0.81180817	0.7613181	0.8881473	0.8939903	0.88227	0.84846544	0.87651587	0.70302963	0.88311166	0.87051725	0.8473175	0.86298895	0.8625095	0.8265984	0.93106174	0.7982495	0.8215699	0.9032355	0.9123175	0.9096745	0.7426931	0.8946134	0.66393435	0.8719405	0.8802662	0.86950713	0.7847846	0.0	0.9016582	0.84923625	0.90216887	0.93660253	0.88533056	0.8847897	0.9086498	0.82365704	0.86312807	0.8704686	0.8998784	0.84151345	0.85329014	0.8443565	0.78573394	0.83789283	0.9058183	0.86530685	0.84818333	0.71433806	0.7844871	0.82555646	0.8633709	0.8413321	0.8042837	0.9160562	0.7922802	0.9151191	0.8198713	0.8987779	0.87813866	0.8527973	0.77100027	0.86881363	0.92492616	0.73406136	0.89372516	0.87345827	0.8497435	0.6558906	0.81514925	0.8173549	0.78387105	0.8869445	0.8770232	0.86858016	0.8693807	0.8830601	0.8503408	0.8837783	0.84212047	0.8991251	0.71485186	0.8610384	0.8597986	0.8189879	0.8363728	0.68081486	0.8271489	0.8247333	0.9086412	0.85714567	0.7891425	0.8709792	0.89472437	0.8777424	0.8847532	0.87357974	0.8953757	0.82529455	0.80427384	0.76317096	0.790049	0.869292	0.8123822	0.8855653	0.89601463	0.8971032	0.8837084	0.93833596	0.6868838	0.89441305	0.86226785	0.8305332	0.85639995	0.8288225	0.7781887	0.87379843	0.88944197	0.6786913	0.72284096	0.9281566	0.9061388	0.89299405	0.92794484	0.91485137	0.84499097	0.8585863	0.7868604	0.8107885	0.8855031	0.8069516	0.9009007
zo/adv	0.88574624	0.7264876	0.87885344	0.6853532	0.86647683	0.83865404	0.7352263	0.95646375	0.71001226	0.8711163	0.6695298	0.8861349	0.78262997	0.6838205	0.96089435	0.84012944	0.85881346	0.9657644	0.86131436	0.93160397	0.72879946	0.6927023	0.7543252	0.90581805	0.80868554	0.8816269	0.72734547	0.5554508	0.9279618	0.8570057	0.7758063	0.92303467	0.8768068	0.859353	0.8632678	0.7780509	0.8860711	0.76894367	0.8862406	0.70471394	0.7655027	0.91609985	0.7391745	0.9016582	0.0	0.74056596	0.81370306	0.8884159	0.7429676	0.57880706	0.9127137	0.84580445	0.8806766	0.8388288	0.8500421	0.80759346	0.8075816	0.7768856	0.8515525	0.84900486	0.93228424	0.6692194	0.8680487	0.85045415	0.82727355	0.61873907	0.8073291	0.7334943	0.9488112	0.6301255	0.8723155	0.6172173	0.8401111	0.74814206	0.92536616	0.7483455	0.94212186	0.9395261	0.88341105	0.92448163	0.7612388	0.6762558	0.7732896	0.85564303	0.7578974	0.8338825	0.8842399	0.80608207	0.8121861	0.65791845	0.9166718	0.91161233	0.6946691	0.74112594	0.7614727	0.60758734	0.9320816	0.8006639	0.5853977	0.8324378	0.87175345	0.91473806	0.8085957	0.8633704	0.5848807	0.7367972	0.82136583	0.6756379	0.8478427	0.91663927	0.71922004	0.66228247	0.9138205	0.8564168	0.9480761	0.88295245	0.68370986	0.6428925	0.839065	0.6546514	0.74281764	0.69647944	0.7147379	0.84675854	0.955758	0.8807989	0.8403627	0.88629144	0.89788896	0.6749159	0.803627	0.8674756	0.9045593	0.962593	0.9621813	0.7660157	0.7684504	0.6219765	0.93641895	0.8404008	0.78165984	0.6511334	0.89401793	0.7905077	0.8834722	0.76008046	0.7166068
lezer/noun	0.876634	0.75682646	0.84221363	0.79354584	0.813887	0.82878584	0.8184452	0.93726325	0.7969034	0.88585806	0.7844393	0.83938694	0.82818925	0.81994534	0.93292534	0.81981754	0.8666943	0.94399184	0.80958325	0.8025371	0.73958445	0.6950073	0.68346894	0.8727969	0.80556256	0.74852264	0.7696395	0.7162071	0.8612905	0.82853603	0.8110188	0.8683789	0.790557	0.8177798	0.8096092	0.7754972	0.8593888	0.8121681	0.850205	0.73528177	0.55733645	0.8713864	0.65490043	0.84923625	0.74056596	0.0	0.8694589	0.8600539	0.82289225	0.6404369	0.88959736	0.77464134	0.79937595	0.70261216	0.9203333	0.67241865	0.76198214	0.6868879	0.81693786	0.8265105	0.88236284	0.6583296	0.8263857	0.82856584	0.76474315	0.6478013	0.8099062	0.83916986	0.9157302	0.74052036	0.8383761	0.7510291	0.846406	0.8430977	0.8117877	0.6851245	0.9253238	0.875013	0.88342285	0.92688656	0.7162078	0.64742833	0.7450981	0.7952311	0.66856134	0.85445386	0.87384313	0.76212305	0.7474258	0.7640424	0.9048708	0.91954947	0.64763176	0.75631654	0.7844455	0.72762877	0.859568	0.8344995	0.6792811	0.76343936	0.81435484	0.8300394	0.7769036	0.84031594	0.75388426	0.7649466	0.79630476	0.7467085	0.7556785	0.8856259	0.5761195	0.65222013	0.8976375	0.8811471	0.8779559	0.8400116	0.6766741	0.73238766	0.8263821	0.6828768	0.74505913	0.66413116	0.8416826	0.88390434	0.91823393	0.8807559	0.8590273	0.87414765	0.89079386	0.7335365	0.7058247	0.8409015	0.8785637	0.94382197	0.9288479	0.8240664	0.73243004	0.75170046	0.96119654	0.8526943	0.7716931	0.6788169	0.864162	0.7602094	0.8416333	0.6600149	0.753914
acht_baan/noun	0.8880907	0.8605104	0.9366694	0.83254766	0.9092002	0.89072496	0.84384495	0.94000363	0.8695184	0.8837066	0.8596708	0.8781574	0.82114017	0.86579514	0.9420475	0.8915376	0.8893162	0.9445518	0.9100782	0.9095778	0.88872975	0.8628576	0.85122836	0.900774	0.9034341	0.8882973	0.8041966	0.83950114	0.88340914	0.85355705	0.90848315	0.9493443	0.9183082	0.95056456	0.93508995	0.87704134	0.8936882	0.8553152	0.8957183	0.84404314	0.866044	0.9414713	0.8690028	0.90216887	0.81370306	0.8694589	0.0	0.93474257	0.867097	0.8148021	0.8559097	0.9352973	0.92472136	0.86200076	0.8656743	0.8962202	0.84033114	0.89147913	0.8758481	0.9149088	0.8580537	0.8491153	0.8791609	0.9339466	0.89843166	0.81832206	0.88133866	0.85287845	0.94963	0.8735336	0.9026185	0.86390805	0.8907166	0.796618	0.9190196	0.85133874	0.9446188	0.8972596	0.84977365	0.919541	0.89134306	0.86359036	0.8454382	0.91165495	0.8941513	0.8843243	0.9206701	0.8836852	0.8447552	0.79100734	0.90239096	0.92892104	0.8480432	0.85466236	0.83471936	0.8552165	0.93991256	0.8234498	0.8433118	0.9001299	0.8489409	0.93536866	0.8919879	0.9282888	0.87670445	0.91513884	0.9011003	0.8987245	0.87688696	0.8930509	0.89552367	0.89261764	0.8876421	0.88185203	0.9503164	0.9015269	0.8430012	0.8348303	0.9223429	0.877961	0.8927299	0.8935341	0.88118005	0.8364007	0.93577194	0.8317548	0.9085819	0.88017106	0.89318705	0.83355516	0.9013189	0.8482581	0.87120306	0.9641935	0.96305573	0.90026474	0.8728324	0.84693736	0.9409551	0.9214563	0.84582597	0.8609689	0.9030604	0.8574591	0.9163891	0.89973706	0.87340903
geweeklaag/noun	0.93255794	0.8912785	0.9056706	0.8251121	0.89412063	0.8995731	0.8865945	0.9668946	0.87766296	0.9169174	0.8794399	0.94331074	0.90720534	0.8840066	0.9717403	0.8504927	0.90477633	0.9705768	0.911843	0.9414866	0.82427514	0.8819105	0.85589826	0.9322788	0.8560953	0.9125742	0.87777233	0.86806333	0.9047222	0.91979134	0.87590164	0.93408674	0.91078705	0.88709426	0.8928157	0.8647255	0.93101364	0.8868891	0.94018257	0.8268792	0.86831117	0.9257835	0.8551892	0.93660253	0.8884159	0.8600539	0.93474257	0.0	0.85994804	0.8086667	0.9298201	0.8780191	0.91676736	0.89168817	0.9227302	0.88236535	0.8867822	0.86852795	0.9252377	0.9117944	0.937098	0.86326355	0.9393833	0.91202086	0.88914526	0.8328632	0.8769168	0.8805554	0.95128226	0.8486112	0.93267417	0.88203096	0.93103576	0.88868904	0.91518706	0.8523638	0.96120787	0.95623356	0.9335209	0.9544488	0.8702531	0.83105314	0.8552772	0.90535116	0.85839665	0.9199535	0.92278546	0.85096174	0.86191505	0.8546392	0.94419414	0.93450934	0.85817754	0.8822631	0.85817087	0.8484143	0.9588528	0.8839613	0.8373737	0.8847287	0.90810716	0.9169302	0.91263413	0.90024114	0.87095296	0.8927409	0.9064857	0.87541044	0.9153649	0.9121014	0.8572601	0.82298934	0.9562378	0.8938419	0.95846665	0.90722173	0.8537324	0.858484	0.8967647	0.82906914	0.8919699	0.85108036	0.8729561	0.89941376	0.9689892	0.91473234	0.9040418	0.92319214	0.9410011	0.8201138	0.8435584	0.88884693	0.92875385	0.9778179	0.9735452	0.8847532	0.8760975	0.8638426	0.9593896	0.9055727	0.85851586	0.8586333	0.9425282	0.89806294	0.9220794	0.85576165	0.87865466
goed/adj	0.8907369	0.7398288	0.86678356	0.7943524	0.8055339	0.8000696	0.7358352	0.95537746	0.74109125	0.8946761	0.7526117	0.92183185	0.88843024	0.7536888	0.94156486	0.87906766	0.89561945	0.9509607	0.8995552	0.92253196	0.8392601	0.70416236	0.8843812	0.92748874	0.8406997	0.85887814	0.8042735	0.6968155	0.8962603	0.8593773	0.8189862	0.9317484	0.9087569	0.8680016	0.90404695	0.82590806	0.8813444	0.75599825	0.85942465	0.7126181	0.80496895	0.9096759	0.7625845	0.88533056	0.7429676	0.82289225	0.867097	0.85994804	0.0	0.68550634	0.8285582	0.8847767	0.90438753	0.83844185	0.87816924	0.8551843	0.8483575	0.77715534	0.8900448	0.8713459	0.8625132	0.7333867	0.87681174	0.8822779	0.85435265	0.7141551	0.8032282	0.805808	0.9471818	0.68169487	0.8564171	0.7328079	0.9133634	0.78388065	0.86709166	0.7634377	0.92814	0.9471863	0.91451466	0.9162989	0.7867411	0.73526156	0.7619993	0.8418132	0.80358773	0.9110874	0.8682072	0.8530005	0.7974448	0.7948565	0.88598233	0.86916554	0.7843758	0.78245485	0.8078638	0.7022564	0.92911667	0.8301059	0.67859995	0.88241446	0.86075354	0.9347281	0.83732116	0.8718443	0.6920515	0.7320165	0.81585073	0.7710919	0.7319571	0.9062212	0.77103364	0.7323494	0.94831645	0.883505	0.967602	0.9229213	0.7798715	0.6508199	0.8963805	0.73762965	0.6923089	0.727823	0.68331444	0.80906236	0.9451003	0.9071075	0.8413109	0.8541659	0.88739896	0.73920906	0.8469986	0.8898721	0.9004556	0.9681251	0.9441766	0.7760647	0.8330817	0.6889128	0.9433932	0.832317	0.8250245	0.64511776	0.9103562	0.8546606	0.91179997	0.7941536	0.77959406
je/pron	0.8792332	0.62947625	0.7735003	0.5727421	0.85462177	0.85716265	0.65894073	0.9733969	0.58599985	0.83895934	0.5239779	0.92091787	0.77180576	0.5813622	0.9616636	0.8736065	0.8581879	0.9701979	0.8447232	0.9240381	0.7055335	0.6010369	0.81201696	0.93998706	0.79023194	0.79665077	0.6904177	0.5249518	0.90896934	0.8366785	0.6803255	0.94266385	0.91600066	0.80363387	0.86146384	0.723389	0.8613196	0.6833868	0.8786544	0.5963714	0.72519964	0.9040108	0.5860903	0.8847897	0.57880706	0.6404369	0.8148021	0.8086667	0.68550634	0.0	0.8472655	0.8642973	0.9093208	0.79880834	0.90492004	0.7961157	0.7393688	0.5475687	0.83854914	0.8188278	0.8742175	0.44395483	0.85708064	0.79276454	0.79944736	0.3177796	0.6534607	0.6935056	0.9515598	0.52603126	0.83296484	0.53078675	0.79926354	0.65434456	0.86923206	0.6182487	0.9434246	0.97739106	0.8016648	0.92526054	0.5264998	0.41889662	0.80615884	0.82885116	0.5965685	0.7778331	0.9051071	0.7259847	0.6799438	0.54730093	0.8987215	0.9118024	0.56414425	0.8033546	0.774196	0.5554898	0.94361484	0.7973919	0.2875092	0.83831847	0.8716973	0.9271697	0.85581595	0.8777274	0.5493887	0.79472065	0.8184532	0.629014	0.74895	0.90909076	0.4326151	0.4741528	0.927056	0.7901071	0.94149107	0.90220016	0.5178753	0.39218837	0.8541469	0.4425258	0.73947215	0.5291747	0.6562129	0.7867706	0.97707146	0.8262884	0.85965	0.8772391	0.879982	0.6232203	0.800327	0.8896419	0.8742188	0.9831938	0.9740721	0.595266	0.7739234	0.6550573	0.9559233	0.77320707	0.7576185	0.46565402	0.8907442	0.822636	0.84246546	0.6090553	0.5210383
