	riek/verb	word/verb	pijnlijk/adj	vroeger/adv	alleen/adj	carrière/noun	blijf/adj	hoe/adj	eiland/noun	nog/adv	gozer/noun	voor_woord/noun	muur/noun	bepaald/adj	gisteren/adv	bar/noun	lief/adj	gespannen/adj	kerst_avond/noun	maar/adv	plek/noun	alles/noun	versregel/noun	kunstenares/noun	inwoner/noun	plaquette/noun	hoofd_redactie/noun	ook/adv	bitter/adj	staal_industrie/noun	dagelijks/adj	zelfs/adv	altijd/adv	niets/noun	gesprek/noun	feit/noun	niets/adv	er/noun	alleen/adv	producer/noun	zal/verb	gebeur/verb	zo/adv	lezer/noun	acht_baan/noun	geweeklaag/noun	goed/adj	echt/adv	amper/adv	moment/noun	nota/noun	commotie/noun	tijd/noun	gebeuren/noun	verrot/adj	Merksemse/adj	iemand/noun	tv_kijker/noun	periode/noun	tekst/noun	schilderij/noun	vroeg/adj	Ten/adv	kan/verb	graag/adv	schoonheid/noun	niet/adv	iets/noun	man/noun	weer/adv	wanneer/adv	gras/noun	context/noun	onraad/noun	midden/noun	ons/noun	plaat_zaak/noun	visser_dorp/noun	kast/noun	mooi/adj	atmosfeer/noun	jeugd/noun	lui/adj	vooral/adv	meer/adv	ingeslagen/adj	zomer/noun	meisje/noun	duur_voort/adj	sarcastisch/adj	mens/noun	misschien/adv	vervallen/adj	plaat/noun	partij_genoot/noun	protestants/adj	voorts/adv	homeopathisch/adj	correct/adj	herkomst/noun	bloed_heet/adj	jongeman/noun	meen/verb	concert/noun	meer/adj	aangrijpend/adj	vorig/adj	heroïsch/adj	weinig/adj	gelukkig/adj	lang/adj	dag/noun	kiezer/noun	atlete/noun	oud/adj	verleden/noun	vaak/adj	politicus/noun	veld_slag/noun	voorzitter/noun	meneer/noun	ooit/adv	niks/noun	liefst/adj	detail/noun	veel/adj	het/adj	kwaad/noun	eens/adv
weer/adv	0.7585294	0.7883181	0.8537395	0.8112875	0.82509404	0.85507494	0.8773998	0.82258445	0.8883991	0.63024056	0.8148975	0.9183837	0.80708987	0.89913815	0.8676033	0.81504345	0.75704503	0.823967	0.8415067	0.7100046	0.8127829	0.70012856	0.8880732	0.91333765	0.9382169	0.913116	0.89304185	0.76272154	0.8652165	0.9025409	0.84611607	0.7569447	0.69738585	0.835809	0.8697831	0.90767926	0.82655346	0.73834294	0.8045929	0.9080589	0.7196654	0.8198635	0.74814206	0.8430977	0.796618	0.88868904	0.78388065	0.765911	0.81533384	0.7972895	0.90956354	0.8557788	0.747843	0.86804146	0.81570256	0.90184456	0.69525516	0.8660134	0.8525986	0.89356035	0.91365874	0.78287816	0.8571943	0.7133119	0.78911555	0.87575406	0.75850224	0.7126795	0.838886	0.0	0.74757624	0.7457397	0.88614535	0.82957864	0.8409941	0.75904936	0.84062517	0.9003333	0.77931064	0.80261993	0.7733332	0.83953536	0.77214533	0.8451303	0.7028005	0.8285248	0.7822491	0.8537284	0.7400449	0.8537524	0.8101041	0.710037	0.8455599	0.81919205	0.9343778	0.9067443	0.87877065	0.89800966	0.908092	0.91745967	0.8193207	0.81473994	0.9544301	0.9020606	0.8209958	0.88019484	0.84756446	0.8675125	0.83061415	0.73662806	0.8037643	0.74615955	0.8743437	0.87172604	0.8425738	0.85754305	0.7750881	0.9035218	0.8782506	0.9806417	0.8144903	0.79582834	0.80810726	0.7567541	0.88058937	0.7845762	0.8273913	0.8866726	0.6344327
wanneer/adv	0.819034	0.75796825	0.85779065	0.8467869	0.7404058	0.8976922	0.86298555	0.555068	0.9150155	0.71126676	0.83131105	0.87910104	0.9212817	0.7867069	0.8171751	0.9000212	0.7871896	0.872895	0.8242161	0.7352104	0.82720697	0.76965284	0.8949433	0.87497103	0.93322724	0.89135176	0.83824277	0.742565	0.8656919	0.9226954	0.80808604	0.8120218	0.76067406	0.79063964	0.84730214	0.82779825	0.76806104	0.80222213	0.8102289	0.8889596	0.6626611	0.7600037	0.767205	0.805706	0.9028559	0.8736117	0.82283646	0.74566483	0.90132105	0.741173	0.8649623	0.8783978	0.83031744	0.87476754	0.850027	0.917526	0.6582297	0.85332733	0.88207126	0.8597229	0.8973063	0.8162675	0.8381342	0.6668123	0.7788048	0.8633661	0.687835	0.7442676	0.868841	0.74757624	0.0	0.88633287	0.84322345	0.84732825	0.89293635	0.78070635	0.8887854	0.90762335	0.8993433	0.860839	0.85915494	0.9032156	0.8333258	0.87862164	0.8061148	0.8994479	0.8163017	0.8646604	0.79494333	0.86059827	0.8020352	0.7113544	0.89035225	0.86960053	0.90558374	0.8855827	0.8099011	0.8447644	0.7785598	0.78562117	0.91229784	0.8571139	0.87598836	0.8310515	0.866948	0.87130594	0.83022475	0.88840127	0.8529875	0.79513913	0.87614924	0.8220679	0.8359286	0.8946515	0.87683415	0.88009846	0.7420641	0.8419485	0.8797446	0.9422826	0.7810475	0.7396647	0.7868109	0.79808956	0.77009606	0.84455323	0.7640812	0.8714036	0.6694588
gras/noun	0.73819095	0.85749125	0.88001597	0.88453114	0.85481966	0.929893	0.8961202	0.8769251	0.8128802	0.8422529	0.86554664	0.92281735	0.66945165	0.887563	0.9386549	0.77966326	0.77310765	0.8468951	0.8743284	0.8240639	0.7031614	0.81199026	0.8815436	0.8871959	0.9311547	0.8872457	0.9419818	0.8630176	0.8128432	0.9265381	0.8646253	0.79603374	0.80198	0.9014076	0.9476039	0.94048077	0.8836318	0.85389894	0.8229751	0.92345154	0.90392953	0.90636253	0.8085425	0.89502555	0.82035136	0.87805295	0.85870266	0.8589641	0.8565988	0.8913333	0.9531757	0.9116896	0.87371373	0.89715016	0.78872037	0.9191967	0.83918774	0.89811057	0.8887908	0.88134646	0.8567462	0.8556042	0.8912431	0.83546317	0.8259299	0.8317616	0.87934923	0.82914877	0.8640545	0.7457397	0.88633287	0.0	0.9305606	0.8800777	0.76335645	0.82936734	0.8915101	0.89128655	0.7647756	0.759234	0.7672727	0.8844049	0.77041376	0.86315036	0.8628872	0.86096275	0.8268367	0.85450304	0.8272851	0.88880026	0.86060125	0.8648348	0.770682	0.8492923	0.945615	0.8976148	0.8815027	0.90536267	0.9293334	0.89964813	0.79825056	0.8758244	0.9578147	0.9132642	0.88292885	0.8910647	0.93341815	0.88822937	0.8614478	0.8361527	0.85820854	0.86109495	0.9259373	0.87853134	0.8259965	0.91177946	0.8273056	0.91236407	0.8727777	0.978024	0.8666204	0.8582487	0.8860451	0.7450875	0.8938029	0.81296074	0.902454	0.8824262	0.8487896
context/noun	0.853629	0.8120585	0.7785037	0.85723317	0.77353084	0.8692807	0.7864624	0.7441394	0.90785986	0.8780126	0.88414264	0.786265	0.8806015	0.7225842	0.89510876	0.9215316	0.86757684	0.81813484	0.9099925	0.8551293	0.807704	0.8247781	0.85667825	0.8205772	0.92202705	0.89384794	0.86196214	0.74782526	0.83307487	0.8743	0.87711734	0.8267563	0.82279086	0.8608442	0.8847385	0.7724105	0.8723881	0.882423	0.81973577	0.88577306	0.80767846	0.87335074	0.7857353	0.73772836	0.890506	0.8738495	0.8395368	0.868672	0.93378013	0.7977774	0.77606213	0.8131529	0.87264055	0.7058377	0.87173027	0.92762154	0.81781554	0.84925824	0.85705256	0.66270626	0.7759469	0.90680254	0.8199597	0.8047165	0.85227937	0.74163866	0.805417	0.80462706	0.91127104	0.88614535	0.84322345	0.9305606	0.0	0.92397577	0.8912189	0.8448774	0.90570235	0.87054515	0.8783559	0.8012538	0.7444233	0.82003784	0.8528061	0.7871155	0.8775134	0.89924616	0.9255879	0.90393484	0.76672375	0.7927952	0.82501876	0.7864711	0.8600063	0.8456396	0.9083213	0.8545269	0.77239376	0.8784898	0.69251204	0.7556988	0.93977827	0.9138606	0.86785835	0.8713554	0.8370587	0.6978166	0.9464399	0.77570987	0.7836039	0.8898706	0.9158627	0.92977875	0.8148926	0.8852884	0.8721242	0.7682781	0.72771305	0.7657534	0.8190887	0.9302091	0.88678974	0.8689832	0.87982804	0.87204415	0.69969153	0.80161375	0.8916037	0.85205233	0.88662547
onraad/noun	0.81306446	0.7971708	0.9161191	0.91372806	0.8601458	0.9143636	0.91689736	0.8884025	0.91444325	0.8933122	0.9046203	0.90504634	0.8890743	0.8830441	0.8399104	0.87669337	0.85378927	0.9267005	0.86494	0.9044723	0.91223097	0.8700512	0.92593634	0.8867968	0.89939773	0.9312591	0.87683314	0.8646208	0.9015305	0.92191684	0.87600136	0.8599763	0.87573683	0.8855957	0.8820132	0.86728626	0.8894837	0.87564087	0.8937765	0.87180614	0.84239	0.8701103	0.87468123	0.8935528	0.9243735	0.903097	0.90626466	0.8905673	0.918671	0.8997705	0.89167064	0.89868414	0.9208348	0.90030587	0.876814	0.8952673	0.7866834	0.8984768	0.9460006	0.91553664	0.9218577	0.86147016	0.85949457	0.80971014	0.85134625	0.9228691	0.84385836	0.8700739	0.80430275	0.82957864	0.84732825	0.8800777	0.92397577	0.0	0.9283605	0.8604951	0.8473819	0.92886937	0.88625324	0.9304684	0.9000625	0.9119113	0.8596037	0.8997518	0.85841507	0.8698926	0.9046948	0.8463038	0.85054207	0.90598255	0.8638429	0.90268576	0.8676342	0.90674305	0.88443303	0.8728776	0.8766494	0.90289515	0.8802968	0.8803602	0.89782596	0.79628325	0.8585472	0.9378831	0.8969986	0.9210498	0.88055754	0.91023636	0.92191815	0.8666724	0.9182704	0.8979064	0.8960612	0.8921591	0.8889512	0.9106239	0.83110595	0.89657813	0.9089289	0.92018104	0.85256046	0.88982886	0.9011858	0.86641717	0.9062968	0.89051485	0.9038655	0.90934914	0.87875575
midden/noun	0.83585703	0.8760757	0.9248624	0.9131038	0.9348621	0.88760966	0.91322196	0.9367293	0.79142445	0.9130364	0.930766	0.9235285	0.6810831	0.9089961	0.9317722	0.7730812	0.8925027	0.8713238	0.88364416	0.9342543	0.7605705	0.8974434	0.9159193	0.8633086	0.8827486	0.85420215	0.94560796	0.93488866	0.8952215	0.9250046	0.90561515	0.8810873	0.8905942	0.9639551	0.9363135	0.92752415	0.9416066	0.92516154	0.9080359	0.9113604	0.91726184	0.9132973	0.90246683	0.9350254	0.8594444	0.9423077	0.9380845	0.9549211	0.87610334	0.901621	0.92362034	0.9104952	0.91213274	0.8759877	0.8520729	0.9107521	0.9175075	0.90388393	0.84073734	0.8662698	0.82036334	0.83432496	0.8683448	0.93124324	0.90433604	0.8759973	0.95853734	0.93706685	0.889709	0.8409941	0.89293635	0.76335645	0.8912189	0.9283605	0.0	0.8816782	0.8831185	0.8434458	0.76808155	0.81701255	0.8255897	0.8965137	0.8747619	0.84878826	0.93999887	0.92164785	0.8444397	0.9002701	0.87212	0.915418	0.90282464	0.9342705	0.7684205	0.82653594	0.9114668	0.82911736	0.88222885	0.93992573	0.9180877	0.90094805	0.81779635	0.89929646	0.93469054	0.88320315	0.8808705	0.89006567	0.87574476	0.8862539	0.92902064	0.9439385	0.8368904	0.8692304	0.8607429	0.89391947	0.8038605	0.8975765	0.8987193	0.8962186	0.87426025	0.9363548	0.90823686	0.89179844	0.966014	0.8418331	0.9298978	0.91027075	0.9244518	0.926669	0.9333389
ons/noun	0.7919581	0.7554568	0.83077276	0.831613	0.7091414	0.9016645	0.823321	0.7480091	0.8729324	0.7646418	0.7956884	0.8665542	0.85861194	0.80267346	0.9228179	0.83874816	0.7415517	0.8547886	0.8497286	0.7232388	0.8355508	0.7380779	0.90521574	0.8879512	0.88231254	0.9005127	0.83207834	0.7338837	0.8378239	0.887706	0.83910257	0.7527485	0.7110473	0.8020822	0.89767957	0.8426955	0.77983135	0.7541749	0.7300082	0.882724	0.7248945	0.85915357	0.7483455	0.6851245	0.85133874	0.8523638	0.7634377	0.7072705	0.82050586	0.81191826	0.9026129	0.8839112	0.84269786	0.8388665	0.8587754	0.9222211	0.6244856	0.804087	0.894953	0.86444956	0.8999218	0.85352564	0.825668	0.6678251	0.7473475	0.81520444	0.6730891	0.74938095	0.79135865	0.75904936	0.78070635	0.82936734	0.8448774	0.8604951	0.8816782	0.0	0.8821322	0.8918381	0.8640172	0.8326638	0.82719016	0.81727535	0.81447345	0.79513955	0.7602962	0.84597677	0.90835476	0.80243254	0.7529999	0.8437898	0.68444526	0.71479243	0.86471474	0.8773351	0.88203144	0.85800564	0.82465315	0.8782491	0.83413607	0.8712031	0.88201445	0.8209435	0.87552536	0.9115921	0.80265796	0.8650532	0.9232384	0.8498589	0.7974779	0.7661991	0.84999835	0.8629183	0.7824445	0.8655701	0.8776091	0.82639164	0.74043006	0.7991954	0.861469	0.96115494	0.75141805	0.8131472	0.78528583	0.78186995	0.83784735	0.76338655	0.83407927	0.8046224	0.7082741
plaat_zaak/noun	0.8784699	0.8624508	0.93581176	0.9226129	0.84316206	0.9125992	0.8969827	0.9160659	0.8696285	0.85980403	0.894595	0.90100545	0.8892987	0.9198451	0.8973356	0.7526032	0.856032	0.9273284	0.8603747	0.88742554	0.8451957	0.8897835	0.9278329	0.8883088	0.8793868	0.90889734	0.8918738	0.8185446	0.9101424	0.90210146	0.8784798	0.8656849	0.85386837	0.911303	0.89185184	0.9269711	0.9086397	0.89617777	0.8598367	0.8084251	0.87845117	0.901667	0.8992219	0.8547253	0.89268994	0.89750594	0.89078826	0.9133781	0.90830815	0.928254	0.92339814	0.896105	0.87778115	0.8898317	0.89106596	0.9025694	0.8522187	0.86380327	0.9174635	0.8828475	0.8472173	0.85741603	0.8884433	0.83905447	0.88845927	0.9016318	0.89589304	0.8884102	0.8848648	0.84062517	0.8887854	0.8915101	0.90570235	0.8473819	0.8831185	0.8821322	0.0	0.8894008	0.8407981	0.8605205	0.9179506	0.8736212	0.85613704	0.87342054	0.8718122	0.8997416	0.8755517	0.90131783	0.8961128	0.88649327	0.8656991	0.8811944	0.83155566	0.7413124	0.94239664	0.8886961	0.85280526	0.87093586	0.9142078	0.91592026	0.8702012	0.8895938	0.9361892	0.79224324	0.88188815	0.8899728	0.90548354	0.89534205	0.90185463	0.89338374	0.8967708	0.877631	0.9041402	0.90392923	0.8664329	0.91119623	0.8499493	0.8870112	0.87115717	0.9461632	0.87226963	0.8628027	0.8970859	0.847034	0.9021895	0.88877034	0.9139886	0.9480277	0.866484
visser_dorp/noun	0.8671773	0.8797122	0.91118395	0.9000243	0.9003866	0.921617	0.8781377	0.8943498	0.67749476	0.89488184	0.93303645	0.9139142	0.869467	0.8975296	0.8982784	0.8556778	0.8947558	0.91121256	0.88327265	0.8998076	0.82213736	0.9142967	0.9446959	0.86425346	0.8246577	0.8953954	0.93852854	0.88903695	0.90875906	0.898418	0.85679984	0.86822283	0.87893707	0.9359056	0.9378455	0.92524844	0.92294854	0.92342246	0.88251466	0.9372257	0.88047093	0.9164331	0.881626	0.9056768	0.881221	0.92214453	0.9382927	0.9411043	0.89553785	0.9066386	0.91048753	0.9057283	0.89606106	0.86078393	0.8834679	0.9377895	0.9059891	0.8594384	0.8989675	0.8971358	0.86472535	0.90186596	0.8767686	0.8947582	0.8938439	0.8539797	0.9281249	0.8993703	0.8835675	0.9003333	0.90762335	0.89128655	0.87054515	0.92886937	0.8434458	0.8918381	0.8894008	0.0	0.88441956	0.894304	0.85098916	0.8721574	0.8920473	0.8470647	0.92755514	0.9235078	0.86916596	0.86822784	0.873333	0.92157066	0.85357535	0.904964	0.8264425	0.8962934	0.9340359	0.79979646	0.8759094	0.9409009	0.9370364	0.8844899	0.88912576	0.8809162	0.94260895	0.9055489	0.87619823	0.90283763	0.9145618	0.86245376	0.8985828	0.9107941	0.8714201	0.8646306	0.90904164	0.90097606	0.861742	0.881388	0.85968244	0.8585595	0.8445814	0.9440278	0.91987896	0.8847083	0.9370733	0.87875926	0.9085313	0.8684031	0.9409349	0.9098464	0.9146129
kast/noun	0.8035559	0.85069406	0.9234296	0.8872429	0.8875967	0.9121364	0.9291953	0.89904225	0.8878188	0.8596339	0.87659204	0.9057921	0.5549787	0.9115583	0.94510704	0.6746946	0.8502481	0.8912263	0.89941037	0.8710657	0.77394503	0.80374527	0.8952442	0.8628463	0.9207773	0.83035064	0.9230026	0.88087094	0.9144736	0.9423095	0.8757509	0.8357634	0.82956636	0.90609694	0.93130183	0.9321122	0.9206302	0.8641356	0.8728034	0.91255826	0.9115059	0.9046393	0.88341105	0.88342285	0.84977365	0.9335209	0.91451466	0.89542204	0.88845646	0.92809194	0.9079007	0.9345092	0.90293914	0.909709	0.788411	0.93118966	0.84205097	0.90150666	0.92456675	0.8293587	0.74353313	0.8896006	0.8775319	0.8614489	0.84647465	0.86264443	0.91705954	0.8862272	0.8313548	0.77931064	0.8993433	0.7647756	0.8783559	0.88625324	0.76808155	0.8640172	0.8407981	0.88441956	0.0	0.7460071	0.8544054	0.91766155	0.78757477	0.9295868	0.9125198	0.82823086	0.91215736	0.8326242	0.86573565	0.8872981	0.8747715	0.8945509	0.731073	0.7652831	0.94720507	0.9104745	0.86834943	0.91253346	0.9154343	0.8818612	0.84520245	0.8340472	0.9657411	0.91608024	0.91836154	0.85770047	0.9482175	0.89595836	0.93211097	0.8932702	0.87096345	0.8671037	0.9374739	0.9090635	0.7824652	0.8793055	0.85953414	0.9326683	0.899495	0.98295003	0.85445845	0.8843685	0.8927013	0.77179706	0.85990256	0.9017286	0.9346569	0.94183713	0.8538611
mooi/adj	0.81360817	0.88821846	0.7524928	0.7989799	0.8257104	0.7893029	0.8550271	0.76213044	0.860834	0.8263204	0.8153922	0.84000003	0.7548981	0.82794803	0.9539141	0.8056127	0.7189462	0.8298681	0.8721635	0.7661848	0.73567843	0.8017201	0.8410262	0.8099738	0.94057375	0.817044	0.91396165	0.7772491	0.79300344	0.92210966	0.89080524	0.78833437	0.70628077	0.879328	0.9348567	0.91479695	0.8667522	0.8594846	0.78168064	0.8746465	0.87218094	0.8669337	0.73991543	0.8121011	0.8246478	0.8812102	0.64004314	0.81985843	0.90212166	0.8168267	0.9114944	0.89816964	0.8539736	0.8199237	0.82871354	0.9276597	0.79376066	0.86513764	0.8559221	0.71505713	0.7118629	0.8046414	0.8995459	0.8191087	0.8449869	0.6388109	0.84856796	0.77906656	0.8673122	0.80261993	0.860839	0.759234	0.8012538	0.9304684	0.81701255	0.8326638	0.8605205	0.894304	0.7460071	0.0	0.82223964	0.81824183	0.7322264	0.81058127	0.906838	0.9168911	0.8536456	0.81442463	0.852778	0.8022862	0.8346328	0.73361003	0.7474578	0.72097343	0.9605953	0.89351696	0.8566185	0.91365933	0.8355545	0.88268536	0.85990626	0.88525265	0.95698595	0.8266132	0.8572986	0.6098137	0.9271799	0.6960556	0.78853285	0.7587477	0.81101716	0.90243083	0.9163262	0.8936039	0.72207165	0.8528836	0.76958793	0.910833	0.8442954	0.98429763	0.80384684	0.7396512	0.81900716	0.7660384	0.7654604	0.75524795	0.90125513	0.8673528	0.7894631
atmosfeer/noun	0.7824483	0.7789537	0.8434894	0.8481941	0.8550913	0.8778052	0.78298205	0.8225049	0.80320287	0.854444	0.88287085	0.8899263	0.7977967	0.7579233	0.91133124	0.8227402	0.8767717	0.7710235	0.85688424	0.8633973	0.7490118	0.83727294	0.88335586	0.8633151	0.88336945	0.8941638	0.8779699	0.8235035	0.8261344	0.8575853	0.85365623	0.75943506	0.80626714	0.88629854	0.87382805	0.8889088	0.88010365	0.8909356	0.8178426	0.9115922	0.78614753	0.87961066	0.77696615	0.83260596	0.8506516	0.90138197	0.87628603	0.92014164	0.88855255	0.82366204	0.87822306	0.8232968	0.8569442	0.77105534	0.85790014	0.94572145	0.86311984	0.8570932	0.76537544	0.826672	0.83396405	0.8945539	0.8306254	0.78382075	0.88552177	0.77115625	0.8657336	0.81250703	0.87320447	0.7733332	0.85915494	0.7672727	0.7444233	0.9000625	0.8255897	0.82719016	0.9179506	0.85098916	0.8544054	0.82223964	0.0	0.8667169	0.83159536	0.7713827	0.8913565	0.8667853	0.83243155	0.8955092	0.74255407	0.8472253	0.8117363	0.83911526	0.8196422	0.8154421	0.92657584	0.85205215	0.81434214	0.86486644	0.8317282	0.8397507	0.79060996	0.86521035	0.9056129	0.8741523	0.8409975	0.8131274	0.9121705	0.83804625	0.81719774	0.8477369	0.8752837	0.83061236	0.85479796	0.8915959	0.87199897	0.86380154	0.7856452	0.87682056	0.8336361	0.9608266	0.8874091	0.8819982	0.90845376	0.87374854	0.8108047	0.7802747	0.9152111	0.8730766	0.8832838
jeugd/noun	0.8167325	0.8579513	0.83584154	0.8295956	0.809156	0.7932731	0.78911895	0.82870555	0.8576769	0.85595876	0.86928487	0.88318753	0.92610705	0.81854296	0.9152379	0.86284107	0.80260086	0.90707016	0.82763594	0.881054	0.85028344	0.87685376	0.89863104	0.81972975	0.81551623	0.92445827	0.9077401	0.78868175	0.82571936	0.8761109	0.8485111	0.85845244	0.76895565	0.91472423	0.90965027	0.8836974	0.8953833	0.8758909	0.8202669	0.8840834	0.87086284	0.92969394	0.8326774	0.760994	0.86986756	0.8747355	0.80857533	0.86746806	0.8896214	0.8509276	0.8833477	0.90052795	0.7961406	0.7924089	0.89402026	0.890857	0.81718373	0.84240675	0.82949305	0.8620335	0.88848335	0.81389034	0.8420793	0.8312487	0.8437773	0.7395882	0.8719541	0.85715127	0.8242758	0.83953536	0.9032156	0.8844049	0.82003784	0.9119113	0.8965137	0.81727535	0.8736212	0.8721574	0.91766155	0.81824183	0.8667169	0.0	0.82322884	0.6964327	0.85578614	0.90071136	0.83598375	0.7358602	0.8195311	0.8758038	0.75197035	0.84519756	0.8453678	0.885113	0.88529545	0.8211945	0.8136726	0.9123968	0.888108	0.834084	0.8821832	0.8285315	0.9149478	0.8689041	0.76603067	0.82562745	0.8970036	0.82026994	0.7874226	0.82854986	0.8968331	0.865129	0.8084661	0.8215678	0.79687613	0.750639	0.7758136	0.79086435	0.83539003	0.903699	0.8790008	0.8146142	0.89317906	0.8163365	0.8755802	0.7450042	0.89001215	0.87766576	0.8784881
lui/adj	0.7283356	0.84569234	0.8165803	0.8543792	0.7772192	0.846046	0.8509075	0.7598802	0.86879206	0.8343806	0.78979725	0.8794481	0.8312453	0.84827983	0.91842216	0.8085368	0.67415106	0.7854818	0.86271614	0.735347	0.8181409	0.81274366	0.8622298	0.87055403	0.91230226	0.9052019	0.8729143	0.7948096	0.81721187	0.90159017	0.8477528	0.7418972	0.725505	0.8536413	0.9014463	0.8811856	0.8270095	0.7981167	0.7548992	0.8541415	0.84620845	0.8856016	0.74556434	0.80300415	0.8643811	0.87521136	0.7947974	0.78921074	0.88044107	0.8663364	0.9118254	0.8921167	0.8611685	0.8531327	0.8319	0.9302481	0.74261236	0.8216319	0.8778026	0.8290348	0.86606884	0.7869986	0.85999125	0.769968	0.76552266	0.81022716	0.7994096	0.7874956	0.8038627	0.77214533	0.8333258	0.77041376	0.8528061	0.8596037	0.8747619	0.81447345	0.85613704	0.8920473	0.78757477	0.7322264	0.83159536	0.82322884	0.0	0.76748997	0.86784637	0.8852708	0.87557006	0.8155082	0.78911567	0.78490996	0.7696372	0.7450579	0.8417077	0.8215899	0.9013902	0.8660847	0.86424667	0.882637	0.81189346	0.8705081	0.8450188	0.8427653	0.8727791	0.8955656	0.83422184	0.8248956	0.93976337	0.8046706	0.80167645	0.75772494	0.83676034	0.87656957	0.85275304	0.89363426	0.80798674	0.83887863	0.69747746	0.7972181	0.85096204	0.95841396	0.77914035	0.80674106	0.8155803	0.72315407	0.87678367	0.745738	0.8701466	0.85847867	0.75685424
vooral/adv	0.7826818	0.8451878	0.80125076	0.83401924	0.60193264	0.8416085	0.682893	0.78227407	0.8230434	0.8618364	0.88819575	0.874179	0.9158952	0.7037982	0.89041376	0.8717933	0.7663781	0.79302716	0.88229895	0.8296046	0.85089266	0.8733027	0.90818614	0.86281043	0.8238384	0.92588556	0.8730801	0.6170387	0.7889328	0.79013515	0.82234174	0.76544267	0.71294487	0.88817596	0.8832319	0.7971082	0.8391636	0.8337278	0.59369004	0.8535652	0.81600785	0.8987942	0.7732896	0.7450981	0.8454382	0.8552772	0.7619993	0.82672286	0.8731572	0.8446333	0.8484261	0.79168546	0.8770987	0.77270067	0.8777492	0.9036045	0.83440655	0.8067348	0.8441351	0.833745	0.857574	0.8523289	0.7979849	0.8025665	0.79842496	0.7483821	0.8295976	0.8365432	0.8738004	0.8451303	0.87862164	0.86315036	0.7871155	0.8997518	0.84878826	0.79513955	0.87342054	0.8470647	0.9295868	0.81058127	0.7713827	0.6964327	0.76748997	0.0	0.8238564	0.88059103	0.8925046	0.8573553	0.6902797	0.8241788	0.7745945	0.7896756	0.8448428	0.84655935	0.8898812	0.7922196	0.75077945	0.8357767	0.81836057	0.8080457	0.87359154	0.8792632	0.8728063	0.8813361	0.68452185	0.80189836	0.9112096	0.79888225	0.6573035	0.84504575	0.88744175	0.91281456	0.7499364	0.8619022	0.8302517	0.81680995	0.6260521	0.7314207	0.8092631	0.9518168	0.882538	0.8420467	0.8996932	0.80636466	0.7654459	0.5887507	0.81324005	0.8545411	0.86017495
meer/adv	0.8108884	0.8149728	0.893235	0.88016915	0.62641555	0.8949592	0.816458	0.8199755	0.94108117	0.6880547	0.8779741	0.92054737	0.93701214	0.8157023	0.93778944	0.9198164	0.7644516	0.8991609	0.9001204	0.7482878	0.89426136	0.7200183	0.92845297	0.91698396	0.92560416	0.94928586	0.87531674	0.70515203	0.88241667	0.8984129	0.8117983	0.77051073	0.7364386	0.7662007	0.9162392	0.86617434	0.7732037	0.72271633	0.69807565	0.9000277	0.716378	0.8453831	0.808081	0.8107141	0.88640493	0.90399075	0.7930603	0.66815305	0.79762286	0.84402865	0.9041818	0.88672453	0.83964795	0.89503765	0.8916915	0.91472626	0.7193867	0.8843655	0.9207486	0.8962523	0.89674103	0.84530246	0.8559929	0.67169	0.76143104	0.874327	0.5408691	0.785956	0.9029647	0.7028005	0.8061148	0.8628872	0.8775134	0.85841507	0.93999887	0.7602962	0.8718122	0.92755514	0.9125198	0.906838	0.8913565	0.85578614	0.86784637	0.8238564	0.0	0.88199276	0.92261523	0.91066456	0.7983756	0.9138105	0.7854395	0.77437544	0.8937975	0.8947318	0.94012105	0.9099263	0.8109997	0.8550273	0.8252633	0.84447443	0.8972872	0.89768875	0.9207727	0.93061507	0.68904114	0.9127552	0.9283364	0.8849479	0.7211518	0.75778985	0.8528043	0.88866115	0.85177416	0.8990651	0.9045489	0.8260756	0.7531345	0.8697094	0.91499555	0.9817671	0.8584045	0.8249941	0.77185434	0.8331623	0.85834646	0.7423657	0.8583978	0.83674836	0.78049386
