	bijzonder/adj	gelaat/noun	la/noun	uitspanning/noun	opgebouwd/adj	benadering/noun	eenzijdig/adj	hoofd/noun	lied_DIM/noun	verzorger/noun	achterkant/noun	gelaat_trek/noun	lichaam_taal/noun	elleboog/noun	kast_DIM/noun	speelstijl/noun	bocht/noun	fysiek/noun	bak/noun	mengsel/noun	zeer/adv	look/noun	persoonlijkheid/noun	die/det	zo/adv	jongen/noun	figuur/noun	glas/noun	snuit/noun	wolkenkrabber/noun	model/noun	hartstochtelijk/adj	handschrift/noun	koets_werk/noun	constructie/noun	viool/noun	trek/noun	dan_pas_DIM/noun	trouwring/noun	kant_DIM/noun	choreografie/noun	ietwat/adv	en/vg	Zwitser/noun	steen/noun	symbool/noun	rock/noun	body/noun	lied/noun	verfilming/noun	lijn/noun	blik/noun	one-liners/noun	ze/pron	ritme/noun	veelal/adv	carrosserie/noun	iets/noun	thema/noun	landschap/noun	kap_DIM/noun	breakdance/noun	vaas/noun	manier/noun	uitgestoken/adj	film/noun	klank/noun	gebouw/noun	Jong/name	grafiek/noun	zo/adj	begeleiding/noun	taal/noun	karakter/noun	mooi/adj	nogal/adv	vijver/noun	gitaar/noun	kaak/noun	geluid/noun	volume/noun	beeld_merk/noun	gezicht/noun	des/adv	grooves/noun	ritmiek/noun	tafel/noun	heup/noun	te/adv	letter/noun	even/adv	tamelijk/adj	gebaar/noun	steeds/adv	tred/noun	beweging/noun	weg_net/noun	kassei/noun	kop/noun	compositie/noun	arrangement/noun	korrel/noun	even/adj	slurf/noun	schouder/noun	raam/noun	stekel/noun	eerder/adj	opgetrokken/adj	ronding/noun	aanvankelijk/adj	patroon/noun	uitwerking/noun	wat/adv	generaal/noun	heftigheid/noun	lichaam/noun	pixels/noun	veel/adj	vorm/noun	snavel/noun	minder/adj	dance/noun	decolleté/noun	muziek/noun	stijl/noun	woonkamer/noun	motoriek/noun	interview/noun	lekker/adj
te/adv	0.6590939	0.797863	0.9138837	0.9084581	0.8104908	0.75567	0.8148792	0.8916503	0.83589274	0.8501119	0.85273683	0.84768	0.8227478	0.84375006	0.87340647	0.7823065	0.7356038	0.8277414	0.82310826	0.8140904	0.5396414	0.8486472	0.79361993	0.76375616	0.5215517	0.7731031	0.80692035	0.82184803	0.8428172	0.8745334	0.82354075	0.84607273	0.8762706	0.8253948	0.81158864	0.8782909	0.82303655	0.8639381	0.9149517	0.80977565	0.80758005	0.6378223	0.70759183	0.8454205	0.84530175	0.88586426	0.82774454	0.8264562	0.88659537	0.8569632	0.82693416	0.76939815	0.8833075	0.74115086	0.7869078	0.74156	0.8370327	0.73745406	0.8717246	0.83918464	0.8978741	0.93754494	0.8741563	0.7666541	0.87281555	0.8450003	0.77906394	0.90011215	0.91746587	0.87179196	0.5296327	0.8735771	0.86067927	0.7682879	0.85006213	0.4838292	0.8766469	0.85238516	0.82987666	0.7874942	0.8114805	0.9445732	0.78684616	0.61623156	0.83578116	0.8480246	0.87902045	0.79056066	0.0	0.8718044	0.6392362	0.5529072	0.77581954	0.6321477	0.79606616	0.8132485	0.86810213	0.830409	0.83900714	0.8222931	0.8340488	0.8389248	0.7227417	0.88333297	0.8167051	0.893098	0.86186475	0.8669826	0.83411294	0.8643163	0.7448871	0.8000052	0.80140626	0.4619317	0.9178916	0.9014817	0.8018347	0.9210964	0.5067411	0.80306196	0.87360764	0.5699573	0.8612705	0.84905297	0.8479678	0.7924324	0.86320984	0.8410989	0.9197582	0.7363335
letter/noun	0.86709976	0.7519865	0.83941555	0.9066671	0.7763111	0.8206476	0.87232697	0.80793196	0.78291845	0.8854537	0.68279916	0.83016384	0.80832016	0.8677464	0.77954525	0.8723626	0.882734	0.9103708	0.7994336	0.80396503	0.86177456	0.75960886	0.8160768	0.7473947	0.83342224	0.857412	0.738103	0.7160704	0.8436179	0.81667405	0.72305834	0.8763552	0.7164931	0.80381006	0.758789	0.8005522	0.8516832	0.86366117	0.83868814	0.8447915	0.8088627	0.769691	0.7286109	0.8884182	0.72110975	0.73191416	0.8344349	0.8016331	0.7919761	0.8951458	0.79439795	0.780333	0.8871647	0.80021745	0.79554886	0.760413	0.83457315	0.8575605	0.8227328	0.766067	0.8088574	0.90300924	0.70822656	0.85378087	0.87663275	0.85440147	0.70540273	0.8213466	0.9229589	0.7229222	0.8739942	0.91785496	0.76204467	0.81389225	0.7423539	0.8133518	0.7991549	0.7985393	0.8135333	0.7728963	0.8122702	0.8279283	0.72912925	0.86794686	0.86612344	0.84603596	0.8125023	0.8141729	0.8718044	0.0	0.84394985	0.79563844	0.7804471	0.85188484	0.8655246	0.82268596	0.90072346	0.81703347	0.77796715	0.72308654	0.82525575	0.7979231	0.8527078	0.8744178	0.8261359	0.74490243	0.857158	0.88311404	0.79995847	0.83622813	0.8920623	0.64740825	0.8282665	0.83154684	0.9268738	0.92516	0.7726087	0.7728824	0.88071966	0.7640981	0.7915539	0.8844485	0.848297	0.8379891	0.7894356	0.7416477	0.79942906	0.8523872	0.8609733	0.83651304
even/adv	0.5618131	0.7419873	0.7973956	0.885647	0.7150464	0.7151425	0.834796	0.8290069	0.6990975	0.8399631	0.74211764	0.8599688	0.7715228	0.84073716	0.83808273	0.7401891	0.7286048	0.84748286	0.8273871	0.7629694	0.5179005	0.7733544	0.6813821	0.7772809	0.5296818	0.7471447	0.6309744	0.7865689	0.87048775	0.7950931	0.78786814	0.7654702	0.7953198	0.8131446	0.7421791	0.7782473	0.76165086	0.81918	0.8926909	0.7344147	0.68767345	0.53568035	0.6268354	0.8096834	0.8093077	0.77119887	0.7298407	0.81711334	0.74524003	0.6898278	0.8132106	0.65383947	0.7917974	0.7509731	0.7106412	0.7085451	0.8303639	0.7453656	0.77615356	0.7100386	0.9012217	0.9169541	0.7961318	0.6602916	0.86570626	0.69395685	0.65835166	0.80070704	0.87484443	0.839902	0.5857818	0.85988724	0.7684643	0.6481886	0.68427277	0.58309925	0.8293522	0.76252186	0.808143	0.6797309	0.8261399	0.9083129	0.7008221	0.56555843	0.7743024	0.781251	0.83944565	0.80472857	0.6392362	0.84394985	0.0	0.4679345	0.6767154	0.71380115	0.76600206	0.7524052	0.89945173	0.81553864	0.81734234	0.6805034	0.7269688	0.8733712	0.54204595	0.8865953	0.8280003	0.7993829	0.8900402	0.87674594	0.79087377	0.8509891	0.747355	0.71699584	0.7566348	0.600504	0.86197513	0.8807916	0.8053354	0.9339017	0.73514223	0.7493939	0.87525034	0.66132635	0.7949555	0.8218091	0.73104393	0.6386672	0.7673127	0.8248017	0.8775453	0.7405058
tamelijk/adj	0.54222196	0.7473327	0.8000377	0.8852534	0.68167686	0.6051797	0.7456081	0.8738694	0.6894293	0.8586805	0.7982446	0.8200227	0.76204276	0.8495512	0.8318544	0.72242117	0.7822144	0.8423594	0.836853	0.7481276	0.41684616	0.7590515	0.67730457	0.7127838	0.5344301	0.7848444	0.62376547	0.8032878	0.8500043	0.8275244	0.7002293	0.7720585	0.7634398	0.80701536	0.70823264	0.7427254	0.75515455	0.8204896	0.92197865	0.7106471	0.6818306	0.45408517	0.639742	0.80479276	0.82586783	0.77083725	0.7200584	0.8151226	0.7321243	0.713748	0.7918278	0.6840562	0.79671	0.7830094	0.708886	0.5904218	0.7969601	0.7465652	0.73602223	0.6836083	0.91356367	0.90341574	0.78419787	0.63500065	0.86774755	0.6818694	0.62452865	0.8445028	0.8732586	0.78630424	0.57496786	0.8524875	0.73222464	0.59183407	0.70732576	0.39827353	0.83725774	0.76972055	0.81967425	0.67138076	0.77122253	0.9201972	0.7104973	0.61833394	0.80817807	0.77437985	0.8604159	0.8156681	0.5529072	0.79563844	0.4679345	0.0	0.68650705	0.6802714	0.7855524	0.7182747	0.86995876	0.8265952	0.8569506	0.6177362	0.7087898	0.81951374	0.74087477	0.903365	0.85586524	0.8562306	0.88563454	0.7877706	0.7883579	0.8345214	0.6985768	0.6643327	0.69111365	0.5009646	0.8646326	0.855463	0.791683	0.8984518	0.702532	0.68722856	0.85617155	0.6610929	0.7681908	0.85642976	0.7140389	0.5910423	0.8068244	0.80384254	0.8117432	0.74813163
gebaar/noun	0.7380633	0.6983683	0.84203714	0.93134546	0.7724276	0.7059556	0.79744947	0.8455432	0.7320565	0.8225046	0.8319613	0.8026473	0.6767199	0.82541275	0.8598928	0.8050016	0.84263796	0.8717971	0.86202335	0.8194578	0.7217055	0.8027414	0.702846	0.7294501	0.71182424	0.81525755	0.7010428	0.8173334	0.86684483	0.86395985	0.7969754	0.7371508	0.78807163	0.85612696	0.7915202	0.7674699	0.78042585	0.7870959	0.87209344	0.78948015	0.73402244	0.6616134	0.67120725	0.8387173	0.8107535	0.70318604	0.7851329	0.85121906	0.68687093	0.82396066	0.8377266	0.6590367	0.8636117	0.735972	0.7277734	0.7113074	0.86270547	0.75890577	0.7594948	0.7237967	0.89819324	0.8895672	0.80779064	0.70088124	0.8061247	0.7956472	0.6331556	0.8734197	0.8747185	0.8296512	0.7410214	0.851019	0.70280313	0.6862019	0.74123776	0.7072422	0.86641026	0.7318227	0.7927451	0.6837777	0.8193784	0.91800827	0.67928886	0.69906557	0.83017325	0.7982288	0.8439412	0.82011676	0.77581954	0.7804471	0.6767154	0.68650705	0.0	0.76796496	0.8150555	0.6694808	0.9136326	0.883411	0.8459036	0.6861862	0.7855224	0.8610564	0.77857196	0.90351975	0.79101634	0.85987496	0.8998912	0.85210836	0.8012133	0.85811687	0.78506815	0.71264064	0.77179205	0.7059157	0.8305181	0.86100125	0.7966903	0.9015908	0.78383446	0.70362675	0.85857224	0.8246469	0.8351624	0.81746674	0.7114494	0.67131525	0.8513396	0.75762784	0.848329	0.8578599
steeds/adv	0.69800174	0.8076231	0.91395754	0.89930826	0.7980266	0.74115866	0.7674425	0.8865425	0.84573704	0.8156917	0.86051106	0.85542274	0.8154151	0.8407745	0.8631071	0.8069539	0.84749496	0.8120024	0.8651787	0.8506708	0.5955677	0.85071087	0.7485774	0.7050855	0.6383034	0.7907493	0.75881624	0.88574153	0.8833227	0.8276141	0.78165776	0.77738386	0.826578	0.8769198	0.79537165	0.8307728	0.764056	0.88644576	0.89190197	0.8348625	0.80648214	0.7332711	0.6848762	0.82272243	0.8602247	0.79180443	0.82208014	0.8530804	0.85412014	0.89083767	0.8210306	0.77477807	0.88565004	0.6881746	0.75647414	0.6227634	0.8637059	0.78095436	0.75820494	0.79132783	0.8985436	0.9148295	0.8687911	0.7652406	0.9016336	0.84250045	0.75347525	0.8754317	0.8916412	0.8127955	0.63034487	0.81271607	0.77383685	0.76911575	0.8668793	0.6261971	0.85318625	0.8272448	0.8445216	0.75706315	0.7659158	0.89821666	0.8110174	0.6336486	0.85156125	0.83100694	0.8975915	0.8186271	0.6321477	0.85188484	0.71380115	0.6802714	0.76796496	0.0	0.81021893	0.75647587	0.8405082	0.86600286	0.8595616	0.79865015	0.816281	0.87428635	0.7574066	0.9034814	0.85368264	0.88906425	0.8874614	0.83537996	0.88491946	0.8895902	0.6743121	0.73133904	0.8077016	0.6636816	0.8697404	0.82072216	0.78677666	0.92149806	0.6024469	0.7504065	0.8890739	0.6451247	0.81871045	0.8777946	0.7979052	0.77481973	0.85368574	0.84417105	0.8864528	0.8276061
tred/noun	0.8393116	0.8087027	0.8934364	0.91629505	0.7887765	0.82708234	0.863719	0.8662206	0.85438776	0.8926389	0.7866566	0.888403	0.8589503	0.8387896	0.8371749	0.83580625	0.7698678	0.85331124	0.81603616	0.8658228	0.81605047	0.8639927	0.8152554	0.8085705	0.8157208	0.86078984	0.8514285	0.8259815	0.8856723	0.82526433	0.8338502	0.8737986	0.8931878	0.82786465	0.776845	0.8489344	0.8344326	0.8613974	0.9012334	0.8760243	0.8381599	0.7553557	0.7311562	0.84624	0.8135481	0.8308256	0.8585603	0.86106277	0.85850227	0.90139735	0.80060875	0.80666137	0.91948545	0.8431534	0.762715	0.8213288	0.8254149	0.8757714	0.8921324	0.82517505	0.8944313	0.9596144	0.8753883	0.8685299	0.87126374	0.8915711	0.80505085	0.83674353	0.913829	0.83018994	0.8357245	0.88924104	0.85914606	0.825631	0.84998363	0.82051814	0.84220093	0.83816767	0.82220626	0.81555927	0.7787141	0.9449576	0.8173686	0.80386263	0.8673896	0.8588238	0.86811334	0.7802365	0.79606616	0.8655246	0.76600206	0.7855524	0.8150555	0.81021893	0.0	0.7768246	0.88696015	0.8120868	0.8614203	0.8413818	0.8593482	0.86964613	0.77895206	0.8943296	0.82359856	0.83760005	0.88871753	0.9048209	0.8021911	0.8367572	0.8046758	0.7950432	0.85017973	0.76250666	0.9224305	0.92215174	0.8197147	0.9293375	0.8303791	0.83644587	0.8743699	0.8088973	0.86866325	0.86406815	0.8644949	0.7889333	0.8262067	0.83212155	0.94514835	0.8477349
beweging/noun	0.795045	0.7691461	0.86535096	0.94211745	0.7516894	0.6972879	0.7776678	0.8569604	0.80176353	0.865982	0.82554936	0.84772784	0.7527865	0.8480065	0.864303	0.8063571	0.8180233	0.8584799	0.8831494	0.8135725	0.748943	0.8210399	0.7156537	0.7611387	0.80189997	0.8688555	0.68084615	0.8641182	0.8309189	0.8522906	0.78140235	0.7793111	0.8215016	0.8383452	0.7639351	0.8116639	0.7798311	0.8162743	0.9084953	0.8238547	0.70085585	0.7424786	0.6450117	0.87438536	0.8388687	0.66785896	0.78023446	0.82730156	0.73037845	0.88444936	0.7788549	0.7803248	0.8882838	0.8313486	0.6502977	0.7044994	0.8626988	0.82988596	0.7244741	0.7309288	0.8985917	0.87749934	0.85016614	0.7374741	0.85416603	0.81704974	0.66493565	0.88055813	0.902914	0.8025608	0.8052537	0.84762967	0.7339958	0.6694268	0.82830286	0.7595386	0.8576507	0.7856529	0.8053795	0.6360115	0.7786511	0.88207054	0.7845435	0.77068806	0.81001806	0.71679187	0.8950042	0.78423035	0.8132485	0.82268596	0.7524052	0.7182747	0.6694808	0.75647587	0.7768246	0.0	0.8827381	0.8688836	0.8459588	0.6908676	0.800365	0.86865175	0.83526677	0.8972569	0.826332	0.8784522	0.8999646	0.85856926	0.83179694	0.8250016	0.7973762	0.65606445	0.7687692	0.77610326	0.8128721	0.8557911	0.7222166	0.8589751	0.7995962	0.70851207	0.8574713	0.82719415	0.7985607	0.8603499	0.7146876	0.6980262	0.85923177	0.73288274	0.9069093	0.8783521
weg_net/noun	0.86973983	0.92002153	0.9621243	0.94857454	0.8771919	0.88953066	0.86392456	0.95938724	0.9361685	0.90357876	0.89550847	0.92365205	0.92496663	0.9351643	0.8910293	0.9088981	0.8677475	0.90402013	0.9204304	0.90659773	0.8450484	0.92596126	0.8980022	0.8106021	0.8550834	0.9378289	0.9277562	0.91648936	0.92952645	0.8738753	0.8498738	0.9160802	0.89474547	0.8738387	0.80441844	0.93146586	0.8959231	0.9427592	0.9305647	0.91448945	0.90114236	0.91024214	0.7981088	0.9110546	0.90112066	0.90285975	0.9397144	0.9332658	0.9360377	0.9094635	0.84729683	0.93209255	0.9532232	0.89118755	0.90357983	0.84457654	0.85880286	0.9214678	0.9010771	0.8123096	0.96934617	0.9633516	0.9333959	0.84883773	0.9672097	0.9258659	0.8944161	0.78276706	0.9667401	0.9022941	0.8805483	0.8874242	0.89734954	0.8927018	0.91292334	0.89558184	0.8309539	0.9359814	0.9298832	0.8923927	0.8078041	0.9205576	0.93250424	0.88658756	0.9478363	0.8997675	0.9390468	0.91065884	0.86810213	0.90072346	0.89945173	0.86995876	0.9136326	0.8405082	0.88696015	0.8827381	0.0	0.8293271	0.9521754	0.8819136	0.8688779	0.89954823	0.9364636	0.9553577	0.9527353	0.9164589	0.9464879	0.9110597	0.9085958	0.9226545	0.8871009	0.85618114	0.85732424	0.893946	0.91719615	0.925947	0.88780713	0.91618156	0.83977616	0.87860465	0.926244	0.85451305	0.9234253	0.9429837	0.92793757	0.8805259	0.90464073	0.91079694	0.93597806	0.94087654
kassei/noun	0.8730857	0.8063171	0.9012174	0.8935153	0.84158003	0.9170178	0.91826934	0.82357264	0.8773646	0.87829614	0.746629	0.93378687	0.87566435	0.8024993	0.8461356	0.9027381	0.6482861	0.8809478	0.760425	0.8211203	0.87533545	0.83156294	0.88426465	0.8109678	0.8696073	0.86826336	0.8512294	0.72866416	0.87279296	0.7991229	0.8387544	0.8808361	0.85753095	0.82400835	0.7788107	0.87672514	0.88305485	0.9160149	0.9021693	0.8754174	0.85598385	0.83818585	0.7492248	0.8508246	0.5992321	0.87014365	0.84642947	0.8901016	0.89733565	0.88967097	0.84174585	0.8436933	0.90472853	0.8062075	0.83117485	0.8406844	0.81028974	0.9088662	0.9045571	0.7588638	0.8645578	0.92393625	0.82893854	0.9281976	0.92613244	0.91975	0.84558535	0.76097035	0.9479908	0.89978695	0.8698495	0.93260944	0.9114104	0.8646815	0.8266443	0.8403442	0.7445251	0.8552827	0.802161	0.8315398	0.8304657	0.90503013	0.80334955	0.87566036	0.8965243	0.91849416	0.8358709	0.799328	0.830409	0.81703347	0.81553864	0.8265952	0.883411	0.86600286	0.8120868	0.8688836	0.8293271	0.0	0.8061183	0.8453792	0.8834735	0.81144416	0.8104656	0.8469122	0.8150178	0.76961225	0.869029	0.92884773	0.7931852	0.86175555	0.86285865	0.8051391	0.9077021	0.82921654	0.9265243	0.92950386	0.81687653	0.928313	0.8566473	0.8796137	0.8184932	0.852399	0.88150936	0.8703678	0.8813109	0.8557831	0.80401176	0.9007123	0.93230253	0.8361828
kop/noun	0.92090106	0.77438784	0.8959529	0.9097666	0.8631294	0.92884463	0.9280169	0.6249864	0.8815701	0.86755997	0.78044254	0.9033046	0.8981117	0.7824262	0.8276303	0.920648	0.7969836	0.9332931	0.7254029	0.7896058	0.91209674	0.84574276	0.89521277	0.8446022	0.82191026	0.8247665	0.84142447	0.7232102	0.77850956	0.860785	0.8725813	0.8946014	0.90623647	0.8439554	0.8437134	0.86824155	0.8296578	0.9034224	0.9216739	0.8794329	0.8970955	0.81431603	0.7458074	0.8596708	0.7665461	0.8412337	0.87327397	0.84322554	0.90211385	0.9230087	0.89576143	0.77295697	0.9212067	0.8005185	0.8508208	0.87069327	0.88761157	0.8892148	0.9181951	0.85093975	0.81165236	0.9526894	0.82019496	0.9324186	0.8813425	0.9210618	0.8594963	0.90497565	0.92636776	0.890921	0.879862	0.95196503	0.91187465	0.9093479	0.8485531	0.84707046	0.8334696	0.819648	0.74189144	0.8207068	0.8806435	0.9296701	0.7281801	0.8502313	0.8741976	0.9270574	0.760093	0.76290596	0.83900714	0.77796715	0.81734234	0.8569506	0.8459036	0.8595616	0.8614203	0.8459588	0.9521754	0.8061183	0.0	0.8829772	0.8744196	0.8310833	0.79562396	0.80104864	0.70860064	0.77724755	0.82355237	0.9388048	0.8235182	0.8789286	0.8834757	0.8321241	0.91510105	0.8025333	0.9314047	0.9382074	0.8077953	0.95441663	0.8831851	0.876728	0.7384629	0.8681288	0.9098367	0.8580195	0.91460043	0.8930069	0.79703134	0.8912931	0.91577536	0.7157788
compositie/noun	0.64837813	0.7913278	0.74156785	0.92262894	0.63104224	0.64086	0.8248568	0.9108008	0.45636564	0.8924895	0.80223304	0.8191745	0.75872743	0.9088782	0.81922907	0.7133715	0.88397825	0.86458266	0.8715886	0.75422657	0.68004435	0.74545586	0.60375535	0.754328	0.75643826	0.87343144	0.60936064	0.80880165	0.878506	0.82822514	0.6744676	0.77993953	0.6780356	0.7781595	0.6832926	0.5579511	0.79814786	0.7567928	0.93581796	0.7889334	0.47715706	0.6456455	0.62438667	0.8768473	0.8321474	0.75293314	0.59035087	0.79826635	0.48928362	0.6790252	0.7941618	0.7759119	0.8073531	0.8239579	0.52328473	0.6590123	0.79327387	0.8078995	0.61315584	0.59789246	0.92003345	0.8301381	0.75805974	0.687445	0.92885077	0.5626917	0.43090075	0.81001645	0.877102	0.6879232	0.7890525	0.7684568	0.65420663	0.58986187	0.62565	0.68638265	0.84638584	0.56270266	0.86595106	0.58135915	0.7485254	0.86996984	0.7725317	0.75699794	0.6714417	0.6285298	0.89212835	0.85048586	0.8222931	0.72308654	0.6805034	0.6177362	0.6861862	0.79865015	0.8413818	0.6908676	0.8819136	0.8453792	0.8829772	0.0	0.4791566	0.85351634	0.8302352	0.9106628	0.9044165	0.878847	0.9072317	0.8649335	0.78246975	0.8109447	0.8329077	0.6007211	0.71010244	0.73762035	0.9187253	0.8648389	0.79926175	0.8511942	0.791416	0.65815926	0.8808437	0.8029457	0.6708177	0.855995	0.42300653	0.44031477	0.83161145	0.79708683	0.80973536	0.8489701
arrangement/noun	0.69693667	0.85300034	0.7569272	0.8867206	0.7174485	0.71547276	0.8632502	0.92837995	0.569031	0.86051846	0.8422845	0.8687201	0.8256286	0.9175633	0.8545393	0.7404554	0.8922112	0.88304067	0.8667975	0.7675796	0.7193619	0.77355796	0.7339884	0.78332573	0.7756442	0.87724274	0.7628284	0.8364351	0.89518785	0.8821034	0.7100166	0.8292713	0.75542295	0.84177387	0.7388663	0.6236801	0.78249186	0.78864735	0.9275679	0.81042904	0.61600876	0.7016653	0.67061216	0.8914865	0.8891354	0.8466953	0.63287187	0.8344321	0.6374286	0.77122676	0.85330856	0.8404692	0.84430015	0.8307044	0.6253698	0.7243291	0.83482623	0.79790103	0.7097868	0.7372141	0.92357874	0.86171764	0.8442725	0.72482526	0.9357602	0.7063986	0.5531701	0.84595203	0.9046532	0.7856247	0.8226467	0.7070816	0.7699529	0.70040786	0.675164	0.74379206	0.8637878	0.62225246	0.8976849	0.6456341	0.7798749	0.8992357	0.849859	0.80885315	0.7228539	0.73841083	0.85507214	0.87231624	0.8340488	0.82525575	0.7269688	0.7087898	0.7855224	0.816281	0.8593482	0.800365	0.8688779	0.8834735	0.8744196	0.4791566	0.0	0.8517915	0.8319784	0.91983545	0.92668545	0.91140664	0.91376126	0.86704767	0.8331444	0.86223453	0.85411954	0.71110356	0.76329994	0.7552243	0.934977	0.9094614	0.8498243	0.88763964	0.7904409	0.74732876	0.9125488	0.8046509	0.70935225	0.86068654	0.5612999	0.5899879	0.8527396	0.82509196	0.85926163	0.7837452
korrel/noun	0.8557857	0.7951633	0.9151182	0.9135958	0.8307597	0.866172	0.90682065	0.8603592	0.8904606	0.8803985	0.8439282	0.8583099	0.8902167	0.8492988	0.84982896	0.8792348	0.8640252	0.89162445	0.6701423	0.6263097	0.8252258	0.76988554	0.85393375	0.8125787	0.8607926	0.88877606	0.86530495	0.6742097	0.86360776	0.8794061	0.84152186	0.9015867	0.85638595	0.8297467	0.8027841	0.8907329	0.8608531	0.90749836	0.91694015	0.83942246	0.88004243	0.83070433	0.7149066	0.9065457	0.736577	0.87574774	0.89422387	0.839405	0.8968975	0.91321146	0.8552537	0.80863804	0.8905909	0.8207031	0.8444141	0.80853665	0.84200025	0.8769062	0.89493954	0.8458914	0.79778075	0.9677915	0.7982093	0.8743794	0.89146006	0.91280687	0.7982394	0.87663674	0.95162714	0.85267234	0.86809003	0.92242014	0.8822136	0.8502694	0.8389692	0.818423	0.7921826	0.87519944	0.8229442	0.8050349	0.7993931	0.9188672	0.81384766	0.85886663	0.9107358	0.87507254	0.79959667	0.8181829	0.8389248	0.7979231	0.8733712	0.81951374	0.8610564	0.87428635	0.86964613	0.86865175	0.89954823	0.81144416	0.8310833	0.85351634	0.8517915	0.0	0.8699389	0.8587349	0.8686826	0.8490512	0.8320663	0.9076588	0.80275923	0.8666326	0.8904995	0.76591295	0.89032245	0.8096639	0.93721074	0.9127212	0.77806246	0.8735627	0.842819	0.82356185	0.83437014	0.81520426	0.8963311	0.8369043	0.8814791	0.85161346	0.8632025	0.8719995	0.9477416	0.7772254
even/adj	0.76042145	0.75332266	0.87542087	0.88544744	0.82475007	0.8493122	0.88160986	0.79674906	0.7883402	0.82115126	0.77593976	0.8824179	0.8129742	0.786735	0.81628734	0.8432156	0.75042635	0.8563273	0.80361784	0.82473934	0.75126266	0.83789754	0.8251344	0.76817054	0.6284292	0.7275019	0.82666504	0.7643161	0.87263155	0.84504604	0.8695824	0.8413968	0.86779225	0.8542	0.85451734	0.82339716	0.82287276	0.8182851	0.8925474	0.8398789	0.81044894	0.6921723	0.7216161	0.84603155	0.8361517	0.899044	0.83445513	0.8512706	0.84366506	0.8549445	0.82985115	0.71200156	0.85271263	0.57988876	0.7738421	0.85416615	0.84870553	0.7265899	0.8791426	0.83391565	0.86736584	0.9227484	0.82857525	0.79373956	0.8576666	0.8530785	0.782814	0.8882667	0.87976646	0.8804232	0.73847616	0.90770143	0.8701887	0.8551001	0.7743386	0.7375328	0.8237467	0.7912437	0.78857136	0.7419984	0.8529458	0.9388852	0.73252285	0.7321292	0.81818205	0.8766256	0.7845872	0.78191435	0.7227417	0.8527078	0.54204595	0.74087477	0.77857196	0.7574066	0.77895206	0.83526677	0.9364636	0.8104656	0.79562396	0.8302352	0.8319784	0.8699389	0.0	0.838043	0.7632833	0.78772503	0.86210144	0.8925253	0.8202331	0.8557325	0.73498887	0.81187004	0.8632947	0.5558713	0.9060633	0.8855151	0.82107896	0.93079793	0.75197005	0.8871534	0.87251997	0.76513463	0.87526655	0.81858283	0.8405137	0.8234978	0.77973765	0.862437	0.90069157	0.65253794
slurf/noun	0.9397586	0.8860664	0.9520335	0.91829586	0.90102404	0.93980443	0.94267213	0.83108854	0.9307429	0.8769212	0.83269763	0.9284194	0.92206615	0.854601	0.86041313	0.9369819	0.8363796	0.9159484	0.8348238	0.8724495	0.9423389	0.92809546	0.9299648	0.88371944	0.89785504	0.88890153	0.91176677	0.8002568	0.81611127	0.84660745	0.9113698	0.9223521	0.9503658	0.9128111	0.84910417	0.91416085	0.89729184	0.93101704	0.91708225	0.9086429	0.9274917	0.8883613	0.83338314	0.94127786	0.80709213	0.8983817	0.93674743	0.8520464	0.9302511	0.95534045	0.8913393	0.8674628	0.95445025	0.8386235	0.884451	0.9082701	0.92186797	0.90724504	0.9408981	0.8745738	0.8546932	0.9444274	0.85333115	0.942457	0.8947309	0.9549825	0.8745228	0.9007931	0.9639891	0.93127483	0.9137674	0.95859855	0.95444596	0.9179344	0.9147623	0.9145178	0.835738	0.88867736	0.8267815	0.85462165	0.8939734	0.93615806	0.8776761	0.9119554	0.940434	0.9050612	0.8773591	0.8386601	0.88333297	0.8744178	0.8865953	0.903365	0.90351975	0.9034814	0.8943296	0.8972569	0.9553577	0.8469122	0.80104864	0.9106628	0.91983545	0.8587349	0.838043	0.0	0.8207651	0.817301	0.8566272	0.96755683	0.83864874	0.898894	0.936014	0.87234294	0.9352726	0.87722224	0.95870614	0.9396422	0.8378316	0.9332454	0.89875335	0.9075663	0.8155264	0.91673326	0.935819	0.88600534	0.91846895	0.94642955	0.86483556	0.91627085	0.97113055	0.86731267
