	dans/noun	opgaaf/noun	avontuur/noun	bijzonder/adj	parkoers/noun	toestand/noun	plotseling/adj	impasse/noun	hoe/adj	even/adj	toch/adv	zo/adv	zo/adj	klus/noun	veiligheid_situatie/noun	het/det	toer/noun	exercitie/noun	meest/adj	bestaan/noun	moment/noun	soms/adv	strijd/noun	tocht/noun	voorspel/verb	kwestie/noun	stand_DIM/noun	reis/noun	oversteek/noun	behoorlijk/adj	sport/noun	zaak/noun	vergelijk/verb	koor/noun	rit/noun	standpunt/noun	genoeg/adv	wat/adv	omstandigheid/noun	positie/noun	prognose/noun	opdracht/noun	poging/noun	uiterst/adj	besluit/noun	onderweg/adj	even/adv	op/adj	operatie/noun	structuur/noun	publicitair/adj	trek_aan/verb	onderneming/noun	tafereel/noun	al/adv	dat/det	onderwerp/noun	steeds/adv	situatie/noun	capriool/noun	stunt_werk/noun	onderdeel/noun
operatie/noun	0.92165655	0.80935705	0.7867476	0.85267985	0.8758504	0.8031583	0.8564717	0.8165463	0.8659148	0.88300663	0.87239325	0.86383355	0.8696943	0.7567379	0.8534979	0.83330524	0.87173164	0.795138	0.8426546	0.8721502	0.8674847	0.8343979	0.7727215	0.78689367	0.8642784	0.8263866	0.898123	0.77021116	0.8401135	0.83008665	0.91680175	0.7854162	0.8918735	0.89819276	0.8697953	0.87722695	0.88603336	0.8860426	0.7992372	0.85843515	0.8597441	0.73580456	0.77958673	0.7936159	0.7817039	0.8946444	0.84852695	0.92741746	0.0	0.79261494	0.8721049	0.92720807	0.74279433	0.8747579	0.8467343	0.8203789	0.88559854	0.8472684	0.80784976	0.9091896	0.8907263	0.80840725
structuur/noun	0.7575851	0.8255315	0.8569729	0.74643576	0.7935642	0.7564396	0.8417263	0.8106687	0.78232574	0.8861269	0.8497182	0.7684203	0.784028	0.8685014	0.8310451	0.7837279	0.8435111	0.8454689	0.792599	0.7829186	0.8757814	0.74762595	0.871802	0.8970815	0.88817126	0.74143374	0.8699465	0.917181	0.92766345	0.78111297	0.818988	0.7988555	0.78513694	0.80852973	0.94898987	0.72804534	0.80527824	0.7678738	0.76563513	0.7306348	0.8394629	0.800195	0.87074983	0.7362901	0.8120764	0.90322757	0.78936327	0.9106354	0.79261494	0.0	0.8896188	0.88042706	0.7326899	0.7934465	0.90991116	0.81232965	0.7428794	0.7720337	0.73757803	0.8759993	0.8870685	0.7054231
publicitair/adj	0.89667755	0.89398	0.8800087	0.82202566	0.8898417	0.9168235	0.86664724	0.88589424	0.88392836	0.87799203	0.84338677	0.84477794	0.90024316	0.88688	0.9134545	0.8230659	0.88241434	0.8920243	0.8629639	0.8968191	0.90238965	0.8378532	0.86535025	0.8883882	0.89032656	0.8574716	0.87683666	0.91376966	0.9097342	0.8481282	0.84416866	0.85391045	0.8733576	0.92498857	0.9129771	0.8625885	0.8699256	0.86308557	0.8783287	0.88546145	0.9145939	0.9002937	0.90006495	0.8524252	0.9201246	0.88944745	0.8617638	0.8966835	0.8721049	0.8896188	0.0	0.88802403	0.8453687	0.9112248	0.89270365	0.8315526	0.86010027	0.8570893	0.8759049	0.9079391	0.8652866	0.8798647
trek_aan/verb	0.8949943	0.9219815	0.89816993	0.8815794	0.90337586	0.92723745	0.8834703	0.9281573	0.9163924	0.91750854	0.8810717	0.9014617	0.9238481	0.89927745	0.94471323	0.8800778	0.86757344	0.94761306	0.7951304	0.92828053	0.9477492	0.86592096	0.92820644	0.9175773	0.85822135	0.9232396	0.88514507	0.9052008	0.8982761	0.85810864	0.868305	0.9304005	0.85668	0.89607006	0.92060053	0.9240556	0.8690648	0.8629236	0.9126594	0.84629744	0.8744062	0.88415515	0.9306979	0.8962756	0.94286877	0.8801876	0.88987356	0.8407773	0.92720807	0.88042706	0.88802403	0.0	0.7900003	0.90991515	0.93047345	0.91120154	0.9039327	0.83276284	0.9451779	0.9114788	0.93761903	0.8906975
onderneming/noun	0.9175331	0.8504941	0.8250197	0.83489263	0.9139518	0.8581112	0.87628156	0.85927117	0.8716885	0.93843234	0.8824278	0.8512077	0.90714705	0.8652195	0.8758712	0.78854215	0.8623742	0.85419375	0.77464175	0.8402646	0.9094756	0.9027185	0.8638819	0.88674664	0.803475	0.84677285	0.88593346	0.865466	0.8976618	0.8122673	0.8137993	0.78238714	0.8433972	0.8761873	0.9430273	0.8434539	0.8722475	0.8921635	0.83274055	0.75234413	0.7642513	0.7847083	0.842923	0.8249464	0.8338196	0.9357737	0.86138433	0.9280479	0.74279433	0.7326899	0.8453687	0.7900003	0.0	0.91859716	0.8660775	0.82935154	0.86191845	0.7769381	0.83459455	0.9090397	0.9187421	0.6651207
tafereel/noun	0.6790506	0.85676706	0.6657967	0.710352	0.79502076	0.72451115	0.7239882	0.8609859	0.729476	0.77595854	0.7801906	0.70415884	0.7553046	0.87683195	0.91578144	0.815939	0.7976605	0.8614853	0.70964384	0.7657129	0.7467873	0.571794	0.88917905	0.73321474	0.87510216	0.85713166	0.7985151	0.8094463	0.8755452	0.7888265	0.8455651	0.86018753	0.85714805	0.7735617	0.8779752	0.8384437	0.7668435	0.74131286	0.7783622	0.8997836	0.88625824	0.8791963	0.85888636	0.72481	0.90188473	0.79683834	0.60834086	0.8722013	0.8747579	0.7934465	0.9112248	0.90991515	0.91859716	0.0	0.88790405	0.8106142	0.72421	0.79876804	0.7196007	0.7699062	0.83312505	0.88149816
al/adv	0.93904227	0.8739929	0.8902725	0.88423264	0.87129176	0.8897068	0.8154176	0.8582858	0.8333854	0.8264494	0.7343401	0.7827919	0.8658289	0.86493593	0.90252054	0.8701854	0.86293405	0.90493006	0.8737503	0.88037014	0.84423244	0.80917645	0.85127234	0.8670894	0.8307657	0.8879677	0.8993043	0.83262026	0.8848621	0.81566155	0.8984778	0.85703295	0.9292476	0.9067659	0.88619596	0.9065057	0.83865666	0.8412198	0.8889563	0.90306044	0.8416382	0.90340763	0.86891955	0.901075	0.8692069	0.8199161	0.88317615	0.8691627	0.8467343	0.90991116	0.89270365	0.93047345	0.8660775	0.88790405	0.0	0.8278807	0.8719216	0.7280653	0.8902106	0.90477985	0.8969504	0.9045395
dat/det	0.8823496	0.79549235	0.8262251	0.7848289	0.8574642	0.7879811	0.83302855	0.85277027	0.6445417	0.79930115	0.5321194	0.62415373	0.77535653	0.81651074	0.8299847	0.6877321	0.89012325	0.81491673	0.8199321	0.8249586	0.8172123	0.6513168	0.9235846	0.89287984	0.8475313	0.8006829	0.88203406	0.8783076	0.87767005	0.7300103	0.82895595	0.78769743	0.8451799	0.91974914	0.9337984	0.783862	0.7544375	0.73268133	0.74299425	0.862092	0.78751874	0.8434019	0.87123126	0.81312716	0.7876804	0.8825659	0.8186821	0.9195112	0.8203789	0.81232965	0.8315526	0.91120154	0.82935154	0.8106142	0.8278807	0.0	0.83224547	0.7873316	0.7087139	0.86006474	0.8388316	0.90016985
onderwerp/noun	0.74278545	0.82508963	0.78013736	0.7189681	0.84122735	0.81408745	0.8277152	0.8158479	0.7507739	0.85234743	0.827418	0.745282	0.81693816	0.84309757	0.85521865	0.83720565	0.83491826	0.8178072	0.7222863	0.8220974	0.7936962	0.7093031	0.84363425	0.8588213	0.90669036	0.5154981	0.81154585	0.8519831	0.90362966	0.8306364	0.7164263	0.67432773	0.83934164	0.8693917	0.94950867	0.68757796	0.8080489	0.7995477	0.8045778	0.8211599	0.87248534	0.8128294	0.8675051	0.74378	0.83217055	0.89030457	0.75646603	0.9036444	0.88559854	0.7428794	0.86010027	0.9039327	0.86191845	0.72421	0.8719216	0.83224547	0.0	0.7428992	0.7587266	0.89449626	0.9041121	0.78492886
steeds/adv	0.8362159	0.8443065	0.81696784	0.69800174	0.86937666	0.7969167	0.68085897	0.8390628	0.6756848	0.7574066	0.6893066	0.6383034	0.63034487	0.85206205	0.84439725	0.8151214	0.81103987	0.8863275	0.6663854	0.786034	0.7828972	0.60795164	0.8234632	0.8827378	0.83803886	0.80288583	0.8694217	0.8454362	0.8622877	0.6585028	0.7618226	0.8435401	0.8522028	0.8511741	0.92600995	0.7986674	0.6909845	0.6636816	0.7737804	0.7606789	0.8174673	0.85542494	0.83388484	0.69259226	0.89090014	0.8466091	0.71380115	0.84435654	0.8472684	0.7720337	0.8570893	0.83276284	0.7769381	0.79876804	0.7280653	0.7873316	0.7428992	0.0	0.7673555	0.84769773	0.8904745	0.8526125
situatie/noun	0.9141175	0.81675696	0.8253603	0.7897201	0.8398404	0.321411	0.82434225	0.74403584	0.67857814	0.85058045	0.75975937	0.7150022	0.75823075	0.8534368	0.66409224	0.8631007	0.8885265	0.8197632	0.7775816	0.78866017	0.76782656	0.7068287	0.89501566	0.89062274	0.8681458	0.74530363	0.8947658	0.9014271	0.8836455	0.7955054	0.8936689	0.66196334	0.8825829	0.9250711	0.9489852	0.7577843	0.77871394	0.79777825	0.51078236	0.6909728	0.80818033	0.8487741	0.84895337	0.73846436	0.81123435	0.9196498	0.759881	0.8958286	0.80784976	0.73757803	0.8759049	0.9451779	0.83459455	0.7196007	0.8902106	0.7087139	0.7587266	0.7673555	0.0	0.8546796	0.9077361	0.9077821
capriool/noun	0.8290658	0.8934684	0.7924557	0.84433734	0.85758245	0.8653268	0.8370812	0.91207445	0.83415484	0.8500213	0.8103386	0.80104125	0.84300286	0.8814499	0.9366227	0.8822824	0.8138623	0.89619786	0.81208175	0.8945722	0.89861786	0.73368	0.92925894	0.84762436	0.9439955	0.9137116	0.8652363	0.88298917	0.8646221	0.8497915	0.87442845	0.90559375	0.8970945	0.86520904	0.88797665	0.90511787	0.8097018	0.82013184	0.8738613	0.8869575	0.9228911	0.9167246	0.90853864	0.84302706	0.9214772	0.8600002	0.79992586	0.923205	0.9091896	0.8759993	0.9079391	0.9114788	0.9090397	0.7699062	0.90477985	0.86006474	0.89449626	0.84769773	0.8546796	0.0	0.8527732	0.9192976
stunt_werk/noun	0.8738042	0.90657264	0.84942174	0.86933005	0.85254246	0.9166217	0.90126634	0.91160744	0.8923515	0.8775216	0.82149625	0.8872529	0.90543514	0.8647903	0.9320709	0.89563024	0.8580861	0.89477825	0.86679196	0.8972084	0.9028276	0.8147741	0.90965486	0.8841772	0.90151167	0.92430556	0.90698075	0.9052665	0.89927924	0.82968897	0.8999145	0.9327005	0.9237225	0.89589185	0.90419054	0.90404505	0.8766843	0.85576165	0.88296163	0.9196775	0.91300935	0.9086785	0.88406175	0.86188173	0.9262796	0.9185486	0.8534852	0.8898393	0.8907263	0.8870685	0.8652866	0.93761903	0.9187421	0.83312505	0.8969504	0.8388316	0.9041121	0.8904745	0.9077361	0.8527732	0.0	0.8900745
onderdeel/noun	0.83141136	0.85675305	0.8852239	0.8130857	0.8516277	0.9043324	0.8841645	0.8934538	0.8853718	0.92737913	0.91493934	0.88531935	0.8976452	0.8749996	0.8984473	0.77448094	0.83106565	0.8966296	0.78690505	0.85160226	0.89535177	0.877978	0.87038475	0.89445853	0.8981743	0.8158823	0.8712322	0.8944834	0.9057689	0.8571279	0.8012296	0.84908915	0.83751494	0.8881279	0.9098386	0.86387324	0.8751976	0.91130775	0.8904911	0.83898705	0.87728953	0.7920055	0.86813164	0.80705285	0.8676821	0.87886107	0.8360656	0.92200565	0.80840725	0.7054231	0.8798647	0.8906975	0.6651207	0.88149816	0.9045395	0.90016985	0.78492886	0.8526125	0.9077821	0.9192976	0.8900745	0.0
