	windstoot/noun	bijzonder/adj	hoe/adj	stem/noun	helling/noun	ziektekiem/noun	kop_stoot/noun	bedrieger/noun	wel/adv	min/adj	reactie/noun	blok/noun	spel_DIM/noun	elleboog_stoot/noun	ondertoon/noun	ook/adv	waarin/pp	dat/comp	inslag/noun	woestijn/noun	fantasie/noun	bespreking/noun	schrijnend/adj	syfilis/noun	Madonna/name	volwassene/noun	schuiver/noun	pleeg_ouder/noun	weide/noun	rap/adj	soort/noun	door/adv	streek/noun	Kim/name	god/noun	zo/adv	campagne/noun	vernedering/noun	dijk/noun	tand_DIM/noun	Waal/noun	tovenaar/noun	zaak/noun	in_borst/noun	ding_DIM/noun	ding/noun	genoeg/adv	bas_lijn/noun	uiterst/adj	producent/noun	schilderij/noun	fout/noun	aanmerkelijk/adj	grond/noun	grimas/noun	tegenstander/noun	ze/pron	overtreding/noun	glimlach/noun	man/noun	oog_DIM/noun	voetballer/noun	manier/noun	criticus/noun	vraag/noun	opmerking/noun	klank/noun	rivale/noun	broodje/noun	echt/adj	blessure/noun	kindervriend/noun	ernstig/adj	Esther/name	rotzooi/noun	val_partij/noun	heel/adj	ontzettend/adj	haai/noun	nogal/adv	loer/noun	spul/noun	schurk/noun	met/prep	bluesy/noun	mens/noun	volk/noun	nicht_DIM/noun	ik/pron	lief/noun	tackle/noun	dat/det	kwasi/adj	daad/noun	gevoel/noun	val/noun	kop/noun	kanker/noun	racist/noun	charmant/adj	lek/noun	complot/noun	heel/adv	hij/pron	stroper/noun	machine/noun	recht/noun	deler/noun	naar/adj	virus/noun	overval/noun	trap/noun	tante/noun	vaak/adj	portret/noun	wat/adv	beetje/noun	veelvoud/noun	ronduit/adv	chef/noun	sprookje/noun	veel/adj	Chantal/name	jood/noun	iets/adv	drempel/noun	sheriff/noun	spel/noun	paal_DIM/noun
reactie/noun	0.8443779	0.81097037	0.8051261	0.8479871	0.9010077	0.88607395	0.89991665	0.8952497	0.82385087	0.81639767	0.0	0.8963873	0.8338369	0.8915857	0.75372976	0.7782807	0.7964969	0.7169771	0.7985284	0.9219074	0.8312336	0.77856714	0.83309776	0.92408735	0.88939404	0.8909769	0.9078698	0.87171996	0.9415872	0.85334396	0.8212081	0.83716804	0.8803302	0.9400514	0.8989355	0.7880238	0.7879423	0.80782586	0.91812515	0.91558677	0.85819393	0.90411687	0.8080927	0.8349504	0.86498237	0.8125326	0.84753877	0.9264132	0.7810312	0.9135314	0.9178483	0.8459997	0.8361916	0.934426	0.8524437	0.8131778	0.8225641	0.82998806	0.85249007	0.8960802	0.8809697	0.911416	0.78772545	0.7083985	0.7188283	0.57059026	0.823517	0.88053906	0.9236984	0.8410703	0.8710121	0.93307966	0.8355862	0.8908785	0.82383394	0.8412374	0.87684274	0.79561836	0.871457	0.6864352	0.90728736	0.88576543	0.87405986	0.87838644	0.9355362	0.8205085	0.8284406	0.90005153	0.81632155	0.88318205	0.8567069	0.80063283	0.86632544	0.78666544	0.76082766	0.8717052	0.86738056	0.8767288	0.8188493	0.85368824	0.83797526	0.796071	0.7713634	0.8019902	0.9255675	0.90432835	0.89576	0.8783299	0.8634122	0.8698807	0.89406854	0.9286468	0.8959177	0.76861	0.87402135	0.8194802	0.8120241	0.8766004	0.7336153	0.86327934	0.88535804	0.81382346	0.894677	0.8357987	0.8417555	0.8801437	0.9221504	0.85871524	0.89912283
blok/noun	0.85396284	0.88369596	0.90492487	0.82222533	0.7366384	0.9291277	0.8661052	0.89779586	0.9135426	0.8825604	0.8963873	0.0	0.86284614	0.91147566	0.85443914	0.88196445	0.82121605	0.92420727	0.8053007	0.8135076	0.9059098	0.89487326	0.8861975	0.9374218	0.88304126	0.8905373	0.8405904	0.8981402	0.76637423	0.82149315	0.8289667	0.814675	0.8567965	0.9014426	0.9185947	0.8802701	0.8465104	0.8665496	0.75382113	0.7999668	0.772226	0.8643916	0.8957866	0.8642043	0.8543196	0.89531094	0.8707354	0.88759726	0.8353784	0.90992385	0.8644547	0.8433792	0.84861875	0.7228186	0.89565164	0.73978364	0.81820977	0.8796256	0.87010884	0.8252565	0.8573532	0.88227946	0.87694424	0.8752267	0.9212851	0.8898394	0.84257066	0.8126237	0.82771313	0.90925914	0.8905808	0.9417199	0.9386978	0.9002762	0.8158941	0.858789	0.81538427	0.8988926	0.81326264	0.85144067	0.88273543	0.8261851	0.85191345	0.81713223	0.93262327	0.8870724	0.8724643	0.89060587	0.8896711	0.8692869	0.8372434	0.91607106	0.79783523	0.91827303	0.8802847	0.8908606	0.7999369	0.9268626	0.88907254	0.8404125	0.8501643	0.83668303	0.8741756	0.86003876	0.8884712	0.75252306	0.89206874	0.8842119	0.8300016	0.88836175	0.89549613	0.7162577	0.87784165	0.8643493	0.8991927	0.8183061	0.8753645	0.8657362	0.8245541	0.8980354	0.8881041	0.8555809	0.8930781	0.873008	0.8539291	0.8080232	0.9029437	0.79634464	0.70681894
spel_DIM/noun	0.9167857	0.7859471	0.7652142	0.86272824	0.90195817	0.87678254	0.9103132	0.84339243	0.7625263	0.82335913	0.8338369	0.86284614	0.0	0.9061075	0.76865053	0.72241753	0.7578432	0.8574838	0.80463386	0.872184	0.6888014	0.88435477	0.84608126	0.89841497	0.8114733	0.75779575	0.90381956	0.8735424	0.8844038	0.822133	0.6800488	0.8009612	0.85246325	0.89657015	0.8554965	0.73444426	0.80137193	0.80950326	0.9084329	0.86457014	0.86067575	0.8267469	0.8306877	0.8717623	0.6932347	0.6433978	0.80272025	0.8272462	0.8087326	0.82010543	0.8364003	0.8372782	0.85355514	0.91208935	0.8367187	0.8294696	0.71855366	0.8652867	0.8241252	0.8574859	0.84643775	0.8451021	0.7236751	0.83283365	0.82030904	0.7759001	0.7389329	0.8805734	0.798407	0.71560097	0.86320144	0.87377214	0.8981381	0.8389208	0.77985895	0.86540216	0.7885668	0.70348895	0.8268561	0.77886456	0.8719418	0.7504131	0.782987	0.7740234	0.8627506	0.75919724	0.86268204	0.8210288	0.72991323	0.7858979	0.8481842	0.77845675	0.81435966	0.84773797	0.8061757	0.90600634	0.87565213	0.88361526	0.8102876	0.76162285	0.8519743	0.7761637	0.7258754	0.78224754	0.8518015	0.7440325	0.89961135	0.88835216	0.826823	0.7731913	0.8887177	0.8982365	0.78156435	0.7324791	0.84300137	0.7639006	0.7375688	0.8590735	0.7663963	0.8948595	0.68685883	0.7774788	0.89056873	0.8828624	0.8169965	0.8602513	0.8571981	0.5575179	0.869969
elleboog_stoot/noun	0.9103898	0.915677	0.9178762	0.91896695	0.92030615	0.9330796	0.6433462	0.8844359	0.92331815	0.913617	0.8915857	0.91147566	0.9061075	0.0	0.9196693	0.9188467	0.9107606	0.9076338	0.89967054	0.93489534	0.9195346	0.9319593	0.8998966	0.91904616	0.9087555	0.9241397	0.8277597	0.930277	0.91795295	0.8996229	0.9194219	0.90502125	0.93963706	0.85043573	0.9174997	0.90725565	0.9158355	0.845737	0.9213007	0.8832504	0.86314785	0.9027876	0.9241158	0.9269496	0.9149696	0.9245833	0.9270382	0.9344134	0.9280638	0.91097736	0.92710614	0.77339965	0.8898429	0.9161171	0.87241685	0.76987404	0.8531306	0.6718941	0.8654702	0.88519454	0.8795755	0.81143576	0.9254395	0.8976535	0.9260991	0.8476403	0.93065345	0.85175496	0.9169054	0.9098472	0.71866727	0.91295946	0.8596389	0.88638765	0.90980905	0.7635492	0.9343848	0.914836	0.89820933	0.89054555	0.8838997	0.92576414	0.86982536	0.8914757	0.95705014	0.90672153	0.9358401	0.9002036	0.8884378	0.908274	0.61751616	0.9264126	0.8777736	0.8809614	0.9308988	0.85692143	0.9241529	0.91631556	0.86224324	0.8963084	0.84553826	0.8533347	0.9273087	0.8094918	0.90245134	0.91478056	0.93592805	0.92601603	0.9223237	0.92217076	0.8827128	0.76644945	0.911798	0.9003886	0.9078417	0.9172809	0.9242048	0.91389966	0.8968981	0.9088722	0.92699754	0.91316384	0.8533546	0.9249317	0.92919815	0.94843113	0.86811626	0.8602493	0.8935793
ondertoon/noun	0.8685309	0.7136749	0.81184375	0.7915987	0.8845052	0.8971105	0.90669256	0.87636906	0.7667927	0.74802995	0.75372976	0.85443914	0.76865053	0.9196693	0.0	0.7744421	0.6853992	0.83426714	0.710761	0.8675468	0.7124755	0.88144326	0.73921543	0.90812397	0.8105901	0.8518698	0.90822774	0.8921308	0.9089781	0.8466355	0.7264193	0.7741015	0.8763841	0.91994214	0.8145985	0.7641828	0.84769803	0.788507	0.917976	0.8729487	0.8656012	0.8428732	0.85690635	0.7263172	0.79008126	0.780513	0.77324015	0.79464823	0.7277668	0.8887237	0.8225992	0.88228506	0.7718123	0.89552027	0.7717781	0.8541944	0.8062248	0.8900152	0.76974106	0.86902493	0.859069	0.9058484	0.7702391	0.7673138	0.8638818	0.7339184	0.63838816	0.8686345	0.87129796	0.8013648	0.8687991	0.8810026	0.86570144	0.83854294	0.8363672	0.872172	0.8174701	0.76903856	0.83659106	0.6925126	0.88473624	0.87145984	0.79839087	0.8298099	0.7948266	0.8353728	0.84988046	0.8735448	0.82188594	0.8228921	0.8799324	0.80686057	0.8311063	0.8179013	0.6763755	0.91679615	0.8743776	0.8852336	0.82989794	0.7025638	0.9088498	0.83112895	0.71649295	0.804355	0.8770281	0.8737016	0.9185323	0.87732214	0.7970356	0.8521215	0.91543984	0.90528643	0.85014963	0.73334265	0.7707048	0.7283055	0.7506784	0.8603953	0.7189216	0.8988968	0.72665215	0.7971047	0.8980802	0.85819405	0.7540212	0.87817883	0.8592702	0.7699181	0.9030878
ook/adv	0.8883619	0.68843544	0.6910059	0.8701436	0.8933454	0.8361013	0.90933096	0.8151443	0.4712733	0.6798201	0.7782807	0.88196445	0.72241753	0.9188467	0.7744421	0.0	0.81008583	0.6244329	0.80114603	0.8969709	0.80726576	0.8504445	0.7846376	0.88850987	0.8369562	0.76877356	0.9021523	0.8368706	0.8869628	0.79479706	0.73845136	0.769747	0.8198944	0.9220787	0.8093694	0.6927023	0.82783234	0.8492279	0.8833761	0.82956403	0.7862346	0.8504343	0.80641365	0.8368298	0.7165976	0.66156113	0.7176286	0.87236154	0.79498786	0.8610136	0.862812	0.8026751	0.7737528	0.9043028	0.8579065	0.8370663	0.63154626	0.8445074	0.8357965	0.8969904	0.84015983	0.809342	0.7466342	0.79668915	0.7558377	0.73623526	0.7974988	0.9023393	0.8529232	0.63746536	0.84267515	0.8785825	0.81094176	0.867063	0.7938234	0.8662708	0.7823647	0.65468454	0.85828304	0.6369095	0.8744386	0.77052414	0.8530554	0.8435242	0.8841228	0.7210848	0.84283596	0.8553608	0.58554935	0.8013577	0.8809401	0.56003875	0.78983486	0.84268564	0.7719692	0.93884385	0.9112447	0.8551817	0.7873355	0.79050934	0.84383804	0.85205764	0.5845516	0.6910801	0.8301603	0.83569664	0.82868624	0.8740432	0.7945646	0.79841304	0.89228886	0.9203162	0.8475112	0.61034083	0.867659	0.681468	0.6965643	0.79857063	0.7718754	0.90802026	0.8182482	0.6099767	0.89203745	0.8778117	0.7338915	0.78745496	0.87756133	0.77207583	0.8563921
waarin/pp	0.8996421	0.7074787	0.76962805	0.82546955	0.8658301	0.8792922	0.9014987	0.8400026	0.89757943	0.7985575	0.7964969	0.82121605	0.7578432	0.9107606	0.6853992	0.81008583	0.0	0.8274536	0.7198843	0.81026113	0.69824934	0.7934562	0.68586725	0.8962903	0.73977625	0.80156696	0.9230577	0.86385274	0.8709398	0.80710137	0.6331011	0.78878284	0.8265337	0.9111315	0.7774339	0.8140682	0.8106223	0.8045962	0.87362474	0.8997338	0.8365141	0.78618056	0.85354745	0.8170293	0.82444257	0.8372924	0.8614031	0.8362553	0.7261346	0.8034005	0.72253025	0.8929527	0.7812692	0.8720025	0.84874624	0.8535826	0.8247969	0.871531	0.83846605	0.8626117	0.8850475	0.8510705	0.7579076	0.72652805	0.8392634	0.8012868	0.67683804	0.87119657	0.87363386	0.81056523	0.9080436	0.90830994	0.8391148	0.7877302	0.80890346	0.873702	0.7251732	0.83174086	0.84231853	0.72940123	0.88907063	0.84539217	0.762771	0.72737	0.8164262	0.82421184	0.7995336	0.84047264	0.89385116	0.84054273	0.89848596	0.85440606	0.7856176	0.82107687	0.7820991	0.89135945	0.86380726	0.86061454	0.818236	0.71122324	0.8647084	0.7621379	0.80221313	0.7921432	0.86350965	0.81954515	0.8286986	0.8318229	0.8101916	0.83828783	0.89437944	0.8871622	0.84145075	0.72312665	0.6401305	0.836198	0.85867953	0.80518544	0.74292976	0.8577225	0.6480507	0.82912254	0.87558895	0.7959682	0.8412835	0.86586595	0.8250256	0.753368	0.8825029
dat/comp	0.89580846	0.833741	0.64827514	0.8739954	0.92898405	0.8566148	0.89780134	0.8262174	0.57147574	0.79178494	0.7169771	0.92420727	0.8574838	0.9076338	0.83426714	0.6244329	0.8274536	0.0	0.83927935	0.9290234	0.8306669	0.80592763	0.7962818	0.8653923	0.887306	0.8851328	0.9258102	0.8301488	0.9522482	0.8712356	0.8358064	0.81611466	0.9130634	0.94703054	0.77868384	0.6759411	0.83913416	0.8090624	0.9365603	0.8801068	0.81836665	0.8751312	0.79039896	0.86209625	0.82263106	0.69910026	0.7609269	0.90951514	0.84972274	0.88903594	0.9439364	0.75638324	0.84528756	0.94002223	0.8605926	0.8273404	0.63335323	0.8092104	0.8442584	0.88975435	0.8593899	0.8962938	0.83026195	0.7008022	0.8065001	0.71085894	0.88661987	0.8915685	0.9296234	0.7196481	0.88673854	0.8824867	0.7661262	0.8845571	0.8244516	0.86382174	0.86921954	0.7585551	0.8849657	0.74360883	0.870499	0.8853847	0.830083	0.882185	0.9476491	0.7626957	0.8248486	0.8808034	0.5923001	0.8738769	0.9100399	0.558824	0.83843344	0.78584164	0.80923903	0.8908586	0.91712517	0.81213677	0.74513745	0.8747709	0.77571154	0.72602725	0.77308667	0.5849217	0.88193214	0.9105396	0.81023026	0.8825118	0.87340057	0.8136049	0.90358084	0.9596062	0.8878449	0.7288704	0.9247056	0.8300177	0.7747139	0.87478787	0.7766553	0.89445066	0.8711689	0.7583487	0.8837243	0.8439023	0.8016422	0.8408561	0.88310003	0.88246834	0.874401
inslag/noun	0.8147509	0.7934278	0.8522801	0.8453415	0.8537456	0.85749054	0.8819126	0.8917275	0.8788645	0.800437	0.7985284	0.8053007	0.80463386	0.89967054	0.710761	0.80114603	0.7198843	0.83927935	0.0	0.7949662	0.7751304	0.8648503	0.76726127	0.8794122	0.82730484	0.8331934	0.89455104	0.87002766	0.8553903	0.8252824	0.7088138	0.7929327	0.8281765	0.913925	0.824203	0.8373773	0.82367194	0.7836745	0.8437532	0.90978837	0.8300358	0.8239063	0.8643241	0.7440423	0.83461714	0.8523562	0.840901	0.8638485	0.7795192	0.8472543	0.8159859	0.8403424	0.8036262	0.8399441	0.8692229	0.8237928	0.8461062	0.84777784	0.8563366	0.8456484	0.87449205	0.85805243	0.81314045	0.78177035	0.88537455	0.83125365	0.72861314	0.830451	0.8601263	0.8350474	0.8839043	0.9272957	0.7802485	0.8500235	0.8025406	0.8113407	0.8401027	0.8503274	0.7946631	0.72728765	0.8993356	0.8404372	0.8039579	0.8048793	0.8684682	0.8070924	0.83051354	0.8635744	0.8885769	0.8387461	0.8728864	0.8279054	0.8118329	0.78122425	0.81583667	0.8295898	0.88196313	0.8332494	0.830737	0.7723684	0.7931266	0.7841556	0.8053729	0.861059	0.8457205	0.8204701	0.883143	0.8726606	0.81149095	0.79738414	0.82846504	0.8873351	0.87549794	0.7399311	0.80057585	0.84125906	0.85691863	0.80885446	0.7937508	0.86654735	0.76881385	0.8115972	0.8946081	0.7985885	0.8293776	0.84666526	0.8804407	0.8269995	0.85755074
woestijn/noun	0.82749224	0.87839675	0.8753322	0.8870909	0.73822635	0.88880503	0.8978463	0.886435	0.89799124	0.89245903	0.9219074	0.8135076	0.872184	0.93489534	0.8675468	0.8969709	0.81026113	0.9290234	0.7949662	0.0	0.85427564	0.88353986	0.83376837	0.9198028	0.8462372	0.8885545	0.89872056	0.8883692	0.63441396	0.8389878	0.83937657	0.7966745	0.73385656	0.91721845	0.8042438	0.866573	0.8973189	0.80230165	0.70264137	0.9128349	0.8341385	0.8164869	0.9322218	0.89217144	0.8416092	0.8835186	0.9028338	0.8990453	0.8470715	0.9130106	0.8444696	0.93253267	0.87271607	0.75536394	0.8552303	0.9115779	0.76710427	0.92437315	0.85332006	0.80182284	0.8429056	0.8845083	0.89027417	0.8962467	0.9462813	0.91088206	0.80501974	0.887028	0.8499242	0.8534355	0.92650497	0.9248303	0.926522	0.8536922	0.7833047	0.85289335	0.8076035	0.85827136	0.75098515	0.8609748	0.8934001	0.8284351	0.82860196	0.8376611	0.9018463	0.813499	0.80527616	0.8198863	0.85089433	0.8098303	0.9232063	0.9087925	0.8535628	0.8916966	0.86301404	0.84836173	0.82353866	0.8923771	0.87570757	0.83172894	0.81837434	0.84172416	0.8590624	0.8017782	0.84288126	0.8205548	0.92543864	0.92359436	0.8339056	0.8469999	0.9099684	0.85318565	0.81049013	0.811893	0.85909736	0.8317386	0.82905966	0.87142634	0.8773855	0.90581036	0.8025757	0.8517879	0.8995577	0.8152985	0.85583407	0.90104973	0.8438303	0.88489604	0.8180989
fantasie/noun	0.9126582	0.7743395	0.76403725	0.82747203	0.90159947	0.872216	0.9055569	0.85916245	0.80518246	0.81913227	0.8312336	0.9059098	0.6888014	0.9195346	0.7124755	0.80726576	0.69824934	0.8306669	0.7751304	0.85427564	0.0	0.9185388	0.7285823	0.8685168	0.8101992	0.7964512	0.9184091	0.8735851	0.88059014	0.8139676	0.7072785	0.76700443	0.86713547	0.9346843	0.7396134	0.7681427	0.8730979	0.7818083	0.904309	0.9021578	0.8696974	0.7934743	0.86525667	0.7696056	0.782614	0.7179544	0.82134247	0.8278173	0.807213	0.87619054	0.7827524	0.88234663	0.81599087	0.89766103	0.81551397	0.8775606	0.7635875	0.92435616	0.8059442	0.84197617	0.87920094	0.849554	0.73667294	0.7794705	0.8583845	0.7855176	0.6834388	0.8802918	0.89808947	0.7602467	0.92352337	0.90497345	0.8813784	0.824216	0.8062478	0.8924737	0.834707	0.7692486	0.8446087	0.71346635	0.8847055	0.8358746	0.78319097	0.808504	0.82407355	0.776641	0.82375276	0.82791924	0.79954344	0.812369	0.8859645	0.7808521	0.8479121	0.73391485	0.6298229	0.927575	0.8648436	0.8841351	0.81023026	0.7461846	0.89798987	0.80534506	0.75548106	0.79563236	0.8608942	0.79248184	0.86622524	0.8638625	0.80228007	0.83724415	0.9233631	0.8859417	0.82819194	0.71034	0.7662934	0.7669507	0.75500906	0.8373295	0.7965185	0.90499514	0.6151961	0.74806595	0.8910227	0.8542485	0.79979354	0.8705557	0.8800816	0.6968522	0.91204345
bespreking/noun	0.9286645	0.85160494	0.9108076	0.8958652	0.90079653	0.9238087	0.92879254	0.9179226	0.91542184	0.89303863	0.77856714	0.89487326	0.88435477	0.9319593	0.88144326	0.8504445	0.7934562	0.80592763	0.8648503	0.88353986	0.9185388	0.0	0.8795761	0.9640541	0.8826907	0.93028045	0.9313037	0.8803439	0.93378675	0.8742213	0.9157623	0.8926699	0.926413	0.9032661	0.9256155	0.8982986	0.6821768	0.8282597	0.9209723	0.9062361	0.87507886	0.91503835	0.77175397	0.91762954	0.9000711	0.9303306	0.93671143	0.95120156	0.81998193	0.88092214	0.91608286	0.8990633	0.8428578	0.90980023	0.93760145	0.8693522	0.89929175	0.892746	0.9342572	0.93820214	0.89507985	0.898407	0.90823257	0.8287734	0.8298936	0.7817352	0.90418595	0.838072	0.92981845	0.92614055	0.8733275	0.9403139	0.8986806	0.8652997	0.9209422	0.87427175	0.86929506	0.9284413	0.9166025	0.86921996	0.928799	0.93735325	0.9048257	0.8137934	0.93846905	0.93582815	0.8530918	0.9082875	0.92614144	0.9244611	0.9167513	0.88607526	0.8703531	0.8934723	0.9456805	0.8549543	0.9441945	0.93791604	0.90611136	0.8949307	0.85100377	0.78463924	0.9002975	0.8527756	0.9252908	0.9103663	0.87177145	0.9248767	0.9071014	0.9320622	0.83950037	0.93402576	0.92111343	0.8966123	0.87255275	0.8957708	0.95161456	0.8685001	0.86797476	0.81802666	0.89278376	0.8973346	0.892291	0.8960033	0.8964811	0.87859666	0.9195124	0.8722473	0.8922388
schrijnend/adj	0.9095173	0.7370748	0.76349986	0.880995	0.891368	0.8759991	0.9149828	0.8528186	0.83699507	0.79392934	0.83309776	0.8861975	0.84608126	0.8998966	0.73921543	0.7846376	0.68586725	0.7962818	0.76726127	0.83376837	0.7285823	0.8795761	0.0	0.86824274	0.8588964	0.8173131	0.90693	0.8435945	0.90674174	0.83572894	0.7539041	0.80075824	0.8480168	0.92648333	0.81201184	0.8173412	0.86647844	0.74389124	0.8961348	0.90220606	0.8387211	0.83900136	0.8324654	0.8569361	0.823004	0.79795426	0.84647185	0.8815439	0.7705916	0.9053613	0.83585	0.8193035	0.79806983	0.9251245	0.8256319	0.8575912	0.7962587	0.834024	0.8322696	0.8535324	0.8585523	0.85213745	0.8056589	0.80647784	0.83773285	0.8010711	0.80069613	0.89296716	0.9074957	0.8137231	0.8461274	0.9082947	0.70308757	0.82650685	0.8292769	0.8483278	0.8418889	0.8067652	0.859074	0.7553439	0.8871314	0.8813431	0.8435189	0.8312947	0.89908516	0.75225437	0.83662266	0.8539997	0.8459892	0.8463396	0.8734391	0.79595554	0.8408757	0.79396	0.7644547	0.8860836	0.92438996	0.80525345	0.8370554	0.7565867	0.849617	0.8265054	0.7805431	0.79712933	0.8709763	0.8715974	0.83626586	0.87291723	0.82308424	0.8428245	0.878538	0.91739315	0.8468796	0.660023	0.8094081	0.8433264	0.8462152	0.822902	0.7687673	0.9116479	0.7836352	0.7685145	0.87112343	0.8300671	0.83573973	0.8426908	0.8646809	0.8140835	0.8961741
syfilis/noun	0.9073066	0.9265722	0.8967028	0.9021674	0.9262325	0.8444967	0.9220099	0.886952	0.90675855	0.89478076	0.92408735	0.9374218	0.89841497	0.91904616	0.90812397	0.88850987	0.8962903	0.8653923	0.8794122	0.9198028	0.8685168	0.9640541	0.86824274	0.0	0.9210005	0.85088754	0.92308	0.89182	0.9288491	0.9036072	0.85585415	0.8679855	0.884191	0.96471304	0.88260216	0.8768398	0.9205293	0.8823486	0.9365102	0.935919	0.8812875	0.91161644	0.9267484	0.89677817	0.86839026	0.8706573	0.9096928	0.9178283	0.9218614	0.92238635	0.9007708	0.90750927	0.89507216	0.9267892	0.91021705	0.91696495	0.839	0.86156476	0.9040177	0.85995656	0.94591516	0.92126006	0.8968531	0.87277013	0.9374449	0.90786844	0.91207767	0.9408622	0.908881	0.9209111	0.90244824	0.9178381	0.82355964	0.90797675	0.9004932	0.8906844	0.9210667	0.9248864	0.85534006	0.89358693	0.9494364	0.9058813	0.89289534	0.9134183	0.9405107	0.835836	0.90472543	0.92456084	0.90011835	0.91795087	0.9345131	0.8527181	0.9276614	0.8901985	0.89035463	0.92079943	0.9296306	0.7167934	0.8887418	0.92062956	0.8843286	0.87590843	0.9055829	0.85116744	0.89405453	0.8998367	0.9178069	0.929053	0.90563047	0.7848019	0.9088122	0.9245938	0.8970206	0.8204112	0.91645914	0.91796154	0.9181572	0.8836442	0.9357074	0.9585107	0.9234662	0.8866148	0.95308775	0.8499439	0.8974959	0.91981006	0.9204146	0.90138555	0.9302872
Madonna/name	0.9169227	0.8426446	0.864182	0.8225311	0.8958862	0.9506647	0.8909092	0.8931839	0.8851794	0.8844168	0.88939404	0.88304126	0.8114733	0.9087555	0.8105901	0.8369562	0.73977625	0.887306	0.82730484	0.8462372	0.8101992	0.8826907	0.8588964	0.9210005	0.0	0.8605807	0.92054546	0.86103314	0.8856919	0.8180884	0.84113955	0.8449756	0.8799628	0.802562	0.82435966	0.8570057	0.8693288	0.83706635	0.8946815	0.8875596	0.8566839	0.7787696	0.9258277	0.8855529	0.8446267	0.8805675	0.92123914	0.886206	0.8790684	0.8070421	0.7350576	0.93371165	0.85929793	0.8948543	0.85859895	0.8895441	0.7514877	0.91214556	0.8130872	0.8062466	0.8617896	0.80196345	0.88040984	0.78757906	0.93406165	0.8653608	0.79053664	0.8208878	0.86340296	0.81927264	0.9216186	0.852684	0.92017007	0.7140807	0.8518311	0.8878576	0.8515974	0.8500136	0.80928105	0.8119432	0.9195879	0.8683398	0.7584971	0.8015144	0.80312335	0.86241305	0.8687211	0.7480765	0.8289241	0.7683641	0.88333833	0.88394856	0.84168124	0.8860897	0.88975954	0.91377234	0.895344	0.8601331	0.8348397	0.7066902	0.89320445	0.8384836	0.86876714	0.736263	0.8762161	0.8673446	0.9159589	0.91034496	0.8451105	0.87448215	0.9095112	0.894943	0.7716976	0.8098147	0.7063539	0.8666244	0.85344917	0.84666014	0.8182423	0.8240891	0.74893653	0.87908477	0.78391373	0.85892123	0.87518376	0.9169407	0.799333	0.86142427	0.8846114
volwassene/noun	0.8575237	0.8129149	0.8149913	0.820484	0.87720555	0.8611331	0.91839504	0.8644821	0.8312489	0.8045537	0.8909769	0.8905373	0.75779575	0.9241397	0.8518698	0.76877356	0.80156696	0.8851328	0.8331934	0.8885545	0.7964512	0.93028045	0.8173131	0.85088754	0.8605807	0.0	0.93481016	0.7850688	0.8884118	0.85250115	0.7649636	0.8230401	0.8734203	0.9063437	0.84868664	0.8154085	0.88227004	0.8526334	0.9167243	0.90472585	0.81974	0.8412321	0.9009727	0.89368093	0.8284027	0.80654633	0.84222996	0.9186707	0.8603126	0.8917752	0.84741753	0.8812144	0.8328624	0.9355824	0.8877303	0.87767345	0.73498046	0.8250015	0.86946094	0.7187488	0.88359106	0.80023444	0.7944673	0.8292027	0.89498526	0.85349166	0.83966446	0.92138296	0.8500565	0.8273521	0.9143879	0.88410074	0.8163785	0.8324172	0.86322683	0.8823158	0.8352611	0.79315424	0.82289976	0.8228193	0.9309676	0.850206	0.8427931	0.8052962	0.91519856	0.55834156	0.8573942	0.8123222	0.8027001	0.8285215	0.91722476	0.8565446	0.8432082	0.8530664	0.8555739	0.9339867	0.90947455	0.81117666	0.8488479	0.8320575	0.9098555	0.8930483	0.79556465	0.8173865	0.8759106	0.85318315	0.8496296	0.9028636	0.8391058	0.84416366	0.86476135	0.9369923	0.8199884	0.7063511	0.8788872	0.8388252	0.8315089	0.8052795	0.84240913	0.9157437	0.79169023	0.7776641	0.8872873	0.835257	0.8318842	0.8173301	0.88184124	0.8419913	0.9008437
