	middaguur/noun	boter/noun	vet/noun	kastanje/noun	hoe/adj	nog/adv	pasta/noun	min/adj	verschrikkelijk/adj	stoom/adj	behoorlijk/adj	drift/noun	dossier/noun	adem/noun	traan/noun	passage/noun	voorwerp/noun	brij/noun	verlangen/noun	album/noun	wind/noun	smelt/adj	lucht/noun	water/noun	drukkend/adj	die/det	nieuw_feit/noun	grill/noun	koffie/noun	middag/noun	zo/adv	glas/noun	as/noun	slotminuut/noun	zomer_dag/noun	kwestie/noun	vakantie/noun	genoeg/adv	erg/adj	gas/noun	zon/noun	klimaat/noun	mineraalwater/noun	chocolademelk/noun	grond/noun	kus/noun	stoom/noun	hang_ijzer/noun	ze/pron	kool/noun	gloeiend/adj	niet/adv	spotje/noun	latin/noun	verslag/noun	bad/noun	vlam/adj	thee/noun	hap/noun	het/det	zo/adj	gesteente/noun	atmosfeer/noun	mix/noun	ontzettend/adj	strijkijzer/noun	olijfolie/noun	trend/noun	stand_DIM/noun	zomer/noun	peper/noun	omstandigheid/noun	bord/noun	te/adv	soep/noun	kachel/noun	plaat/noun	herfst/noun	brandend/adj	auto/noun	vlek/noun	pan/noun	motor/noun	weer/noun	kop/noun	melk/noun	fusie_ploeg/noun	olie/noun	abnormaal/adj	dag/noun	bron/noun	koekepan/noun	woensdag_middag/noun	vuur/noun	kom/noun	matig/adj	marathon/noun	strand/noun	sector/noun	mes/noun	zomermaand/noun	wat/adv	rem/noun	beetje/noun	patat/noun	oven/noun	buis/noun	warm/adj	brok/noun	onderwerp/noun	aardappel/noun
kus/noun	0.90403104	0.8436166	0.8212216	0.841092	0.84831965	0.87832725	0.82495856	0.8641298	0.82877845	0.85555035	0.8508502	0.8423273	0.89755905	0.8078625	0.70032036	0.788591	0.78701806	0.8321234	0.7532946	0.8389257	0.8628312	0.8220688	0.7979966	0.8016988	0.89492667	0.81111455	0.9033367	0.8887216	0.77176887	0.86179596	0.79918134	0.73701906	0.8334736	0.9152232	0.81206155	0.8874999	0.8864468	0.87911785	0.83648133	0.8970536	0.8089196	0.8695687	0.8721204	0.84507	0.84770274	0.0	0.84149337	0.9141293	0.7176138	0.8490501	0.7920648	0.8581271	0.8339161	0.90623724	0.89788556	0.8043403	0.83959633	0.74947786	0.82007396	0.84202164	0.85065794	0.88018674	0.8426862	0.83808005	0.8107397	0.8821436	0.8416259	0.89483434	0.8068054	0.8549124	0.8461146	0.8922355	0.8231476	0.83504987	0.7913942	0.8273747	0.81913435	0.81787395	0.7681527	0.88743657	0.75652796	0.8326845	0.8834382	0.85177624	0.8089453	0.8360597	0.91268915	0.8706847	0.87240195	0.85309887	0.90206647	0.88848287	0.8615135	0.87796354	0.8330108	0.87014705	0.88976294	0.8217599	0.9426621	0.8258507	0.8701698	0.8025112	0.8578823	0.7955496	0.83499086	0.8718316	0.80882335	0.75357527	0.83718	0.83045375	0.825531
stoom/noun	0.8483171	0.7696007	0.7480947	0.87455606	0.8862132	0.8776939	0.79192185	0.8435578	0.8610742	0.7940781	0.83961016	0.85625994	0.9300782	0.7884011	0.8477762	0.87237406	0.84993577	0.79203767	0.8572804	0.895348	0.7447296	0.8338248	0.7248435	0.678469	0.8448566	0.8080783	0.92563766	0.8334349	0.8134017	0.8123653	0.85296345	0.7774744	0.7733635	0.8895875	0.83133554	0.9199773	0.89316356	0.8744869	0.8707429	0.6188246	0.7303525	0.8582854	0.8576825	0.8540497	0.825032	0.84149337	0.0	0.9122663	0.8336768	0.706344	0.6962939	0.9086262	0.8876897	0.90590763	0.92710024	0.75764936	0.8940186	0.7974024	0.8289174	0.8590456	0.86808753	0.8312162	0.77672446	0.8451874	0.855406	0.8581173	0.78304255	0.88000154	0.84664446	0.83506906	0.79710406	0.89762115	0.8404546	0.8567609	0.7913529	0.73309475	0.8253064	0.83537483	0.7547854	0.84474933	0.8184792	0.74318576	0.73238975	0.81690353	0.85578454	0.79200375	0.9025719	0.7040727	0.8635448	0.85474634	0.8891243	0.82462734	0.86289704	0.74292773	0.78322107	0.8182895	0.9154074	0.8149141	0.8799618	0.8785706	0.81916744	0.8304232	0.8130108	0.84068346	0.83088446	0.70890486	0.7594424	0.7233111	0.8075167	0.9015792	0.77823836
hang_ijzer/noun	0.93325233	0.9378737	0.90821016	0.9076276	0.8810658	0.8966643	0.9297213	0.9119291	0.928161	0.9283088	0.91775864	0.91857475	0.7951089	0.8835505	0.91990536	0.87926245	0.8909184	0.9067554	0.8865027	0.9320422	0.94525343	0.9352214	0.9335816	0.9204033	0.9088029	0.8503419	0.85792434	0.911512	0.93633723	0.92703205	0.9051476	0.9365971	0.9123641	0.9583437	0.9050501	0.7056223	0.94309086	0.9226955	0.9340773	0.9046422	0.9154953	0.8515406	0.93425244	0.93788224	0.91549796	0.9141293	0.9122663	0.0	0.8962536	0.8916903	0.9029386	0.9200952	0.9130825	0.9574379	0.8854767	0.9115738	0.927494	0.9331693	0.92829543	0.8545991	0.9300957	0.91025776	0.89514935	0.88490903	0.93848264	0.9177084	0.9375142	0.87936914	0.88520837	0.89121544	0.9483726	0.91020393	0.9361988	0.92973757	0.9209354	0.9153258	0.91530645	0.88916475	0.9009104	0.9492143	0.89639777	0.9164404	0.92841274	0.9321991	0.95665455	0.9359639	0.9340464	0.9189554	0.8964819	0.91191065	0.8801566	0.94530815	0.9312824	0.9266091	0.93296325	0.9281999	0.94064736	0.92871666	0.8581327	0.9470989	0.91019946	0.9243007	0.89402413	0.94034076	0.93157786	0.8945839	0.90695405	0.93208873	0.90735084	0.6916779	0.9115094
ze/pron	0.8303191	0.8224069	0.78064847	0.8353023	0.62219584	0.7290368	0.7764524	0.7844341	0.6339022	0.8580797	0.7309339	0.81907225	0.8293823	0.7575285	0.7137992	0.8012922	0.75382596	0.82650316	0.754994	0.83927155	0.8482567	0.892965	0.8042416	0.77626497	0.87095237	0.6427799	0.8820152	0.8574527	0.74961257	0.76288927	0.6066388	0.76231796	0.83566606	0.87522763	0.83491325	0.8374859	0.7455342	0.76404107	0.7162101	0.8322117	0.797757	0.8677708	0.85041445	0.8307329	0.786827	0.7176138	0.8336768	0.8962536	0.0	0.7891397	0.79735625	0.55699575	0.78728765	0.89733356	0.88723236	0.7350629	0.8500984	0.7491931	0.7554271	0.82931364	0.727685	0.8810438	0.8175053	0.8613251	0.5966459	0.846257	0.8228909	0.86063874	0.81229705	0.8028035	0.8380249	0.80578136	0.7896332	0.74115086	0.7392044	0.771894	0.8077123	0.81787395	0.73945844	0.73648775	0.7683825	0.784916	0.82388747	0.8191985	0.8005185	0.7694757	0.8473348	0.84676844	0.81038177	0.74400395	0.8617423	0.8633865	0.7746384	0.8320749	0.75975204	0.8677769	0.87293315	0.76003367	0.9040723	0.7244954	0.8010147	0.6750949	0.80084723	0.61182714	0.7498028	0.799052	0.7751402	0.78316665	0.77565193	0.8064698	0.7743786
kool/noun	0.8518232	0.4780311	0.5381603	0.66169214	0.8956689	0.8831365	0.5032318	0.81697285	0.8826175	0.8440952	0.8325282	0.8775979	0.9094479	0.85360515	0.86478907	0.88633466	0.8049926	0.7084303	0.87517947	0.89433646	0.81465966	0.77648246	0.71867293	0.5677161	0.8862404	0.81942225	0.9184895	0.67868686	0.6389221	0.83282596	0.8474618	0.6406172	0.73089254	0.927485	0.85517967	0.91454315	0.9130729	0.88494444	0.87677723	0.6194157	0.7758485	0.84718084	0.7901424	0.78126985	0.7650228	0.8490501	0.706344	0.8916903	0.7891397	0.0	0.682955	0.9121369	0.89104205	0.89438367	0.9544597	0.7745704	0.8738922	0.6042778	0.7000824	0.84341604	0.88208663	0.78218865	0.775746	0.8119952	0.87679595	0.83153665	0.49464405	0.9029921	0.85297173	0.85814273	0.5006034	0.90857416	0.67748296	0.8464195	0.5491053	0.7591929	0.8291127	0.8271873	0.74977577	0.8318447	0.7598843	0.5369139	0.78728503	0.8611052	0.81906456	0.54033434	0.9291047	0.49018645	0.85207	0.8618006	0.89181936	0.6320808	0.88676393	0.70934105	0.6173215	0.8256357	0.9195537	0.80834985	0.8342678	0.8005488	0.84269255	0.8131905	0.85434604	0.8248863	0.64238346	0.5734897	0.7447653	0.669711	0.72382796	0.91062814	0.42853034
gloeiend/adj	0.8478296	0.7179823	0.7164686	0.823385	0.88350624	0.89431256	0.7425293	0.8887421	0.8340974	0.8170016	0.85313356	0.84899527	0.93749225	0.8069831	0.8004979	0.8656424	0.774982	0.7463776	0.81598556	0.891441	0.7562402	0.76675856	0.6651181	0.6033054	0.8140164	0.8245388	0.9352019	0.763353	0.770198	0.81060266	0.8735433	0.6513619	0.7212011	0.92408264	0.8438234	0.89686495	0.93722975	0.9010159	0.9045931	0.72511435	0.6862885	0.85260975	0.8634391	0.83417237	0.77022624	0.7920648	0.6962939	0.9029386	0.79735625	0.682955	0.0	0.91623855	0.8907797	0.90395725	0.93536323	0.75784135	0.81125814	0.75013316	0.8043908	0.8506308	0.8677114	0.7576779	0.7502923	0.85369515	0.8576201	0.84146607	0.7316278	0.9240408	0.8443151	0.8599141	0.7351528	0.91244525	0.76869565	0.8696004	0.7308619	0.7381506	0.76504046	0.84471774	0.61539745	0.84466517	0.6978847	0.6733475	0.8127333	0.8198867	0.7816759	0.75017035	0.93017465	0.6895026	0.8709283	0.85997194	0.9034051	0.7748078	0.87047756	0.68775463	0.7203469	0.8438065	0.9318833	0.7645108	0.9355607	0.76284796	0.8416916	0.8526661	0.8564243	0.8378629	0.7859924	0.68396384	0.7096157	0.6586895	0.7333565	0.8932623	0.7138242
niet/adv	0.9165132	0.9356527	0.87708527	0.93155485	0.7173704	0.68497896	0.8973898	0.6792536	0.7722259	0.93924606	0.76761574	0.8682811	0.85112506	0.8749673	0.8775237	0.8429761	0.88012165	0.9012819	0.83447784	0.91304207	0.91145056	0.9477235	0.90901685	0.89568055	0.9050087	0.6641546	0.8741793	0.92922	0.9006353	0.9072387	0.6507474	0.9229666	0.92181903	0.9002587	0.91725725	0.8182373	0.8650991	0.74101853	0.70659375	0.8939976	0.8941376	0.8420048	0.9176321	0.93532866	0.9022504	0.8581271	0.9086262	0.9200952	0.55699575	0.9121369	0.91623855	0.0	0.8524373	0.9408033	0.92071044	0.8820082	0.93253267	0.91084564	0.8625663	0.8574654	0.7944263	0.92235315	0.86315227	0.9035638	0.7322414	0.9263539	0.92644817	0.8572954	0.88726467	0.9164128	0.9477033	0.7582477	0.9158436	0.7617768	0.90333664	0.8936645	0.89363754	0.90077066	0.90527743	0.9120044	0.8716495	0.92828226	0.89367026	0.84120274	0.9196267	0.8922269	0.8633791	0.929383	0.8350395	0.88320863	0.8926547	0.9471402	0.8990529	0.92515624	0.9044309	0.8749686	0.9048542	0.91211843	0.8946941	0.9308748	0.8813441	0.73554575	0.84507495	0.6878778	0.8895145	0.8943184	0.8936952	0.9344547	0.8861994	0.8141284	0.91618776
spotje/noun	0.9072499	0.9021278	0.8629343	0.9028785	0.82659507	0.9050447	0.8672767	0.8244689	0.8610616	0.88715166	0.8589685	0.8800912	0.8953512	0.8820518	0.86568546	0.8057122	0.8148049	0.8704128	0.85368264	0.8386164	0.9031383	0.92181385	0.8659724	0.86301404	0.9159545	0.7994311	0.8806278	0.8883575	0.8646667	0.87522817	0.8151949	0.82128215	0.8872774	0.9311807	0.86475456	0.88479364	0.9026375	0.8773171	0.8580476	0.87932265	0.86216027	0.87806135	0.8611448	0.88300765	0.90565103	0.8339161	0.8876897	0.9130825	0.78728765	0.89104205	0.8907797	0.8524373	0.0	0.9095432	0.86533856	0.83827233	0.8651247	0.86178297	0.85352886	0.8434328	0.87687504	0.90166026	0.862388	0.82079315	0.8563227	0.8800787	0.8747802	0.85515434	0.82443047	0.8686575	0.91128993	0.9041494	0.8396081	0.8546437	0.85891247	0.857402	0.7945422	0.8665486	0.8497422	0.9020365	0.8309151	0.87907076	0.88871807	0.90578103	0.86796093	0.8616476	0.912177	0.88825065	0.8822474	0.8718784	0.8773591	0.9020854	0.8998296	0.90061647	0.8775207	0.87581676	0.88425255	0.85978115	0.87465644	0.9153067	0.84431577	0.833526	0.85513866	0.847105	0.8665553	0.86565584	0.776779	0.842321	0.8848655	0.81187534	0.87211984
latin/noun	0.9546299	0.89593506	0.91128194	0.8999324	0.9293835	0.924097	0.85555595	0.8799109	0.9034028	0.73549485	0.88147175	0.9011446	0.9617772	0.88504976	0.923994	0.8677978	0.89708984	0.85711116	0.883892	0.78672004	0.89994234	0.90160793	0.91808	0.93298197	0.94429284	0.89939606	0.9445472	0.9186716	0.899189	0.924785	0.87228274	0.9068	0.9178435	0.9469656	0.89681727	0.94116473	0.9162315	0.883936	0.88482577	0.9587745	0.8787006	0.9256503	0.91347593	0.9113017	0.94587004	0.90623724	0.90590763	0.9574379	0.89733356	0.89438367	0.90395725	0.9408033	0.9095432	0.0	0.9278609	0.8823891	0.8816478	0.86892533	0.8676529	0.9287478	0.8950541	0.912851	0.9003311	0.6773423	0.8839447	0.931257	0.8795701	0.89861757	0.85073376	0.9124049	0.8827513	0.93710476	0.9172685	0.9064702	0.87557715	0.9112712	0.7286142	0.9103834	0.93736804	0.94780606	0.9197874	0.9029227	0.9067268	0.89176136	0.9270109	0.90456223	0.93543994	0.9328553	0.9468827	0.9287073	0.9352141	0.94968015	0.9182029	0.92970884	0.91062605	0.89834785	0.923167	0.89477336	0.9479775	0.9506929	0.9111266	0.85948014	0.9057603	0.8700463	0.9173294	0.9224155	0.90989715	0.8410031	0.8438534	0.8853276	0.87405694
verslag/noun	0.90990406	0.96112055	0.9328308	0.9551532	0.8431744	0.90833116	0.9301041	0.85972404	0.86342037	0.903484	0.8805234	0.88960624	0.7202402	0.8905514	0.87642866	0.68044645	0.8577055	0.9040455	0.85775113	0.7843647	0.9556761	0.95636433	0.93812597	0.956364	0.93615305	0.84001076	0.8220655	0.9636757	0.9362364	0.8738854	0.82817113	0.94436604	0.9187933	0.94523185	0.932822	0.8287313	0.89555013	0.8523469	0.85475504	0.95479584	0.93307334	0.87159604	0.9539836	0.9659548	0.9458413	0.89788556	0.92710024	0.8854767	0.88723236	0.9544597	0.93536323	0.92071044	0.86533856	0.9278609	0.0	0.89497155	0.85307217	0.9272496	0.93160015	0.8505003	0.8796561	0.91777855	0.8684611	0.8256037	0.861107	0.94083756	0.9553959	0.8896798	0.89087653	0.8676892	0.9605042	0.86340296	0.9325288	0.90403974	0.93318003	0.9298175	0.81249714	0.85219705	0.9002412	0.9587489	0.9225974	0.94286025	0.93910664	0.9262797	0.9206356	0.93925554	0.93187314	0.9500295	0.9128938	0.82485425	0.7712693	0.9770922	0.8442845	0.9380642	0.93939936	0.8921637	0.8637285	0.93436736	0.92548984	0.9568418	0.87172294	0.86882496	0.91653174	0.9096182	0.92973095	0.9309763	0.85889566	0.9082752	0.86310714	0.7341293	0.9391249
bad/noun	0.83778	0.7729332	0.7493961	0.8309071	0.8671719	0.8834506	0.7460481	0.86363375	0.8475435	0.8419534	0.81610733	0.8627533	0.89629537	0.81232077	0.77985114	0.86859655	0.76843005	0.80019283	0.823943	0.8628234	0.8228949	0.860146	0.7358606	0.5666425	0.8563539	0.82900697	0.9372393	0.84340405	0.7115385	0.76851344	0.82765114	0.6373128	0.79497075	0.92745507	0.8131764	0.90302277	0.81494564	0.8629693	0.8603362	0.7789256	0.73367655	0.8390521	0.81054246	0.8087578	0.76586485	0.8043403	0.75764936	0.9115738	0.7350629	0.7745704	0.75784135	0.8820082	0.83827233	0.8823891	0.89497155	0.0	0.88959134	0.6947293	0.7686112	0.81028396	0.87343943	0.8348271	0.7736703	0.8149354	0.840605	0.845714	0.7765887	0.8761263	0.80459803	0.76991487	0.79027796	0.8643056	0.7191518	0.8453813	0.7249361	0.7035395	0.7746888	0.81767285	0.7389599	0.8114908	0.77216727	0.70603347	0.78759336	0.7851861	0.82446647	0.76198035	0.9163674	0.7758065	0.8624789	0.7914218	0.8737831	0.8001535	0.8198118	0.7893155	0.716779	0.85358346	0.85746694	0.6717479	0.89679784	0.8126533	0.7668508	0.8005917	0.83232117	0.8100941	0.80490583	0.6927374	0.65810037	0.6556299	0.79738903	0.884558	0.73881626
vlam/adj	0.8853242	0.9147104	0.9115078	0.8858104	0.89828855	0.9282827	0.88449514	0.9080026	0.83533037	0.8735807	0.86672944	0.8761709	0.9270824	0.87979263	0.83138275	0.798102	0.8521303	0.8833586	0.8385793	0.88267976	0.87532765	0.89367574	0.83657193	0.8796868	0.9022579	0.8289448	0.9067074	0.92250323	0.8945375	0.8719121	0.87854123	0.84391093	0.88297516	0.889732	0.8947257	0.8772433	0.932185	0.89339006	0.8994779	0.90845746	0.8456854	0.877522	0.9290231	0.93025243	0.90069336	0.83959633	0.8940186	0.927494	0.8500984	0.8738922	0.81125814	0.93253267	0.8651247	0.8816478	0.85307217	0.88959134	0.0	0.8678816	0.89244866	0.8385283	0.8829413	0.9091546	0.861236	0.83901983	0.8561793	0.90102655	0.8960841	0.9056585	0.8756313	0.89193624	0.89030665	0.9297482	0.8513442	0.8936465	0.8658961	0.9111762	0.8633034	0.8815347	0.8188341	0.9235205	0.82565594	0.8975124	0.9040994	0.89932936	0.85167885	0.9149916	0.89902955	0.91670716	0.910698	0.9040848	0.9110508	0.9344145	0.8730303	0.8711979	0.8864927	0.8918017	0.9073573	0.87158334	0.9241639	0.89975005	0.90333295	0.8544874	0.89090073	0.8763988	0.923219	0.9015561	0.9013263	0.83992034	0.8629887	0.82695043	0.89659935
thee/noun	0.8535532	0.5143527	0.6233078	0.71568084	0.89678156	0.8841017	0.46469778	0.84648556	0.8751243	0.78603137	0.82372445	0.8920455	0.93529207	0.8286491	0.799282	0.8864082	0.80991113	0.75472134	0.8661661	0.87734836	0.84975016	0.8176726	0.7790283	0.6071825	0.8781189	0.8440512	0.93584913	0.7009334	0.25677174	0.7384144	0.84637135	0.4890557	0.813104	0.9279363	0.83274406	0.9052451	0.8662506	0.87644243	0.8674802	0.822436	0.77952915	0.87678	0.64709145	0.5127493	0.8380697	0.74947786	0.7974024	0.9331693	0.7491931	0.6042778	0.75013316	0.91084564	0.86178297	0.86892533	0.9272496	0.6947293	0.8678816	0.0	0.6185386	0.8735272	0.8957237	0.8505945	0.832077	0.78907293	0.84135276	0.87989193	0.48044044	0.8911654	0.76458836	0.8579476	0.5158826	0.9129737	0.62203264	0.83918166	0.38561457	0.76198494	0.8445271	0.83091646	0.7727014	0.87396735	0.77165097	0.5962243	0.8542962	0.8421072	0.7422421	0.4598617	0.90452564	0.68016803	0.87074023	0.8042509	0.90941554	0.74561286	0.8483602	0.78348005	0.59808725	0.8064224	0.92208636	0.8063154	0.91462135	0.79645634	0.8446655	0.7865602	0.8804013	0.78814316	0.5893996	0.65067273	0.77987546	0.5496308	0.76943064	0.9044751	0.5039321
hap/noun	0.8434815	0.6787522	0.6931076	0.78629595	0.86182773	0.8658424	0.61238384	0.81752956	0.86764336	0.84334964	0.7828363	0.877183	0.9097734	0.8260472	0.8538412	0.8761516	0.84903467	0.7822934	0.87841004	0.8812822	0.8471627	0.84855676	0.7912676	0.71694756	0.8672229	0.82483953	0.94018924	0.7741108	0.6001298	0.7646383	0.8062551	0.665702	0.84725285	0.9293783	0.8470175	0.9246838	0.8615017	0.8524298	0.8299358	0.851273	0.7895076	0.8693662	0.77941084	0.7288939	0.8299219	0.82007396	0.8289174	0.92829543	0.7554271	0.7000824	0.8043908	0.8625663	0.85352886	0.8676529	0.93160015	0.7686112	0.89244866	0.6185386	0.0	0.8461638	0.8562877	0.8636588	0.8337755	0.80675024	0.8269529	0.9107864	0.6718724	0.8795807	0.79160863	0.86998147	0.7205013	0.91039574	0.7181391	0.7857544	0.5643658	0.8411557	0.86636525	0.8383649	0.810745	0.870204	0.78356266	0.7015144	0.8674753	0.8226521	0.7475094	0.63606924	0.89664197	0.77701926	0.8537581	0.82148975	0.91289407	0.7996438	0.84705997	0.8376375	0.71156144	0.8450484	0.9237275	0.82057196	0.8830308	0.79977405	0.8326754	0.7603447	0.87046105	0.7818244	0.64431095	0.7395664	0.8062873	0.6799066	0.68218577	0.8925639	0.5946201
het/det	0.83641374	0.89999366	0.8530095	0.87349355	0.839973	0.85036457	0.8663586	0.8485955	0.8191908	0.8866049	0.7991816	0.83710843	0.8399	0.86433357	0.8638199	0.797835	0.7934044	0.8746692	0.83238417	0.85815185	0.8091731	0.86824405	0.8307776	0.80145556	0.8471599	0.8673604	0.8899732	0.9223736	0.88890696	0.80336905	0.83733696	0.8246652	0.8281127	0.91770643	0.8605743	0.82706296	0.8640796	0.887607	0.86565447	0.85205835	0.81308866	0.8145088	0.88272536	0.908328	0.83104527	0.84202164	0.8590456	0.8545991	0.82931364	0.84341604	0.8506308	0.8574654	0.8434328	0.9287478	0.8505003	0.81028396	0.8385283	0.8735272	0.8461638	0.0	0.8802092	0.8665267	0.7921478	0.80453634	0.85096043	0.8965554	0.896591	0.8402767	0.85215455	0.79805624	0.9198787	0.84982383	0.8672526	0.8679104	0.87100506	0.8586187	0.84231156	0.81036586	0.78484994	0.86154574	0.7927128	0.8643767	0.8285025	0.796032	0.88168013	0.86751133	0.8855167	0.83822197	0.82617533	0.8402251	0.81522274	0.9157574	0.83333534	0.86456215	0.84560966	0.8143843	0.85810256	0.79512686	0.8035543	0.88458633	0.79915756	0.83557355	0.8463123	0.83995396	0.8791474	0.8431965	0.8076914	0.8158208	0.79668236	0.83720565	0.8681052
zo/adj	0.8986596	0.9091433	0.8750538	0.90628153	0.5978287	0.8564126	0.859396	0.6036087	0.6396316	0.8930907	0.59171927	0.8483492	0.89787716	0.8289882	0.84676987	0.762812	0.8332393	0.8322756	0.77874815	0.86702335	0.84562427	0.8876053	0.8684682	0.86781526	0.8634867	0.7888386	0.9394451	0.9169486	0.9032545	0.86319345	0.40209943	0.8576023	0.88274163	0.9258816	0.8668643	0.85594165	0.89465994	0.6161812	0.4422201	0.88664615	0.84846616	0.81550455	0.920386	0.9212914	0.8902787	0.85065794	0.86808753	0.9300957	0.727685	0.88208663	0.8677114	0.7944263	0.87687504	0.8950541	0.8796561	0.87343943	0.8829413	0.8957237	0.8562877	0.8802092	0.0	0.8704557	0.7677163	0.79946935	0.5564665	0.9241729	0.8991697	0.8613433	0.8995907	0.9006121	0.9153065	0.7966244	0.9089415	0.5296327	0.86990064	0.8801378	0.8267769	0.8806523	0.8742855	0.9102596	0.8333444	0.90074456	0.8633415	0.82320684	0.879862	0.8919426	0.91638875	0.8990406	0.81295574	0.8913698	0.8900343	0.9056629	0.9150211	0.9019462	0.8676835	0.82118535	0.9333166	0.86762685	0.88078797	0.897367	0.8880992	0.5909988	0.842558	0.6453904	0.8855169	0.90227675	0.831804	0.84122074	0.8185587	0.81693816	0.86465144
gesteente/noun	0.91170585	0.8380199	0.76510644	0.86412096	0.85059696	0.8999577	0.8154485	0.8617989	0.89991844	0.899586	0.8826088	0.8492503	0.90920806	0.91006285	0.8944174	0.8559561	0.7527412	0.7989533	0.8826357	0.8697591	0.82315224	0.8051487	0.7549202	0.71637404	0.8916062	0.80588937	0.9088025	0.8960356	0.87920666	0.89803874	0.86411285	0.76600665	0.8026409	0.9606146	0.8844276	0.92767817	0.9482531	0.8605405	0.88748693	0.7695064	0.77309155	0.8463727	0.8652805	0.90876716	0.7717651	0.88018674	0.8312162	0.91025776	0.8810438	0.78218865	0.7576779	0.92235315	0.90166026	0.912851	0.91777855	0.8348271	0.9091546	0.8505945	0.8636588	0.8665267	0.8704557	0.0	0.72234726	0.863404	0.90274286	0.8970682	0.83840454	0.9028327	0.8976008	0.90818053	0.83541286	0.8534705	0.8778391	0.84733343	0.84978634	0.8659756	0.83710384	0.8730254	0.8209578	0.88271594	0.76617175	0.85215443	0.8641231	0.8647059	0.86477435	0.8460178	0.9230338	0.7561625	0.83215445	0.9244975	0.853902	0.86610126	0.90933895	0.8605008	0.8235994	0.89426005	0.94884884	0.8254604	0.8928626	0.8828124	0.8935446	0.8600854	0.8727376	0.8832205	0.8839869	0.82306623	0.7749524	0.83621126	0.8035377	0.89591736	0.8327229
atmosfeer/noun	0.83639055	0.8640792	0.7481385	0.86984324	0.809189	0.88683563	0.8181093	0.7718111	0.82863235	0.87315696	0.76370573	0.7776424	0.8713043	0.80700773	0.8426416	0.7620729	0.7864499	0.8246865	0.7405985	0.8584806	0.6785643	0.7621573	0.5991689	0.6646948	0.74626005	0.7542378	0.89658695	0.86945456	0.85674286	0.74649817	0.7665628	0.7774511	0.79235303	0.9216773	0.82515097	0.855	0.8990135	0.8181962	0.7881445	0.6627897	0.6215626	0.5907818	0.8756951	0.887645	0.7971869	0.8426862	0.77672446	0.89514935	0.8175053	0.775746	0.7502923	0.86315227	0.862388	0.9003311	0.8684611	0.7736703	0.861236	0.832077	0.8337755	0.7921478	0.7677163	0.72234726	0.0	0.7687374	0.8159324	0.9203254	0.85520697	0.8033595	0.85895103	0.8336127	0.864466	0.7527101	0.8489936	0.7834394	0.8227584	0.78127736	0.7949599	0.79971534	0.7859576	0.86258197	0.7549294	0.83254874	0.793036	0.6904359	0.8869598	0.83795124	0.91358525	0.7391909	0.79138345	0.8489065	0.8299702	0.8785816	0.8644025	0.80832326	0.8501118	0.7803207	0.91235405	0.7775675	0.8266282	0.89107275	0.8189463	0.7307747	0.8056107	0.80510235	0.86060846	0.76439416	0.762993	0.6842141	0.7734277	0.8344958	0.81571627
mix/noun	0.93345714	0.82808435	0.8191498	0.8777785	0.8092096	0.90325963	0.76708746	0.7512016	0.82468295	0.7355868	0.75836736	0.80363464	0.89364123	0.8322207	0.86903423	0.73024356	0.76533616	0.80390203	0.74150896	0.6778009	0.8821841	0.86702734	0.8726461	0.8528596	0.9060123	0.78042483	0.88580304	0.86274	0.82229054	0.8791947	0.746949	0.81518996	0.8552135	0.91283065	0.8547981	0.82429683	0.8978611	0.73180455	0.7502003	0.8869085	0.8519184	0.76016897	0.8872528	0.87956154	0.9119829	0.83808005	0.8451874	0.88490903	0.8613251	0.8119952	0.85369515	0.9035638	0.82079315	0.6773423	0.8256037	0.8149354	0.83901983	0.78907293	0.80675024	0.80453634	0.79946935	0.863404	0.7687374	0.0	0.77468836	0.91934216	0.8093262	0.8035337	0.7837682	0.8789923	0.81220603	0.82499325	0.86815226	0.83376276	0.7794751	0.8728412	0.6466486	0.86119366	0.87232924	0.9172769	0.8366799	0.8470248	0.838542	0.84817445	0.87683105	0.80065066	0.91007125	0.85032636	0.8833564	0.9125867	0.8199433	0.9004285	0.8967264	0.90667003	0.8306057	0.7971994	0.8950867	0.8497422	0.8368681	0.91569984	0.8332442	0.7430294	0.8549043	0.77328455	0.8396264	0.84347886	0.8382388	0.7449962	0.6993655	0.73009527	0.7846363
