	goud/noun	fabrikant/noun	vervanging/noun	diesel/noun	bier/noun	hoe/adj	middel/noun	nog/adv	bus/noun	hoofdzakelijk/adj	vlag/noun	pc/noun	amusement/noun	krediet/noun	medicijn/noun	BMW/name	alles/noun	effectbejag/noun	vrij/adj	internet/noun	techniek/noun	Kinepolis/name	oog/adj	vlees/noun	product/noun	vervoer/noun	om/comp	stuk/noun	woning/noun	type/noun	overigens/adv	arbeid/noun	versie/noun	factuur/noun	luchtvaart_maatschappij/noun	relatief/adj	mode/noun	te/comp	die/det	kop_DIM/noun	zo/adv	antibioticum/noun	extreem/adj	maaltijd/noun	model/noun	onderwijs/noun	dollar/noun	euro/noun	kleding/noun	en/vg	meestal/adv	vlucht/noun	ticket/noun	ding/noun	uitgave/noun	erg/adj	rommel/noun	hout_soort/noun	het/noun	grond/noun	elektriciteit/noun	kantoor_ruimte/noun	kool/noun	kwaliteit/noun	ze/pron	programma/noun	arbeid_kracht/noun	huisvuil_zak/noun	niet/adv	charme/noun	consument/noun	iets/noun	Gill/name	eten/noun	truc/noun	boek/verb	aandeel/noun	abonnement/noun	winkel/noun	trip/noun	tarief/noun	grafiek/noun	zo/adj	echt/adj	formule/noun	appartement/noun	bewering/noun	prijs/noun	populist/noun	genees_middel/noun	stroom/noun	vooral/adv	gerecht/noun	spul/noun	hotel/noun	merk/noun	mest/noun	tweewieler/noun	sperma/noun	pak_DIM/noun	leven_middel/noun	paraplu/noun	Konmar/name	productie/noun	flink/adj	alternatief/noun	lijn_dienst/noun	dat/det	wao/noun	huur_woning/noun	kamer/noun	bel/verb	inseminatie/noun	lening/noun	opvang/noun	spul_DIM/noun	bedrijf_investering/noun	merkelijk/adj	pin/verb	heel/adv	makelaar/noun	devaluatie/noun	strafschop/noun	Brussel/name	Unilever/name	rook/verb	inkoop/noun	reis/noun	rij_auto/verb	lekker/adj	juist/adv	uiteindelijk/adj	strafschop_doelpunt/noun	vaak/adj	technologie/noun	heruitgave/noun	permanent/adj	grondstof/noun	veel/adj	ster_restaurant/noun	telecom_aandeel/noun	maatschappij/noun	coke/noun	was_poeder/noun	wij/pron	rij_DIM_huis/noun	artikel/noun	bedrijf/noun	aanzienlijk/adj	ham/noun
goud/noun	0.0	0.8807184	0.9120692	0.8488014	0.8232435	0.935504	0.90350246	0.88432753	0.92627037	0.83023995	0.7666594	0.88509476	0.88119304	0.86365634	0.8932102	0.8445643	0.8860365	0.9243029	0.9172431	0.9197388	0.8831876	0.8883649	0.869641	0.818567	0.84582543	0.9277747	0.88657933	0.8322313	0.91112095	0.88449275	0.89061177	0.8826683	0.8952819	0.9040852	0.90547824	0.8720442	0.8834467	0.8635314	0.8401908	0.8409337	0.9165637	0.91312313	0.90215	0.88706285	0.8439112	0.971727	0.80831146	0.854142	0.8035015	0.7658716	0.8497492	0.89129674	0.78363544	0.9229538	0.9264734	0.93569773	0.86277276	0.8392648	0.95356673	0.8286353	0.86992127	0.91724765	0.75111455	0.89574814	0.8378031	0.9346202	0.8903743	0.8704051	0.91879964	0.86215043	0.9032404	0.90388566	0.94229436	0.8720075	0.88006294	0.90461904	0.82772386	0.8830082	0.88062936	0.8612845	0.93754524	0.86922365	0.9394727	0.88938105	0.89675003	0.8952893	0.9240258	0.80017626	0.9132105	0.9007946	0.869727	0.8936554	0.89124316	0.77552164	0.910271	0.859627	0.84154	0.9018268	0.8820029	0.805686	0.8512888	0.86492425	0.9413492	0.87757885	0.84959036	0.91262007	0.9580896	0.91291875	0.9523707	0.9040173	0.89334095	0.95613325	0.97680473	0.8773049	0.9716304	0.84625816	0.9661077	0.9419888	0.9033885	0.9176012	0.85802054	0.9055507	0.86712646	0.9262547	0.8866226	0.9263971	0.85826814	0.90898275	0.9032352	0.8887606	0.9097267	0.8444489	0.94260365	0.89823973	0.8954261	0.9124061	0.910802	0.738716	0.88630396	0.9355504	0.8992746	0.9085569	0.8392242	0.87780416	0.9013376	0.9250215	0.9363664	0.88709885	0.8761404	0.8406417
fabrikant/noun	0.8807184	0.0	0.79995286	0.77160674	0.7627835	0.8826111	0.7772711	0.89032507	0.8764118	0.7889108	0.85234684	0.63470227	0.8379216	0.79775214	0.6623394	0.7547141	0.88821393	0.92759955	0.90298676	0.67510766	0.7233205	0.787641	0.840832	0.80163825	0.5134821	0.79964036	0.736819	0.85381603	0.88091147	0.7357876	0.7838014	0.8161493	0.7523773	0.7627937	0.64290905	0.80671257	0.794249	0.7323132	0.7824659	0.8594112	0.85390484	0.78015727	0.8563698	0.80224913	0.6447165	0.8748939	0.80402684	0.82817364	0.67787564	0.7325983	0.8074918	0.8780431	0.8409987	0.8937382	0.79107714	0.88895524	0.8241373	0.8692142	0.94552606	0.86957544	0.7279426	0.8503371	0.8145803	0.8010789	0.80389434	0.8175522	0.8337153	0.79872924	0.86390626	0.8955106	0.6069627	0.89838386	0.8898128	0.8213552	0.8107692	0.82599133	0.7584753	0.73053074	0.68943787	0.86948484	0.7637297	0.82240045	0.8976115	0.8898478	0.7273724	0.8749204	0.86315626	0.7333155	0.8816327	0.6318488	0.71085227	0.78063124	0.81424856	0.7056016	0.8394275	0.46785253	0.8170866	0.84890157	0.8637928	0.7392309	0.66940165	0.83317363	0.7794132	0.6399342	0.800902	0.8159205	0.8824494	0.8699762	0.8802578	0.85462725	0.856186	0.8433559	0.90597194	0.8113542	0.8636154	0.829226	0.87884253	0.8960276	0.8329128	0.8867885	0.71181744	0.8820494	0.93999773	0.8973074	0.62375164	0.83547777	0.7379802	0.866346	0.84269404	0.8964715	0.8303245	0.86062413	0.94954777	0.8068155	0.61839044	0.8896346	0.849083	0.68413615	0.8533675	0.89785516	0.8514066	0.7279639	0.8332941	0.76750505	0.78699404	0.8852999	0.8079074	0.51756924	0.77916175	0.8540581
vervanging/noun	0.9120692	0.79995286	0.0	0.8403766	0.88410944	0.886414	0.80656433	0.8498298	0.8614106	0.8096203	0.88699794	0.83243	0.89106333	0.8147489	0.8066264	0.87253594	0.87919265	0.9415592	0.87676984	0.862689	0.7917843	0.87364167	0.86183393	0.8824155	0.8312718	0.79761165	0.75014025	0.8375347	0.85116756	0.8172951	0.81224847	0.7935901	0.8535586	0.84126955	0.8518832	0.8396287	0.8994167	0.79180765	0.79451734	0.870031	0.86039066	0.8453579	0.868053	0.83995163	0.8046275	0.8222835	0.9106792	0.8957666	0.8259936	0.7281666	0.8083756	0.85840213	0.89523584	0.90202236	0.79818106	0.8522777	0.8525232	0.8867656	0.89550316	0.8287466	0.7761518	0.830523	0.8761232	0.84245765	0.84965026	0.8676725	0.8168851	0.89140964	0.840046	0.90909964	0.85125047	0.8895201	0.90923274	0.8741311	0.85234606	0.8993625	0.9040648	0.8331871	0.86935174	0.8519555	0.83509564	0.88284755	0.86464083	0.86425793	0.8132298	0.8895178	0.86554813	0.90032	0.92356986	0.80880123	0.8017128	0.8245007	0.891118	0.8316803	0.88835055	0.8605354	0.8558932	0.89782923	0.891671	0.830392	0.8557997	0.8759378	0.8690262	0.77915525	0.8561961	0.73004484	0.88724446	0.846148	0.83141243	0.84167665	0.8718132	0.8980108	0.9107301	0.8214834	0.7694139	0.8841427	0.90992135	0.92697185	0.8661893	0.87342834	0.8640808	0.86921495	0.8782414	0.9029156	0.8718385	0.8833362	0.85804474	0.89023197	0.88096625	0.91566604	0.8228954	0.8302501	0.92487055	0.825542	0.7924568	0.8838217	0.7936184	0.8217708	0.8562342	0.95868707	0.9386593	0.83796024	0.9007587	0.9152167	0.8198749	0.90899116	0.8972796	0.8391246	0.8142449	0.9003508
diesel/noun	0.8488014	0.77160674	0.8403766	0.0	0.71804726	0.9072324	0.7900206	0.8922771	0.8133709	0.8551247	0.8919067	0.781743	0.8633846	0.7967775	0.7556177	0.71049905	0.8920278	0.92710906	0.8582717	0.85299456	0.78045475	0.87008655	0.8717854	0.7794278	0.6949966	0.75716585	0.8232115	0.8209399	0.8354126	0.7924421	0.8545719	0.76992357	0.7977085	0.80897135	0.8550298	0.7607607	0.9103015	0.83146465	0.8230226	0.84062374	0.8505292	0.79247904	0.8297296	0.8171043	0.7610973	0.89874953	0.8169171	0.79289746	0.79536235	0.77002174	0.82946885	0.8674637	0.8441392	0.9197169	0.81406844	0.88027924	0.8495383	0.86297274	0.9361665	0.8359546	0.66943276	0.8602399	0.7218469	0.83225745	0.8672946	0.8820581	0.81436133	0.7692838	0.9004567	0.8840622	0.75991976	0.9064226	0.93545496	0.8433943	0.8528061	0.9013219	0.82212806	0.8007307	0.8334429	0.89198357	0.725041	0.8765598	0.8745529	0.8944534	0.81375325	0.8792825	0.9026195	0.68033826	0.9177099	0.7516556	0.71449137	0.8584021	0.87475103	0.7515788	0.8865067	0.76691365	0.72615373	0.8473045	0.83398634	0.8101705	0.7433399	0.87614185	0.85571593	0.7523182	0.7979678	0.7799937	0.89760756	0.8786133	0.86981153	0.7993077	0.8599263	0.9194981	0.88920224	0.82014936	0.88776517	0.87448543	0.8816039	0.83862287	0.8769159	0.8671681	0.86338246	0.88635564	0.9437849	0.9140724	0.8368419	0.8884715	0.793012	0.89432037	0.7721706	0.85170543	0.8617484	0.8924923	0.95207983	0.87393963	0.783627	0.9142818	0.8763273	0.6990845	0.8321736	0.93089366	0.89835346	0.8698406	0.8349933	0.7885505	0.8948244	0.8977761	0.91317576	0.82997835	0.75130606	0.84760916
bier/noun	0.8232435	0.7627835	0.88410944	0.71804726	0.0	0.89598054	0.86653614	0.893016	0.86288154	0.8100025	0.85172594	0.8151096	0.80384296	0.8934506	0.75414723	0.83997464	0.84113586	0.92134976	0.8689185	0.8520378	0.8491404	0.8833358	0.8333571	0.5508797	0.6242163	0.8678715	0.86312705	0.7821541	0.8899075	0.78040785	0.8845743	0.8759025	0.8148299	0.8840786	0.89857906	0.82640517	0.82089067	0.85482156	0.82756716	0.5515882	0.84213793	0.8157495	0.8542364	0.5452672	0.7802684	0.93810195	0.8845341	0.87303567	0.6949461	0.654411	0.73364365	0.90548	0.84124494	0.8661734	0.88420194	0.86357623	0.75049514	0.8442944	0.92879903	0.8430266	0.8067028	0.8740592	0.660205	0.8480093	0.78238875	0.85796356	0.8659324	0.7811567	0.9089811	0.8337899	0.79005915	0.84847957	0.9288323	0.5289874	0.85252994	0.93154955	0.8977945	0.83800656	0.72791094	0.87806165	0.90140927	0.8730677	0.8775543	0.83576906	0.82349384	0.8730133	0.91530937	0.7693603	0.92093664	0.778286	0.82435393	0.82785285	0.6786527	0.6671065	0.8221257	0.67817444	0.7548838	0.8641608	0.7913833	0.59056795	0.67657226	0.7906356	0.8413218	0.7788148	0.759441	0.86835086	0.9336451	0.899724	0.9368237	0.88602996	0.8056122	0.9268551	0.9364973	0.915507	0.9348116	0.77079034	0.9360542	0.8885996	0.8716865	0.8417685	0.8661384	0.9351565	0.95059294	0.9359274	0.842625	0.70980346	0.79983866	0.88132674	0.8116404	0.57567286	0.88013613	0.9198631	0.976333	0.8398675	0.8457114	0.9273895	0.9116313	0.7274741	0.81269985	0.8427694	0.9154021	0.9130822	0.72138095	0.6691892	0.8852043	0.8977201	0.90655744	0.8889351	0.87366354	0.60756147
hoe/adj	0.935504	0.8826111	0.886414	0.9072324	0.89598054	0.0	0.8328075	0.74672276	0.9549043	0.8589106	0.9434443	0.8503688	0.8339565	0.90608245	0.84221256	0.92003524	0.71987593	0.8859191	0.7935382	0.8598264	0.75649214	0.92516863	0.81975543	0.8657898	0.85676265	0.90983397	0.75619805	0.79300547	0.9547741	0.78405684	0.7501691	0.86301726	0.86300474	0.89856666	0.9322072	0.81029403	0.8269797	0.72010607	0.7054911	0.86807585	0.46042025	0.8440095	0.7413255	0.8763506	0.79910254	0.8942328	0.9711557	0.97553873	0.8368875	0.75507337	0.73281515	0.91574824	0.97124445	0.60467017	0.88705873	0.6119269	0.88470256	0.9044561	0.69707716	0.9099407	0.9168406	0.9282247	0.8956689	0.8337414	0.62219584	0.85305613	0.8915676	0.9419571	0.7173704	0.8428907	0.7781673	0.683379	0.91930443	0.84984946	0.76437247	0.94473195	0.9494338	0.94333524	0.94063914	0.8392592	0.914917	0.82294536	0.5978287	0.67522377	0.80810225	0.94901735	0.8077016	0.9152122	0.8696877	0.8478242	0.88828015	0.76351976	0.8302397	0.85847235	0.93652743	0.8911884	0.8656602	0.8921435	0.8481547	0.88089275	0.8932879	0.8780561	0.9081138	0.9217744	0.9160702	0.82213575	0.94762105	0.6445417	0.8793686	0.93277055	0.9223789	0.89289635	0.89745665	0.93353534	0.8972358	0.8859496	0.9422764	0.893067	0.8768967	0.5597312	0.8605021	0.91049594	0.9590866	0.96991575	0.8923797	0.86500335	0.90280634	0.85631144	0.81654286	0.7987408	0.71909696	0.84545046	0.9655326	0.66087353	0.79911125	0.91456807	0.89060336	0.86592156	0.6649297	0.947067	0.93755656	0.8056419	0.90791214	0.923517	0.6623338	0.915424	0.86540335	0.9035039	0.8745692	0.906968
middel/noun	0.90350246	0.7772711	0.80656433	0.7900206	0.86653614	0.8328075	0.0	0.8843441	0.9103324	0.76374215	0.9393332	0.7811575	0.8189864	0.71252084	0.47237372	0.8804643	0.87198156	0.88006365	0.8234449	0.769627	0.6531706	0.89661264	0.89668304	0.8251959	0.6112086	0.70343107	0.61819947	0.8860983	0.8457246	0.7752339	0.76997864	0.7110723	0.8552359	0.815869	0.8609712	0.768757	0.8722962	0.7038389	0.80025476	0.91654205	0.8403429	0.5744496	0.8021305	0.83679795	0.7857323	0.7316469	0.8695225	0.8532026	0.8156924	0.72896385	0.78852284	0.88880247	0.8642552	0.8651515	0.70872486	0.861303	0.8690325	0.866858	0.89632803	0.8372993	0.7809848	0.7861961	0.86886656	0.74212205	0.8444503	0.8361826	0.7112427	0.85418504	0.8220669	0.86472905	0.76921976	0.8813165	0.90572214	0.862424	0.7462569	0.9024774	0.83861387	0.84775645	0.8932676	0.9019117	0.82042074	0.8848752	0.8800789	0.88040173	0.76105136	0.89209217	0.81412274	0.8384817	0.9217489	0.46252775	0.8093294	0.7723057	0.81090224	0.7326714	0.92386633	0.80211455	0.7731844	0.89011985	0.7889818	0.84971404	0.7653191	0.8748946	0.8751466	0.73745143	0.8530112	0.68100846	0.9109813	0.8382005	0.8196876	0.767393	0.8980024	0.9451619	0.8504269	0.7761663	0.7073612	0.88180417	0.9215462	0.90367246	0.8972567	0.85882044	0.8494941	0.88653123	0.931224	0.9030535	0.8411325	0.7836189	0.81427574	0.9013015	0.8295707	0.9331069	0.76629984	0.8620968	0.95474744	0.7675481	0.6243188	0.89485687	0.78870344	0.64943147	0.8009276	0.9388941	0.9159592	0.781811	0.801629	0.8793941	0.8096635	0.9229591	0.86689353	0.75873905	0.7350892	0.8952296
nog/adv	0.88432753	0.89032507	0.8498298	0.8922771	0.893016	0.74672276	0.8843441	0.0	0.9209623	0.8898487	0.93728125	0.8848028	0.8917292	0.8626868	0.88720727	0.8880466	0.7515955	0.9095986	0.8413923	0.89465	0.86608434	0.86763686	0.8869915	0.8971006	0.8994236	0.9166583	0.74515736	0.8422299	0.9000776	0.8890533	0.727252	0.89866	0.88365984	0.8837966	0.89980453	0.83456105	0.90349805	0.7466182	0.77415335	0.8604592	0.7625136	0.8713645	0.888194	0.87982845	0.8827042	0.9168167	0.9064086	0.9110392	0.89218324	0.87034607	0.7833356	0.896474	0.88640875	0.760154	0.8833463	0.8180906	0.8605361	0.92423713	0.79996073	0.8944605	0.9218178	0.90183586	0.8831365	0.8728382	0.7290368	0.885607	0.87046385	0.9188798	0.68497896	0.88355047	0.8563891	0.73848283	0.9269934	0.8611073	0.87592304	0.89749485	0.9098629	0.8787663	0.903178	0.8146155	0.89480436	0.9035426	0.8564126	0.74363995	0.8392569	0.90508574	0.8668599	0.9047171	0.9268654	0.8801185	0.91060567	0.8568481	0.83995306	0.851043	0.9085766	0.8893839	0.87085	0.9039992	0.88230187	0.88653004	0.9117057	0.89759517	0.90253234	0.9150461	0.7978078	0.8310335	0.927197	0.7600225	0.89446926	0.8761754	0.8906229	0.8924971	0.92728597	0.8975563	0.9003609	0.88016903	0.93022764	0.86771953	0.87256116	0.73632604	0.86928755	0.9044051	0.8671008	0.9306845	0.8628059	0.9051605	0.9061757	0.8548807	0.8555044	0.8025908	0.8380223	0.73847914	0.87244606	0.8109928	0.883029	0.91635436	0.8821615	0.9046159	0.7138352	0.9432535	0.9129805	0.8942114	0.90582025	0.92886305	0.6950169	0.9050265	0.93123007	0.8892267	0.8492832	0.88404006
bus/noun	0.92627037	0.8764118	0.8614106	0.8133709	0.86288154	0.9549043	0.9103324	0.9209623	0.0	0.85255367	0.8275769	0.8356262	0.92393243	0.9159913	0.88814026	0.6341364	0.9035298	0.9592944	0.9082309	0.83955854	0.912447	0.86034244	0.8671097	0.9050635	0.89806736	0.6252806	0.8035111	0.8869137	0.7760693	0.8315865	0.9205681	0.9264831	0.9315445	0.83762634	0.83453333	0.891984	0.93715674	0.7955119	0.8597554	0.86533046	0.9353107	0.93221706	0.9145609	0.82661265	0.88063586	0.91992027	0.9286138	0.898807	0.8374101	0.7635057	0.81658715	0.7070286	0.8174381	0.9375065	0.9082731	0.9552729	0.8245679	0.9655384	0.97753143	0.8229828	0.8082314	0.8740237	0.8547221	0.9489031	0.76665944	0.9172862	0.8918422	0.85487276	0.915562	0.9219732	0.8897848	0.9391345	0.9317184	0.87805754	0.8780993	0.92353785	0.9539173	0.77806807	0.7673624	0.83001393	0.8496021	0.9225388	0.93406254	0.9359318	0.8804313	0.817882	0.91511047	0.9057651	0.94468445	0.89321417	0.7898059	0.9114501	0.91743714	0.784207	0.70851856	0.8964989	0.8427942	0.70937407	0.9188571	0.7828621	0.8565952	0.82828474	0.90173626	0.9083057	0.87017107	0.8607039	0.8044006	0.95252883	0.92775667	0.87397635	0.8008047	0.80650157	0.9340544	0.94091094	0.85527277	0.8539452	0.96812594	0.902485	0.8865167	0.9293229	0.87153685	0.9501473	0.9384169	0.78983575	0.9317951	0.88982993	0.86144674	0.79615664	0.81300354	0.8720432	0.93785286	0.8372088	0.94785094	0.8423423	0.89747465	0.9452117	0.833522	0.8949373	0.90462345	0.93686086	0.94361234	0.8707871	0.8721602	0.89563143	0.8917894	0.9046106	0.94754916	0.8990543	0.87763757	0.9128376
hoofdzakelijk/adj	0.83023995	0.7889108	0.8096203	0.8551247	0.8100025	0.8589106	0.76374215	0.8898487	0.85255367	0.0	0.816774	0.822969	0.7666695	0.8038359	0.7748241	0.84828514	0.85787606	0.8766132	0.8126442	0.78828925	0.7391496	0.8358893	0.80750424	0.7891949	0.729785	0.7876508	0.7853471	0.7723737	0.82844985	0.76312053	0.77921784	0.76214576	0.78042287	0.8338682	0.8151959	0.7074019	0.77328753	0.7956617	0.74215627	0.8442421	0.87150747	0.8219384	0.76750815	0.77663195	0.74457836	0.7783968	0.8458644	0.8530742	0.75548726	0.5768542	0.6222304	0.80417526	0.89552563	0.8774238	0.7523469	0.86199784	0.8116546	0.8741671	0.94265413	0.81725353	0.7855331	0.8321851	0.7907234	0.75522864	0.8321731	0.7679088	0.7659298	0.85611016	0.90313894	0.78932786	0.78429806	0.9065459	0.89778644	0.81007993	0.7909173	0.8681521	0.8077567	0.82724607	0.79611456	0.83567464	0.81889313	0.7711724	0.8917921	0.8592649	0.8067897	0.84506613	0.80723864	0.81507164	0.8785107	0.7592961	0.7732922	0.49946862	0.79821	0.8020707	0.81226045	0.7874366	0.79293054	0.8570854	0.8423472	0.8328016	0.7770622	0.83635294	0.8805511	0.72624683	0.80946696	0.82548404	0.8744725	0.8663011	0.8378702	0.8289353	0.83262014	0.89870715	0.9113548	0.81606144	0.7689706	0.8427326	0.8803293	0.8575702	0.8819681	0.8297746	0.7860772	0.84833395	0.94279736	0.82014054	0.7983253	0.84833056	0.7802506	0.8421705	0.8414245	0.8453627	0.7426983	0.8495683	0.9564173	0.68958104	0.7364812	0.8650278	0.74591357	0.731882	0.7561112	0.89392954	0.87912005	0.7628636	0.845983	0.8376803	0.82766086	0.8676854	0.82531524	0.7204234	0.7393378	0.8265025
