	eind/adv	verhouding/noun	evengoed/adv	dan/adv	daarom/pp	nog/adv	uzelf/pron	daar/adv	gips/noun	mentaal/adj	wel/adv	binnen/adv	ziel/noun	voor/comp	verschrikkelijk/adj	maar/adv	behoorlijk/adj	ertegen/pp	twijfel/noun	net/adv	om/comp	bijna/adv	Amsterdammer/noun	al/adv	overigens/adv	Chris/name	kind/noun	sinds/comp	lucht/noun	tegenslag/noun	alleen/adv	weekend/noun	zo/adv	eenmaal/noun	amper/adv	snel/adj	plots/adj	meestal/adv	hitte/noun	andapos;s/adv	simpelweg/adv	anders/adj	bloem/noun	Lelièvre/name	makkelijk/adj	's/adv	ze/pron	wereld_DIM/noun	niet/adv	stank/noun	zeeman/noun	tijdens/prep	weer/adv	bovendien/adv	als/comp	thuis/adv	tot/adv	student/noun	toch/adv	karakter/noun	men/pron	soms/adv	haar/pron	intussen/adv	zich/pron	golfplaat/noun	door/prep	Verhaegen/name	Schneider/name	zodra/comp	pupil/noun	verdriet/noun	ik/pron	geur/noun	tegen/prep	kaas/noun	gewoon/adj	dat/det	werk/noun	pijn/noun	hier/adv	mij/pron	toen/comp	zonder/prep	hen/pron	hij/pron	we/pron	even/adj	zodat/comp	me/pron	provincie_raad_lid/noun	evenwel/adv	wanneer/comp	dag/noun	huid/noun	concurrentie/noun	leven/noun	volgens/prep	blijkbaar/adj	week/noun	vaak/adj	wat/pron	beetje/noun	eerst/adv	zolang/comp	Ronaldo/name	wieler_sport/noun	spier_pijn/noun	beton/noun	nauwelijks/adv	Lance/name	hem/pron	angst/noun	ondanks/prep	speler/noun	er/adv
eind/adv	0.0	0.93057936	0.89240396	0.82206213	0.8217441	0.8069433	0.9418748	0.84609926	0.89993525	0.94076234	0.9298759	0.9014755	0.95018137	0.69462883	0.9419128	0.9260952	0.9313333	0.93842775	0.9283139	0.8533685	0.8345319	0.81855786	0.87406266	0.7385458	0.85358095	0.92567927	0.9416965	0.6970746	0.9544178	0.8888346	0.9188036	0.71308887	0.9284525	0.8181414	0.8629586	0.824594	0.85162073	0.8970598	0.90570706	0.84449977	0.88483894	0.9233445	0.9208211	0.8779707	0.9086354	0.8723688	0.8547212	0.92173105	0.91144884	0.9260335	0.89385283	0.7750293	0.8249161	0.8509982	0.8451006	0.9138059	0.85185635	0.8794337	0.92022383	0.94894814	0.8662534	0.94454896	0.9233275	0.68097067	0.94053686	0.9268258	0.8367398	0.8806287	0.87435484	0.69350815	0.8994204	0.94183356	0.9167102	0.94100106	0.87662894	0.95499253	0.9120865	0.90801877	0.82446814	0.9502205	0.9005198	0.9475858	0.7587156	0.8695599	0.8966843	0.8166335	0.8363722	0.8997455	0.7705798	0.95029795	0.85777825	0.8283549	0.7633798	0.76912427	0.95743316	0.9177908	0.94090956	0.84805846	0.93155926	0.58801377	0.9255854	0.94065666	0.95431334	0.78993714	0.80608404	0.86030096	0.89606386	0.9569805	0.89340466	0.93100697	0.9118091	0.8916861	0.9445255	0.89456856	0.8950926	0.8379849
verhouding/noun	0.93057936	0.0	0.7915848	0.885415	0.8002627	0.8934779	0.8616426	0.91527504	0.9442313	0.8262895	0.86213577	0.9495104	0.826251	0.9110097	0.87192273	0.8755073	0.7594118	0.8810742	0.8359946	0.89392716	0.81740785	0.8534832	0.8890986	0.89458984	0.782025	0.92958766	0.87916106	0.8062004	0.90982205	0.8608999	0.78064436	0.95453995	0.80213594	0.88623893	0.9129828	0.8742088	0.8712328	0.7842754	0.88558835	0.95378846	0.7698494	0.8913588	0.91859806	0.9344933	0.8942969	0.9579101	0.8924828	0.8435805	0.8704839	0.9088955	0.8984635	0.9204278	0.89435697	0.69967127	0.8378353	0.9397681	0.82851857	0.8502177	0.8415608	0.6750586	0.82900435	0.762046	0.8999648	0.84012944	0.85707176	0.9469962	0.79996395	0.917585	0.8903054	0.82675415	0.8551005	0.84790456	0.92534155	0.8612586	0.87734544	0.91752785	0.89598143	0.7944674	0.84708184	0.90273327	0.88190144	0.8999255	0.91162217	0.8216783	0.887467	0.89468247	0.8978056	0.8997914	0.7798172	0.92324543	0.9178286	0.77679074	0.77313787	0.94424975	0.8508159	0.80982155	0.75608563	0.8302385	0.8321777	0.93153334	0.74502057	0.82281077	0.86134386	0.88741386	0.735075	0.90002936	0.85388523	0.93578035	0.8853136	0.79419434	0.9221283	0.91041523	0.79540205	0.7649293	0.89731777	0.8717786
evengoed/adv	0.89240396	0.7915848	0.0	0.75880915	0.7381931	0.83101225	0.80785954	0.7623867	0.8827275	0.82007927	0.76434445	0.8236489	0.74423647	0.7881422	0.740136	0.757043	0.74261713	0.8481361	0.8418699	0.78194267	0.7632068	0.82354975	0.7801659	0.8464784	0.72645104	0.8633876	0.7930851	0.80028695	0.8348813	0.80505323	0.6915766	0.84805614	0.7390386	0.7621391	0.8362386	0.8304599	0.7917876	0.64114827	0.7934965	0.83506155	0.69280267	0.8371432	0.8089404	0.8964024	0.7735644	0.8459229	0.71471554	0.7674298	0.766886	0.82721955	0.81983113	0.86829656	0.80433553	0.71693707	0.73777604	0.8186935	0.80503094	0.7850841	0.7380114	0.7205081	0.7512409	0.64495444	0.78109	0.7799155	0.82660955	0.89499146	0.7607726	0.8580696	0.8189428	0.7380654	0.82712567	0.7568294	0.7713798	0.77518624	0.8483156	0.80280584	0.7252675	0.7426871	0.8244338	0.85636544	0.7203245	0.77547103	0.8306758	0.76447594	0.7838378	0.7413648	0.7963015	0.79017836	0.7447909	0.81822693	0.91958493	0.73237085	0.6908602	0.8492099	0.8134347	0.84278905	0.78657997	0.8223641	0.75239265	0.88907474	0.6567798	0.7918676	0.7764884	0.79556584	0.7291802	0.8269387	0.80897063	0.9125515	0.81339216	0.7503761	0.83714056	0.79900306	0.74966705	0.7821701	0.8447151	0.81799215
dan/adv	0.82206213	0.885415	0.75880915	0.0	0.56671876	0.6499856	0.78385794	0.6235316	0.8733101	0.84442246	0.5405066	0.7644091	0.8468199	0.5986786	0.7204365	0.5268066	0.7475983	0.84122396	0.86408085	0.75636387	0.6855885	0.78883123	0.789013	0.76460177	0.7386792	0.92114365	0.8146815	0.8337685	0.8326752	0.81680524	0.7012733	0.79909325	0.6488614	0.6466564	0.76798016	0.6688997	0.6219095	0.6479578	0.80118823	0.7180797	0.6913458	0.6241525	0.8463094	0.8753542	0.70822877	0.7021762	0.46250463	0.8166395	0.54256433	0.83491105	0.8791727	0.8961519	0.56091535	0.6880056	0.34292525	0.71484935	0.8177935	0.8636244	0.460315	0.89176595	0.5577945	0.6091478	0.70216346	0.6995665	0.8278301	0.9071031	0.8640163	0.8541514	0.8572043	0.5834034	0.82319456	0.8177417	0.45233655	0.84672517	0.88675886	0.85037786	0.53995097	0.6216778	0.87550986	0.7945039	0.6275786	0.60555017	0.67971146	0.80850506	0.73567176	0.5910046	0.4593218	0.527248	0.6653599	0.6338701	0.92624146	0.69395685	0.4941821	0.7771468	0.84260374	0.84160185	0.8478246	0.88619107	0.671496	0.804374	0.6794111	0.6551348	0.6312145	0.63080263	0.70650005	0.8053888	0.815606	0.84255105	0.8364252	0.7413032	0.8224262	0.67909133	0.824565	0.8682294	0.7945871	0.6407074
daarom/pp	0.8217441	0.8002627	0.7381931	0.56671876	0.0	0.7797797	0.76815856	0.8053913	0.90790087	0.82157165	0.6262114	0.90510523	0.8615341	0.76907873	0.79997116	0.7071527	0.7496464	0.81653774	0.8431785	0.8830974	0.5048894	0.8694525	0.7702733	0.7809855	0.6187976	0.90807766	0.8007145	0.81096464	0.91949064	0.824145	0.7171812	0.863634	0.6275793	0.8118113	0.86203265	0.74922526	0.8221012	0.7350143	0.8237791	0.86345756	0.6394709	0.77148753	0.89345014	0.88697886	0.7595253	0.8846686	0.58484507	0.80149496	0.6100183	0.85981005	0.8700419	0.8989743	0.79648745	0.50303066	0.60564935	0.8488343	0.7399929	0.760664	0.5873507	0.7830076	0.5171	0.7175007	0.71988523	0.6839653	0.7486083	0.93474334	0.7900731	0.837149	0.84858686	0.73812985	0.81043655	0.840734	0.62712955	0.8552308	0.82838285	0.897194	0.74493283	0.6342263	0.80336016	0.84318626	0.7857003	0.6487342	0.8716046	0.80799246	0.65456235	0.6475822	0.5610064	0.75235575	0.63077945	0.67805225	0.8598595	0.6185367	0.66867304	0.86788887	0.86784184	0.77905226	0.8342644	0.7375656	0.66129285	0.8125169	0.6881686	0.7392397	0.75290656	0.7037367	0.6238308	0.8467479	0.75686824	0.89138615	0.8489748	0.7329989	0.8329803	0.6763067	0.8128752	0.7990661	0.77837074	0.7701364
nog/adv	0.8069433	0.8934779	0.83101225	0.6499856	0.7797797	0.0	0.82746565	0.7644654	0.8756891	0.79622746	0.6020076	0.85208756	0.88208115	0.66492647	0.83566755	0.60320556	0.77979785	0.91077787	0.8385314	0.768664	0.74515736	0.7934406	0.8119712	0.6214067	0.727252	0.9046264	0.89610374	0.8221214	0.90176046	0.8143364	0.72481364	0.80690014	0.7625136	0.7621151	0.6425429	0.7629094	0.80056214	0.7833356	0.86375916	0.83355266	0.8194605	0.8226145	0.8931092	0.8966519	0.81430733	0.8427732	0.7290368	0.8553312	0.68497896	0.87503606	0.8977907	0.88832945	0.68299466	0.7106687	0.72692126	0.79374754	0.7676552	0.88845754	0.6078824	0.86102736	0.72481966	0.7820617	0.8395761	0.6616077	0.88661975	0.9191614	0.91253054	0.8334288	0.8782401	0.7445507	0.84047306	0.8556766	0.6575822	0.8673253	0.86986625	0.8818272	0.7727845	0.7600225	0.8771894	0.8586583	0.73613214	0.7807029	0.8056908	0.82625556	0.8314967	0.7326454	0.5929692	0.675316	0.73282087	0.80007434	0.9445385	0.66267955	0.7310864	0.7745267	0.88756967	0.8509499	0.8699317	0.88774896	0.70182824	0.7363727	0.8109928	0.73044	0.7932782	0.7075141	0.687908	0.8128739	0.84552115	0.8633086	0.87329215	0.7171744	0.84797347	0.8192361	0.8670005	0.8141359	0.7751068	0.64462173
uzelf/pron	0.9418748	0.8616426	0.80785954	0.78385794	0.76815856	0.82746565	0.0	0.8506817	0.9065553	0.83168983	0.78070503	0.8898233	0.81296784	0.82346153	0.8350622	0.79899865	0.8397588	0.887473	0.8489964	0.872266	0.75000834	0.91349405	0.85292053	0.8969106	0.82813823	0.92169344	0.81346583	0.8790105	0.9242501	0.8339736	0.8089707	0.91257113	0.7961947	0.8334187	0.88149387	0.8616829	0.8410454	0.80277723	0.8908591	0.8940756	0.80632913	0.8544013	0.88919944	0.8850901	0.80974376	0.8998867	0.68895507	0.84420025	0.77586216	0.88918686	0.8826941	0.90766305	0.8380837	0.77397376	0.7560025	0.8443954	0.8619808	0.85880363	0.7859676	0.8515274	0.747231	0.76483166	0.7260576	0.83141935	0.8091825	0.9194597	0.8418521	0.8948686	0.87724173	0.82385045	0.8322253	0.8272054	0.7267337	0.8728288	0.9053636	0.89744157	0.8293743	0.7826396	0.8818343	0.87217057	0.8353834	0.71049565	0.86742413	0.8414457	0.7103947	0.724023	0.7630808	0.8098007	0.80668414	0.73264587	0.9327729	0.80538505	0.7626832	0.8803126	0.86011654	0.8864443	0.80831283	0.9032745	0.78435016	0.90164936	0.7768019	0.79492056	0.8132645	0.8061341	0.8073822	0.86383986	0.8316109	0.91721404	0.890597	0.81414276	0.86798847	0.7230016	0.82448286	0.8908148	0.8274671	0.8505927
daar/adv	0.84609926	0.91527504	0.7623867	0.6235316	0.8053913	0.7644654	0.8506817	0.0	0.8762158	0.8769417	0.75119853	0.6984924	0.81195796	0.6784227	0.78220934	0.7613119	0.8089399	0.8543131	0.89893156	0.7702178	0.7673561	0.8481924	0.7911141	0.78711945	0.8450987	0.93056655	0.7827723	0.7901942	0.80352443	0.87728393	0.790925	0.7558243	0.7854939	0.66633725	0.80432147	0.79390645	0.69158125	0.6968598	0.7667498	0.64344585	0.7711118	0.7880461	0.7873744	0.8595071	0.8025938	0.6322948	0.5644008	0.79786015	0.8041553	0.8049842	0.8473985	0.84558094	0.70110595	0.7757076	0.6952913	0.6820301	0.8475302	0.82404256	0.71242654	0.9128862	0.74928886	0.74120283	0.7518904	0.74568844	0.8209612	0.84434533	0.8230981	0.87107	0.87457424	0.6788957	0.8437513	0.85123736	0.6542164	0.80664456	0.9005737	0.85689294	0.67569196	0.83884513	0.8874583	0.86999595	0.38336444	0.7790038	0.7016237	0.8077286	0.75319093	0.66836	0.6757859	0.704463	0.73651564	0.7839689	0.9442093	0.8242647	0.6797381	0.7493606	0.8417974	0.8849663	0.8538014	0.90153015	0.7609286	0.81950843	0.7403577	0.79557943	0.7922792	0.70566124	0.79491436	0.84224236	0.8663166	0.9034307	0.78017783	0.8155043	0.8504408	0.7769897	0.85665166	0.8989978	0.8544073	0.5302668
gips/noun	0.89993525	0.9442313	0.8827275	0.8733101	0.90790087	0.8756891	0.9065553	0.8762158	0.0	0.891056	0.9333578	0.83430773	0.8791162	0.8473671	0.90616846	0.9045058	0.9071841	0.914577	0.93662566	0.8864282	0.8938007	0.8897686	0.9176533	0.8970995	0.9243978	0.90986687	0.8993921	0.89755857	0.8398664	0.90048176	0.89187	0.89261	0.8973813	0.8218198	0.86268455	0.87789685	0.8647511	0.8413905	0.84785295	0.8796884	0.8789492	0.9399831	0.794929	0.9525867	0.88295573	0.88850564	0.8276758	0.9128196	0.9017446	0.87729454	0.8999546	0.9055619	0.82844496	0.8702764	0.9014172	0.8772073	0.90724146	0.9151838	0.9187182	0.92165685	0.8870331	0.85475844	0.8622655	0.8586273	0.90445846	0.8238384	0.85387176	0.88801616	0.9367371	0.8354695	0.8800641	0.9113732	0.8939362	0.8265774	0.9158095	0.8250078	0.8724203	0.92893684	0.90698713	0.8216048	0.8902839	0.92996776	0.89473015	0.87669134	0.90102935	0.82659394	0.894464	0.85939586	0.7646107	0.91288316	0.9692419	0.88990116	0.8624656	0.87904435	0.75384104	0.93352437	0.93830824	0.9560721	0.91846555	0.8433062	0.89099395	0.9532702	0.87395525	0.8367551	0.8917275	0.85708463	0.8824524	0.8460644	0.677428	0.9032252	0.9187779	0.8880234	0.92027295	0.91432285	0.89153606	0.90672994
mentaal/adj	0.94076234	0.8262895	0.82007927	0.84442246	0.82157165	0.79622746	0.83168983	0.8769417	0.891056	0.0	0.82210976	0.91091084	0.86248773	0.8374716	0.8051475	0.86608416	0.6976583	0.92336166	0.83297354	0.86861706	0.7606889	0.8745464	0.8367902	0.8554369	0.85274345	0.9081819	0.76272553	0.836712	0.9142083	0.6962912	0.7936201	0.89124024	0.8516229	0.82127225	0.843193	0.8254647	0.82224077	0.77460074	0.79948354	0.8839419	0.7882022	0.9118227	0.9229284	0.91176134	0.8342949	0.9024039	0.7956877	0.87781906	0.8358307	0.89829516	0.90693444	0.8727756	0.8077631	0.69714797	0.81989706	0.8432493	0.8273915	0.8436467	0.78209287	0.7820023	0.85391486	0.7653663	0.8711139	0.80144787	0.87330335	0.94956434	0.7964711	0.8938981	0.90890896	0.815483	0.7881536	0.8053754	0.81007636	0.8720724	0.8714775	0.92691	0.8496936	0.8008059	0.8643321	0.7543686	0.87221295	0.8478229	0.8847232	0.79055417	0.8137454	0.80731493	0.7696356	0.866145	0.7707418	0.8319075	0.9640384	0.7749476	0.791748	0.8854763	0.8606842	0.8160331	0.81852543	0.9147011	0.72687316	0.8695531	0.7530736	0.9033777	0.83020616	0.8639821	0.81585366	0.8381746	0.8297194	0.83941686	0.88908595	0.8019459	0.8119017	0.8700335	0.8042363	0.74320424	0.73195624	0.86627257
