	of/adj	werk_uit/verb	prachtig/adj	feestelijk/adj	acteer/verb	gestuurd/adj	componist/noun	toneelstuk/noun	provocerend/adj	tegendeel/noun	wel/adv	poëzie/noun	maar/adv	waanzinnig/adj	kort/adj	vrij/adj	intelligent/adj	streef_na/verb	opera/noun	schrijnend/adj	tegelijk/adj	'98/noun	bedoeling/noun	doorgewinterd/adj	stuk/noun	antwoord/noun	pak_uit/verb	podium/noun	melig/adj	literair/adj	dynamisch/adj	bijvoorbeeld/adv	goochel/verb	voedsel/noun	bedoel/verb	oneliner/noun	cd/noun	onomstotelijk/adj	script/noun	weduwnaar/noun	gemeen/adj	debuut/noun	choreografie/noun	trailer/noun	breng/verb	gemoedelijk/adj	Newyorks/adj	verteder/adj	essay/noun	variant/noun	man/noun	onrustig/adj	weerzinwekkend/adj	weer/adv	manier/noun	flets/adj	film/noun	doe/verb	onderschrift/noun	acteur/noun	zeer/adj	feest/noun	verhaal/noun	zo/adj	onweerstaanbaar/adj	ben/verb	spits/adj	ontleed/verb	bloes_DIM/noun	gewiekst/adj	mengeling/noun	ontnuchter/adj	breng_teweeg/verb	spontaan/adj	ergerlijk/adj	voorstelling/noun	aardig/adj	te/adv	bundel/noun	aria/noun	licht/adj	droog/adj	ingenieus/adj	ontwapen/adj	lady/noun	fraai/adj	heel/adv	oorspronkelijk/adj	briljant/adj	zachtaardig/adj	oneerbiedig/adj	kijk_heen/verb	seizoen/noun	vaak/adj	vertoon/verb	boek/noun	tragikomische/adj	voltooi/verb	opvallend/adj	speel/verb	beeld/noun	observatie/noun	wissel_af/adj	roman/noun	eindeloos/adj	bom/noun	stijl/noun	nauwelijks/adv	bijzonder/adj	and/noun	immer/adv	wreed/adj	inconsequent/adj	desinteresse/noun	lied_DIM/noun	technisch/adj	trouwens/adv	gemak/noun	verfrissend/adj	gesprekspartner/noun	veelzijdig/adj	altijd/adv	houd_over/verb	megalomaan/adj	neus_hoorn/noun	obsessie/noun	vol/adj	kinderlijk/adj	vind/verb	muzikant/noun	vondst/noun	sketch/noun	paar/noun	wrang/adj	serieus/adj	kritisch/adj	lang/adv	milieu/noun	improviseer/adj	tent/noun	vrijmoedig/adj	overtuigend/adj	onbegrijpelijk/adj	arrogantie/noun	bijrol/noun	ad/adj	zelden/adj	toegankelijk/adj	ga_vooraf/verb	gedicht/noun	uitgesponnen/adj	heerlijk/adj	slipper/noun	eenvoudig/adj	romancier/noun	slapstick/noun	schrijfster/noun	roem/noun	performance/noun	schrijf_op/verb	time/verb	slim/adj	eenzaam/adj	toch/adv	zwijg/adj	terloops/adj	vooruitzicht/noun	nogal/adv	zeil/verb	nota/adv	geweldig/adj	poging/noun	coma/noun	doos/noun	sprekend/adj	vele/adj	voordracht/noun	relatie/noun	dandy/noun	kwartet/noun	associatief/adj	lek/adj	Nieuw-Zeelander/noun	wijn_fles/noun	verdienste/noun	zin/noun	beetje/noun	aanstekelijk/adj	thematiek/noun	gast/noun	ludiek/adj	bizar/adj	verzameling/noun	logica/noun	tenger/adj	spot/adj	spel/noun	lever_op/verb	creatief/adj	eens/adv	commentaar/noun	stereotiep/adj	haast/adv	vorm/verb	gezang/noun	emmer/noun	een/adj	hoe/adj	zoek_tocht/noun	geschreven/adj	speels/adj	klink/verb	vriendelijk/adj	reactie/noun	ziekelijk/adj	toe/adv	gaaf/adj	flits/adj	film_DIM/noun	welbespraakt/adj	presentator/noun	waan/noun	kunst/noun	ook/adv	tempo/noun	bitter/adj	vervang/verb	schrijf/verb	anekdote/noun	onwaarschijnlijk/adj	spionne/noun	danser/noun	juist/adj	vervolgens/adv	hedonistisch/adj	pretentieus/adj	lach/verb	fris/adj	zo/adv	aflevering/noun	eigenlijk/adj	onzinnig/adj	vinnig/adj	snel/adj	origineel/adj	genoeg/adv	rock/noun	erg/adj	lied/noun	heimwee/noun	woordspeling/noun	hermetisch/adj	rem/adj	wijze/noun	helder/adj	bovendien/adv	gek/adj	verslag/noun	geil/adj	grof/adj	duivel_DIM/noun	virtuoos/adj	pianist/noun	mossel/noun	dramatisch/adj	Marokkaans/adj	adembenemend/adj	scène/noun	beperking/noun	modern/adj	illustratie/noun	voor_publicatie/noun	lees/verb	reeks/noun	verrukkelijk/adj	gezicht/noun	maak/verb	super/adj	beminnelijk/adj	melancholie/noun	plaat/noun	broederschap/noun	elegant/adj	element/noun	wending/noun	geïllustreerd/adj	stapel/noun	hedendaags/adj	verontrustend/adj	waanzin/noun	stel/noun	musical/noun	gulzig/adj	even/adj	grappig/adj	absoluut/adj	spaar/verb	ironisch/adj	Engelstalig/adj	bijdrage/noun	portret/noun	vers/noun	tentoonstelling/noun	patroon/noun	wat/adv	overrompel/adj	detail/noun	veel/adj	beschrijving/noun	dialoog/noun	geluid_effect/noun	vertel/verb	stoutmoedig/adj	karikatuur/noun	komedie/noun	thriller/noun	satire/noun	actie_film/noun	regisseur/noun	om_kade_ring/noun	neig/verb	onnavolgbaar/adj	blijk/verb	variatie/noun	min/adj	mik/verb	onverwacht/adj	behoorlijk/adj	onschadelijk/adj	schets/verb	hoogstaand/adj	zoet/adj	onnodig/adj	reputatie/noun	lijk/verb	zwart_wit/adj	rancuneus/adj	teken_uit/verb	serie/noun	net/adv	passage/noun	groep_DIM/noun	bijna/adv	zelfs/adv	toespraak/noun	fris/noun	creatie/noun	fair/adj	zeer/adv	origineel/noun	onderdeel/noun	column/noun	gesprek/noun	scherp/adj	en/adv	energiek/adj	hoorn/noun	dol/adj	gevoelig/adj	personage/noun	buitengewoon/adj	computer/noun	typering/noun	goed/adj	onbedaarlijk/adj	sterk/adj	moment/noun	inhoudelijk/adj	messcherp/adj	laconiek/adj	uitval/noun	werk_DIM/noun	leuk/adj	cynisme/noun	Zwitser/noun	draai/noun	alert/adj	opmerkelijk/adj	beklemmend/adj	verbeeld/verb	spannend/adj	contrasteer/adj	voorspelbaar/adj	alleszins/adv	thema/noun	mild/adj	ontroerend/adj	mijne/noun	neurose/noun	opmerking/noun	overvloede/adv	bedoeld/adj	koe/noun	West_Vlaams/adj	aankondiging/noun	echt/adj	uitermate/adv	maak_mee/verb	mooi/adj	heel/adj	mix/noun	luister/verb	soms/adv	vooral/adv	herhaaldelijk/adv	uitzinnig/adj	af/adv	geloofwaardig/adj	ongelooflijk/adj	absurd/adj	villa/noun	wend_voor/verb	grap_DIM/noun	naïef/adj	tafel/noun	titel/noun	uitgedost/adj	uit_vergroting/noun	even/adv	raak/adj	hoofdpersoon/noun	rol/noun	gewoon/adj	getekend/adj	dirigent/noun	ongekend/adj	humor/noun	kleurrijk/adj	plant/noun	erudiet/adj	charmant/adj	rijm/verb	natuurlijk/adj	gevat/adj	hilarisch/adj	ramp/adv	gelukkig/adj	effect/noun	cosmopolitisch/adj	rest/noun	bene/adv	bevat/verb	ijzersterk/adj	fel/adj	vervolg/noun	vindingrijk/adj	onvoorspelbaar/adj	scherpzinnig/adj	zet_neer/verb	onderhoud/adj	voorzie/verb	lekker/adj
of/adj	0.0	0.7370068	0.8052689	0.816571	0.86655354	0.83260393	0.8754766	0.87074614	0.772549	0.8630412	0.80275273	0.8361716	0.86359805	0.7800312	0.8883734	0.86740136	0.7936996	0.8476702	0.91080886	0.7657443	0.80901957	0.9748035	0.91759306	0.8889795	0.84090143	0.8903639	0.8003062	0.84100676	0.791747	0.7834418	0.845909	0.79060453	0.815177	0.84507865	0.8806915	0.81702965	0.8588095	0.8506203	0.81824595	0.96126366	0.7788171	0.8882294	0.8763339	0.9451505	0.8707591	0.8614801	0.9125477	0.7951653	0.8846044	0.86595637	0.92541313	0.8745105	0.76128817	0.82038605	0.68519664	0.8679061	0.8283332	0.8522704	0.8698191	0.87314653	0.93248427	0.77655864	0.7629762	0.7959424	0.7694371	0.80791545	0.8713535	0.8511889	0.9382856	0.8971775	0.8474935	0.87992173	0.8819623	0.8037731	0.7459922	0.8391083	0.8138638	0.80501354	0.84773576	0.8996	0.8370156	0.87129986	0.74872124	0.855857	0.93568826	0.821145	0.80991447	0.8603987	0.8062011	0.8710879	0.9027282	0.9299745	0.93599147	0.7425571	0.851812	0.8394032	0.8625749	0.90182304	0.83688307	0.8995034	0.84035265	0.8241318	0.8298008	0.85424095	0.8418541	0.90948373	0.7946705	0.90228134	0.77698624	0.94665253	0.85990804	0.7255911	0.89117956	0.9596724	0.77121407	0.84364015	0.8545311	0.8766362	0.81421006	0.92002195	0.88723683	0.7825249	0.91115516	0.8110967	0.9623647	0.86796665	0.8632673	0.7916137	0.7638277	0.8936457	0.77064705	0.8092698	0.86052996	0.8096421	0.81095195	0.8378011	0.845113	0.9232617	0.9002353	0.885235	0.8850622	0.81032807	0.7750319	0.8695773	0.9354826	0.9133838	0.7919317	0.83235145	0.9087405	0.83068514	0.8687587	0.8444905	0.97444487	0.7595726	0.8785429	0.8555949	0.8388961	0.9032893	0.82987785	0.8443805	0.94478893	0.7831828	0.8978731	0.7512668	0.86912024	0.7777393	0.92426753	0.70857644	0.96394193	0.9104745	0.8494239	0.8366587	0.9591899	0.82218814	0.86277616	0.75042355	0.885231	0.8720514	0.90367264	0.92940444	0.80468917	0.8407401	0.96808416	0.94270205	0.89249974	0.8172578	0.72292125	0.81820285	0.82342756	0.7902323	0.63989675	0.7154656	0.81759506	0.87028533	0.9240034	0.87129086	0.780033	0.8424564	0.72053033	0.880508	0.8253312	0.8657267	0.72968924	0.8496695	0.86642736	0.951687	0.37217617	0.7694969	0.7798375	0.84795475	0.75340545	0.76877594	0.8685796	0.8705668	0.9053873	0.81728315	0.90336156	0.7832892	0.7162244	0.9191532	0.8431507	0.9130817	0.87039375	0.83421105	0.81769043	0.85429454	0.8259891	0.87923086	0.7688695	0.85912156	0.9250165	0.86640126	0.7740555	0.80924374	0.86513853	0.7461858	0.836885	0.8187856	0.79644513	0.87396187	0.8337297	0.8046968	0.89181095	0.87891436	0.7216622	0.86114794	0.86080885	0.81867874	0.8408723	0.8810342	0.806038	0.8956539	0.9109953	0.7589642	0.863128	0.81933045	0.77889067	0.79957616	0.79207265	0.7731109	0.8996903	0.7690629	0.8720829	0.88708353	0.83308184	0.9219904	0.81955326	0.80250025	0.88730085	0.830138	0.87048185	0.95113224	0.84525687	0.8501911	0.864519	0.84376794	0.7975108	0.8531862	0.89033973	0.8504792	0.85345113	0.9134929	0.817413	0.826704	0.83749336	0.8898149	0.8716949	0.80970585	0.8516088	0.83452296	0.7905829	0.84873134	0.87589884	0.8123364	0.74494267	0.8901958	0.88783747	0.758368	0.8946979	0.8448656	0.8676441	0.90449756	0.86541516	0.89625275	0.7664626	0.8361156	0.81520677	0.8565339	0.8579742	0.7741902	0.8434071	0.8443265	0.88714457	0.8579814	0.833501	0.84900475	0.86903054	0.8707965	0.8378562	0.85026836	0.8917593	0.7355796	0.9018398	0.8297899	0.8508402	0.8024201	0.81655407	0.72757995	0.90665114	0.8724098	0.86507887	0.8612869	0.82801735	0.8992443	0.80266744	0.93979	0.88477385	0.88024724	0.8424909	0.8319632	0.8096422	0.8623601	0.82375884	0.8434166	0.88856244	0.9695596	0.7969595	0.87165976	0.83149135	0.8094242	0.81131625	0.8786963	0.88564235	0.828466	0.804701	0.8391784	0.93492365	0.83081686	0.827108	0.7521222	0.79701453	0.8062407	0.9011892	0.8815744	0.96551037	0.92480975	0.8311838	0.84636176	0.85615116	0.8020714	0.8806277	0.8225173	0.74363995	0.9073074	0.9000985	0.8186827	0.92557573	0.87477124	0.84705806	0.7896549	0.82371837	0.9210339	0.7407238	0.85496527	0.7966219	0.83805037	0.7861123	0.93958735	0.9296032	0.7958164	0.9747985	0.77621347	0.8935545	0.8704203	0.8444515	0.81153995	0.8493001	0.79938775	0.8244862	0.79802597	0.8082438	0.9101029	0.73036146	0.7403799	0.937961	0.81569606	0.8338752	0.79296577	0.7613818	0.74273163	0.9296572	0.9608239	0.78232336	0.7572738	0.89921665	0.8425462	0.872688	0.8781291	0.7807843	0.8095329	0.83854735	0.9175707	0.8100786	0.8579217	0.8500933	0.86479414	0.75429916	0.7928705	0.90782535	0.86160994	0.82581484	0.91198313	0.7172575	0.8236779	0.73729885	0.9762203	0.8404169	0.8679658	0.8642484	0.90894157	0.9440007	0.810799	0.90368015	0.8876733	0.90350837	0.8589164	0.8612783	0.8609341	0.8376632	0.83586276	0.88846713	0.7982069
werk_uit/verb	0.7370068	0.0	0.6463302	0.7687948	0.65022534	0.8685505	0.774454	0.6561357	0.7566821	0.8002857	0.8611344	0.67594737	0.84190565	0.71081334	0.7546487	0.7385056	0.56905246	0.69165146	0.7109955	0.70796776	0.7026235	0.88962805	0.75498176	0.8566625	0.5657815	0.74972856	0.64853644	0.7642848	0.7842447	0.6187586	0.5456494	0.7063955	0.7406744	0.8590603	0.79653597	0.7221083	0.79151374	0.85401815	0.63772887	0.8574559	0.8331368	0.72103703	0.5672031	0.86428416	0.70147395	0.8273592	0.7424129	0.767063	0.7573763	0.70260227	0.89932716	0.90104294	0.7971817	0.8851422	0.5803299	0.707086	0.513041	0.8746846	0.8496597	0.61575866	0.87737715	0.8447646	0.56946933	0.7264129	0.69659853	0.7134915	0.700081	0.7162481	0.96272093	0.8065877	0.6703684	0.7964036	0.81982285	0.68832517	0.69243264	0.52173513	0.67527866	0.82235575	0.68123764	0.70315146	0.7908756	0.8775887	0.56108975	0.7629407	0.88410604	0.64549315	0.70345527	0.6610969	0.5821338	0.8231363	0.8057751	0.84890455	0.8851608	0.6363421	0.719586	0.6415351	0.72093993	0.7371385	0.68321776	0.67701995	0.66166186	0.66653955	0.68290687	0.612804	0.6424793	0.87663364	0.53836715	0.74058104	0.5518175	0.83402926	0.6958031	0.72768307	0.7712344	0.9567046	0.6853975	0.64386487	0.76616704	0.7713713	0.6747751	0.7619535	0.6892193	0.7337166	0.8211231	0.8455836	0.93611526	0.7236401	0.8565337	0.767194	0.8123803	0.70438445	0.58213246	0.7079692	0.8021337	0.76519096	0.7608268	0.74520385	0.7911485	0.7650043	0.7722926	0.8947139	0.7935485	0.6105709	0.809061	0.87325794	0.7108738	0.79258585	0.64112866	0.68863404	0.77453023	0.6853331	0.6483965	0.7870394	0.9638383	0.6650205	0.7842716	0.6544949	0.7425419	0.86822057	0.75677365	0.69821703	0.8172859	0.6784755	0.8276112	0.8187682	0.84430194	0.7348553	0.8930874	0.6335145	0.92540956	0.92801833	0.7438137	0.73201376	0.87186974	0.82221276	0.73971415	0.6649648	0.69302386	0.7222025	0.89521563	0.7286116	0.70451057	0.72151405	0.8953837	0.9628773	0.84332466	0.71317315	0.774758	0.59518707	0.6943255	0.8112364	0.6758662	0.6098593	0.6860477	0.7416122	0.90453607	0.8297572	0.51896816	0.62237555	0.6349206	0.91804016	0.6849129	0.81716126	0.7430796	0.61700314	0.8427213	0.9203654	0.7202122	0.6849694	0.6718428	0.56968915	0.5429281	0.7478619	0.7976297	0.8057021	0.8555446	0.82264817	0.78914344	0.61830413	0.66358966	0.812366	0.78230786	0.9172677	0.71991646	0.78911424	0.6793032	0.79583347	0.771727	0.6615293	0.67301774	0.63209254	0.76139605	0.6437703	0.76276344	0.76145136	0.8312118	0.7231356	0.84375167	0.69796574	0.717983	0.6852387	0.84285593	0.6889145	0.7359397	0.8166715	0.5162022	0.7322762	0.7617357	0.6547608	0.703508	0.8569981	0.7163606	0.8286768	0.74663043	0.5416337	0.667227	0.6732178	0.8360703	0.6930075	0.8645478	0.7764272	0.9047338	0.63009894	0.7434271	0.93298477	0.59981745	0.8945958	0.67013884	0.5734804	0.75959903	0.6333709	0.74725246	0.8852439	0.7458575	0.63564277	0.7770474	0.81091946	0.70134854	0.85413504	0.86504203	0.7797962	0.7355678	0.85128325	0.6533834	0.58197725	0.65566397	0.7315222	0.8725903	0.6307968	0.67584366	0.80697286	0.76870084	0.65698916	0.9184622	0.74173033	0.59505576	0.8211152	0.84868455	0.65551865	0.7709374	0.68302906	0.72774464	0.7367338	0.6829575	0.62551737	0.7361598	0.6943339	0.5835179	0.73341495	0.6726873	0.51162297	0.8464656	0.6999805	0.8195435	0.78115284	0.60787296	0.5815693	0.6948576	0.60915446	0.5910658	0.74122024	0.8359056	0.6941749	0.80613565	0.6032322	0.670293	0.7556147	0.7156746	0.67697024	0.8615614	0.66967607	0.7031604	0.84604603	0.8115495	0.8355515	0.7410977	0.8586298	0.91089594	0.6732371	0.61990136	0.8119769	0.7094884	0.7962855	0.8230816	0.7409606	0.8049177	0.9247319	0.66095996	0.8744882	0.59663486	0.60969734	0.7011838	0.7692292	0.7431978	0.67362773	0.80898577	0.67490125	0.8649322	0.79545707	0.74339616	0.5759798	0.6405171	0.810867	0.709239	0.83612216	0.85157037	0.7163018	0.76241076	0.5923504	0.70602447	0.7409402	0.8468438	0.7158186	0.63717353	0.85217786	0.80053663	0.68654656	0.81904435	0.66160375	0.72577643	0.6404074	0.58978194	0.7708992	0.5455654	0.7734148	0.50902456	0.7523271	0.6319041	0.9085368	0.90731966	0.79061687	0.91723055	0.6832131	0.9205073	0.8051077	0.82261884	0.7647562	0.608575	0.8463256	0.7063855	0.7146486	0.5842141	0.86007607	0.627924	0.64339143	0.8146837	0.74722385	0.81578946	0.6723471	0.70063585	0.6323793	0.93887675	0.8919851	0.7522176	0.667199	0.824633	0.73126745	0.86297756	0.8126403	0.6252701	0.747861	0.69907475	0.7187923	0.847262	0.64510596	0.7925805	0.78130215	0.58524764	0.5942657	0.8140029	0.7480871	0.6248932	0.78122205	0.77671885	0.7486996	0.60688525	0.92812985	0.8676609	0.7231251	0.8161763	0.90751606	0.8824375	0.6312097	0.6187084	0.83662355	0.65759814	0.64038646	0.6785313	0.74791366	0.67264885	0.665771	0.8115938	0.79785764
prachtig/adj	0.8052689	0.6463302	0.0	0.5394788	0.63631487	0.89823574	0.61404914	0.56255543	0.5802921	0.7916546	0.78860193	0.41610277	0.73708	0.53167343	0.55049556	0.7511963	0.5769794	0.721897	0.5905305	0.5318843	0.5129428	0.8485094	0.8159518	0.8529377	0.49983186	0.7519586	0.68142295	0.5882114	0.71038723	0.53693545	0.5313388	0.5363542	0.6562401	0.85536325	0.7746182	0.6634133	0.5858774	0.82553136	0.60103184	0.8703835	0.69700646	0.60601854	0.55729514	0.85062265	0.5576321	0.7195922	0.7406931	0.5631491	0.52956784	0.69146335	0.80733603	0.86777085	0.6781178	0.7644433	0.66197026	0.68598616	0.48644948	0.8580888	0.7211145	0.5060889	0.7389308	0.6490196	0.37007254	0.65250397	0.46004713	0.71775603	0.59113646	0.64003164	0.8181313	0.7850872	0.55261797	0.66333103	0.7149028	0.5594883	0.72074115	0.42517555	0.46974027	0.8154552	0.4884386	0.56332606	0.62153685	0.6958314	0.45375937	0.5420817	0.7900287	0.22624427	0.6659759	0.56978256	0.44315124	0.7893276	0.74595124	0.82531327	0.8527036	0.5188596	0.6318234	0.45848513	0.54931885	0.6532136	0.5502628	0.7130111	0.44140643	0.53439677	0.47083086	0.4726594	0.55563945	0.83593225	0.46397728	0.70604575	0.51088405	0.7817806	0.7073436	0.5919739	0.82944745	0.8157472	0.43418956	0.6957315	0.7500776	0.7059119	0.616654	0.8238456	0.57633203	0.6802086	0.7174598	0.7649498	0.84635204	0.78633493	0.6154518	0.5626091	0.7300884	0.5741895	0.49226522	0.49916208	0.59594524	0.5654906	0.74949616	0.7356484	0.8545989	0.777398	0.72386634	0.8079995	0.7256377	0.48285365	0.69031703	0.8143151	0.6477195	0.81715405	0.4925267	0.5719299	0.57230055	0.38103408	0.5574715	0.5049922	0.8553241	0.49045873	0.7595692	0.61657345	0.64860034	0.76869833	0.663539	0.6209891	0.7691215	0.6612133	0.71352804	0.7490015	0.645579	0.574238	0.8427344	0.62505704	0.8862961	0.8156049	0.4658537	0.7567907	0.8434657	0.6615716	0.52463675	0.41430008	0.5708524	0.7519758	0.8322258	0.6697403	0.5730234	0.6625993	0.8952793	0.91301763	0.73615575	0.6145308	0.77469385	0.42437398	0.6219727	0.68860126	0.5901383	0.40861404	0.38914955	0.7333405	0.8109689	0.7108358	0.6060244	0.5450673	0.6717567	0.84565425	0.67267823	0.6521913	0.5529629	0.55074984	0.5927368	0.86162674	0.7907531	0.6003965	0.6978914	0.38342375	0.4927131	0.56790435	0.733147	0.8385667	0.7974806	0.67137223	0.552359	0.5936601	0.5125481	0.7956232	0.7860664	0.8038263	0.6271495	0.7142128	0.6079359	0.708906	0.770028	0.4991879	0.40270656	0.6247657	0.790734	0.5576714	0.7046703	0.6882764	0.7896358	0.6759434	0.7540604	0.56613517	0.6440567	0.6086229	0.7283758	0.7114443	0.6553688	0.8258363	0.3791101	0.746809	0.6909138	0.66845906	0.46122664	0.67002416	0.642017	0.6287968	0.8371045	0.5969084	0.42396903	0.74918973	0.6688932	0.60568583	0.6526421	0.6353282	0.89104044	0.41070986	0.6583642	0.8384454	0.46159363	0.77687186	0.41547143	0.34682167	0.81264615	0.53271145	0.4737724	0.7550003	0.5525203	0.5557829	0.60483825	0.5948883	0.5893716	0.7591943	0.76001334	0.55795234	0.5480156	0.7447792	0.49518806	0.5419169	0.5865411	0.51288515	0.643641	0.52076876	0.56860507	0.63779247	0.6398709	0.5557128	0.8430824	0.63911194	0.3628325	0.7759268	0.8673261	0.50940734	0.62126726	0.6383265	0.4437877	0.53229696	0.5475395	0.61097986	0.7341348	0.5592899	0.55598855	0.7540444	0.43523192	0.4586438	0.704654	0.61298144	0.8034781	0.58217347	0.5700921	0.61950594	0.62328297	0.67425793	0.5962409	0.82382625	0.69468415	0.50489247	0.8135823	0.5411347	0.7391264	0.8227141	0.6893362	0.708455	0.8655255	0.48981243	0.58503133	0.63448054	0.8242756	0.8191099	0.68210644	0.6187394	0.8754764	0.6715763	0.47582018	0.7696346	0.46733034	0.7686492	0.66497415	0.70130706	0.70613146	0.75090134	0.5363739	0.8604493	0.623486	0.56037474	0.7581309	0.55841553	0.79784435	0.5546317	0.7041751	0.5566016	0.7491404	0.62955266	0.64592236	0.4193914	0.56237817	0.7961413	0.643103	0.6944056	0.75426096	0.6752534	0.6109831	0.6858796	0.636944	0.63575846	0.8563005	0.65308493	0.4564343	0.71232736	0.83547366	0.71829534	0.80169034	0.5447567	0.49249363	0.53915185	0.4680724	0.6491401	0.63585347	0.7032183	0.4586736	0.70474744	0.34304512	0.82338774	0.9059513	0.7526127	0.77699256	0.59725237	0.7298079	0.7890209	0.7497149	0.67684567	0.6380632	0.775625	0.177441	0.5976757	0.5232104	0.69076	0.4651928	0.57768124	0.76515913	0.6034332	0.6837869	0.5839458	0.5289031	0.53108203	0.6894828	0.8906982	0.62553734	0.5854568	0.7910608	0.58426094	0.6809697	0.771425	0.5610472	0.53086257	0.52174175	0.70817506	0.7495001	0.5187123	0.7646291	0.691628	0.49138892	0.35907012	0.6465566	0.68870026	0.5197376	0.6746623	0.70180434	0.5949187	0.3723181	0.9345335	0.7446523	0.57702065	0.79424167	0.8077483	0.81785154	0.33173078	0.52669555	0.7486064	0.6703378	0.61002016	0.6683671	0.66812634	0.54941607	0.61612415	0.7416605	0.6940063
