	om_kade_ring/noun	bijzonder/adj	commentaar/noun	hoe/adj	onnavolgbaar/adj	toneelstuk/noun	variatie/noun	min/adj	reactie/noun	behoorlijk/adj	waanzinnig/adj	combinatie/noun	film_DIM/noun	presentator/noun	Rowan/name	ook/adv	passage/noun	speel_film_debuut/noun	gesprekspartner/noun	zelfs/adv	stuk/noun	antwoord/noun	zeer/adv	anekdote/noun	onwaarschijnlijk/adj	onderdeel/noun	column/noun	gesprek/noun	obsessie/noun	buitengewoon/adj	zo/adv	oneliner/noun	aflevering/noun	typering/noun	onbedaarlijk/adj	moment/noun	script/noun	sketch/noun	vondst/noun	debuut/noun	uitval/noun	werk_DIM/noun	trailer/noun	en/vg	cynisme/noun	draai/noun	genoeg/adv	erg/adj	lied/noun	contrasteer/adj	ze/pron	arrogantie/noun	bijrol/noun	wijze/noun	variant/noun	man/noun	zelden/adj	weerzinwekkend/adj	gedicht/noun	heerlijk/adj	manier/noun	verslag/noun	opmerking/noun	performance/noun	film/noun	duivel_DIM/noun	The/name	bedoeld/adj	toch/adv	verhaal/noun	zo/adj	aankondiging/noun	echt/adj	onweerstaanbaar/adj	heel/adj	mix/noun	scène/noun	soms/adv	vooral/adv	bloes_DIM/noun	vooruitzicht/noun	mengeling/noun	nogal/adv	af/adv	ongelooflijk/adj	voorstelling/noun	gezicht/noun	Self/name	geweldig/adj	Risseeuw/name	aria/noun	even/adv	plaat/noun	rol/noun	gewoon/adj	dat/det	Hot/name	voordracht/noun	ongekend/adj	dandy/noun	lady/noun	musical/noun	heel/adv	hij/pron	kwartet/noun	even/adj	rap/noun	effect/noun	bijdrage/noun	cast/noun	portret/noun	boek/noun	vaak/adj	vers/noun	opvallend/adj	vervolg/noun	wat/pron	beeld/noun	observatie/noun	wissel_af/adj	detail/noun	veel/adj	gast/noun	beschrijving/noun	dialoog/noun	roman/noun	stoutmoedig/adj	karikatuur/noun	satire/noun	of/vg	actie_film/noun
om_kade_ring/noun	0.0	0.7910483	0.89542735	0.8795611	0.904299	0.89290893	0.8401541	0.8479075	0.918506	0.82694423	0.88991404	0.81267726	0.8844763	0.8849231	0.93135774	0.77217066	0.87878203	0.92121494	0.8446424	0.8686301	0.88572156	0.8579532	0.79429346	0.90239793	0.9064368	0.80714875	0.9328372	0.9011748	0.8991981	0.81916636	0.8665565	0.9023326	0.92654836	0.913754	0.9600154	0.9160349	0.86809963	0.87007153	0.8896664	0.9082297	0.8673862	0.8512367	0.92904085	0.74851006	0.9040766	0.87057614	0.8763883	0.8523685	0.8969186	0.90523	0.89537066	0.9142097	0.9057864	0.81060135	0.88041	0.9475011	0.8584957	0.92171365	0.8988428	0.8842268	0.804114	0.8780858	0.8993441	0.8544403	0.8692002	0.9201245	0.9464132	0.7712177	0.8630968	0.8982066	0.90364873	0.9007158	0.8683452	0.8995238	0.8708526	0.77831906	0.8887249	0.86401516	0.7737932	0.9467344	0.849313	0.8504944	0.8279298	0.92889863	0.8725078	0.82640046	0.92484504	0.9495995	0.8654922	0.9202738	0.9127568	0.8813616	0.8765861	0.87761515	0.8895003	0.8598231	0.9102338	0.8456663	0.86084455	0.9391799	0.9157596	0.8870926	0.81369716	0.9191035	0.88993436	0.92822266	0.8947321	0.8352577	0.7928717	0.83748627	0.90336055	0.8948242	0.8465458	0.9085688	0.8674001	0.8572677	0.8882991	0.8718789	0.8600142	0.8468041	0.84223485	0.80753124	0.85477495	0.849449	0.83687615	0.9129844	0.9088981	0.90857905	0.8908903	0.83597	0.8966649
bijzonder/adj	0.7910483	0.0	0.7846884	0.6865758	0.743184	0.7934284	0.68481475	0.55972326	0.7840739	0.6008148	0.69433194	0.651951	0.7553083	0.80638623	0.8887506	0.6626003	0.6913928	0.83492076	0.7999359	0.7561064	0.69229424	0.84188366	0.34420836	0.7021853	0.7101571	0.8130857	0.81480205	0.8584391	0.8060015	0.3100276	0.5854292	0.77642494	0.8340004	0.7698479	0.8765874	0.7737852	0.76877034	0.77461594	0.70823866	0.71764594	0.8227439	0.7648072	0.9088777	0.66737276	0.79112434	0.7861502	0.6170314	0.39763302	0.7673542	0.78078854	0.80541265	0.844347	0.80382866	0.66265523	0.74069864	0.8655531	0.68142176	0.82023454	0.77352875	0.73093295	0.68389434	0.76751447	0.758811	0.74652296	0.6966513	0.9132415	0.86973375	0.72286737	0.6875025	0.68772906	0.60030687	0.8177402	0.6908818	0.7180083	0.69883215	0.66096044	0.6997098	0.5959234	0.5847567	0.92163	0.7892002	0.6857163	0.58284867	0.80328035	0.5600344	0.7041348	0.78278404	0.91920555	0.6583668	0.8965876	0.78358674	0.5618131	0.75261	0.83588785	0.8245721	0.7848289	0.8808205	0.7575398	0.6852015	0.84331334	0.8325969	0.7706493	0.43833733	0.8150741	0.77435184	0.76042145	0.77307826	0.792465	0.7736691	0.7503588	0.70053947	0.7356054	0.69145936	0.78198516	0.6110196	0.76424605	0.83537084	0.7049564	0.69638956	0.66053116	0.7005781	0.6325128	0.78643495	0.67702764	0.70895517	0.73222953	0.8894616	0.79278535	0.727543	0.79893184	0.7552981
commentaar/noun	0.89542735	0.7846884	0.0	0.8268152	0.7918118	0.80838317	0.8280485	0.83511645	0.55327207	0.8481889	0.8559118	0.86806774	0.7809509	0.7629192	0.9103461	0.8035728	0.68342495	0.8796352	0.78556967	0.7800876	0.8223597	0.6872407	0.75237703	0.6900013	0.83491313	0.90464836	0.6285547	0.7262312	0.85313386	0.7689401	0.7919434	0.7403165	0.813841	0.80479574	0.90848315	0.8932947	0.82962203	0.78848326	0.80739367	0.86314636	0.84954023	0.8598633	0.9214416	0.8130248	0.7981119	0.8130395	0.81544936	0.8118745	0.79176694	0.89947766	0.8358009	0.8504527	0.89672536	0.7722571	0.82188535	0.9231066	0.7633377	0.839716	0.71105015	0.85864794	0.8031777	0.6472719	0.5948298	0.82885545	0.78916585	0.9399826	0.81426823	0.7811462	0.8381924	0.69124186	0.86069804	0.73541677	0.904316	0.8381505	0.86812097	0.8321811	0.7608359	0.7249682	0.8238667	0.9505887	0.88195217	0.81121886	0.725706	0.8443345	0.8335387	0.8068658	0.86045694	0.9127395	0.8747836	0.90561825	0.8554653	0.79096454	0.84753966	0.8603376	0.8989649	0.8549794	0.9108658	0.8003795	0.8599558	0.91150427	0.90122443	0.87579095	0.8101464	0.78179216	0.8571722	0.8549871	0.83334625	0.8492099	0.7952345	0.85260797	0.7791923	0.7420467	0.77878374	0.7439321	0.78995025	0.7913007	0.86030334	0.7466134	0.69719326	0.7890643	0.7131318	0.8527134	0.8460304	0.69337237	0.72513556	0.7714054	0.9009925	0.822707	0.7611086	0.8533873	0.8676443
hoe/adj	0.8795611	0.6865758	0.8268152	0.0	0.7953768	0.8478751	0.8079049	0.6906632	0.7751485	0.74017066	0.7471816	0.7917626	0.75298226	0.83941305	0.92806154	0.69440645	0.753273	0.899175	0.76414335	0.77736604	0.79300547	0.7664159	0.62702435	0.7394173	0.78396165	0.8853718	0.8452038	0.8564729	0.79127413	0.66809356	0.46042025	0.83320427	0.843634	0.80595446	0.8999622	0.7579662	0.79859626	0.84740674	0.7600496	0.84934175	0.8562032	0.822151	0.91081727	0.75507337	0.782593	0.8369632	0.6149422	0.6119269	0.83745337	0.86354434	0.62219584	0.80964464	0.86698294	0.6474445	0.79563844	0.83221674	0.73717177	0.8124024	0.8048221	0.8261439	0.5877532	0.8431744	0.75270796	0.82484335	0.79301995	0.9140838	0.93569195	0.8274268	0.65711296	0.69403607	0.5978287	0.88909966	0.67522377	0.81118846	0.7627178	0.8092096	0.7302798	0.59668154	0.76351976	0.9155952	0.87449783	0.79147553	0.6972405	0.80569744	0.67999756	0.8279339	0.7697935	0.9184138	0.7974565	0.8914355	0.8654198	0.65358204	0.8480496	0.8601194	0.7317455	0.6445417	0.9167423	0.8526616	0.82611436	0.86338866	0.8746592	0.88429904	0.5597312	0.70155644	0.871567	0.7224097	0.85511076	0.77571803	0.86282516	0.8366655	0.7974608	0.7941006	0.66087353	0.81325924	0.8456912	0.82318085	0.50614405	0.7003413	0.7378904	0.79879737	0.67624533	0.6649297	0.8422189	0.7365398	0.76771885	0.80760235	0.9002921	0.81134367	0.8125993	0.8204333	0.8567109
onnavolgbaar/adj	0.904299	0.743184	0.7918118	0.7953768	0.0	0.7415359	0.68972623	0.8210852	0.87365437	0.78976345	0.71170026	0.7089337	0.7320129	0.7750094	0.86064863	0.80804515	0.6929427	0.8660154	0.81148374	0.78559095	0.7813494	0.8598562	0.77909696	0.68169767	0.71329266	0.877553	0.77409655	0.8589978	0.7791397	0.73218346	0.7652489	0.7405524	0.7889316	0.776706	0.8689557	0.8662617	0.7438005	0.72052336	0.7490423	0.7679877	0.8707882	0.7966924	0.9042168	0.6964464	0.79461265	0.7815914	0.8148521	0.81780326	0.6885263	0.76297975	0.83032405	0.8266031	0.8007215	0.7117795	0.75971407	0.8889109	0.7209338	0.82091004	0.6950207	0.72709394	0.7516744	0.83396447	0.8084362	0.70466	0.6897215	0.9098322	0.7882034	0.7782176	0.82551515	0.674958	0.8212857	0.86008155	0.81672376	0.69030213	0.8299962	0.69343394	0.67129254	0.65188354	0.7714652	0.8860609	0.9162935	0.68582344	0.7301438	0.7923263	0.67998904	0.70035815	0.803117	0.87308824	0.7068206	0.9258823	0.7570075	0.7175522	0.7570473	0.8224957	0.8654416	0.83595407	0.8787544	0.7773199	0.7681925	0.8620201	0.84014267	0.7322	0.7786617	0.7801251	0.7329197	0.8116431	0.74619246	0.8369863	0.8560755	0.75207734	0.7469321	0.7380791	0.74185026	0.73150885	0.7441571	0.8440377	0.85667473	0.728188	0.7217486	0.67182386	0.7439511	0.8088982	0.82510793	0.72557116	0.67057097	0.70690686	0.88390774	0.76184237	0.7530401	0.8235314	0.758987
toneelstuk/noun	0.89290893	0.7934284	0.80838317	0.8478751	0.7415359	0.0	0.7398069	0.86811477	0.8918026	0.8516177	0.7518384	0.8044144	0.6927731	0.78320926	0.85446453	0.8266341	0.66895825	0.773231	0.85768336	0.82553077	0.6389949	0.8832461	0.81935793	0.7005738	0.7820707	0.87012476	0.6657951	0.85259026	0.8041639	0.7998507	0.83879787	0.7714642	0.6818433	0.81114304	0.89732975	0.8713773	0.5986866	0.6308539	0.7604649	0.67548394	0.9160447	0.75289816	0.87803674	0.76785326	0.82642215	0.8249023	0.86998874	0.8581929	0.59238565	0.8527732	0.8426985	0.8582741	0.7218189	0.769644	0.76519805	0.90581906	0.7251345	0.8293485	0.53539366	0.7838143	0.8087519	0.7654251	0.8391171	0.7064006	0.46696824	0.93012524	0.57166606	0.74394107	0.89471817	0.54155535	0.87354416	0.85829717	0.82765675	0.76006126	0.850465	0.7372227	0.5936481	0.7531989	0.8192484	0.9263836	0.9190872	0.72802055	0.78872764	0.84685385	0.8114674	0.5227567	0.87339586	0.8643043	0.8160721	0.96387523	0.71125287	0.7712814	0.73578906	0.80380857	0.88952047	0.8937981	0.8416971	0.76966083	0.83386034	0.8506146	0.81163865	0.43730187	0.8477952	0.8164816	0.74588096	0.87812215	0.7793681	0.89360994	0.84593964	0.65388143	0.69384885	0.5287478	0.786399	0.6568785	0.82865036	0.74324065	0.8812861	0.74966097	0.7616562	0.7061386	0.8047985	0.8822138	0.83156043	0.72772825	0.6822778	0.43254882	0.9063853	0.76384354	0.64684725	0.82605386	0.70173395
variatie/noun	0.8401541	0.68481475	0.8280485	0.8079049	0.68972623	0.7398069	0.0	0.76827407	0.85589033	0.7504945	0.7205374	0.5842949	0.7134827	0.8244874	0.90986884	0.73283386	0.69362926	0.8837282	0.8358981	0.7485125	0.7154118	0.84753907	0.710873	0.6825366	0.754639	0.8086107	0.82112515	0.861987	0.7526377	0.74107563	0.7711048	0.7662095	0.80607337	0.79715264	0.8702929	0.8545876	0.72270095	0.69625866	0.7021804	0.8092218	0.85125417	0.77525085	0.9105045	0.6084633	0.8049921	0.8031217	0.7855664	0.7824797	0.6756985	0.72651714	0.83203673	0.80445117	0.81053114	0.72895056	0.6126305	0.87842375	0.7029112	0.83456606	0.7095243	0.67828596	0.7319516	0.8425985	0.8226075	0.72977686	0.7012571	0.9194281	0.8230857	0.74549717	0.8070753	0.66998875	0.8163321	0.8587365	0.77775764	0.67474204	0.7812973	0.5991006	0.65054023	0.64958155	0.69452894	0.89060557	0.88351214	0.632478	0.71448326	0.7772343	0.70057774	0.6797335	0.8076669	0.89384305	0.7187336	0.9293901	0.7086119	0.7314174	0.7062204	0.8440976	0.81031317	0.80495954	0.82108927	0.7745013	0.6995287	0.872053	0.85087883	0.7252236	0.7321247	0.8600756	0.7130767	0.83212054	0.72745436	0.75755227	0.80336416	0.7589455	0.7310157	0.746186	0.6961564	0.69106376	0.6879916	0.81355	0.8436867	0.7112078	0.740362	0.6302403	0.7059863	0.7323084	0.7891077	0.67658424	0.6685378	0.7203355	0.8854608	0.7828419	0.7379524	0.7064685	0.77383363
min/adj	0.8479075	0.55972326	0.83511645	0.6906632	0.8210852	0.86811477	0.76827407	0.0	0.797991	0.5886487	0.76341593	0.7049924	0.819146	0.8451494	0.8989885	0.6840336	0.75359124	0.89730644	0.79138905	0.67983043	0.71392334	0.80507195	0.4326942	0.81904143	0.76934314	0.83993185	0.8815473	0.89694965	0.83866423	0.5453423	0.5336569	0.8074741	0.8890152	0.83108157	0.89721024	0.80616915	0.8171033	0.8610461	0.80578345	0.8305861	0.7946291	0.8345984	0.91369474	0.6933348	0.77936167	0.787166	0.5825797	0.46059746	0.8465704	0.83758974	0.7844341	0.8210039	0.8426802	0.6729177	0.7189188	0.8649623	0.69885087	0.861456	0.8565241	0.8073667	0.68349373	0.85972404	0.7790824	0.83365554	0.7936006	0.92711544	0.9352344	0.76725525	0.67496264	0.7936663	0.6036087	0.83331245	0.71295726	0.7961105	0.78995913	0.7512016	0.78814054	0.6370408	0.6152084	0.9060927	0.7255502	0.7721802	0.5880462	0.7960875	0.7012501	0.8088411	0.79732525	0.92539555	0.8011673	0.911623	0.85891324	0.59284115	0.8177572	0.8432019	0.7918412	0.7424127	0.88638204	0.8658136	0.7256415	0.8824978	0.86043847	0.85132945	0.5565455	0.83240336	0.8379365	0.744577	0.81819093	0.7212963	0.8082473	0.8089431	0.81789094	0.84393626	0.6534231	0.81996095	0.7179986	0.807297	0.807422	0.7688948	0.77682686	0.75896853	0.80312824	0.5531125	0.83861756	0.7729467	0.7825054	0.8316668	0.8871304	0.8227454	0.7690875	0.7651759	0.80037636
reactie/noun	0.918506	0.7840739	0.55327207	0.7751485	0.87365437	0.8918026	0.85589033	0.797991	0.0	0.7965969	0.8384067	0.84947723	0.8492863	0.8492311	0.91878647	0.7666772	0.78185797	0.9126823	0.7900249	0.7639901	0.8915243	0.62980324	0.6944193	0.7932823	0.8419775	0.9069088	0.7768816	0.80523705	0.83370715	0.7571372	0.74937534	0.82509065	0.90412664	0.8466226	0.90158254	0.84571177	0.8732356	0.8803767	0.79987025	0.8749087	0.7446345	0.8988296	0.9342878	0.83365047	0.7630855	0.83385265	0.8360953	0.723606	0.8596955	0.89506125	0.8097291	0.80502	0.92370373	0.766357	0.8163776	0.9052459	0.79280436	0.82961166	0.84195745	0.91515225	0.78438044	0.8057792	0.576957	0.8620983	0.8695963	0.9388488	0.9145428	0.77272856	0.77232075	0.8005652	0.7712056	0.6793757	0.83149695	0.8742113	0.8700663	0.8745544	0.82133126	0.7129133	0.7532574	0.9623487	0.82780623	0.81361234	0.6558119	0.86638045	0.8001148	0.8773811	0.8491427	0.95180196	0.8799702	0.906028	0.9055733	0.7830915	0.8907929	0.8972521	0.8859364	0.7813255	0.9360983	0.86619353	0.8002677	0.93308175	0.908428	0.9354788	0.7319819	0.79736733	0.8775141	0.8432686	0.86525035	0.7150076	0.8606224	0.8598636	0.88211906	0.866529	0.759956	0.84795666	0.805156	0.71395075	0.80301344	0.7799155	0.78069735	0.84283715	0.82070655	0.79836977	0.85922027	0.8147441	0.8127864	0.8799715	0.90440404	0.8439406	0.8224106	0.8539814	0.8607589
behoorlijk/adj	0.82694423	0.6008148	0.8481889	0.74017066	0.78976345	0.8516177	0.7504945	0.5886487	0.7965969	0.0	0.6970279	0.74827796	0.8181279	0.8236338	0.8976425	0.71586525	0.7886086	0.89375997	0.8401773	0.6744956	0.74784386	0.86441034	0.5567214	0.81117475	0.7045833	0.8571279	0.855489	0.8945258	0.8185532	0.6114149	0.6430048	0.80609345	0.8694642	0.8319808	0.87010366	0.8156308	0.8027297	0.82619107	0.81474876	0.79637283	0.7914268	0.8259262	0.8996129	0.67006814	0.78508836	0.80185556	0.667271	0.52636313	0.8431992	0.8464084	0.7309339	0.80020547	0.85274756	0.74266356	0.7924713	0.848518	0.706663	0.8445967	0.86964506	0.7366092	0.7419078	0.8805234	0.79010874	0.8152132	0.7974533	0.906889	0.91480726	0.77586865	0.6183425	0.81046855	0.59171927	0.820168	0.689942	0.77021885	0.72730625	0.75836736	0.7727709	0.5693169	0.65376186	0.90343845	0.77250606	0.77356064	0.49614078	0.7038638	0.593537	0.81406724	0.782126	0.9276793	0.6507591	0.90058976	0.8184038	0.6563696	0.81406546	0.8710271	0.7555083	0.7300103	0.88223815	0.8632329	0.67707443	0.8750323	0.8632211	0.85264164	0.57913524	0.7693299	0.7986101	0.72621703	0.80804634	0.7964996	0.86049426	0.7953255	0.8644588	0.8598051	0.6643032	0.847505	0.7218574	0.78211576	0.81219435	0.80674124	0.796607	0.73859113	0.81486285	0.5971539	0.8167181	0.79657465	0.78832555	0.8379529	0.9289422	0.80855954	0.8002081	0.76362264	0.7792807
