	ketting/noun	immers/adv	langzaam/adj	deur/noun	alsof/comp	Claeys/name	dan/adv	touw_DIM/noun	leverancier/noun	nog/adv	Ruth/name	wielertoeristen/noun	onderaan/adv	onhandig/adj	alles/noun	pyjama/noun	beneden/adv	alweer/adv	wetswijziging/noun	poot_DIM/noun	achter/prep	hand/noun	oog/noun	ineen/pp	systeem/noun	of/comp	naar/prep	kwartier/noun	Cliteur/name	minuut/noun	schrijver/noun	component/noun	Hugo/name	White/name	achter/adv	echter/adv	energiek/adj	naam/noun	vervolgens/adv	bijvoorbeeld/adv	die/det	fiets/noun	Dirk/name	demonstratief/adj	ideaal/adj	zondag_avond/noun	arm/adj	outfit/noun	zo/adv	harnas/noun	je/pron	Koller/name	gaandeweg/adv	snel/adj	tijd/noun	De/name	en/vg	punt/noun	iemand/noun	gemeente_personeel/noun	foutief/adj	Ma/name	wagen_DIM/noun	gedachte/noun	tas/noun	design/noun	om/prep	Rossi/name	laat/adj	blik/noun	Kristof/name	iedereen/pron	in/prep	Bangoura/noun	tegenstander/noun	nadrukkelijk/adj	ze/pron	toen/adv	h/noun	sluimer/adj	ergens/adv	beugel/noun	aan/prep	graag/adj	rechter_been/noun	gek/noun	door/comp	Mike/name	Pasanen/name	wagen/noun	zak_DIM/noun	men/pron	opnieuw/adv	soms/adv	daarop/pp	halfweg/prep	af/adv	zich/pron	geluid/noun	met/prep	rugzak/noun	daarin/pp	Thomas/name	meteen/adv	door/prep	donderdag_morgen/noun	Adriaens/name	telkens/adv	zodra/comp	duim/noun	Gino/name	vinger/noun	song/noun	getrokken/adj	ter/prep	oma/noun	volk/noun	licht/adj	ik/pron	klassieker/noun	voet/noun	terwijl/comp	Baouf/name	Vermant/name	al/comp	auto/noun	daardoor/pp	gewoon/adj	regisseur/noun	stuk/adv	dimensie/noun	zweet/adj	Kanu/name	voertuig/noun	zuiver/adj	arm/noun	mij/pron	toen/comp	Armstrong/name	hij/pron	Stijn/name	zakdoek/noun	me/pron	zodat/comp	stuur/noun	kar/noun	naar/adj	Crasson/noun	Mutavdzic/name	uitblinker/noun	Vereecke/name	Bouma/name	trein/noun	dief/noun	renner/noun	traditioneel/adj	Mpenza/name	wolk/noun	lijf_DIM/noun	beeld/noun	beetje/noun	wagon_DIM/noun	fietser/noun	Penders/name	trein_DIM/noun	Van/name	eindeloos/adj	Mestdagh/name	sjaal_DIM/noun	brom_fietser/noun	twee/num	er/adv	beide/pron	of/vg	Marion/name
of/comp	0.9145217	0.77524817	0.913622	0.93324697	0.7963309	0.9233257	0.6432189	0.89972085	0.84840834	0.7262987	0.91065925	0.937541	0.9103657	0.8467573	0.792537	0.8991033	0.9372552	0.89908373	0.79940695	0.90847623	0.92254084	0.93976885	0.88789034	0.91687167	0.820285	0.0	0.87503594	0.9413725	0.88523644	0.9502853	0.92175287	0.8718443	0.9158257	0.9266778	0.8978513	0.7139754	0.92672586	0.9128812	0.78653896	0.76318014	0.7532828	0.90839195	0.9462004	0.93058884	0.90955424	0.89203185	0.91491973	0.8881892	0.7744619	0.91210127	0.6974322	0.9030371	0.85358727	0.844299	0.88399434	0.9679109	0.8322614	0.9604082	0.6788564	0.92842466	0.85198486	0.93596745	0.91880125	0.8600473	0.8785558	0.92116535	0.8660435	0.9289736	0.9344083	0.873152	0.9465071	0.73295414	0.9478744	0.92716956	0.8885022	0.8597498	0.7057617	0.82778484	0.9185933	0.9199022	0.88042223	0.9022854	0.8847938	0.83819556	0.94269735	0.86674	0.8066749	0.9300334	0.9254659	0.9341604	0.89822304	0.68066883	0.8432832	0.7668028	0.8342429	0.9289128	0.84636277	0.8549333	0.90338254	0.8711873	0.899539	0.8480724	0.96242243	0.83358574	0.8717315	0.90996	0.9637501	0.8715907	0.7795398	0.9106026	0.9208209	0.9018726	0.9233941	0.92696	0.9207557	0.84320754	0.90198183	0.91458946	0.6996094	0.9360874	0.9498688	0.83484936	0.9230739	0.9206774	0.73093855	0.93080866	0.84762317	0.75346506	0.94860685	0.86349654	0.9054319	0.9162584	0.91986257	0.9166275	0.8560617	0.93249404	0.73770267	0.8816269	0.90204424	0.7745774	0.94161534	0.9202645	0.7764063	0.7934362	0.92187643	0.9249195	0.83808243	0.95254976	0.9473434	0.95098466	0.9237988	0.88722575	0.93920237	0.93886876	0.9203384	0.9249888	0.90398926	0.9269296	0.9401929	0.8895921	0.7985586	0.9262317	0.9326052	0.9117175	0.94059473	0.9512512	0.85610205	0.9339174	0.93877596	0.95219624	0.9283322	0.7443003	0.85702795	0.7350431	0.8832571
naar/prep	0.85560703	0.86876714	0.76101816	0.81513464	0.83491427	0.8865392	0.78613925	0.887287	0.8510061	0.8979066	0.9078779	0.8803172	0.86834115	0.8607018	0.9038876	0.87206286	0.7100048	0.7950563	0.90236527	0.86875427	0.84836936	0.8896084	0.87110436	0.8812287	0.89337474	0.87503594	0.0	0.84658444	0.9317201	0.90426975	0.92135864	0.9032694	0.91695607	0.87999886	0.79005355	0.88936603	0.90140593	0.89587283	0.7077421	0.83603835	0.8242482	0.76611745	0.9282326	0.84729683	0.82354605	0.7963748	0.8641528	0.9018509	0.9156703	0.92392313	0.83228266	0.86406076	0.82870436	0.79344314	0.90512455	0.9249822	0.77587277	0.91181344	0.8475011	0.89658105	0.88743037	0.8651368	0.85949546	0.8720878	0.8370075	0.90297925	0.87958616	0.9080805	0.82728994	0.8340663	0.90737003	0.85716414	0.7613517	0.9178282	0.9087889	0.8352088	0.7820491	0.8603595	0.8879557	0.87601995	0.77264714	0.91100395	0.8467316	0.8470572	0.8658439	0.836129	0.83232236	0.896512	0.9204362	0.8218998	0.8954103	0.82776105	0.82435066	0.84590733	0.8137522	0.84293246	0.81024384	0.89289045	0.8673732	0.8417443	0.80977374	0.89744204	0.9319374	0.7762786	0.83904207	0.85898435	0.9110038	0.8236716	0.78648543	0.8837971	0.8940448	0.8804232	0.89253354	0.86020935	0.82973313	0.8168293	0.87065744	0.86276186	0.8459792	0.8785505	0.8279086	0.7609127	0.9386377	0.8769908	0.89831066	0.8059403	0.8245508	0.8000546	0.9265619	0.8860457	0.9045348	0.8690823	0.86245704	0.8466462	0.87711656	0.84114295	0.8969559	0.81907976	0.8744377	0.7884104	0.89985853	0.8679062	0.89672476	0.7753069	0.85893375	0.8123504	0.5165248	0.91363984	0.9394742	0.90012753	0.9185294	0.900729	0.7398073	0.85326076	0.87085533	0.8551298	0.8395944	0.82075953	0.9331966	0.89557827	0.8733034	0.9402409	0.81988484	0.9247393	0.82667935	0.945014	0.7865134	0.91229427	0.8964274	0.8721061	0.8455784	0.8726765	0.8416351	0.76613533	0.8820997
kwartier/noun	0.85202086	0.8413948	0.7835585	0.8397256	0.8570142	0.71785945	0.7548121	0.9058298	0.91172653	0.7737358	0.898574	0.8837472	0.8334124	0.8735194	0.8730822	0.8839844	0.8441155	0.66283196	0.9092833	0.8745415	0.8636972	0.8926138	0.89805675	0.9053456	0.9089629	0.9413725	0.84658444	0.0	0.93661845	0.25762182	0.95528054	0.9237366	0.904051	0.8305702	0.7809757	0.7384872	0.8629542	0.9470802	0.68666244	0.9173308	0.8242527	0.8417794	0.895591	0.85053456	0.88780093	0.7587487	0.94647014	0.91267514	0.8653653	0.9250226	0.8454991	0.67982614	0.80085313	0.7250226	0.7520724	0.81436574	0.82757485	0.76068145	0.8805772	0.93544805	0.7713102	0.9240144	0.87050307	0.90558934	0.8638772	0.93806773	0.8695288	0.8286347	0.6902398	0.87819004	0.71342576	0.8668319	0.8611159	0.7212583	0.78981495	0.8635831	0.8137573	0.726226	0.84589565	0.9206913	0.8685279	0.8925136	0.9216404	0.8739418	0.8729726	0.8541622	0.8052554	0.81260806	0.8445567	0.8440329	0.88308	0.89307505	0.7176142	0.81524426	0.7556433	0.50087214	0.7613484	0.90506464	0.8789365	0.82166725	0.87313753	0.87382877	0.8564368	0.6226342	0.8093401	0.8431525	0.7695103	0.6570678	0.7696254	0.849196	0.766803	0.88705176	0.8968465	0.8993023	0.8481835	0.8802228	0.9358	0.8445995	0.8578572	0.8983554	0.8235711	0.7555068	0.82065046	0.69894075	0.81539196	0.84251755	0.7714635	0.84600866	0.92906517	0.8837689	0.9147752	0.88830227	0.7335334	0.8446088	0.8542911	0.8901494	0.8974035	0.67084885	0.79942125	0.77989924	0.7445401	0.8920061	0.8924478	0.7177415	0.85702217	0.8742225	0.8736022	0.8706859	0.8060465	0.5623051	0.76600415	0.72671485	0.78124356	0.8628156	0.8121013	0.9031007	0.6491017	0.8401028	0.9332362	0.9082724	0.86024076	0.9197738	0.86065894	0.7454567	0.8536173	0.73149866	0.80037916	0.7907571	0.9345323	0.8906219	0.7249322	0.8349454	0.8264508	0.8619238	0.8694894
Cliteur/name	0.93458843	0.82979846	0.91190964	0.9577125	0.8811884	0.89564383	0.8531073	0.9441285	0.9300314	0.8906796	0.8895826	0.9533848	0.9143783	0.86748433	0.88937163	0.943241	0.9488791	0.9169942	0.87932765	0.9348545	0.93586826	0.95040405	0.9215879	0.9198811	0.87325144	0.88523644	0.9317201	0.93661845	0.0	0.9504266	0.777253	0.89775133	0.8464086	0.9222755	0.91515905	0.82088166	0.9063631	0.8802634	0.8767445	0.87841576	0.80108035	0.96113384	0.9169964	0.8989297	0.93407696	0.92842656	0.91397005	0.9325335	0.839835	0.902514	0.86464506	0.93908966	0.86589056	0.9290567	0.9514208	0.9329322	0.8325199	0.942636	0.8268622	0.9407947	0.8864368	0.93286884	0.9487629	0.7968403	0.9399319	0.9034566	0.91617876	0.8928763	0.9212321	0.9014275	0.92802304	0.8466511	0.89559716	0.9649107	0.8667445	0.8110717	0.8351292	0.87957215	0.9418359	0.8694768	0.9199427	0.94426143	0.9003575	0.84987175	0.9454098	0.88766444	0.83696187	0.930457	0.9521832	0.9739026	0.950005	0.7752428	0.90335214	0.8315858	0.8891334	0.9404561	0.89876837	0.80229	0.9044679	0.8987802	0.9350767	0.8149349	0.89865327	0.8893651	0.88657385	0.95039535	0.9310486	0.9099124	0.86350596	0.9193894	0.9141966	0.93592024	0.8899362	0.91338956	0.9639158	0.9266682	0.8647499	0.94768894	0.85299027	0.9311682	0.9495332	0.9119377	0.94541556	0.9317658	0.82303786	0.97016287	0.8952354	0.9070576	0.8869158	0.8591722	0.85930264	0.9410841	0.92755026	0.96938217	0.83178306	0.9371145	0.82833374	0.92636764	0.8791494	0.77172893	0.9572131	0.94477093	0.85341763	0.91571563	0.95345527	0.9192833	0.8936589	0.9527111	0.9648385	0.9266995	0.92747664	0.9116262	0.95376974	0.96536684	0.9434736	0.8545191	0.93443376	0.93299735	0.95795596	0.8862282	0.8828889	0.95790434	0.96076864	0.9487803	0.96015435	0.9143833	0.8807505	0.9267333	0.94019306	0.9826281	0.9578078	0.89894414	0.85165405	0.8621674	0.9402985
minuut/noun	0.8676748	0.86535984	0.8112369	0.88432866	0.86858964	0.73182726	0.791319	0.90785813	0.9344001	0.770599	0.889054	0.8994312	0.8232309	0.87361234	0.8764035	0.90341187	0.8573128	0.66519177	0.9320531	0.878602	0.8769482	0.9048039	0.91410536	0.9042772	0.93621147	0.9502853	0.90426975	0.25762182	0.9504266	0.0	0.9444951	0.9391834	0.9031151	0.8132841	0.7957859	0.78946555	0.855604	0.94183105	0.7249118	0.9224527	0.8496573	0.8775689	0.91010094	0.8699915	0.89899075	0.79371893	0.94942594	0.92098165	0.86499107	0.9355414	0.86426425	0.70706147	0.84142077	0.74345183	0.7482344	0.82399	0.82869923	0.6798408	0.9008279	0.94542384	0.79542947	0.9260161	0.87438697	0.9114549	0.87780374	0.9349834	0.88882685	0.81921035	0.6794634	0.8751036	0.7260355	0.8776548	0.8601867	0.7430893	0.8181623	0.88616735	0.8299151	0.7594721	0.8315706	0.937909	0.88501436	0.89284205	0.9236949	0.89565825	0.890023	0.87018025	0.83219844	0.79704136	0.8509887	0.8869523	0.86921763	0.9004384	0.75007355	0.8300905	0.7998589	0.5436643	0.7712991	0.93787134	0.8780923	0.837603	0.8867616	0.89198816	0.8106859	0.6697187	0.85099846	0.87001973	0.80143535	0.69280183	0.8057909	0.85896367	0.7775141	0.9056104	0.88471454	0.89988226	0.8904234	0.8836999	0.9501825	0.8441793	0.86404526	0.8557162	0.83806777	0.77104497	0.81299573	0.7221996	0.84161043	0.8811752	0.8037653	0.868501	0.88348895	0.8820471	0.9199896	0.9155675	0.7458124	0.88352317	0.8579572	0.90216696	0.91778886	0.7032604	0.75974715	0.8132498	0.7494801	0.90486926	0.90826863	0.75587535	0.87626886	0.9052671	0.8929728	0.87150437	0.8286847	0.5891314	0.75631964	0.7513385	0.8222419	0.89600056	0.79043555	0.9189915	0.67628324	0.87667996	0.94043046	0.902996	0.8670848	0.9023903	0.89510703	0.7426754	0.8859367	0.74679834	0.83235633	0.8080401	0.946174	0.91703165	0.6998856	0.8753063	0.8410076	0.86972964	0.8826287
schrijver/noun	0.9318113	0.86414945	0.8958769	0.9699156	0.8137887	0.8890829	0.91994274	0.9153684	0.8969787	0.92003024	0.7518426	0.92472684	0.91687346	0.796859	0.91447574	0.9030839	0.9602733	0.8894275	0.9375022	0.9230395	0.9207525	0.9233511	0.89286053	0.8426738	0.9129992	0.92175287	0.92135864	0.95528054	0.777253	0.9444951	0.0	0.8734288	0.6526923	0.7826822	0.90838295	0.8913136	0.8083091	0.7669901	0.8718304	0.8648251	0.8426564	0.9542732	0.81687045	0.89902544	0.86226976	0.8919152	0.8638559	0.8558688	0.83479226	0.8894194	0.84194803	0.8873188	0.8006371	0.9456671	0.91355485	0.87178785	0.7572348	0.9613006	0.7964439	0.9416492	0.90638405	0.82149005	0.9368042	0.77024674	0.91916347	0.7996769	0.92957807	0.85555065	0.9061996	0.8351004	0.9149493	0.87226856	0.84766924	0.9733659	0.85661244	0.7874772	0.820407	0.8676265	0.887232	0.8714882	0.8751888	0.9550867	0.89475006	0.8025203	0.95989937	0.8089628	0.873638	0.76634544	0.9597241	0.968633	0.9251423	0.85206103	0.9208347	0.7767888	0.90966964	0.9276327	0.86436963	0.8324059	0.87030107	0.84433746	0.91843694	0.75976235	0.63919383	0.90413916	0.79757726	0.94832313	0.93082726	0.8718316	0.9047091	0.8914412	0.8912783	0.9408686	0.7398921	0.923999	0.9385252	0.8114167	0.7806759	0.9293654	0.8483247	0.69017965	0.9531525	0.8724054	0.9533648	0.94648737	0.84974474	0.97149086	0.923033	0.91021645	0.46206152	0.7562792	0.78675735	0.89581245	0.9257135	0.9663582	0.846442	0.9284879	0.8298197	0.89635473	0.86696976	0.73787445	0.8871846	0.92385155	0.86269987	0.93083483	0.9612947	0.92199755	0.8637829	0.9879113	0.9680551	0.89970833	0.92385536	0.91746855	0.9643117	0.9569732	0.88549256	0.7808445	0.9189954	0.90624666	0.964534	0.776042	0.8701586	0.9786267	0.9443994	0.9527233	0.9434703	0.9100619	0.8118969	0.91994673	0.9507251	0.9565072	0.89205885	0.9426157	0.81241834	0.8357757	0.82845116
component/noun	0.83485997	0.71635866	0.83017814	0.9321941	0.86318195	0.9225582	0.8927019	0.8988859	0.6992297	0.8866813	0.9079832	0.9225101	0.8615234	0.8234102	0.8642096	0.9177606	0.8845767	0.8952585	0.8633566	0.8797596	0.91154	0.91599005	0.9113069	0.81831276	0.6647586	0.8718443	0.9032694	0.9237366	0.89775133	0.9391834	0.8734288	0.0	0.9101526	0.8926506	0.868012	0.8239408	0.8166474	0.8850858	0.8131193	0.65886045	0.7680899	0.89339817	0.9302542	0.9204451	0.85144013	0.92337096	0.8732022	0.8641113	0.85250175	0.86512065	0.8692858	0.8937374	0.7733174	0.84202385	0.92154217	0.96249014	0.65113103	0.895815	0.867013	0.86489075	0.845909	0.9152723	0.8771568	0.8208526	0.8549366	0.7563189	0.8772949	0.88607734	0.9294883	0.8606208	0.9408216	0.90016335	0.8491528	0.9342898	0.8593485	0.8053316	0.86203146	0.9324409	0.91004753	0.81828845	0.8889718	0.8614328	0.8494392	0.9038768	0.93252164	0.8773742	0.7433901	0.89866173	0.9434552	0.90588903	0.81329393	0.8392077	0.87016356	0.784716	0.88653684	0.9085464	0.8750199	0.89045715	0.7253399	0.7923732	0.8759736	0.7660736	0.92987627	0.89533705	0.7860124	0.9272286	0.93520284	0.8656973	0.8031174	0.9008691	0.92087895	0.90910137	0.7918658	0.8755822	0.9000244	0.909253	0.86452055	0.81703705	0.9264466	0.8575298	0.9296992	0.79376096	0.9583244	0.9437033	0.8473758	0.8848826	0.73537934	0.86138415	0.84992725	0.8087799	0.668262	0.9281926	0.9294583	0.884326	0.6668641	0.9013955	0.90202177	0.93667823	0.9033582	0.8908024	0.941963	0.91350687	0.9195754	0.7094487	0.9088163	0.86061025	0.8282572	0.9596361	0.9728818	0.9069564	0.92592615	0.9042927	0.9031114	0.91743726	0.90280575	0.74037564	0.9090809	0.8195569	0.91854715	0.78424966	0.8625074	0.9329785	0.9214969	0.93482584	0.86908627	0.9678925	0.8192019	0.90691215	0.9353939	0.95797336	0.8936784	0.8597989	0.8241123	0.7107614	0.8818257
Hugo/name	0.90065414	0.8736465	0.90802646	0.94902265	0.85172135	0.77408475	0.8781164	0.9053488	0.9122019	0.90494347	0.77682567	0.91936904	0.92605734	0.8236846	0.90176857	0.9052072	0.93234044	0.83988744	0.8987966	0.9316319	0.9119232	0.9079668	0.9205292	0.86791587	0.9146679	0.9158257	0.91695607	0.904051	0.8464086	0.9031151	0.6526923	0.9101526	0.0	0.8059356	0.8888049	0.85877407	0.87196165	0.8644681	0.80499566	0.8907818	0.86942875	0.9201607	0.5671742	0.88989955	0.867662	0.8424982	0.92347544	0.8874626	0.8529506	0.9103921	0.87423617	0.84221613	0.8305701	0.8990019	0.9361735	0.6509023	0.78526413	0.93550056	0.8349099	0.90140384	0.8887062	0.8255412	0.9256266	0.84629977	0.91360503	0.8554281	0.90789855	0.840757	0.8949615	0.8728902	0.8157847	0.8558086	0.8972765	0.9194207	0.8529589	0.818927	0.80189425	0.8143368	0.86766267	0.932816	0.9043492	0.9297576	0.88632447	0.8170373	0.9409816	0.87061787	0.8455169	0.73371184	0.93075496	0.9270999	0.9075748	0.8497125	0.8496896	0.85386133	0.84770834	0.878948	0.87298906	0.87536496	0.89616513	0.8608018	0.9230098	0.8211081	0.62791944	0.8401027	0.8006469	0.9225844	0.8590191	0.8460772	0.8604011	0.8715158	0.73224366	0.9238443	0.8540751	0.90070236	0.9038503	0.8072106	0.878136	0.9183091	0.83493036	0.7936032	0.92102003	0.8617256	0.942994	0.8845644	0.84103763	0.93351626	0.91825247	0.90712875	0.70916617	0.82114506	0.86310625	0.91247296	0.8681346	0.93596023	0.884874	0.9118248	0.83164704	0.8282941	0.81011784	0.69862294	0.7681362	0.90445524	0.84980774	0.88937974	0.92665607	0.89670086	0.8876225	0.9194125	0.9501095	0.8572997	0.8337052	0.8514572	0.9444613	0.95085186	0.8804815	0.87243134	0.8597881	0.905236	0.9646915	0.8631492	0.8779068	0.9712401	0.9354893	0.8751427	0.9263501	0.6459694	0.8696987	0.80260485	0.94032526	0.95019835	0.8760769	0.9303348	0.82402754	0.8567236	0.7917925
White/name	0.8628972	0.8350432	0.8721374	0.89788043	0.8358601	0.7981464	0.8740231	0.91210157	0.89412427	0.86114466	0.8159326	0.90143836	0.8382313	0.8113909	0.8886355	0.88863355	0.9202816	0.7857109	0.946103	0.9120751	0.8758346	0.8901503	0.9187494	0.8531861	0.90535575	0.9266778	0.87999886	0.8305702	0.9222755	0.8132841	0.7826822	0.8926506	0.8059356	0.0	0.8532443	0.838885	0.73677486	0.83648133	0.8145985	0.87487435	0.83984923	0.9108947	0.8153009	0.8881396	0.860261	0.82176995	0.9101796	0.8303329	0.85881233	0.92310536	0.87323225	0.81944555	0.8012414	0.8605553	0.90090287	0.80293727	0.7540355	0.84513336	0.866488	0.94260794	0.8796618	0.7708326	0.90879756	0.8807049	0.8668407	0.8224096	0.9075368	0.82477033	0.82905656	0.8825333	0.7402948	0.87900037	0.8237789	0.9028655	0.82769823	0.82207245	0.8453983	0.82103676	0.7986411	0.9187567	0.8839876	0.92549837	0.91720164	0.8552569	0.92918825	0.8650019	0.81874675	0.68194276	0.90502924	0.9233484	0.90025276	0.89225423	0.7944988	0.80725193	0.8311777	0.7900682	0.8419142	0.87901074	0.8182272	0.7921961	0.881759	0.8136829	0.69770265	0.79324335	0.8162633	0.93234354	0.89187384	0.781482	0.8513089	0.8426648	0.744468	0.9039631	0.6977092	0.88707924	0.91188884	0.8741348	0.8841013	0.86934805	0.89192975	0.7333641	0.9151672	0.782796	0.8950564	0.86465454	0.8240671	0.921946	0.84449756	0.8804742	0.7685115	0.77229905	0.85582435	0.90075827	0.8330295	0.93014395	0.84717214	0.8985884	0.88125825	0.84000957	0.7830844	0.77424383	0.73077536	0.90391195	0.892331	0.8513091	0.914388	0.9027159	0.8659972	0.9240942	0.9251556	0.78695834	0.8508081	0.841486	0.94495404	0.90542156	0.8270874	0.8250791	0.7971256	0.88588715	0.9455998	0.8436842	0.8559506	0.9556279	0.92997754	0.89921206	0.912379	0.813266	0.8271439	0.8378996	0.93489784	0.94127005	0.77413267	0.90800995	0.7895613	0.81708336	0.78001827
achter/adv	0.7145017	0.81369627	0.7153349	0.72222406	0.7300054	0.8459878	0.7819052	0.7684479	0.84733737	0.8337219	0.8652346	0.8813958	0.7411634	0.74624527	0.8235282	0.823709	0.6725044	0.7448484	0.91305286	0.77706665	0.5269889	0.75471103	0.7766047	0.8149936	0.87005365	0.8978513	0.79005355	0.7809757	0.91515905	0.7957859	0.90838295	0.868012	0.8888049	0.8532443	0.0	0.81332874	0.8319828	0.88155603	0.6421292	0.8202081	0.7877701	0.75481635	0.90399516	0.7998938	0.8636178	0.78431517	0.8448261	0.8292557	0.8276135	0.85022867	0.7831685	0.84257835	0.8074958	0.8038741	0.8799981	0.9305734	0.6973034	0.8515387	0.7720145	0.9091617	0.83923286	0.8561129	0.77608764	0.85247177	0.7047827	0.8241229	0.8490199	0.8467491	0.81378853	0.7452493	0.8410827	0.8269213	0.77142406	0.90042347	0.8000212	0.8296496	0.7304671	0.78144366	0.8564007	0.8724952	0.7362679	0.78309524	0.84688836	0.85766673	0.8278117	0.7535122	0.77248347	0.85036474	0.90130866	0.7198329	0.78533864	0.8498335	0.78742826	0.75664705	0.76346856	0.7627931	0.75922704	0.8651433	0.80515796	0.7403153	0.7256328	0.8217763	0.9002697	0.77065635	0.77546835	0.829152	0.8948354	0.72222656	0.73619455	0.7715102	0.8311921	0.752552	0.83761036	0.7697808	0.8617325	0.78786653	0.88314307	0.77941155	0.83333826	0.8611734	0.7543652	0.6598331	0.91596353	0.84456223	0.8408491	0.71029496	0.77862835	0.7699355	0.9024811	0.82977176	0.8580818	0.80883723	0.8794266	0.75648177	0.8423188	0.71601903	0.8556118	0.73225784	0.8225365	0.76418066	0.84972036	0.7814393	0.84703857	0.6745107	0.7331644	0.76759124	0.7683472	0.9119477	0.9095298	0.8138261	0.88892823	0.8319433	0.77913284	0.76694095	0.84834206	0.8474326	0.82483935	0.7758784	0.84079915	0.84643424	0.8193511	0.88894755	0.7964376	0.8692361	0.82327485	0.9173276	0.7524689	0.88459975	0.81620765	0.80321205	0.7226877	0.8212154	0.81631994	0.71862674	0.8648639
echter/adv	0.85428727	0.5611568	0.7860585	0.9118422	0.83900666	0.8199844	0.6623511	0.87793064	0.82309574	0.65937483	0.872112	0.8988201	0.83187306	0.79952306	0.76899225	0.89995575	0.8605992	0.70871973	0.7256855	0.8714023	0.8734163	0.89315623	0.86485803	0.8684394	0.76504916	0.7139754	0.88936603	0.7384872	0.82088166	0.78946555	0.8913136	0.8239408	0.85877407	0.838885	0.81332874	0.0	0.82149017	0.87733716	0.7499416	0.81161416	0.59480965	0.9036813	0.9057793	0.8514046	0.87885904	0.8294801	0.8864799	0.871322	0.7091428	0.8878268	0.76733303	0.7661993	0.6965668	0.7053093	0.80644333	0.91098905	0.8354628	0.7838347	0.7837447	0.86754817	0.69872594	0.9015807	0.88441086	0.7801045	0.89008844	0.8683753	0.8586399	0.8416487	0.7836148	0.8377575	0.8242718	0.75087863	0.87048554	0.8589715	0.7358962	0.73992044	0.71819365	0.6964083	0.85868233	0.8120395	0.85961896	0.8605305	0.8243035	0.8751061	0.85943484	0.84212697	0.6810454	0.8552129	0.86908895	0.88606274	0.9112911	0.5903348	0.731537	0.67397416	0.74840105	0.73946184	0.81704044	0.78049666	0.83267313	0.8235795	0.88426536	0.7233827	0.91198117	0.6872421	0.7565594	0.87172306	0.8528778	0.71017253	0.71033806	0.8499201	0.83050704	0.896056	0.85052377	0.8772907	0.9300827	0.9030794	0.8452498	0.7920212	0.75027525	0.8780619	0.8784374	0.77189505	0.876199	0.817592	0.46904773	0.9079821	0.61301374	0.83487606	0.8797557	0.8088055	0.80622697	0.91114706	0.80818105	0.87687504	0.78753304	0.8877512	0.7238457	0.764641	0.79355794	0.6781691	0.8592789	0.90109694	0.77719855	0.692155	0.88408405	0.870865	0.8407341	0.8984373	0.91361916	0.7686057	0.84134924	0.78928983	0.9016771	0.8603114	0.82848793	0.84165066	0.7393868	0.82783675	0.93896633	0.82461315	0.7610493	0.9332863	0.86989546	0.8582469	0.90425944	0.8417409	0.796607	0.7974051	0.92658585	0.90218806	0.85732245	0.6614441	0.68871546	0.85191286	0.85083604
energiek/adj	0.8406774	0.8269156	0.7953562	0.9285617	0.72280276	0.86794406	0.8556515	0.8403579	0.9029291	0.88161266	0.8153258	0.88609165	0.88833845	0.7331796	0.844854	0.84260106	0.8646507	0.8316199	0.9116291	0.8599644	0.85959107	0.8636113	0.81290567	0.814116	0.87264967	0.92672586	0.90140593	0.8629542	0.9063631	0.855604	0.8083091	0.8166474	0.87196165	0.73677486	0.8319828	0.82149017	0.0	0.8776025	0.8293494	0.84766674	0.7919489	0.89330643	0.8456359	0.85429657	0.80454516	0.8534908	0.8713807	0.7609727	0.71186614	0.841485	0.7948709	0.86068535	0.7155815	0.83728653	0.90217406	0.9064275	0.62444943	0.9325338	0.8123924	0.9065428	0.8897176	0.8119867	0.8396806	0.79798627	0.8613943	0.73593676	0.8854609	0.84941536	0.878831	0.7382612	0.8734827	0.78086555	0.8769547	0.9126726	0.8247363	0.75940204	0.7793113	0.85560465	0.8482233	0.84658086	0.8705467	0.8701044	0.8933575	0.828332	0.91192764	0.8140112	0.7925762	0.7670144	0.87832403	0.9209735	0.86727744	0.8593258	0.8338158	0.63368	0.86634266	0.8433473	0.7426077	0.83305687	0.67542017	0.7530159	0.8612953	0.832953	0.8071083	0.82409793	0.7553707	0.90842533	0.9062528	0.7748684	0.81682944	0.8464521	0.8166294	0.868329	0.58146775	0.8451752	0.9461832	0.8331717	0.8265946	0.77887386	0.8244945	0.7313012	0.88235986	0.7480216	0.8986051	0.8860573	0.7805111	0.9140313	0.8058217	0.82696587	0.72745997	0.690747	0.77646786	0.8300312	0.87337506	0.93158656	0.71800226	0.83742774	0.83724403	0.865006	0.8362973	0.76294875	0.82486594	0.8775709	0.8257211	0.79864424	0.88131726	0.85214984	0.7961561	0.95358163	0.9343476	0.8240653	0.8788967	0.8416165	0.92518884	0.92840844	0.8604957	0.71846867	0.8368431	0.8052254	0.88349897	0.73020923	0.77284116	0.9365181	0.90660506	0.8864483	0.89389485	0.8834145	0.7771741	0.8849412	0.8766619	0.95308614	0.86926484	0.89432454	0.795795	0.8158194	0.85703295
